DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,38.89,38.89,35.41,36.72,14407,0
20010103,35.46,40.78,34.33,40.51,32208,0
20010104,41.05,43.08,39.92,42.04,31243,0
20010105,41.32,42.00,38.61,39.74,29413,0
20010108,39.16,40.24,37.76,38.43,33696,0
20010109,38.61,39.65,37.39,38.25,17679,0
20010110,37.89,40.10,37.81,39.92,17168,0
20010111,40.33,41.64,38.75,41.54,22530,0
20010112,40.96,41.86,40.19,40.46,16972,0
20010115,40.46,40.46,40.46,40.46,0,0
20010116,40.60,42.04,39.92,42.00,57470,0
20010117,42.54,45.61,42.54,44.71,59871,0
20010118,44.71,49.08,43.58,48.76,47716,0
20010119,48.72,48.72,46.60,47.32,174910,0
20010122,47.32,47.32,47.32,47.32,0,0
20010123,44.66,45.97,44.43,45.29,21913,0
20010124,45.47,45.75,41.86,41.86,37708,0
20010125,40.92,41.32,38.98,39.88,30584,0
20010126,39.20,40.06,38.03,39.43,29181,0
20010129,41.80,41.91,38.98,40.08,2178600,0
20010130,40.48,41.21,39.70,40.66,1635300,0
20010131,39.70,40.24,36.09,39.37,1812300,0
20010201,38.54,39.01,37.71,38.83,2495200,0
20010202,38.88,39.51,37.53,37.68,2160800,0
20010205,38.69,38.73,34.64,35.51,2599500,0
20010206,35.65,37.89,35.65,36.79,2316800,0
20010207,36.38,36.85,35.44,36.19,1092100,0
20010208,36.38,39.51,36.38,39.13,2953300,0
20010209,39.13,39.49,37.55,37.89,1743000,0
20010212,37.75,38.24,36.34,36.90,2152800,0
20010213,36.81,37.24,34.18,34.19,3115800,0
20010214,34.82,35.37,34.49,34.64,2960800,0
20010215,36.67,39.70,36.58,38.87,3620400,0
20010216,36.09,36.35,35.11,36.09,3561300,0
20010219,36.09,36.09,36.09,36.09,0,0
20010220,35.51,35.62,31.04,31.76,4465300,0
20010221,30.31,30.49,28.31,29.01,6576600,0
20010222,28.83,29.30,27.79,28.20,4805400,0
20010223,28.21,28.41,25.66,27.64,3769600,0
20010226,27.20,27.97,26.92,27.64,2647600,0
20010227,27.25,28.63,26.63,27.54,2557500,0
20010228,27.72,28.00,25.84,25.98,2401200,0
20010301,25.98,28.15,24.83,27.65,3601400,0
20010302,26.31,29.04,26.31,27.46,2449500,0
20010305,27.46,28.31,26.78,27.46,1454200,0
20010306,28.22,29.82,28.22,29.30,2201600,0
20010307,30.53,30.59,29.33,29.56,6704000,0
20010308,29.57,29.75,26.45,28.87,2030900,0
20010309,28.22,28.44,26.45,26.74,2017700,0
20010312,25.98,26.42,25.26,25.27,2415200,0
20010313,25.69,26.60,25.38,26.40,1895300,0
20010314,25.41,26.47,25.22,25.48,2624100,0
20010315,25.62,26.39,24.92,25.15,5943000,0
20010316,24.83,25.80,24.51,25.08,2933900,0
20010319,24.97,27.07,24.26,26.70,1447900,0
20010320,26.16,26.16,24.76,24.76,3020900,0
20010321,23.83,24.35,21.36,22.81,5871100,0
20010322,23.02,25.25,22.98,25.12,2961800,0
20010323,25.12,28.51,25.11,27.30,5057600,0
20010326,26.74,27.20,26.09,26.69,4535000,0
20010327,26.71,26.73,25.80,26.65,1873800,0
20010328,25.33,25.41,23.46,23.60,3000600,0
20010329,23.10,23.93,21.65,21.65,5648900,0
20010330,22.09,22.97,21.80,22.14,3536500,0
20010402,23.13,23.27,21.87,22.25,16879100,0
20010403,21.76,22.01,20.21,21.29,36100000,0
20010404,20.72,21.22,20.04,20.28,3349200,0
20010405,20.75,22.51,20.72,22.09,2412900,0
20010406,18.77,20.14,18.06,20.06,5260400,0
20010409,19.86,20.40,19.51,19.92,9084300,0
20010410,20.35,21.99,20.12,21.54,2027000,0
20010411,22.60,23.53,22.38,22.87,2382700,0
20010412,22.37,24.72,21.67,24.51,2113400,0
20010416,23.96,24.19,23.33,24.05,1553800,0
20010417,23.28,24.52,22.99,24.06,1285100,0
20010418,24.97,28.06,24.68,27.42,35700000,0
20010419,26.99,29.23,26.99,28.14,2741700,0
20010420,28.13,29.58,27.82,29.16,2549000,0
20010423,28.51,28.87,27.59,28.87,2026000,0
20010424,28.08,28.29,26.34,26.86,1869300,0
20010425,26.71,28.15,26.38,28.07,1658000,0
20010426,27.61,29.57,27.43,27.43,1993500,0
20010427,28.38,29.01,27.61,28.00,1162100,0
20010430,28.44,29.05,28.03,28.16,2841100,0
20010501,27.35,28.47,27.10,28.29,1497300,0
