DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,12.53,12.62,12.05,12.45,1869200,0
20010103,12.44,13.29,12.44,12.70,3751600,0
20010104,12.68,12.90,10.97,11.65,7423200,0
20010105,11.59,11.65,10.98,11.25,2172400,0
20010108,11.22,12.00,11.22,11.94,3538400,0
20010109,11.78,12.09,11.72,11.97,2543200,0
20010110,11.97,12.90,11.97,12.40,3056400,0
20010111,12.28,12.47,11.98,11.98,2761200,0
20010112,11.98,12.36,11.98,12.25,3970400,0
20010115,12.25,12.25,12.25,12.25,0,0
20010116,12.22,12.45,12.12,12.19,1907200,0
20010117,12.34,12.51,12.15,12.22,1474000,0
20010118,12.15,12.19,11.03,11.20,4550400,0
20010119,11.14,11.14,10.00,10.49,6192800,0
20010122,10.55,11.14,10.50,11.00,2798000,0
20010123,10.88,11.64,10.88,11.64,1855600,0
20010124,11.58,11.61,11.10,11.34,1892000,0
20010125,11.34,11.97,11.33,11.81,950800,0
20010126,11.72,12.15,11.72,11.77,1905600,0
20010129,11.65,12.16,11.63,12.16,1670400,0
20010130,12.08,12.08,11.87,11.97,1395600,0
20010131,11.85,12.00,11.72,11.93,844000,0
20010201,12.07,12.07,11.53,11.84,2734400,0
20010202,12.07,12.31,11.90,12.24,1401600,0
20010205,12.22,12.63,12.17,12.47,2099600,0
20010206,12.47,12.90,12.47,12.89,1569600,0
20010207,12.86,12.89,12.38,12.75,889600,0
20010208,12.72,12.96,12.72,12.78,1748400,0
20010209,12.75,13.06,12.75,13.04,739200,0
20010212,12.97,13.71,12.97,13.34,1780000,0
20010213,13.52,13.71,13.34,13.71,2130400,0
20010214,13.61,13.81,13.54,13.67,1394000,0
20010215,13.49,13.63,13.21,13.29,1747600,0
20010216,13.16,13.73,13.09,13.65,1330400,0
20010219,13.65,13.65,13.65,13.65,0,0
20010220,13.71,14.00,13.65,13.80,1784000,0
20010221,13.61,14.06,13.44,13.64,1692400,0
20010222,13.64,13.73,13.40,13.62,1857200,0
20010223,13.65,13.81,13.46,13.59,3251200,0
20010226,13.52,14.07,13.52,13.96,1300800,0
20010227,13.98,14.21,13.84,14.04,2022000,0
20010228,14.02,14.28,13.36,13.39,3040400,0
20010301,13.49,13.64,13.35,13.50,1993200,0
20010302,13.56,14.12,13.54,13.99,3777600,0
20010305,14.28,14.38,14.01,14.37,2224400,0
20010306,14.27,14.45,13.51,14.20,4041600,0
20010307,14.20,14.26,13.60,13.74,2711200,0
20010308,13.70,13.73,13.31,13.43,2071600,0
20010309,13.38,13.54,13.31,13.41,1639200,0
20010312,13.35,13.40,12.77,12.81,763600,0
20010313,12.88,12.96,12.47,12.64,1531600,0
20010314,12.64,12.81,12.44,12.54,1621200,0
20010315,12.60,12.72,12.36,12.36,1538400,0
20010316,12.22,12.24,11.82,12.09,2717600,0
20010319,11.47,11.47,11.10,11.27,12274000,0
20010320,11.39,11.47,11.22,11.34,8051200,0
20010321,11.44,11.53,11.27,11.34,5092000,0
20010322,11.34,11.35,10.47,10.82,4604800,0
20010323,10.97,11.27,10.82,11.07,3958000,0
20010326,11.10,11.20,10.83,11.00,2485600,0
20010327,11.00,11.34,10.94,11.19,3900000,0
20010328,11.24,11.68,11.00,11.63,4801600,0
20010329,11.60,12.44,11.57,12.44,7021600,0
20010330,12.38,12.68,12.22,12.23,3975200,0
20010402,12.29,12.31,11.94,12.14,2376400,0
20010403,12.10,12.16,11.99,12.06,2518800,0
20010404,12.08,12.47,11.76,12.10,3168400,0
20010405,12.13,12.84,12.12,12.84,2786400,0
20010406,12.78,12.97,12.55,12.73,3524000,0
20010409,12.72,12.98,12.65,12.88,3870000,0
20010410,12.86,13.23,12.77,13.09,3329600,0
20010411,13.11,13.21,12.74,12.99,4048400,0
20010412,12.96,13.19,12.86,13.03,2706800,0
20010416,13.11,13.21,12.91,12.99,1483600,0
20010417,13.01,13.28,12.98,13.14,2930000,0
20010418,13.18,13.46,12.53,12.83,4279600,0
20010419,12.83,12.99,12.54,12.89,1925600,0
20010420,12.95,12.95,12.54,12.82,2707600,0
20010423,12.77,13.02,12.75,12.94,1925600,0
20010424,12.74,12.98,12.74,12.90,1692800,0
20010425,12.86,13.38,12.85,12.99,1800800,0
20010426,13.14,13.14,12.84,12.85,2598800,0
20010427,12.91,13.23,12.91,13.19,2409200,0
20010430,13.24,13.81,13.14,13.46,2512000,0
20010501,13.41,13.49,13.16,13.23,1218400,0
20010502,13.23,13.23,12.84,13.03,2499200,0
20010503,13.00,13.09,12.72,13.02,1660800,0
20010504,13.02,13.27,12.78,13.26,1792800,0
20010507,13.20,13.40,12.78,13.00,3218400,0
20010508,13.13,13.18,12.47,12.69,5455600,0
20010509,12.75,12.95,12.73,12.79,1753200,0
20010510,12.86,12.97,12.76,12.94,1884400,0
20010511,12.88,13.09,12.88,12.97,2504400,0
20010514,13.06,13.25,13.01,13.08,1847200,0
20010515,13.14,13.15,12.89,12.93,1890800,0
20010516,12.91,13.20,12.73,13.10,2560000,0
20010517,13.16,13.76,13.12,13.73,3272400,0
20010518,13.68,13.87,13.46,13.82,3378800,0
20010521,13.82,13.93,13.64,13.73,3535600,0
20010522,13.70,13.86,13.54,13.72,2548800,0
20010523,13.69,13.85,13.08,13.44,4007200,0
20010524,13.46,13.96,13.46,13.85,3979600,0
20010525,14.10,14.27,13.74,13.81,3897200,0
