DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,15.00,15.00,14.63,14.63,15594,0
20010103,14.50,14.69,13.50,14.00,25086,0
20010104,13.81,14.13,13.50,14.06,618858,0
20010105,14.06,14.06,13.50,13.81,13097,0
20010108,13.94,14.75,13.81,14.69,19293,0
20010109,14.63,14.75,14.38,14.69,16077,0
20010110,14.25,14.69,14.06,14.69,13051,0
20010111,14.63,14.63,14.13,14.38,12346,0
20010112,14.44,14.63,14.00,14.31,13719,0
20010115,14.31,14.31,14.31,14.31,0,0
20010116,14.19,14.81,14.19,14.75,12208,0
20010117,14.63,14.88,14.56,14.81,11158,0
20010118,14.50,14.50,13.69,14.00,16247,0
20010119,13.88,14.00,13.44,13.69,107981,0
20010122,13.69,13.69,13.69,13.69,0,0
20010123,13.81,14.63,13.75,14.44,21402,0
20010124,14.38,14.50,13.75,13.94,16816,0
20010125,14.00,14.00,13.69,13.81,20924,0
20010126,13.88,14.44,13.75,14.31,89697,0
20010129,14.69,14.97,14.63,14.94,2409400,0
20010130,15.25,17.09,14.78,16.97,2791700,0
20010131,14.89,15.00,14.64,14.93,1211400,0
20010201,14.88,14.89,14.45,14.74,685900,0
20010202,14.97,15.35,14.54,15.31,2391600,0
20010205,15.25,15.92,15.18,15.73,2838900,0
20010206,15.33,15.40,14.90,14.99,1934300,0
20010207,15.00,15.85,14.91,15.76,2682900,0
20010208,15.86,15.99,15.30,15.96,22990000,0
20010209,15.25,15.70,15.08,15.44,2182100,0
20010212,15.40,15.77,15.38,15.76,1332600,0
20010213,15.77,15.77,15.43,15.52,1272200,0
20010214,15.35,15.70,15.10,15.34,1859800,0
20010215,15.20,15.30,14.20,14.70,2807300,0
20010216,14.65,15.15,14.63,15.07,2920500,0
20010219,15.07,15.07,15.07,15.07,0,0
20010220,15.35,15.40,15.20,15.39,6389800,0
20010221,15.35,15.43,14.90,15.10,1541500,0
20010222,15.00,15.63,14.66,15.63,2341500,0
20010223,15.50,15.50,14.84,14.95,1365200,0
20010226,15.85,15.85,14.79,15.54,1149000,0
20010227,15.45,15.45,15.01,15.18,1367900,0
20010228,15.02,15.10,14.76,14.99,993200,0
20010301,15.15,15.15,14.76,14.98,1248200,0
20010302,15.00,15.24,14.96,15.14,1147600,0
20010305,15.04,15.23,14.82,15.18,996500,0
20010306,15.15,15.25,14.90,15.20,877000,0
20010307,15.00,15.08,14.92,15.03,740100,0
20010308,14.95,15.51,14.90,15.47,1285200,0
20010309,15.12,15.24,14.96,15.05,1554300,0
20010312,15.10,15.20,14.50,14.80,1476300,0
20010313,14.70,14.73,14.30,14.59,1166300,0
20010314,14.29,14.46,14.21,14.35,1200300,0
20010315,14.23,14.59,14.01,14.54,2085500,0
20010316,13.74,14.39,13.74,13.95,2215800,0
20010319,14.25,14.39,14.00,14.33,5587800,0
20010320,14.52,14.52,13.82,13.84,1414200,0
20010321,14.00,14.00,13.30,13.61,2797300,0
20010322,13.60,13.75,12.80,13.33,2185200,0
20010323,13.20,13.75,12.93,13.68,1283100,0
