DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,6.6875,6.7031,6.0469,6.4219,2549600,0
20010103,6.4297,6.8750,6.4141,6.8281,1683200,0
20010104,6.6875,7.3906,6.6875,7.3281,3361200,0
20010105,7.3203,7.3438,7.0313,7.2500,2395600,0
20010108,7.2188,7.2500,6.9375,7.2031,1482000,0
20010109,7.3672,8.5469,7.3438,8.2969,10113600,0
20010110,8.0781,9.1406,8.0781,8.8594,5498400,0
20010111,8.7031,8.9844,8.5469,8.6875,4400800,0
20010112,8.5938,9.0000,8.5938,8.8750,5112800,0
20010115,8.8750,8.8750,8.8750,8.8750,0,0
20010116,8.8906,9.1250,8.7813,9.0625,2812800,0
20010117,9.1875,9.7813,9.1719,9.6250,7135200,0
20010118,9.4531,9.7188,9.3125,9.5313,2205600,0
20010119,9.4375,9.8438,9.4375,9.7500,4316000,0
20010122,9.6172,9.9688,9.4844,9.9063,1794800,0
20010123,9.7188,9.7813,9.5313,9.7500,3869600,0
20010124,9.6250,9.8125,9.2500,9.3438,3058800,0
20010125,9.1250,9.7500,9.0313,9.3906,2246400,0
20010126,9.3125,9.3281,8.9688,9.3281,2348400,0
20010129,9.1641,9.6875,9.1563,9.5313,2258800,0
20010130,9.5000,9.5000,9.2500,9.3125,1050400,0
20010131,9.2969,9.3125,8.8438,9.2188,3447200,0
20010201,9.2500,9.4063,9.0938,9.1563,994400,0
20010202,9.1094,9.1875,8.7969,8.7969,1334400,0
20010205,8.7656,9.0781,8.6250,9.0156,1934000,0
20010206,9.1250,9.3750,9.0313,9.2344,1278800,0
20010207,9.1875,9.1875,8.8750,9.0000,1652800,0
20010208,8.9531,9.2656,8.9531,9.1563,2424000,0
20010209,9.1406,9.1484,8.9219,8.9375,2353600,0
20010212,8.9688,9.0000,8.6719,8.8750,2579200,0
20010213,8.8906,9.1719,8.8281,8.8438,1498400,0
20010214,8.8516,8.9688,8.8281,8.9219,1632800,0
20010215,8.9219,9.1719,8.9219,9.0156,7416000,0
20010216,9.0000,9.0938,8.6563,9.0000,2003600,0
20010219,9.0000,9.0000,9.0000,9.0000,0,0
20010220,9.0000,9.0625,8.6719,8.8438,2014000,0
20010221,8.6875,8.8203,8.1875,8.2656,4100400,0
20010222,8.0625,8.9219,8.0625,8.2813,6221200,0
20010223,8.6563,9.1875,8.2500,9.0313,11788000,0
20010226,9.1875,9.8438,9.1563,9.7656,20735200,0
20010227,9.4688,9.6094,8.9375,9.1563,5236800,0
20010228,9.2031,9.6250,9.1719,9.5313,3701200,0
20010301,9.4375,9.5938,9.1563,9.5938,4169200,0
20010302,9.3516,9.8594,9.0469,9.5156,6822800,0
20010305,9.5000,9.6406,9.2969,9.3281,2918400,0
