DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20180119,12.65,12.97,12.00,12.39,67908290,0
20180122,12.12,12.18,11.12,11.45,26047182,0
20180123,11.47,12.12,11.45,11.91,8219739,0
20180124,11.91,12.14,11.30,11.91,10365002,0
20180125,11.91,11.94,11.60,11.90,9436178,0
20180126,11.81,11.92,11.75,11.90,7910553,0
20180129,11.89,12.23,11.85,12.08,9362550,0
20180130,12.00,12.40,11.91,12.40,5437169,0
20180131,12.46,12.57,12.40,12.48,6623414,0
20180201,12.48,12.81,12.45,12.75,6058604,0
20180202,12.64,12.95,12.60,12.86,6011220,0
20180205,12.80,12.85,12.46,12.64,3971295,0
20180206,12.20,12.50,12.14,12.30,4594729,0
20180207,12.22,12.54,12.20,12.51,2667794,0
20180208,12.57,12.57,12.27,12.37,3970417,0
