DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,45.88,46.00,44.94,45.19,31824,0
20010103,45.31,45.88,43.06,43.25,3060,0
20010104,43.19,43.25,39.75,40.06,4638,0
20010105,39.88,40.94,39.63,40.00,3557,0
20010108,40.00,41.19,40.00,41.19,4004,0
20010109,41.19,41.31,40.81,41.13,1806,0
20010110,41.00,41.38,40.13,40.69,1767,0
20010111,40.69,40.69,39.00,39.13,0,0
20010112,39.25,40.00,38.44,39.63,5256,0
20010115,39.63,39.63,39.63,39.63,0,0
20010116,39.63,39.63,37.31,39.25,0,0
20010117,39.25,40.00,38.88,39.31,0,0
20010118,39.38,40.00,39.25,39.69,3680,0
20010119,39.31,40.75,38.81,40.44,0,0
20010122,40.44,40.44,40.44,40.44,0,0
20010123,40.94,42.63,40.81,41.13,5584,0
20010124,41.13,42.06,41.13,41.81,0,0
20010125,41.81,42.69,41.44,41.88,4068,0
20010126,41.88,42.13,40.44,41.38,0,0
20010129,43.66,43.66,42.41,42.53,0,0
20010130,42.56,43.00,41.00,41.75,0,0
20010131,41.24,41.24,40.00,40.90,0,0
20010201,41.30,41.45,40.00,40.64,0,0
20010202,40.50,40.87,40.01,40.17,10222500,0
20010205,40.17,40.48,39.97,40.20,366900,0
20010206,40.20,40.35,39.31,40.00,452000,0
20010207,40.00,40.96,39.74,40.35,0,0
20010208,40.60,41.15,40.37,40.96,432700,0
20010209,40.95,41.69,40.88,41.57,252400,0
20010212,41.46,42.24,40.80,41.49,413800,0
20010213,41.54,42.03,40.91,41.57,1264600,0
20010214,41.60,41.96,40.80,41.79,223800,0
20010215,41.46,41.55,41.10,41.36,286300,0
20010216,41.61,42.41,41.61,42.00,310300,0
20010219,42.00,42.00,42.00,42.00,0,0
20010220,41.95,43.00,41.73,42.30,217400,0
20010221,42.05,43.05,41.91,42.03,341200,0
20010222,42.23,42.55,41.77,42.25,457400,0
20010223,42.25,42.55,41.01,41.72,286200,0
20010226,41.65,42.63,41.58,41.81,155800,0
20010227,41.75,42.30,41.66,41.99,266400,0
20010228,41.87,42.30,41.46,42.17,355600,0
20010301,42.32,42.36,41.90,42.07,260300,0
20010302,42.20,42.55,41.70,42.45,1286700,0
20010305,42.42,42.71,42.10,42.34,20392800,0
20010306,42.15,42.15,41.23,41.32,303500,0
20010307,41.10,41.50,40.72,41.14,316700,0
20010308,41.24,41.55,41.00,41.41,261400,0
20010309,41.41,41.46,40.82,41.23,211100,0
20010312,41.10,41.21,40.36,40.50,2396000,0
20010313,40.31,40.42,39.96,40.00,304400,0
20010314,40.00,40.00,39.30,39.50,554700,0
20010315,39.40,40.12,39.31,39.87,319000,0
20010316,39.40,39.90,39.26,39.42,500600,0
20010319,39.60,39.79,38.90,39.11,322000,0
20010320,39.11,40.00,38.73,39.40,325500,0
20010321,39.40,40.35,39.30,39.30,163400,0
20010322,39.31,39.46,37.45,38.09,557500,0
20010323,37.70,38.20,37.37,38.00,156200,0
20010326,38.20,39.38,38.00,39.15,1266100,0
20010327,40.00,40.05,39.40,39.64,320700,0
20010328,39.90,40.35,39.00,39.80,153500,0
20010329,40.00,40.57,38.97,40.53,371800,0
20010330,41.00,41.51,40.85,41.00,1283600,0
20010402,41.81,42.00,41.00,41.43,395700,0
20010403,41.36,41.65,40.40,41.53,5335400,0
20010404,41.63,42.17,41.14,41.80,209800,0
20010405,41.81,41.81,41.05,41.65,1253800,0
20010406,41.50,42.03,40.25,40.69,303000,0
20010409,40.59,42.15,40.59,41.64,290300,0
20010410,41.62,42.66,41.62,42.45,261100,0
20010411,42.35,42.35,41.48,41.91,91100,0
20010412,41.95,42.29,41.15,41.56,191500,0
20010416,41.65,42.40,41.65,42.10,223300,0
20010417,42.10,42.79,42.06,42.69,436300,0
20010418,42.90,43.09,41.56,42.45,417200,0
20010419,42.25,42.61,41.51,41.82,267800,0
20010420,41.67,42.30,41.18,41.57,1236600,0
20010423,41.65,42.31,41.55,41.99,262500,0
20010424,41.99,42.19,41.58,41.75,5193500,0
20010425,41.74,42.25,41.59,41.92,305700,0
20010426,42.20,42.68,42.02,42.12,84700,0
20010427,42.00,42.35,41.62,41.94,13006300,0
20010430,41.90,42.28,41.59,41.97,233100,0
20010501,42.00,42.19,41.79,41.99,2184900,0
20010502,41.97,42.30,41.31,41.67,381300,0
20010503,41.42,41.75,40.50,40.79,462300,0
20010504,40.73,41.54,40.72,41.54,122000,0
20010507,41.52,41.66,41.30,41.54,86700,0
20010508,41.40,41.40,41.09,41.22,189000,0
20010509,41.30,41.55,41.12,41.40,159600,0
20010510,41.35,41.45,41.12,41.24,224400,0
20010511,41.32,41.35,41.00,41.15,158300,0
20010514,41.15,41.80,41.15,41.78,1170900,0
20010515,41.76,41.89,41.63,41.77,228400,0
20010516,41.75,42.69,41.62,42.65,189100,0
20010517,42.60,43.00,42.33,42.84,229700,0
20010518,42.84,42.92,42.45,42.92,269200,0
20010521,42.92,43.30,42.79,43.30,329500,0
20010522,43.25,43.39,43.10,43.25,161400,0
20010523,43.25,44.24,43.25,44.08,472500,0
20010524,44.33,45.07,44.33,44.60,656000,0
20010525,44.45,44.59,44.25,44.30,489400,0
20010528,44.30,44.30,44.30,44.30,0,0
20010529,44.20,45.48,44.02,44.36,2359800,0
20010530,44.25,44.80,44.25,44.48,416400,0
20010531,44.30,44.75,44.30,44.60,198300,0
20010601,44.50,44.50,43.90,44.18,1303300,0
20010604,44.00,44.30,43.93,44.29,2248000,0
20010605,44.05,44.10,43.60,43.77,633200,0
20010606,43.12,43.23,42.67,42.78,525300,0
20010607,42.73,42.74,42.00,42.40,2196700,0
20010608,42.40,42.97,42.01,42.90,254500,0
20010611,42.89,43.25,42.89,43.25,1240100,0
20010612,43.00,43.65,43.00,43.58,207000,0
20010613,43.57,43.67,42.96,43.09,278800,0
20010614,42.84,42.84,41.65,41.75,250100,0
20010615,41.30,43.18,41.30,42.65,269000,0
20010618,42.65,43.25,42.50,42.60,205500,0
20010619,42.25,43.15,42.25,43.15,131100,0
20010620,43.25,43.57,42.66,43.21,3161800,0
20010621,43.25,43.25,41.65,41.98,323800,0
20010622,41.90,42.38,41.70,42.19,282000,0
20010625,42.20,42.44,41.88,41.90,172000,0
20010626,41.94,42.46,41.70,42.32,14487800,0
20010627,42.30,42.82,42.30,42.73,276000,0
20010628,43.05,43.24,42.62,42.75,4141000,0
20010629,43.15,43.15,42.45,42.70,572500,0
20010702,42.75,43.45,42.65,43.45,463500,0
20010703,42.90,43.15,42.61,42.64,417500,0
20010704,42.64,42.64,42.64,42.64,0,0
20010705,42.65,42.90,41.80,42.79,1343900,0
20010706,42.80,42.88,42.35,42.46,466800,0
20010709,42.28,42.88,42.21,42.39,274400,0
20010710,42.25,42.50,42.10,42.36,243800,0
20010711,42.56,42.56,41.75,42.00,331400,0
20010712,41.75,41.83,41.27,41.70,184100,0
20010713,41.65,41.70,40.85,41.09,643500,0
20010716,41.09,41.35,40.74,40.85,378400,0
20010717,40.95,41.00,40.28,40.35,203900,0
20010718,40.45,40.58,39.90,40.03,19303800,0
20010719,40.07,40.44,40.00,40.44,420800,0
20010720,40.44,40.60,39.35,39.67,15446000,0
20010723,39.50,39.50,38.20,38.57,324500,0
20010724,38.33,38.33,37.54,37.70,919500,0
20010725,37.70,38.78,37.39,38.65,833700,0
20010726,38.60,39.36,38.22,39.29,308900,0
20010727,39.00,39.31,38.34,39.14,246700,0
20010730,38.50,39.40,38.50,39.29,243700,0
20010731,38.75,39.64,38.68,39.29,347700,0
20010801,39.29,39.95,39.12,39.80,2222700,0
20010802,39.65,40.57,39.47,40.22,238500,0
20010803,40.25,40.60,39.90,40.40,250900,0
20010806,40.02,40.15,39.31,39.52,195600,0
20010807,39.85,40.44,39.46,39.66,1374800,0
20010808,39.60,39.76,39.10,39.11,111800,0
20010809,38.90,39.65,38.90,39.55,103200,0
20010810,39.33,40.20,39.16,39.96,122300,0
20010813,40.00,40.06,39.51,39.65,141900,0
20010814,39.72,39.96,39.45,39.70,109300,0
20010815,39.85,39.99,39.25,39.45,167100,0
20010816,39.55,39.95,39.15,39.76,139300,0
20010817,39.65,39.98,39.55,39.90,171600,0
20010820,39.85,40.25,39.80,40.00,97700,0
20010821,40.10,41.20,40.00,40.55,240100,0
20010822,40.55,41.15,40.39,40.88,2161100,0
20010823,40.75,41.32,40.75,41.30,137200,0
20010824,41.15,41.52,41.03,41.20,266000,0
20010827,41.25,41.70,41.25,41.52,193000,0
20010828,41.72,41.73,41.10,41.51,283300,0
20010829,41.60,41.81,41.43,41.71,254900,0
20010830,41.91,42.20,41.52,41.66,395300,0
20010831,41.66,41.78,41.15,41.25,547200,0
20010903,41.25,41.25,41.25,41.25,0,0
20010904,41.25,41.77,41.22,41.73,262700,0
20010905,41.49,41.65,41.35,41.50,2177100,0
20010906,41.45,41.64,41.30,41.43,32239200,0
20010907,40.79,41.30,40.65,41.13,1974200,0
20010910,41.19,41.19,40.06,40.29,392200,0
20010911,40.29,40.29,40.29,40.29,0,0
20010917,39.87,40.45,39.25,40.26,335600,0
20010918,40.01,40.75,39.79,40.68,202500,0
20010919,40.70,41.11,39.61,39.75,434300,0
20010920,39.38,40.28,39.38,40.05,435000,0
20010921,39.30,40.19,38.80,38.85,527100,0
20010924,38.90,39.05,37.95,37.95,433300,0
20010925,38.00,38.30,37.60,37.99,411400,0
20010926,37.90,37.90,37.15,37.33,480300,0
20010927,37.30,37.39,36.53,37.10,431800,0
20010928,37.10,38.40,37.10,38.40,460400,0
20011001,38.60,39.00,37.80,38.92,496500,0
20011002,38.92,39.96,38.82,39.71,328800,0
20011003,39.94,40.60,39.70,40.56,341700,0
20011004,40.56,40.85,40.28,40.62,643700,0
20011005,40.95,41.31,40.55,41.25,355800,0
20011008,41.00,41.09,40.50,40.78,196800,0
20011009,40.79,40.80,39.55,39.80,196600,0
20011010,39.81,39.96,39.40,39.90,217000,0
20011011,40.20,40.20,39.00,39.10,353800,0
20011012,39.00,39.13,38.65,39.02,274500,0
20011015,39.10,39.28,38.77,39.03,277500,0
20011016,39.10,39.50,39.05,39.41,165700,0
20011017,39.40,39.86,39.40,39.75,494500,0
20011018,39.90,39.90,39.30,39.40,499200,0
20011019,39.30,39.79,38.95,39.65,302300,0
20011022,39.55,39.94,39.20,39.74,251700,0
20011023,39.74,39.98,39.50,39.80,372700,0
20011024,40.00,40.00,39.31,39.52,379700,0
20011025,39.15,40.40,39.15,40.25,356400,0
20011026,40.20,40.20,39.20,39.70,249500,0
20011029,39.92,39.92,39.20,39.57,786700,0
20011030,39.82,40.20,39.57,40.20,479300,0
20011031,40.85,40.85,40.01,40.10,406000,0
20011101,40.40,40.54,39.76,40.40,323900,0
20011102,40.40,40.50,39.55,40.12,374800,0
20011105,40.37,41.20,40.37,41.15,504800,0
20011106,41.15,41.68,40.81,41.65,504800,0
20011107,41.70,41.84,41.15,41.34,204100,0
20011108,41.15,42.08,41.10,42.00,260600,0
20011109,42.27,42.33,41.69,42.26,483600,0
20011112,42.30,42.30,41.55,42.07,315500,0
20011113,42.25,42.25,41.60,42.15,4192400,0
20011114,41.70,41.99,41.02,41.20,472500,0
20011115,41.24,41.25,40.25,40.49,466600,0
20011116,40.48,40.75,40.23,40.61,290500,0
20011119,40.61,40.61,39.80,40.54,395400,0
20011120,40.50,41.31,40.35,41.17,2337200,0
20011121,40.95,40.95,40.00,40.45,364600,0
20011122,40.45,40.45,40.45,40.45,0,0
20011123,40.50,40.79,40.15,40.72,160600,0
20011126,41.00,41.00,40.77,41.00,289900,0
20011127,41.00,41.30,40.55,40.99,168900,0
20011128,40.99,41.21,40.15,40.30,470800,0
20011129,40.20,40.64,39.88,40.64,303400,0
20011130,40.64,41.15,40.64,40.88,476600,0
20011203,41.05,41.15,40.45,41.06,298300,0
20011204,41.25,41.26,40.70,41.20,5615200,0
20011205,41.52,41.52,41.05,41.28,1352800,0
20011206,40.60,40.68,40.25,40.49,501400,0
20011207,40.45,41.00,40.33,40.88,285600,0
20011210,40.65,40.86,40.04,40.10,260200,0
20011211,40.15,40.21,39.15,39.32,319000,0
20011212,39.43,39.68,38.89,39.67,1346600,0
20011213,39.67,40.30,39.46,39.94,271300,0
20011214,39.95,40.40,39.70,40.32,382000,0
20011217,40.32,40.35,39.90,40.06,258500,0
20011218,40.30,40.99,40.30,40.94,195500,0
20011219,40.94,41.80,40.54,41.80,389600,0
20011220,41.55,41.56,40.63,41.27,276600,0
20011221,41.40,41.45,40.82,41.13,370400,0
20011224,41.15,41.90,41.15,41.81,151800,0
20011226,41.95,42.58,41.82,42.36,1218400,0
20011227,42.25,42.74,42.10,42.38,260400,0
20011228,42.63,42.63,41.84,42.38,216000,0
20011231,42.48,42.90,42.19,42.30,324000,0
20020102,42.35,42.84,41.49,42.75,288100,0
20020103,42.90,42.90,42.20,42.59,235800,0
20020104,42.65,42.68,41.93,42.30,225000,0
20020107,42.27,42.50,42.00,42.48,295000,0
20020108,42.30,42.35,42.10,42.25,305000,0
20020109,42.25,43.19,42.10,42.95,567100,0
20020110,43.00,43.15,42.68,43.09,368400,0
20020111,43.09,43.18,42.75,42.94,395800,0
20020114,43.15,43.46,42.96,43.31,1369000,0
20020115,43.34,43.74,43.31,43.53,377900,0
20020116,43.54,43.89,43.44,43.52,332900,0
20020117,43.52,43.56,43.08,43.24,460900,0
20020118,43.22,43.49,43.05,43.47,1215700,0
20020121,43.47,43.47,43.47,43.47,0,0
20020122,43.85,43.85,42.93,43.07,257700,0
20020123,43.40,43.40,42.65,42.98,272600,0
20020124,43.00,43.13,42.50,42.73,301600,0
20020125,42.93,42.93,42.40,42.71,290500,0
20020128,42.65,42.78,42.52,42.66,1147200,0
20020129,42.85,43.09,42.23,42.32,343200,0
20020130,42.25,42.45,41.65,42.23,251800,0
20020131,42.35,42.87,41.87,42.87,486200,0
20020201,42.55,43.05,42.54,43.00,410200,0
20020204,43.00,43.52,42.80,43.15,408200,0
20020205,43.15,43.20,42.30,42.58,512200,0
20020206,42.55,42.67,41.94,42.45,683500,0
20020207,42.25,42.51,42.08,42.30,446300,0
20020208,42.25,42.50,42.00,42.50,321200,0
20020211,42.40,42.40,41.74,42.33,401700,0
20020212,42.30,42.41,41.90,42.37,724700,0
20020213,42.40,42.75,42.05,42.29,837000,0
20020214,42.05,42.05,41.64,41.79,501900,0
20020215,41.79,42.19,41.52,42.00,447200,0
20020218,42.00,42.00,42.00,42.00,0,0
20020219,41.75,41.99,40.94,41.14,1033500,0
20020220,40.95,40.98,40.00,40.97,956200,0
20020221,40.97,41.09,40.40,40.53,855800,0
20020222,40.50,40.51,40.05,40.35,1388800,0
20020225,40.25,40.26,39.62,39.92,1359700,0
20020226,39.99,40.03,39.50,39.50,1842600,0
20020227,39.75,40.70,39.75,40.60,5767400,0
20020228,40.77,40.95,40.42,40.87,958300,0
20020301,41.00,41.50,40.90,41.42,1017100,0
20020304,41.35,42.06,41.19,42.06,897100,0
20020305,41.91,42.54,41.72,42.45,469200,0
20020306,42.80,43.35,42.41,43.35,1845400,0
20020307,42.55,43.00,42.05,42.26,1530100,0
20020308,42.30,42.36,41.49,41.54,733200,0
20020311,41.50,41.99,41.15,41.58,402800,0
20020312,41.75,41.75,41.15,41.25,663700,0
20020313,40.95,41.60,40.91,41.37,456100,0
20020314,41.10,41.41,41.03,41.25,654500,0
20020315,41.12,41.30,40.84,40.84,895700,0
20020318,40.60,40.92,40.35,40.90,379900,0
20020319,41.00,41.36,40.98,41.17,419200,0
20020320,41.12,41.24,40.67,41.20,453900,0
20020321,41.20,41.70,41.11,41.69,510100,0
20020322,41.50,41.83,41.43,41.56,615900,0
20020325,41.56,41.61,41.11,41.48,478600,0
20020326,41.60,41.79,41.32,41.60,428100,0
20020327,41.61,42.23,41.44,42.23,631500,0
20020328,42.60,42.75,42.30,42.75,418600,0
20020401,42.65,42.65,42.05,42.16,315800,0
20020402,42.14,42.30,41.97,42.24,424400,0
20020403,42.20,42.26,42.00,42.20,447800,0
20020404,42.20,42.72,42.13,42.35,261500,0
20020405,42.30,42.53,42.10,42.17,285400,0
20020408,41.97,42.46,41.82,42.46,476000,0
20020409,42.47,42.47,41.12,42.15,338400,0
20020410,42.15,42.90,41.95,42.90,317500,0
20020411,42.90,42.90,42.01,42.10,579900,0
20020412,42.00,42.19,41.77,42.19,312900,0
20020415,42.00,42.05,41.75,41.80,329200,0
20020416,42.03,42.24,41.85,42.05,405900,0
20020417,42.06,42.35,41.92,42.14,309200,0
20020418,42.15,42.43,42.00,42.39,209600,0
20020419,42.44,42.59,42.24,42.58,204700,0
20020422,42.58,42.65,42.28,42.54,257100,0
20020423,42.70,43.23,42.58,42.85,488000,0
20020424,42.85,43.04,42.64,42.73,284900,0
20020425,42.61,42.61,42.06,42.32,275200,0
20020426,42.57,42.57,41.55,41.90,437900,0
20020429,41.75,41.98,41.45,41.60,580500,0
20020430,41.50,41.85,41.40,41.76,830800,0
20020501,42.00,42.08,41.60,41.88,315000,0
20020502,42.00,42.01,41.50,41.90,364900,0
20020503,42.15,42.24,41.55,42.00,235100,0
20020506,42.29,42.80,41.86,42.20,5307500,0
20020507,42.56,42.56,41.92,42.21,296100,0
20020508,42.20,42.77,41.77,42.74,374200,0
20020509,42.74,43.10,42.60,42.77,312300,0
20020510,42.80,43.09,42.50,42.65,669300,0
20020513,42.66,43.15,42.39,43.02,331500,0
20020514,43.00,43.57,42.96,43.55,567100,0
20020515,43.30,43.70,43.10,43.43,476700,0
20020516,43.44,43.46,43.01,43.27,17402700,0
20020517,43.20,43.43,42.71,43.40,665500,0
20020520,43.40,43.40,43.40,43.40,0,0
20020521,43.99,44.50,43.90,44.15,322300,0
20020522,44.15,44.98,44.15,44.98,363400,0
20020523,44.92,45.21,44.70,45.13,6335900,0
20020524,45.13,45.19,44.51,44.85,1262800,0
20020527,44.85,44.85,44.85,44.85,0,0
20020528,44.55,44.89,44.35,44.60,252300,0
20020529,44.50,44.61,43.91,44.02,334500,0
20020530,43.95,44.19,43.42,43.57,213000,0
20020531,43.60,43.95,43.52,43.72,550600,0
20020603,43.72,43.74,42.73,42.77,564000,0
20020604,43.00,43.25,42.83,43.00,1143800,0
20020605,43.01,43.05,42.24,42.67,931400,0
20020606,42.13,42.28,41.15,41.22,481000,0
20020607,41.03,41.03,40.20,40.48,1616000,0
20020610,40.60,41.13,40.40,40.98,433200,0
20020611,40.98,41.54,40.95,40.99,207300,0
20020612,41.14,41.66,41.12,41.49,303900,0
20020613,41.52,42.13,41.44,41.54,281600,0
20020614,41.69,41.69,40.71,41.29,352600,0
20020617,41.25,41.70,41.06,41.70,350800,0
20020618,41.80,42.30,41.80,42.15,438000,0
20020619,42.10,42.60,41.70,41.77,288500,0
20020620,42.05,42.50,41.75,41.98,456100,0
20020621,41.60,42.45,41.55,42.35,914300,0
20020624,42.45,42.51,41.60,41.99,1296800,0
20020625,42.00,42.10,41.49,41.70,1490700,0
20020626,41.71,41.94,41.29,41.86,468000,0
20020627,42.15,42.45,41.76,42.45,578900,0
20020628,42.60,43.09,42.53,43.01,213500,0
20020701,42.99,43.10,42.44,42.47,437300,0
20020702,42.25,42.37,41.60,41.88,437200,0
20020703,41.70,42.35,41.41,41.53,411300,0
20020704,41.53,41.53,41.53,41.53,0,0
20020705,41.50,42.28,41.17,42.28,179700,0
20020708,42.25,42.35,41.90,42.21,363500,0
20020709,42.21,42.55,40.70,40.70,358200,0
20020710,40.65,40.84,38.86,39.03,669200,0
20020711,38.81,40.35,38.50,40.03,481200,0
20020712,39.80,40.18,38.85,40.15,22972500,0
20020715,39.90,41.37,38.31,41.37,1130200,0
20020716,41.27,41.75,39.93,40.06,899200,0
20020717,40.26,41.12,39.86,40.27,1066600,0
20020718,40.12,40.40,39.78,39.81,676400,0
20020719,39.56,39.57,37.60,37.98,877900,0
20020722,38.25,38.80,37.76,38.66,783800,0
20020723,38.75,39.10,36.35,36.55,1037900,0
20020724,34.75,39.87,34.72,39.75,1151600,0
