DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,55.63,55.63,51.56,51.75,10506,0
20010103,51.88,52.44,48.44,49.94,41874,0
20010104,50.00,50.44,45.88,49.81,688207,0
20010105,49.75,53.00,49.25,51.38,25330,0
20010108,52.25,52.81,51.44,52.50,17898,0
20010109,53.50,53.50,52.81,53.31,21604,0
20010110,53.31,53.81,50.69,52.38,25218,0
20010111,53.38,53.38,49.75,50.88,22889,0
20010112,51.13,52.81,49.56,52.63,23258,0
20010115,52.63,52.63,52.63,52.63,0,0
20010116,52.75,52.88,50.31,51.06,27404,0
20010117,51.06,53.19,50.94,51.69,25518,0
20010118,52.50,53.19,52.00,52.69,161544,0
20010119,52.69,54.19,51.63,53.19,27386,0
20010122,53.19,53.19,53.19,53.19,0,0
20010123,53.94,56.81,53.81,56.50,21140,0
20010124,57.00,59.13,56.50,57.00,32014,0
20010125,56.25,57.50,55.31,56.13,18099,0
20010126,56.25,59.25,56.25,58.69,48199,0
20010129,60.06,62.00,59.00,61.34,1547900,0
20010130,57.00,59.09,56.00,57.19,3951600,0
20010131,57.38,57.95,55.61,56.81,11017500,0
20010201,57.51,57.63,56.20,56.75,2395800,0
20010202,56.75,58.45,56.75,58.00,1544300,0
20010205,58.30,58.48,56.20,56.75,1428900,0
20010206,57.75,57.75,54.86,55.30,2663300,0
20010207,55.75,57.50,55.55,57.12,1990100,0
20010208,57.12,58.48,57.02,57.69,4238700,0
20010209,57.69,60.00,57.55,59.58,1392200,0
20010212,59.58,59.58,55.00,56.75,2405000,0
20010213,57.00,58.36,56.35,57.19,1287100,0
20010214,57.19,57.33,56.60,56.88,959100,0
20010215,56.06,57.60,55.00,57.08,1915000,0
20010216,57.30,58.18,57.30,57.98,1268200,0
20010219,57.98,57.98,57.98,57.98,0,0
20010220,57.99,58.77,57.80,58.58,1429900,0
20010221,58.59,60.15,58.35,58.36,2325100,0
20010222,57.77,58.48,56.24,56.58,2553000,0
20010223,55.95,55.96,53.50,53.60,3046700,0
20010226,53.90,55.30,53.81,55.20,1733400,0
20010227,55.30,56.40,53.82,55.02,1054100,0
20010228,55.65,55.65,53.51,53.97,1193600,0
20010301,54.10,54.88,53.35,54.65,6984500,0
20010302,55.20,56.50,54.20,55.84,1578500,0
20010305,56.75,57.27,56.25,56.60,7565900,0
20010306,57.60,57.69,56.75,57.13,1356300,0
20010307,57.02,57.75,56.65,57.00,1647800,0
20010308,57.25,58.39,57.00,58.05,1872600,0
20010309,59.02,59.02,54.91,55.85,6259800,0
20010312,55.85,55.85,52.25,52.25,2169100,0
20010313,53.20,53.20,49.00,49.26,3500700,0
20010314,48.50,50.15,48.10,48.86,6036000,0
20010315,49.50,50.30,49.25,49.61,2548600,0
20010316,48.75,49.30,47.41,47.51,3931800,0
20010319,47.51,47.90,46.60,46.71,2287400,0
20010320,47.50,49.35,47.25,48.01,3486200,0
20010321,48.39,48.98,47.55,47.55,1931000,0
20010322,47.56,47.95,41.30,43.20,5101800,0
20010323,43.85,44.65,42.76,43.98,3359400,0
20010326,44.91,47.38,44.70,46.62,7516400,0
20010327,47.50,49.80,47.35,49.60,5577600,0
20010328,50.00,50.77,49.02,49.50,3549300,0
20010329,49.38,50.14,47.43,49.04,3678800,0
20010330,49.01,50.70,48.50,49.96,4728400,0
20010402,50.32,50.60,48.88,49.72,1947400,0
20010403,49.71,49.71,46.50,47.85,4215900,0
20010404,47.75,47.75,43.75,44.06,4248000,0
20010405,45.01,45.25,42.47,43.00,5187700,0
20010406,43.99,45.50,40.50,43.97,5947000,0
20010409,44.50,46.05,44.01,45.38,2251100,0
20010410,47.25,48.50,46.40,46.85,3291600,0
20010411,46.50,49.00,46.50,48.79,2529200,0
20010412,48.70,49.75,46.88,49.40,1908000,0
20010416,49.40,49.69,48.80,49.62,1767800,0
20010417,49.42,50.05,49.06,50.05,1559900,0
20010418,51.00,51.83,49.81,51.38,1969100,0
20010419,51.45,52.25,50.69,52.00,1886400,0
20010420,52.01,52.01,49.10,49.65,5189200,0
20010423,50.00,50.00,47.85,48.65,6718800,0
20010424,48.85,48.90,47.00,48.05,4443100,0
20010425,48.45,48.48,47.06,48.00,1577400,0
20010426,47.97,48.20,46.56,47.00,2792300,0
20010427,47.27,47.95,46.85,47.45,1963500,0
20010430,47.70,48.85,47.52,47.67,1864000,0
20010501,47.92,48.34,44.85,45.29,3745000,0
20010502,46.36,48.82,46.25,48.30,4129300,0
20010503,48.75,48.84,47.83,48.33,2165400,0
20010504,48.01,49.00,47.67,48.50,1273300,0
20010507,48.60,49.30,47.60,47.75,1215000,0
20010508,47.70,47.70,45.76,46.21,3628100,0
20010509,46.22,46.45,44.49,44.81,4465800,0
20010510,44.96,45.04,42.35,43.50,5022900,0
20010511,43.75,44.55,42.75,44.29,14784600,0
20010514,44.75,45.54,42.50,42.98,3480400,0
20010515,43.00,43.40,42.00,42.30,4114300,0
20010516,42.90,43.00,41.50,41.95,8264300,0
20010517,42.45,45.20,42.45,45.20,6639300,0
20010518,45.75,45.96,44.50,45.70,2475900,0
20010521,45.75,46.69,45.00,46.06,2451400,0
20010522,46.65,47.67,46.41,47.25,2833800,0
20010523,48.20,48.43,47.50,47.64,2817100,0
20010524,47.89,47.89,46.15,46.71,1449700,0
20010525,46.91,46.95,45.60,45.85,2993700,0
20010528,45.85,45.85,45.85,45.85,0,0
20010529,46.09,46.09,45.03,45.40,1456700,0
20010530,45.15,46.00,44.09,44.56,1628200,0
20010531,44.55,45.63,44.10,45.40,2276200,0
20010601,45.00,45.46,44.28,44.93,2009400,0
20010604,44.90,45.20,43.80,44.52,2545500,0
20010605,44.30,44.40,42.11,42.54,4060000,0
20010606,42.60,43.27,42.26,42.47,3830400,0
20010607,42.48,42.85,39.95,40.35,5302000,0
20010608,41.00,41.65,40.50,41.37,2127900,0
20010611,42.00,42.63,41.18,42.50,7477400,0
20010612,42.70,42.96,41.47,42.90,5115400,0
20010613,42.92,43.17,41.65,41.91,2112700,0
20010614,41.91,41.91,40.45,40.96,3119300,0
20010615,40.50,43.00,40.50,42.93,11051600,0
20010618,42.93,43.50,41.80,42.51,17278400,0
20010619,42.75,42.94,41.61,42.00,2383900,0
20010620,42.00,42.90,41.50,42.00,2193200,0
20010621,42.00,42.00,40.08,41.56,3851700,0
20010622,41.60,42.03,40.30,41.06,2958600,0
20010625,41.31,41.68,41.13,41.50,1552000,0
20010626,41.75,41.85,40.50,41.55,1252500,0
20010627,41.80,42.70,41.40,42.28,1511400,0
20010628,42.95,44.50,42.75,43.90,16582500,0
20010629,44.45,44.45,42.60,43.05,2644700,0
20010702,44.00,44.00,43.15,43.77,1571400,0
20010703,44.25,44.25,42.85,43.00,1111900,0
20010704,43.00,43.00,43.00,43.00,0,0
20010705,43.00,43.00,41.39,42.07,2402100,0
20010706,42.07,42.59,41.70,42.44,1552600,0
20010709,42.70,43.25,41.90,43.25,1799900,0
20010710,43.25,44.50,43.15,43.34,14510700,0
20010711,43.55,43.95,41.81,42.00,23400000,0
20010712,41.75,41.76,39.13,39.19,39100000,0
20010713,39.20,39.90,38.26,38.42,3066800,0
20010716,38.35,39.43,37.85,37.99,10168900,0
20010717,38.55,38.55,37.41,37.84,13909600,0
20010718,38.05,38.05,36.00,36.43,3332600,0
20010719,37.10,37.80,36.40,36.68,2315300,0
20010720,36.90,37.28,35.55,35.72,1981200,0
20010723,35.97,36.00,34.37,35.05,4163100,0
20010724,35.00,35.60,34.75,35.00,43008000,0
20010725,35.00,35.35,33.60,34.95,4649500,0
20010726,34.75,35.40,33.70,34.10,5051000,0
20010727,34.25,37.50,34.25,37.30,5268800,0
20010730,36.36,37.60,35.90,37.58,1995000,0
20010731,37.33,38.50,37.33,38.30,2556000,0
20010801,38.00,39.10,38.00,38.90,2025200,0
20010802,39.10,39.25,38.65,38.90,1833700,0
20010803,38.75,39.01,38.12,38.97,1591600,0
20010806,38.31,38.34,37.40,37.76,9438800,0
20010807,37.77,38.74,37.61,37.99,9088400,0
20010808,37.45,37.45,35.50,35.90,1839400,0
20010809,35.70,35.95,35.36,35.58,23598500,0
20010810,35.90,35.94,34.81,35.53,1643000,0
20010813,35.90,36.10,35.40,35.54,1082300,0
20010814,35.50,35.85,34.80,35.07,1220200,0
20010815,34.97,36.00,34.20,35.28,1367800,0
20010816,35.15,35.18,34.28,34.90,4404200,0
20010817,34.25,34.58,33.80,34.07,1516100,0
20010820,34.25,34.31,33.65,33.95,14903900,0
20010821,34.35,34.50,33.76,34.29,2289200,0
20010822,34.75,35.03,33.85,34.13,1504400,0
20010823,34.14,34.90,34.11,34.84,1124600,0
20010824,34.80,35.60,34.38,35.32,1587900,0
20010827,35.50,35.70,34.97,35.63,100000000,0
20010828,35.55,36.14,35.52,35.78,1391700,0
20010829,35.85,36.34,35.36,35.59,4426300,0
20010830,35.65,35.65,32.00,32.65,4852300,0
20010831,32.70,33.40,32.70,33.12,3502900,0
20010903,33.12,33.12,33.12,33.12,0,0
20010904,33.40,33.40,31.80,31.88,6154800,0
20010905,32.00,32.50,30.00,30.73,13819100,0
20010906,30.73,30.99,29.90,30.07,3042100,0
20010907,30.32,30.50,29.20,29.58,7236600,0
20010910,28.53,29.30,26.60,28.99,23007900,0
20010911,28.99,28.99,28.99,28.99,0,0
20010917,26.80,27.97,26.45,27.50,4326100,0
20010918,27.65,27.65,24.50,24.74,5538500,0
20010919,24.90,25.20,22.00,23.16,7128800,0
20010920,22.90,24.60,22.66,24.32,4916700,0
20010921,23.56,24.40,23.48,24.25,4649200,0
20010924,24.35,25.25,24.06,25.10,4315800,0
20010925,25.30,25.50,23.19,24.25,12061700,0
20010926,14.97,14.97,12.00,12.25,51548100,0
20010927,12.30,13.40,12.30,13.25,20386700,0
20010928,13.11,13.65,12.51,12.82,14293300,0
20011001,12.45,12.54,11.61,11.98,11207200,0
20011002,11.96,13.25,11.60,12.50,9726900,0
20011003,12.25,13.15,12.00,13.10,8140600,0
20011004,13.12,14.00,12.96,13.50,8025400,0
20011005,13.55,13.85,13.05,13.63,28317700,0
20011008,13.50,13.65,13.06,13.30,28249800,0
20011009,13.40,13.40,12.90,13.15,4253000,0
20011010,13.25,13.85,13.06,13.79,6017600,0
20011011,13.89,15.23,13.88,14.72,10372600,0
20011012,14.70,15.13,14.50,15.03,6003300,0
20011015,15.03,15.07,14.75,14.87,8573700,0
20011016,15.10,15.24,14.32,14.50,5023500,0
20011017,14.60,14.84,14.16,14.36,3867800,0
20011018,14.36,14.46,13.70,13.77,2346400,0
20011019,13.88,14.52,13.19,14.32,3224500,0
20011022,14.28,14.38,13.60,13.87,2217200,0
20011023,14.05,14.15,13.25,13.46,2468400,0
20011024,13.60,13.60,12.92,13.19,2542700,0
20011025,12.95,13.36,12.75,13.11,4212200,0
20011026,13.50,14.70,13.35,14.64,6218300,0
20011029,14.40,14.45,13.96,14.07,2679500,0
20011030,14.07,14.10,13.60,13.74,2459200,0
20011031,14.05,14.08,13.40,13.76,2300900,0
20011101,13.90,14.05,13.55,13.94,2163400,0
20011102,13.95,13.99,13.36,13.56,8581800,0
20011105,13.64,14.03,13.35,13.78,3598200,0
20011106,13.89,13.89,12.91,13.46,2752700,0
20011107,13.60,13.89,12.31,12.95,6496300,0
20011108,13.03,13.50,12.95,13.08,5781200,0
20011109,13.35,14.19,13.21,13.87,3972300,0
20011112,13.80,14.25,13.50,14.12,2563600,0
20011113,14.30,14.88,14.05,14.81,5000000,0
20011114,14.81,15.17,14.65,14.94,4564500,0
20011115,15.20,16.05,15.12,15.90,5811800,0
20011116,16.00,17.49,15.78,16.95,8634300,0
20011119,17.05,17.64,16.99,17.64,6126200,0
20011120,17.30,17.80,17.05,17.38,4102200,0
20011121,17.38,17.38,16.51,16.92,6920500,0
20011122,16.92,16.92,16.92,16.92,0,0
20011123,16.91,17.55,16.70,17.44,807500,0
20011126,17.19,17.35,16.84,17.17,2640700,0
20011127,16.95,17.05,16.60,16.80,3477600,0
20011128,16.55,16.78,16.00,16.07,5309300,0
20011129,15.90,17.00,15.86,16.52,2189800,0
20011130,16.52,16.75,16.10,16.51,1821900,0
20011203,16.52,16.52,15.62,16.07,2693200,0
20011204,16.00,16.62,15.77,16.61,3689900,0
20011205,16.50,17.35,16.35,16.98,2661700,0
20011206,16.98,17.04,16.50,16.78,1978300,0
20011207,16.80,17.00,16.35,16.50,2796900,0
20011210,15.00,15.01,14.50,14.75,6837900,0
20011211,14.60,14.70,13.53,13.93,5277500,0
20011212,13.99,14.57,13.38,14.39,10401500,0
20011213,14.32,14.77,14.12,14.51,7579900,0
20011214,14.20,14.73,14.03,14.55,3129500,0
20011217,14.55,14.55,14.11,14.31,2349000,0
20011218,14.21,14.95,14.13,14.69,3291000,0
20011219,14.65,15.59,14.36,15.09,4710700,0
20011220,14.65,14.98,14.35,14.44,2929700,0
20011221,14.25,14.42,14.16,14.25,5631300,0
20011224,14.27,14.65,14.25,14.51,870600,0
20011226,14.60,15.10,14.51,15.01,1652600,0
20011227,14.62,16.29,14.62,16.25,4083500,0
20011228,16.30,16.89,16.16,16.57,6684600,0
20011231,16.50,17.00,16.25,16.35,2777600,0
20020102,15.50,16.79,15.50,16.79,2202000,0
20020103,16.60,16.95,16.26,16.50,2726900,0
20020104,16.65,17.50,16.56,17.48,3102900,0
20020107,17.70,17.85,17.25,17.84,2452500,0
20020108,17.84,17.92,17.51,17.77,2402100,0
20020109,17.77,17.85,17.17,17.30,2056500,0
20020110,16.65,17.58,16.65,17.20,3322000,0
20020111,17.11,17.11,16.38,16.43,3285700,0
20020114,16.60,16.65,16.08,16.27,24565500,0
20020115,16.55,16.60,16.13,16.28,2313400,0
20020116,16.03,16.45,15.95,16.05,1398500,0
