DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,10.36,10.54,9.99,10.12,4068000,0
20010103,10.06,10.65,10.04,10.35,3610800,0
20010104,10.41,10.51,9.24,9.76,5532000,0
20010105,9.48,9.81,9.20,9.56,4714000,0
20010108,9.60,9.66,9.40,9.48,2510800,0
20010109,9.26,9.56,9.16,9.40,3337600,0
20010110,9.41,9.65,9.27,9.48,2371600,0
20010111,9.35,9.54,8.82,8.95,3643200,0
20010112,8.76,9.32,8.76,9.21,2619200,0
20010115,9.21,9.21,9.21,9.21,0,0
20010116,9.21,9.68,9.20,9.62,2391200,0
20010117,9.77,9.84,9.10,9.16,3386400,0
20010118,9.16,9.16,8.82,8.96,2545200,0
20010119,8.95,9.06,8.85,8.87,1903600,0
20010122,8.93,9.32,8.85,9.26,2077200,0
20010123,9.14,9.93,9.14,9.66,2852400,0
20010124,9.71,9.91,9.41,9.90,1988000,0
20010125,9.94,9.94,9.57,9.71,1692400,0
20010126,9.57,9.77,9.43,9.77,2576800,0
20010129,9.73,9.98,9.70,9.98,3757600,0
20010130,9.85,9.85,9.49,9.72,4893600,0
20010131,9.60,9.72,9.13,9.53,5220800,0
20010201,9.31,9.59,9.27,9.35,2104000,0
20010202,9.30,9.89,9.30,9.62,2710400,0
20010205,9.73,9.90,9.63,9.73,4001200,0
20010206,9.83,9.91,9.35,9.41,2200000,0
20010207,9.55,9.73,9.23,9.35,2530800,0
20010208,9.33,9.43,9.13,9.27,3603200,0
20010209,9.10,9.64,9.10,9.38,4680000,0
20010212,9.43,9.70,9.40,9.68,1847200,0
20010213,9.70,9.73,9.47,9.48,2387600,0
20010214,9.60,9.70,9.48,9.48,3386400,0
20010215,9.43,9.48,9.33,9.36,3329600,0
20010216,9.37,9.45,9.19,9.25,2266800,0
20010219,9.25,9.25,9.25,9.25,0,0
20010220,9.34,9.36,8.88,9.03,2799200,0
20010221,9.10,9.10,8.92,8.98,2507200,0
20010222,8.91,9.19,8.91,9.18,2598800,0
20010223,9.23,9.28,8.89,8.89,5896000,0
20010226,8.99,9.15,8.98,9.15,2444400,0
20010227,9.20,9.38,9.18,9.29,1314800,0
20010228,9.20,9.35,9.00,9.28,2596400,0
20010301,9.28,9.30,9.08,9.25,1628400,0
20010302,9.31,9.43,9.25,9.34,2434000,0
20010305,9.34,9.45,9.34,9.37,7882000,0
20010306,9.24,9.38,9.24,9.32,6022400,0
20010307,9.27,9.41,9.13,9.19,1438400,0
20010308,9.24,9.34,9.16,9.28,6164800,0
20010309,9.33,9.40,9.19,9.27,2252400,0
20010312,9.23,9.30,9.17,9.26,2322800,0
20010313,9.26,9.29,9.06,9.22,2468800,0
20010314,8.98,9.37,8.96,9.37,3018000,0
20010315,9.31,9.33,9.14,9.33,2701600,0
20010316,9.27,9.35,9.17,9.26,3528400,0
20010319,9.35,9.39,9.16,9.35,1813600,0
20010320,9.35,9.42,9.23,9.29,1865600,0
20010321,9.29,9.31,8.93,8.93,4531600,0
20010322,8.83,8.83,8.28,8.65,5692800,0
20010323,8.66,9.14,8.66,8.92,4396800,0
20010326,8.89,9.06,8.80,8.85,2090400,0
20010327,8.85,8.85,8.44,8.65,3573600,0
20010328,8.59,8.61,8.43,8.43,3310800,0
20010329,8.46,8.79,8.45,8.78,3739200,0
20010330,8.78,9.20,8.78,8.96,2379200,0
20010402,8.96,9.35,8.88,9.11,2162000,0
20010403,9.03,9.03,8.65,8.77,1498000,0
20010404,8.80,9.00,8.48,8.89,3345600,0
20010405,8.94,9.10,8.76,9.07,3134400,0
20010406,9.04,9.20,8.93,9.00,2286400,0
20010409,8.98,9.02,8.88,9.02,1437200,0
20010410,7.52,7.54,7.17,7.43,22911600,0
20010411,7.23,7.23,6.67,6.85,14435200,0
20010412,6.85,6.85,6.64,6.74,9349600,0
20010416,6.74,6.80,6.26,6.34,8604400,0
20010417,6.28,6.36,6.00,6.26,10260400,0
20010418,6.34,6.36,6.18,6.28,8788400,0
20010419,6.28,6.46,6.16,6.21,7017200,0
20010420,6.27,6.62,6.25,6.50,7326800,0
20010423,6.37,6.66,6.31,6.61,4356000,0
20010424,6.56,6.73,6.55,6.69,1928800,0
20010425,6.62,6.66,6.53,6.64,2632400,0
20010426,6.67,6.89,6.64,6.80,2252800,0
20010427,6.86,7.07,6.74,7.07,2029200,0
20010430,7.07,7.08,6.89,7.03,3012400,0
20010501,6.96,7.12,6.92,7.07,1428400,0
20010502,6.85,6.88,6.56,6.85,4290000,0
20010503,6.85,6.87,6.57,6.61,4904800,0
20010504,6.66,6.75,6.59,6.66,3288800,0
20010507,6.71,6.71,6.49,6.49,1450400,0
20010508,6.49,6.49,6.24,6.29,3389600,0
20010509,6.25,6.43,6.22,6.34,3331200,0
20010510,6.11,6.46,5.91,6.39,7304800,0
20010511,6.24,6.43,6.04,6.29,5405200,0
20010514,6.42,6.45,6.29,6.45,6039600,0
20010515,6.39,6.45,6.30,6.41,1786000,0
20010516,6.49,6.56,6.43,6.56,3054800,0
20010517,6.42,6.47,6.11,6.16,3339200,0
20010518,6.18,6.35,6.17,6.23,1817200,0
20010521,6.24,6.28,6.18,6.23,3208800,0
20010522,6.24,6.28,6.16,6.21,5239200,0
20010523,6.21,6.21,5.96,5.99,4870400,0
20010524,5.99,6.04,5.93,6.01,4432000,0
20010525,6.01,6.01,5.89,5.91,5563600,0
20010528,5.91,5.91,5.91,5.91,0,0
20010529,5.93,5.97,5.84,5.90,3132400,0
20010530,5.86,5.86,5.76,5.80,3063200,0
20010531,5.82,5.86,5.80,5.82,2071600,0
20010601,5.88,6.01,5.74,5.96,3215600,0
20010604,5.95,6.11,5.90,6.10,3286800,0
20010605,6.10,6.28,6.09,6.22,4008400,0
20010606,6.22,6.38,6.22,6.35,3986400,0
20010607,6.35,6.56,6.34,6.46,9777600,0
20010608,6.46,6.49,6.43,6.49,3102000,0
20010611,6.49,6.55,6.43,6.44,3519600,0
20010612,6.43,6.49,6.36,6.43,3478000,0
20010613,6.42,6.59,6.42,6.53,2068400,0
20010614,6.53,6.61,6.47,6.50,2917200,0
20010615,6.49,6.53,6.30,6.51,3224400,0
20010618,6.51,6.60,6.51,6.52,2529200,0
20010619,6.59,6.59,6.51,6.52,3665200,0
20010620,6.52,6.55,6.41,6.48,8672800,0
20010621,6.47,6.65,6.43,6.65,6096000,0
20010622,6.65,6.70,6.48,6.48,3709200,0
20010625,6.48,6.54,6.43,6.47,2644000,0
20010626,6.47,6.47,6.34,6.46,3941200,0
20010627,6.43,6.48,6.41,6.45,2630000,0
20010628,6.45,6.45,6.41,6.41,1148000,0
20010629,6.36,6.52,6.30,6.46,2952400,0
20010702,6.43,6.43,6.15,6.26,6928000,0
20010703,6.26,6.29,6.25,6.26,1046400,0
20010704,6.26,6.26,6.26,6.26,0,0
20010705,6.25,6.28,6.21,6.28,2390400,0
20010706,6.28,6.35,6.24,6.28,1731600,0
20010709,6.28,6.41,6.22,6.30,3454800,0
20010710,6.30,6.32,6.24,6.28,2080400,0
20010711,6.24,6.28,6.17,6.22,3312800,0
20010712,6.17,6.20,6.07,6.16,3329200,0
20010713,6.14,6.64,6.13,6.62,3406000,0
20010716,6.55,6.74,6.53,6.61,3442800,0
20010717,6.62,6.70,6.59,6.64,3179600,0
20010718,6.62,6.62,6.47,6.49,2678400,0
20010719,6.50,6.51,6.28,6.31,2005200,0
20010720,6.43,6.61,6.39,6.45,2033200,0
20010723,6.50,6.59,6.49,6.55,1242800,0
20010724,6.49,6.57,6.43,6.49,2926000,0
20010725,6.49,6.53,6.45,6.49,2260800,0
20010726,6.42,6.52,6.34,6.52,2876400,0
20010727,6.65,6.81,6.55,6.56,3366400,0
20010730,6.60,6.74,6.52,6.68,1786000,0
20010731,6.64,7.06,6.64,7.03,3305600,0
20010801,7.03,7.03,6.80,6.90,6322800,0
20010802,6.90,6.90,6.69,6.71,3740400,0
20010803,6.71,6.74,6.61,6.61,2033600,0
20010806,6.76,6.76,6.57,6.57,2484400,0
20010807,6.57,6.60,6.51,6.57,1488400,0
20010808,6.36,6.60,6.11,6.48,9622400,0
20010809,6.46,6.60,6.34,6.53,2558000,0
20010810,6.49,6.66,6.49,6.61,3414800,0
20010813,6.60,6.71,6.60,6.68,3746400,0
20010814,6.68,6.80,6.68,6.76,5242400,0
20010815,6.84,6.96,6.78,6.93,3017200,0
20010816,6.88,6.96,6.78,6.87,3849600,0
20010817,6.82,6.84,6.70,6.74,2438800,0
20010820,6.74,6.85,6.71,6.78,2777200,0
20010821,6.84,7.03,6.81,6.98,3425200,0
20010822,6.98,7.16,6.94,7.13,2857200,0
20010823,7.14,7.49,7.13,7.48,3340400,0
20010824,7.49,7.53,7.31,7.48,6152400,0
20010827,7.45,7.46,7.13,7.18,2262000,0
20010828,7.22,7.43,7.18,7.28,1742000,0
20010829,7.22,7.44,7.18,7.30,1591200,0
20010830,7.30,7.48,7.28,7.48,2105200,0
20010831,7.48,7.56,7.36,7.46,3306800,0
20010903,7.46,7.46,7.46,7.46,0,0
20010904,7.42,7.49,7.37,7.43,2231200,0
20010905,7.42,7.51,7.36,7.49,3455600,0
20010906,7.48,7.51,7.25,7.26,2693600,0
20010907,7.09,7.23,7.01,7.13,2378400,0
20010910,7.07,7.27,7.05,7.22,1799200,0
20010911,7.22,7.22,7.22,7.22,0,0
20010917,7.05,7.11,6.66,7.02,4817200,0
20010918,7.31,7.31,7.06,7.11,6234400,0
20010919,7.12,7.14,6.72,6.86,5482000,0
20010920,6.74,6.92,6.53,6.55,3398400,0
20010921,6.18,6.49,6.00,6.27,7117600,0
20010924,6.32,6.62,6.28,6.61,4836000,0
20010925,6.43,6.81,6.43,6.78,3744800,0
20010926,6.78,6.97,6.78,6.95,2040000,0
20010927,6.98,7.04,6.77,6.98,2912000,0
20010928,6.98,7.22,6.93,7.20,2941600,0
20011001,7.21,7.35,7.13,7.32,2204400,0
20011002,7.30,7.33,7.21,7.30,1775200,0
20011003,7.28,7.30,7.18,7.24,3236800,0
20011004,7.27,7.43,7.18,7.26,2208400,0
20011005,7.28,7.31,7.16,7.30,1536000,0
20011008,7.25,7.28,7.21,7.25,727600,0
20011009,7.31,7.45,7.20,7.43,1335200,0
20011010,7.41,7.67,7.34,7.60,2856000,0
20011011,7.58,7.83,7.54,7.66,2142000,0
20011012,7.59,7.64,7.32,7.50,2034800,0
20011015,7.41,7.61,7.41,7.58,1215600,0
20011016,7.58,7.67,7.51,7.58,1446800,0
20011017,7.55,7.62,7.41,7.46,2445200,0
20011018,7.45,7.45,7.16,7.22,2928800,0
20011019,7.08,7.28,7.08,7.16,3002800,0
20011022,7.15,7.24,7.09,7.23,3344800,0
20011023,7.23,7.23,7.01,7.11,4121200,0
20011024,7.11,7.20,6.97,7.11,2875200,0
20011025,7.11,7.12,7.02,7.10,1792000,0
20011026,6.98,7.10,6.95,7.05,2474400,0
20011029,7.05,7.13,6.99,7.02,3715200,0
20011030,6.99,7.02,6.86,6.91,2642400,0
20011031,6.95,6.99,6.83,6.89,2928000,0
20011101,6.89,6.96,6.76,6.94,3720400,0
20011102,7.05,7.43,6.98,7.27,4649200,0
20011105,7.39,7.72,7.36,7.70,4198000,0
20011106,7.68,8.03,7.67,7.98,8055600,0
20011107,7.88,8.10,7.13,7.79,27004400,0
