DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,36.09,36.09,34.72,34.81,51562,0
20010103,35.19,35.19,33.75,33.94,55666,0
20010104,34.13,34.19,32.22,32.56,31658,0
20010105,32.13,32.31,31.88,32.19,23720,0
20010108,32.22,32.41,31.94,32.19,19444,0
20010109,32.22,32.88,32.22,32.53,13470,0
20010110,32.31,33.59,32.31,32.88,19884,0
20010111,32.81,33.38,32.31,32.31,34982,0
20010112,32.06,32.06,30.63,30.97,24684,0
20010115,30.97,30.97,30.97,30.97,0,0
20010116,31.03,32.28,30.81,31.13,0,0
20010117,31.38,31.47,30.84,30.97,15290,0
20010118,31.00,31.13,30.44,30.72,8812,0
20010119,30.72,30.72,27.88,28.34,56016,0
20010122,28.34,28.34,28.34,28.34,0,0
20010123,29.88,31.28,29.69,31.13,37942,0
20010124,31.09,31.31,30.78,31.06,14904,0
20010125,31.06,31.28,30.88,31.22,9586,0
20010126,31.19,31.69,31.00,31.00,0,0
20010129,32.31,32.53,30.50,30.52,7054000,0
20010130,30.89,31.59,30.50,31.48,6201800,0
20010131,30.63,30.63,28.75,29.55,4038200,0
20010201,29.91,30.22,29.38,29.83,2141200,0
20010202,29.92,30.09,29.75,29.85,35184000,0
20010205,30.63,31.99,30.45,31.42,2282000,0
20010206,31.88,31.88,30.85,31.05,0,0
20010207,30.50,32.00,30.50,31.67,7632400,0
20010208,32.38,32.38,31.35,31.75,6243600,0
20010209,31.63,31.90,31.35,31.60,1340200,0
20010212,31.38,32.19,31.30,31.64,1153800,0
20010213,31.63,32.00,31.25,31.49,1786000,0
20010214,31.63,31.70,31.15,31.15,13380600,0
20010215,30.92,31.02,30.15,30.20,2240400,0
20010216,30.25,30.86,30.25,30.42,1518200,0
20010219,30.42,30.42,30.42,30.42,0,0
20010220,30.50,30.80,29.72,29.72,9916600,0
20010221,29.83,30.02,28.63,28.63,2344600,0
20010222,28.88,29.05,28.45,28.84,1769800,0
20010223,28.85,29.10,28.60,28.85,3121200,0
20010226,29.25,29.80,29.13,29.33,3612200,0
20010227,29.35,30.75,29.35,30.67,2306200,0
20010228,30.67,30.86,30.08,30.08,460200,0
20010301,30.08,30.64,30.01,30.26,1154000,0
20010302,30.90,31.45,30.90,30.98,0,0
20010305,30.75,31.37,30.73,31.17,2019200,0
20010306,31.10,31.15,30.70,30.83,883200,0
20010307,30.63,31.25,30.63,31.00,2517600,0
20010308,30.95,31.20,30.50,30.79,1351600,0
20010309,30.73,30.75,30.10,30.17,1745600,0
20010312,29.70,30.33,29.50,29.52,1750000,0
20010313,29.58,29.70,28.85,29.63,1451600,0
20010314,28.50,29.17,28.20,28.28,4236000,0
20010315,28.28,28.33,28.05,28.13,2951600,0
20010316,28.05,28.05,26.89,26.95,29800000,0
20010319,27.80,28.00,26.21,26.75,5383700,0
20010320,26.50,27.50,26.26,26.27,1676200,0
20010321,26.50,26.56,25.25,25.30,3927700,0
20010322,25.00,25.00,23.38,24.18,13743000,0
20010323,25.39,25.73,24.00,25.55,2939400,0
20010326,25.55,26.65,25.55,26.47,13238600,0
20010327,26.80,27.24,26.54,27.06,2396300,0
20010328,26.70,27.35,26.56,27.05,1434700,0
20010329,26.50,27.21,26.45,26.86,2579100,0
20010330,27.20,27.75,27.01,27.54,7045700,0
20010402,27.78,29.00,27.78,28.03,12243600,0
20010403,27.90,27.90,27.05,27.60,5672900,0
20010404,27.50,28.02,27.40,28.02,8078500,0
20010405,28.35,28.50,27.70,28.34,1590000,0
20010406,27.75,28.24,26.95,27.21,1634700,0
20010409,27.21,27.84,26.85,27.30,1124200,0
20010410,27.50,27.61,27.04,27.33,998900,0
20010411,27.40,27.58,27.00,27.20,1423700,0
20010412,27.10,28.03,27.02,27.57,1386500,0
20010416,27.75,28.20,27.37,28.20,897900,0
20010417,27.75,28.60,27.05,28.50,1452100,0
20010418,28.54,28.60,28.08,28.45,2462700,0
20010419,28.60,28.90,28.45,28.56,523500,0
20010420,28.57,28.81,28.26,28.55,658200,0
20010423,28.55,28.87,25.25,28.14,801900,0
20010424,28.14,28.19,26.80,27.25,1994200,0
20010425,28.40,30.10,28.30,30.10,8651700,0
20010426,29.85,32.10,29.60,31.25,2886800,0
20010427,31.15,31.96,30.76,31.90,1446200,0
20010430,31.95,32.18,31.30,31.80,1024700,0
20010501,31.41,31.80,31.01,31.71,2492800,0
20010502,31.51,31.69,30.58,31.17,940900,0
20010503,30.90,30.90,30.38,30.58,1634800,0
20010504,30.48,31.25,30.38,30.90,924700,0
20010507,30.15,30.99,30.13,30.80,1084300,0
20010508,30.25,31.87,30.25,31.07,1648600,0
20010509,31.07,31.20,30.65,30.70,81244700,0
20010510,31.10,31.16,30.30,30.90,1041500,0
20010511,30.85,31.09,30.75,30.92,411500,0
20010514,30.25,30.65,30.00,30.43,2534900,0
20010515,30.75,32.00,30.55,31.24,1801100,0
20010516,31.50,32.30,31.13,32.23,2086100,0
20010517,32.25,32.90,32.11,32.44,1474000,0
20010518,32.44,32.61,31.86,32.39,2722300,0
20010521,32.48,32.84,32.22,32.52,1002900,0
20010522,32.85,33.19,32.50,32.63,944000,0
20010523,32.40,32.64,32.03,32.35,947700,0
20010524,32.15,32.47,32.01,32.11,1170600,0
20010525,32.11,32.25,31.83,31.86,571900,0
20010528,31.86,31.86,31.86,31.86,0,0
20010529,31.72,32.47,31.72,32.20,5629500,0
20010530,31.91,32.21,31.50,31.50,1238500,0
20010531,31.95,32.54,31.70,32.43,1070600,0
20010601,32.15,32.33,31.75,32.10,523900,0
20010604,32.25,33.11,32.00,33.04,7013900,0
20010605,33.10,33.84,33.07,33.78,6620400,0
20010606,33.75,33.85,32.90,33.00,1058100,0
20010607,33.25,33.43,32.87,33.20,624100,0
20010608,33.00,33.24,32.56,32.94,456900,0
20010611,32.75,33.14,32.46,32.78,437000,0
20010612,31.90,33.10,31.90,33.01,27662600,0
20010613,32.90,33.25,32.80,32.93,668100,0
20010614,32.80,33.05,32.25,32.92,1316200,0
20010615,32.85,33.89,32.74,33.50,1979600,0
20010618,33.50,33.95,33.22,33.80,1418000,0
20010619,33.85,34.30,33.61,34.09,1406100,0
20010620,34.00,35.20,34.00,34.71,4698500,0
20010621,34.72,35.20,34.30,34.83,2332800,0
20010622,31.25,33.53,31.25,32.45,3213000,0
20010625,32.20,32.59,32.05,32.25,1572500,0
20010626,32.10,32.87,31.95,32.37,1224700,0
20010627,32.37,33.16,32.30,32.61,1133700,0
20010628,32.50,32.97,32.00,32.17,12206400,0
20010629,32.15,32.16,30.50,31.61,1305000,0
20010702,31.59,32.60,31.59,32.25,1698900,0
20010703,32.43,32.50,31.78,31.99,581900,0
20010704,31.99,31.99,31.99,31.99,0,0
20010705,31.80,31.85,30.85,31.74,6315300,0
20010706,31.80,31.90,30.87,30.87,1909100,0
20010709,30.90,31.45,30.90,31.13,788300,0
20010710,31.00,31.13,30.55,30.71,632700,0
20010711,30.50,30.96,30.20,30.60,846400,0
20010712,31.00,31.02,30.70,30.89,594400,0
20010713,30.95,31.50,30.81,31.20,483400,0
20010716,31.55,31.93,31.00,31.11,858900,0
20010717,31.20,31.35,30.98,31.08,29734200,0
20010718,31.05,31.40,30.80,31.35,1369400,0
20010719,32.00,32.02,31.60,32.00,14312700,0
20010720,32.05,32.25,31.42,31.56,4438800,0
20010723,31.20,31.60,30.90,31.20,723400,0
20010724,31.40,31.60,30.50,31.55,1719600,0
20010725,28.01,28.25,26.90,28.20,18247300,0
20010726,29.00,29.79,28.85,29.48,65577000,0
20010727,29.31,29.83,29.13,29.13,29781600,0
20010730,28.71,29.44,28.71,28.97,1585200,0
20010731,29.15,29.80,29.15,29.58,5562600,0
20010801,30.04,30.04,29.27,29.74,898000,0
20010802,30.30,30.30,29.25,29.57,610600,0
20010803,29.70,29.70,28.78,29.09,1196500,0
20010806,28.80,28.90,28.04,28.37,1511400,0
20010807,28.37,28.47,27.83,28.20,28791400,0
20010808,28.44,28.45,27.94,28.07,1102200,0
20010809,27.90,27.99,27.60,27.65,14695200,0
20010810,27.60,27.70,27.20,27.40,4100600,0
20010813,26.71,27.32,26.50,26.88,36172000,0
20010814,26.65,27.07,26.50,27.00,9962200,0
20010815,27.00,27.50,26.90,27.29,1814300,0
20010816,27.25,28.00,27.05,27.70,5848900,0
20010817,27.50,27.90,27.46,27.77,3239300,0
20010820,28.00,28.26,27.76,28.04,794400,0
20010821,28.00,28.22,27.91,28.06,992100,0
20010822,28.19,28.19,27.75,27.89,2360400,0
20010823,28.00,28.02,27.40,27.72,1676400,0
20010824,27.75,28.60,27.70,28.15,8928400,0
20010827,28.15,28.60,27.97,27.98,2073700,0
20010828,27.90,28.05,27.68,27.75,6685800,0
20010829,28.00,28.09,27.29,27.52,1435400,0
20010830,27.55,27.75,27.34,27.51,1699700,0
20010831,27.51,27.72,27.30,27.52,1193000,0
20010903,27.52,27.52,27.52,27.52,0,0
20010904,27.78,27.78,27.10,27.20,1791900,0
20010905,26.98,27.63,26.98,27.52,3443900,0
20010906,27.10,27.60,27.10,27.25,2182900,0
20010907,27.31,27.31,26.63,26.65,1466000,0
20010910,26.13,26.82,26.10,26.50,2794700,0
20010911,26.50,26.50,26.50,26.50,0,0
20010917,26.02,26.06,24.06,25.35,2253800,0
20010918,25.50,25.50,24.51,24.81,2243800,0
20010919,25.24,25.42,23.60,24.90,2224800,0
20010920,24.50,24.81,24.21,24.71,2100500,0
20010921,23.21,24.35,23.00,23.01,3006600,0
20010924,23.02,25.45,23.02,25.45,2572300,0
20010925,26.01,27.00,25.33,26.38,2454700,0
20010926,26.80,27.33,26.56,27.00,2046400,0
20010927,27.40,27.40,26.68,27.15,2575400,0
20010928,27.40,27.63,26.72,27.00,2666900,0
20011001,27.24,27.24,26.74,26.89,2068300,0
20011002,27.00,27.71,26.75,27.70,2776900,0
20011003,27.70,29.04,27.70,29.04,2896600,0
20011004,29.10,29.30,28.21,28.30,1668200,0
20011005,26.90,26.91,25.10,26.50,7657000,0
20011008,25.71,26.40,25.40,26.05,13585200,0
20011009,25.90,27.17,25.90,27.03,3238500,0
20011010,26.85,26.95,26.20,26.30,2665200,0
20011011,26.25,26.89,26.25,26.49,5094400,0
20011012,26.65,26.94,26.35,26.73,2218800,0
20011015,26.73,26.95,26.50,26.75,1052300,0
20011016,26.81,26.90,26.00,26.20,2136400,0
20011017,26.55,26.59,25.70,26.04,1760100,0
20011018,26.75,26.75,25.50,25.55,2498300,0
20011019,25.75,26.00,25.42,25.59,1522400,0
20011022,25.32,26.50,25.32,26.32,1632000,0
20011023,25.95,26.38,25.60,25.68,1976400,0
20011024,25.95,25.98,25.50,25.61,2621000,0
20011025,25.00,25.68,24.91,25.55,1964600,0
20011026,25.40,25.55,25.19,25.35,2811600,0
20011029,25.35,25.65,24.75,25.20,963400,0
20011030,25.30,25.30,24.91,25.07,1411300,0
20011031,25.07,25.20,24.28,24.46,2354400,0
20011101,24.75,25.40,24.29,25.19,1811500,0
20011102,25.19,25.81,24.80,25.43,9180400,0
20011105,25.88,26.43,25.72,26.18,989900,0
20011106,26.15,26.74,26.01,26.55,1022100,0
20011107,26.29,26.70,26.10,26.17,1117000,0
20011108,26.27,26.45,25.60,25.65,1631200,0
20011109,25.66,25.66,24.99,25.15,1487800,0
20011112,25.19,25.20,24.70,25.02,990700,0
20011113,25.11,25.11,24.85,24.89,10153500,0
20011114,25.00,25.40,24.80,25.01,4978800,0
20011115,25.61,25.70,25.36,25.42,1683600,0
20011116,25.45,25.85,25.30,25.80,1945800,0
20011119,25.95,26.41,25.80,26.36,1680200,0
20011120,26.25,26.60,26.10,26.43,1692900,0
20011121,26.26,26.41,26.04,26.27,1052300,0
20011122,26.27,26.27,26.27,26.27,0,0
20011123,26.22,26.50,26.02,26.50,499600,0
20011126,26.27,26.75,26.27,26.45,1113300,0
20011127,26.50,26.65,26.35,26.43,1621200,0
20011128,26.73,26.74,26.20,26.57,1725500,0
20011129,26.77,27.43,26.62,27.21,2224200,0
20011130,27.25,27.80,27.22,27.40,2126500,0
20011203,27.24,27.24,26.91,26.99,1555000,0
