DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,28.67,29.09,28.43,29.07,1894300,0
20030501,29.05,29.10,28.65,28.75,1643400,0
20030502,28.75,28.95,28.55,28.95,1119800,0
20030505,29.12,30.05,29.10,30.05,2059600,0
20030506,31.00,33.31,31.00,33.15,6581900,0
20030507,33.65,35.36,33.40,35.36,5698900,0
20030508,36.20,36.20,34.65,35.52,2460100,0
20030509,35.43,35.93,35.18,35.48,2524400,0
20030512,35.28,35.90,35.11,35.83,1290300,0
20030513,35.84,36.78,35.84,36.41,1846800,0
20030514,36.41,36.72,35.95,36.45,772400,0
20030515,36.55,36.72,35.58,36.26,2370800,0
20030516,36.36,36.80,36.11,36.80,1209400,0
20030519,36.52,36.52,35.10,35.93,1254500,0
20030520,35.95,36.23,34.48,34.83,2448900,0
20030521,34.77,35.62,34.67,35.58,1149500,0
20030522,35.65,36.55,35.40,36.25,1914500,0
20030523,36.17,36.58,35.98,36.58,1096800,0
20030527,36.51,37.17,36.36,37.10,2030300,0
20030528,37.10,37.23,36.82,36.96,1658700,0
20030529,37.30,37.36,36.11,36.56,916200,0
20030530,36.66,37.23,36.65,37.02,617600,0
20030602,37.15,37.70,36.79,37.01,1417800,0
20030603,37.18,38.25,36.93,37.90,1774700,0
20030604,37.90,38.36,37.69,38.28,822600,0
20030605,38.05,39.56,37.93,39.48,1487300,0
20030606,40.00,40.81,39.63,39.83,1740000,0
20030609,40.05,40.27,39.72,39.80,1756100,0
20030610,39.80,39.80,38.64,39.39,1479300,0
20030611,39.30,40.39,39.24,40.17,1333800,0
20030612,40.25,40.99,39.98,40.06,2032600,0
20030613,41.10,42.06,40.24,41.60,1863800,0
20030616,41.85,42.55,41.60,42.13,1714400,0
20030617,42.50,43.32,42.30,42.31,1089700,0
20030618,43.50,43.57,41.87,42.02,1972400,0
20030619,42.00,42.04,40.22,40.27,2361500,0
20030620,40.38,41.10,40.18,40.19,1952900,0
20030623,39.95,39.98,38.83,39.20,1470700,0
20030624,39.45,39.96,39.20,39.50,1313900,0
20030625,39.55,40.45,39.46,40.12,1396400,0
20030626,39.80,40.54,39.65,40.45,1131500,0
20030627,40.45,40.91,40.20,40.36,1164600,0
20030630,40.61,40.75,40.20,40.37,1265700,0
20030701,40.42,40.48,39.60,40.03,949300,0
20030702,40.04,40.67,39.76,40.58,1076300,0
20030703,40.28,40.51,40.08,40.11,469200,0
20030707,40.30,41.90,40.23,41.48,1358700,0
20030708,41.70,41.93,41.49,41.80,991500,0
20030709,41.95,42.84,41.79,42.51,1505200,0
20030710,42.51,42.51,41.01,41.44,1069300,0
20030711,41.45,41.95,41.15,41.30,599000,0
20030714,41.37,42.20,41.37,41.53,884700,0
20030715,41.63,41.64,40.57,40.90,1057700,0
20030716,40.95,41.00,40.22,40.35,604600,0
20030717,40.06,40.34,39.26,39.52,1023400,0
20030718,39.65,40.16,39.61,39.92,879700,0
20030721,40.20,41.17,40.15,40.66,1162200,0
20030722,40.66,40.75,40.25,40.48,474700,0
20030723,40.45,40.46,39.83,39.83,697500,0
20030724,40.25,40.74,39.90,39.90,436900,0
20030725,40.15,41.29,40.05,41.28,1002400,0
20030728,41.35,41.35,40.24,40.60,819300,0
20030729,40.60,40.70,39.75,40.02,697000,0
20030730,40.20,40.48,39.69,39.90,1204500,0
20030731,40.30,40.75,39.90,39.94,1435700,0
20030801,39.50,39.60,38.77,38.92,1293000,0
20030804,39.50,39.99,38.69,39.59,2276200,0
20030805,38.74,39.27,37.74,38.95,3283900,0
20030806,38.80,38.80,37.40,37.58,2183200,0
20030807,37.59,38.16,37.20,38.15,1228500,0
20030808,38.45,38.63,38.00,38.50,620500,0
20030811,38.65,38.83,38.00,38.05,1309900,0
20030812,38.25,38.30,37.99,38.02,1100500,0
20030813,38.30,38.30,37.43,37.81,554500,0
20030814,37.68,37.86,37.35,37.65,933200,0
20030815,37.58,37.91,37.50,37.91,185100,0
20030818,37.87,38.60,37.80,38.49,1170900,0
20030819,38.50,39.70,38.50,39.70,2092600,0
20030820,39.65,40.00,39.40,39.98,1356700,0
20030821,40.20,40.30,39.15,39.56,1090500,0
20030822,39.81,39.84,39.02,39.35,646200,0
20030825,39.36,39.54,39.15,39.30,695900,0
20030826,39.20,39.70,39.05,39.69,580500,0
20030827,40.20,40.88,40.18,40.74,1301900,0
20030828,40.75,41.05,40.50,40.95,806400,0
20030829,40.70,41.10,40.48,41.10,388800,0
20030902,41.20,41.75,41.11,41.59,816200,0
20030903,41.61,41.96,41.35,41.91,1023500,0
20030904,41.91,41.91,41.41,41.73,668500,0
20030905,41.63,41.95,41.14,41.30,919900,0
20030908,42.25,44.36,41.57,44.29,2564100,0
20030909,44.90,44.95,43.25,44.33,2515200,0
20030910,43.90,44.05,43.50,43.52,2092200,0
20030911,43.60,43.80,43.30,43.70,853600,0
20030912,43.68,43.89,43.20,43.89,764500,0
20030915,43.89,44.10,43.00,43.85,841400,0
20030916,43.95,44.48,43.62,44.47,462300,0
20030917,44.75,45.18,44.61,45.00,874200,0
20030918,45.00,45.18,44.54,44.62,966600,0
