DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20040205,23.75,24.94,23.25,24.70,27565300,0
20040206,24.71,24.94,24.15,24.85,5284400,0
20040209,24.60,24.70,24.00,24.47,3252900,0
20040210,24.15,24.47,24.05,24.35,1651600,0
20040211,24.28,24.50,24.15,24.25,2010200,0
20040212,24.19,25.00,24.17,24.68,1637500,0
20040213,24.79,24.84,24.28,24.70,612000,0
20040217,24.75,24.90,24.50,24.60,592500,0
20040218,24.60,25.40,24.35,25.40,805700,0
20040219,25.25,25.98,25.25,25.68,1494600,0
20040220,25.69,25.69,25.00,25.35,742000,0
20040223,25.39,25.39,24.35,24.55,1331800,0
20040224,24.40,24.97,24.21,24.80,963600,0
20040225,24.80,25.00,24.70,24.85,321700,0
20040226,24.85,25.27,24.60,25.24,617200,0
20040227,25.15,25.75,25.11,25.74,1569100,0
20040301,25.74,26.19,25.70,25.80,851700,0
20040302,25.95,25.95,25.10,25.94,595600,0
20040303,25.70,25.80,25.35,25.48,457000,0
20040304,25.48,25.75,24.75,25.21,837700,0
20040305,25.02,25.64,25.00,25.55,450200,0
20040308,25.55,25.65,25.17,25.48,370100,0
20040309,25.50,25.51,24.71,25.00,816200,0
20040310,24.80,24.85,24.40,24.65,1034300,0
20040311,24.15,24.65,24.15,24.20,2538500,0
20040312,24.34,24.65,24.25,24.50,1501700,0
20040315,24.75,24.75,23.74,24.00,1595900,0
20040316,24.50,24.55,24.18,24.23,1539800,0
20040317,24.20,24.50,24.06,24.07,1051700,0
20040318,24.07,24.10,23.71,23.80,1006800,0
20040319,23.75,23.84,23.40,23.74,759200,0
20040322,23.40,23.75,23.09,23.70,1018700,0
20040323,23.75,24.00,23.51,24.00,678300,0
20040324,24.00,24.05,23.77,23.80,510900,0
20040325,23.65,24.06,23.49,23.96,1499800,0
20040326,23.87,24.34,23.87,24.10,887500,0
20040329,24.11,24.44,24.11,24.37,823900,0
20040330,24.20,24.75,24.18,24.72,739300,0
20040331,24.75,25.29,24.60,25.15,728500,0
20040401,25.25,25.40,24.78,25.25,1568800,0
20040402,25.36,25.41,24.75,25.22,1166400,0
20040405,25.05,25.53,24.90,25.51,544200,0
20040406,25.45,26.00,25.25,25.94,697900,0
20040407,25.75,25.86,25.40,25.73,444100,0
20040408,25.84,26.26,25.70,26.22,657400,0
20040412,26.15,26.25,25.71,25.88,804000,0
20040413,25.98,26.16,25.15,25.25,860800,0
20040414,25.25,25.45,24.97,25.19,1518700,0
20040415,25.30,25.75,25.07,25.25,1406600,0
20040416,25.30,25.64,25.05,25.54,272100,0
20040419,25.45,26.13,25.45,25.73,627800,0
20040420,25.70,25.80,25.40,25.55,926200,0
20040421,25.50,25.58,25.00,25.20,980800,0
20040422,25.35,25.44,25.00,25.20,568200,0
20040423,25.20,25.22,24.86,25.03,355900,0
20040426,24.85,25.00,24.65,24.90,238900,0
20040427,24.85,25.27,24.84,25.17,171900,0
20040428,25.25,25.25,24.92,25.00,256100,0
20040429,24.89,24.95,24.60,24.72,298200,0
20040430,24.63,25.00,24.34,24.36,608100,0
20040503,24.56,25.04,24.45,25.00,514800,0
20040504,24.95,25.02,24.50,24.75,953800,0
20040505,24.90,25.00,24.60,24.69,304700,0
20040506,24.70,24.96,24.29,24.65,319600,0
20040507,24.50,24.80,23.55,24.10,564500,0
20040510,24.00,24.05,23.48,24.00,479000,0
20040511,23.94,24.49,23.72,24.26,418400,0
20040512,24.65,24.72,23.56,24.40,1549800,0
20040513,24.25,25.28,24.08,24.99,753400,0
20040514,24.99,25.15,24.85,25.00,750400,0
20040517,24.80,24.80,24.25,24.37,569600,0
20040518,24.50,25.05,24.41,24.84,852100,0
20040519,24.80,25.00,24.64,24.75,434400,0
20040520,24.75,25.00,24.70,25.00,546500,0
20040521,24.99,25.00,24.88,24.93,469600,0
20040524,25.05,25.05,24.82,25.00,532500,0
20040525,25.00,25.01,24.52,24.65,1171200,0
20040526,24.70,24.84,24.38,24.70,349200,0
20040527,24.70,24.99,24.55,24.60,615900,0
20040528,24.65,25.10,24.45,25.10,283900,0
20040601,25.00,25.29,24.90,25.16,939300,0
20040602,25.41,25.49,25.15,25.40,505900,0
20040603,25.43,25.70,25.29,25.63,397700,0
20040604,25.55,25.85,25.45,25.80,240100,0
20040607,25.90,25.91,25.49,25.55,336400,0
