DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20131118,49.75,50.00,47.49,48.47,587184,0
20131119,48.99,49.00,45.30,45.80,1682041,0
20131120,45.98,46.00,43.99,44.65,1106908,0
20131121,44.50,45.15,43.04,43.79,730214,0
20131122,43.90,44.10,43.25,43.99,947693,0
20131125,44.28,45.62,43.70,44.18,727314,0
20131126,45.00,45.00,43.04,43.20,873717,0
20131127,43.55,43.55,42.50,43.24,1153343,0
20131129,42.75,43.85,42.75,43.24,949924,0
20131202,43.90,44.74,41.52,43.14,5130708,0
20131203,42.80,44.90,42.70,42.90,3239252,0
20131204,42.43,42.60,41.65,41.83,2777748,0
20131205,42.28,42.28,40.63,41.05,3380502,0
20131206,40.75,41.06,40.64,40.70,4662340,0
20131209,40.70,41.27,40.24,41.18,3073953,0
20131210,41.07,42.84,41.04,42.56,3289354,0
20131211,42.32,43.01,42.00,42.46,3367890,0
20131212,42.01,43.10,42.00,42.97,1770490,0
20131213,42.92,43.80,42.92,43.25,683791,0
20131216,43.01,43.99,42.11,43.28,1953878,0
20131217,43.43,44.00,43.16,43.75,1396938,0
20131218,43.65,44.50,43.10,44.27,1225195,0
20131219,43.96,44.50,43.82,44.45,593011,0
20131220,44.30,44.45,43.91,44.26,2878557,0
20131223,44.17,44.85,43.55,44.65,773646,0
20131224,44.76,45.02,44.25,44.58,304706,0
20131226,44.86,45.01,44.44,44.70,513177,0
20131227,44.77,44.97,44.09,44.64,393256,0
20131230,44.45,44.88,44.00,44.12,381478,0
20131231,44.23,44.50,43.76,44.19,874161,0
20140102,44.08,44.18,43.27,43.65,992872,0
20140103,43.57,44.32,43.17,43.96,378396,0
20140106,43.97,43.98,43.37,43.68,597834,0
20140107,42.16,43.98,42.16,43.87,1371252,0
20140108,44.02,44.36,43.40,43.88,1407140,0
20140109,43.89,44.25,43.84,44.13,1093527,0
20140110,44.17,46.08,44.02,45.73,2008621,0
20140113,45.70,47.44,45.20,47.04,2278501,0
20140114,47.16,47.89,46.91,47.80,2338221,0
20140115,47.97,49.19,47.26,47.50,1732951,0
20140116,47.28,47.68,47.04,47.40,1178666,0
20140117,47.52,48.24,47.00,48.00,1572137,0
20140121,49.38,49.38,47.94,48.17,1570433,0
20140122,48.11,49.16,48.08,48.51,682208,0
20140123,48.68,48.68,47.58,47.72,867599,0
20140124,47.62,47.71,45.83,46.84,1417529,0
20140127,45.20,48.00,45.20,46.60,717829,0
20140128,46.77,47.88,46.77,47.73,721686,0
20140129,47.35,48.48,47.13,47.78,800899,0
20140130,47.91,49.63,47.83,49.42,1247052,0
20140131,49.25,49.96,49.03,49.35,2011057,0
20140203,49.35,49.94,47.20,47.44,1184839,0
20140204,47.44,48.48,47.32,48.05,891295,0
20140205,47.84,48.65,47.15,47.60,823106,0
20140206,47.50,49.27,47.50,49.24,1168384,0
20140207,49.33,50.27,49.33,49.94,1837821,0
20140210,49.99,50.12,49.45,49.84,763357,0
20140211,49.73,50.41,49.33,49.89,1447661,0
20140212,49.92,51.00,49.73,50.00,1405279,0
20140213,49.98,50.44,49.59,50.12,694986,0
20140214,50.15,50.25,49.59,49.63,891951,0
20140218,49.72,50.86,49.72,50.11,2748462,0
20140219,49.84,50.34,49.03,49.16,1076067,0
20140220,50.23,52.78,49.10,51.52,2623555,0
20140221,51.75,52.79,51.75,52.37,2198698,0
20140224,52.36,53.11,52.36,52.86,669573,0
20140225,53.00,54.58,52.93,54.56,1117594,0
20140226,54.83,55.78,54.18,54.66,1880124,0
20140227,54.69,55.53,54.21,55.35,1139863,0
20140228,55.09,55.32,53.82,54.35,1198525,0
20140303,54.67,54.93,53.08,53.49,659634,0
20140304,53.71,55.00,53.48,54.00,1189909,0
20140305,53.90,54.31,53.38,53.95,394973,0
20140306,53.99,54.10,53.04,53.19,617421,0
20140307,53.44,53.78,52.59,53.39,776145,0
20140310,53.20,53.67,52.24,53.29,1155349,0
20140311,53.49,54.80,53.45,54.50,874684,0
20140312,54.42,54.74,52.77,54.28,1255458,0
20140313,54.46,54.71,53.13,53.60,946442,0
20140314,53.62,53.95,53.25,53.30,1071799,0
20140317,53.44,53.83,52.93,52.96,1011703,0
20140318,52.94,53.49,52.71,53.28,881360,0
20140319,53.18,54.00,52.92,53.28,645041,0
20140320,53.41,54.22,52.82,54.17,628145,0
20140321,54.38,54.81,53.74,53.81,1356839,0
20140324,54.00,54.23,53.04,53.47,895623,0
20140325,53.70,53.90,53.17,53.21,717185,0
20140326,53.32,53.50,52.01,52.04,691127,0
20140327,51.87,51.97,51.19,51.45,496639,0
20140328,51.62,52.44,51.54,52.16,346059,0
20140331,52.38,52.58,51.91,52.17,334553,0
20140401,52.44,54.06,52.29,53.92,593593,0
20140402,53.92,54.81,53.59,54.67,500465,0
20140403,54.77,55.00,54.58,54.95,427889,0
20140404,54.82,55.35,53.00,53.73,491961,0
20140407,53.71,54.00,51.53,51.62,1054236,0
20140408,51.34,51.78,50.81,51.41,1213699,0
20140409,51.46,51.59,51.23,51.50,1212781,0
20140410,51.52,51.79,50.12,50.68,1488526,0
20140411,50.53,50.90,49.86,50.01,1184552,0
20140414,50.28,50.61,49.18,49.77,605892,0
20140415,49.88,50.43,48.93,49.96,419347,0
20140416,50.16,50.72,49.84,50.23,254039,0
20140417,50.07,50.54,49.43,50.15,427218,0
20140421,49.98,50.65,49.60,50.63,225730,0
20140422,50.71,51.15,50.36,51.00,422506,0
20140423,50.89,50.96,49.98,50.40,507787,0
20140424,50.62,50.78,49.72,50.24,659763,0
20140425,49.95,50.39,49.37,49.54,290295,0
20140428,49.84,50.08,48.45,48.82,605415,0
20140429,48.96,49.43,48.46,48.90,441963,0
20140430,49.00,49.46,48.44,49.35,481138,0
20140501,51.00,51.86,49.48,51.25,722131,0
20140502,51.18,51.74,50.25,50.70,478976,0
20140505,50.28,50.52,49.57,50.06,413847,0
20140506,49.95,50.16,49.55,49.89,595985,0
20140507,49.89,50.32,49.34,49.93,597954,0
20140508,49.60,50.40,49.11,49.36,530588,0
20140509,49.20,50.16,48.67,50.00,489066,0
20140512,50.05,50.84,50.05,50.48,586091,0
20140513,50.50,50.72,50.33,50.48,638715,0
20140514,50.30,50.43,49.74,49.79,470669,0
20140515,49.52,49.74,47.98,48.29,738394,0
20140516,48.32,49.43,48.15,49.28,719489,0
20140519,49.30,50.36,49.27,50.21,653455,0
20140520,49.87,50.54,49.75,50.50,1543594,0
20140521,50.52,51.03,50.40,50.71,338541,0
20140522,50.65,51.84,50.32,51.49,501053,0
20140523,51.73,52.59,51.33,52.46,451783,0
20140527,52.49,52.84,52.33,52.47,331609,0
20140528,52.62,53.26,52.46,52.94,523700,0
20140529,52.94,53.86,52.94,53.52,815596,0
20140530,53.49,53.51,52.33,52.39,400272,0
20140602,52.77,52.77,52.04,52.07,646459,0
20140603,51.30,52.74,51.30,52.41,451861,0
20140604,52.27,53.31,52.23,53.15,621100,0
20140605,53.20,54.33,52.90,54.31,608866,0
20140606,54.43,56.09,54.37,55.83,965392,0
20140609,55.97,56.81,55.62,56.35,766393,0
20140610,56.24,56.75,55.95,56.73,560303,0
20140611,56.40,56.42,55.98,56.34,534596,0
20140612,56.18,56.56,55.89,56.12,1780223,0
20140613,56.26,56.26,55.90,56.09,545122,0
20140616,55.93,57.36,55.84,57.13,634287,0
20140617,56.88,57.66,56.10,57.25,1436697,0
20140618,57.23,57.50,57.05,57.34,1901864,0
20140619,57.33,57.74,56.04,57.27,875847,0
20140620,57.14,57.78,56.88,57.62,1265039,0
20140623,57.72,58.29,57.43,57.56,384484,0
20140624,57.30,57.56,56.49,56.68,580813,0
20140625,56.62,56.83,56.04,56.69,503851,0
20140626,56.72,56.78,56.17,56.32,336481,0
20140627,56.45,56.45,55.52,55.58,1105037,0
20140630,55.52,56.75,55.42,56.68,610897,0
20140701,56.77,57.46,56.77,57.06,424534,0
20140702,57.00,57.87,57.00,57.37,484627,0
20140703,57.46,57.74,57.02,57.16,138691,0
20140707,57.04,57.04,55.94,56.04,274725,0
