DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20171101,17.0000,18.9800,16.5500,18.3100,7513795,0
20171102,18.0500,18.2000,17.3300,17.4100,948030,0
20171103,17.5000,19.4000,17.5000,19.3700,842678,0
20171106,19.0600,19.6000,18.1010,18.9700,427430,0
20171107,18.9900,19.9450,18.8500,19.5100,1008267,0
20171108,19.5500,20.3800,18.6200,20.3600,556321,0
20171109,20.1200,20.6200,20.0000,20.4000,282388,0
20171110,20.4000,20.8500,20.2300,20.7600,131891,0
20171113,20.6200,21.7800,20.5010,21.7200,222994,0
20171114,21.5400,22.9800,21.5200,22.3600,315191,0
20171115,22.5300,23.5500,22.0300,23.4900,633563,0
20171116,23.9000,23.9988,23.4000,23.9400,327256,0
20171117,23.9400,24.3300,23.7508,24.1600,329609,0
20171120,24.2800,24.9500,24.0900,24.7600,307984,0
20171121,24.8900,25.5900,24.2800,24.5000,376697,0
20171122,24.0100,24.3000,23.6801,23.9400,295200,0
20171124,23.8600,24.9300,23.8600,24.9000,76027,0
20171127,24.5000,25.0900,22.5900,22.6500,353020,0
20171128,23.3800,23.9855,22.8700,23.8700,274453,0
20171129,23.9900,24.3400,21.3521,22.1400,396734,0
20171130,22.1800,23.1500,21.8450,22.3900,299518,0
20171201,21.3800,24.6300,21.3800,23.4600,532588,0
20171204,23.4800,23.9436,21.6000,21.9000,327824,0
20171205,21.6800,22.9399,21.2000,21.5600,435673,0
20171206,21.2100,21.7000,20.5010,21.0200,234733,0
20171207,20.9500,22.7000,20.5000,22.2000,293398,0
20171208,22.3200,22.4700,21.3850,21.6000,140153,0
20171211,21.6800,23.1100,21.6800,23.0800,145367,0
20171212,22.9700,23.5850,22.1300,22.3200,272348,0
20171213,22.3500,22.9800,21.3900,21.4400,196555,0
20171214,21.4300,21.8200,21.0000,21.0000,176687,0
20171215,21.0000,21.4900,20.6100,21.2600,526411,0
20171218,21.3600,23.5650,21.0357,22.6300,428167,0
20171219,22.4500,22.8500,21.1300,22.5900,180919,0
20171220,22.4700,23.4400,22.1900,23.2400,297254,0
20171221,23.4000,24.6400,23.3550,24.3900,296506,0
20171222,24.5100,24.5900,23.0600,23.1300,475809,0
20171226,23.1200,23.3999,22.6300,23.0300,116514,0
20171227,23.1000,23.6800,22.7200,23.6100,82644,0
20171228,23.6400,24.3300,23.1848,24.3100,208524,0
20171229,24.4300,24.4500,23.6650,23.9200,123101,0
20180102,24.1400,24.4577,23.7700,24.2700,287176,0
20180103,24.5000,25.5250,24.5000,25.0500,484107,0
20180104,25.3000,25.5401,24.6500,24.9200,177816,0
20180105,25.0600,25.3500,24.8400,25.0000,98422,0
20180108,25.1200,25.4950,24.5200,25.4100,158243,0
20180109,25.4300,26.6999,25.3300,26.6000,289871,0
20180110,26.6100,28.0000,26.3200,27.9900,208030,0
20180111,28.3000,28.9000,26.1400,26.4500,330827,0
20180112,26.4300,26.7690,25.1700,25.8800,193530,0
20180116,25.8700,26.0800,25.2600,25.5800,193166,0
20180117,25.7100,25.7100,23.8850,24.8600,265479,0
20180118,24.8800,25.8700,24.4208,25.5100,317446,0
20180119,25.7700,27.0900,25.3000,26.7500,220724,0
20180122,27.1500,27.4900,25.2701,25.6800,245000,0
20180123,25.7900,26.3300,24.8700,25.9100,160358,0
20180124,25.9600,26.3300,25.3300,25.4700,73488,0
20180125,25.5800,25.5800,24.7500,25.0100,84630,0
20180126,25.0500,26.2800,24.5001,26.2700,221970,0
20180129,26.2700,26.5000,25.1800,25.2200,86941,0
20180130,25.0000,26.3100,24.9000,26.2600,211383,0
20180131,26.5700,27.0000,26.1250,26.6000,446402,0
20180201,26.5000,27.5200,26.4000,27.4900,319146,0
20180202,27.2900,28.2550,26.7510,26.9500,286220,0
20180205,26.9500,27.6200,26.2600,26.8000,212088,0
20180206,26.4200,28.0000,26.2000,26.4200,450330,0
20180207,26.5000,26.7800,26.3200,26.5200,169649,0
20180208,26.4700,27.4700,25.0600,25.2900,276350,0
