DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,16.4844,16.5000,14.7656,15.3906,1048000,0
20010103,15.0000,17.0313,12.5000,17.0313,2540400,0
20010104,16.7500,17.1719,14.1250,14.9063,1147600,0
20010105,14.9688,15.4844,11.7344,12.6875,1802800,0
20010108,12.5469,12.5547,10.6875,10.9219,1497200,0
20010109,11.3438,12.0313,10.8594,11.7500,1036400,0
20010110,11.7969,12.9063,11.6094,12.4297,1996800,0
20010111,12.6250,13.2500,12.2031,12.6563,1302400,0
20010112,12.2813,13.9844,12.0781,13.6875,1173600,0
20010115,13.6875,13.6875,13.6875,13.6875,0,0
20010116,13.5703,15.3750,13.3281,15.3750,976800,0
20010117,15.1563,15.1719,13.0938,13.6875,1112800,0
20010118,14.0000,14.5156,11.4688,14.2344,983200,0
20010119,14.5156,14.5156,13.3125,14.0000,2325200,0
20010122,13.3359,14.7188,13.2656,14.2813,1579600,0
20010123,16.7500,18.0000,15.4688,17.8438,15866400,0
20010124,17.0938,18.2188,16.8906,17.9375,3672000,0
20010125,18.4375,19.2188,18.2500,18.4688,2913200,0
20010126,18.1563,19.7188,17.8750,18.6875,3178000,0
20010129,17.6094,18.0469,16.8594,17.2500,5272000,0
20010130,17.5938,17.5938,14.9375,15.0000,5714400,0
20010131,15.1875,15.3594,12.0625,13.0781,14418400,0
20010201,13.0000,13.6094,12.2344,12.5000,3933200,0
20010202,12.3438,12.3438,9.3438,9.4688,14869200,0
20010205,9.9531,10.0000,8.3750,9.8750,11146400,0
20010206,9.7813,10.1875,9.3594,9.8750,4434000,0
20010207,9.5938,10.9375,9.5156,9.8750,5281200,0
20010208,9.9063,10.4063,9.3750,9.4063,1241600,0
20010209,9.2813,9.5313,8.5938,8.8438,1604800,0
20010212,8.8750,9.9844,8.8594,9.6875,2880800,0
20010213,9.5938,9.9063,8.8750,9.2031,1064400,0
20010214,8.6875,9.0000,8.3672,8.9375,1385600,0
20010215,9.1875,9.3281,8.8281,9.0938,680800,0
20010216,8.6250,8.7500,8.3750,8.4844,1154000,0
20010219,8.4844,8.4844,8.4844,8.4844,0,0
20010220,8.5625,8.6875,7.5313,7.9688,2092800,0
20010221,7.9844,8.2813,7.5938,7.9688,2025600,0
20010222,7.5000,7.7344,7.2500,7.4688,2981200,0
20010223,7.1250,7.5781,7.0156,7.5156,1278400,0
20010226,7.7500,8.3750,7.4375,8.1875,3273600,0
20010227,8.2188,8.2813,7.5000,7.5781,746400,0
20010228,7.8281,7.8281,6.9375,7.3438,907200,0
20010301,7.3438,7.5000,6.6563,7.4219,552800,0
20010302,7.3438,7.3594,6.7813,6.8750,586400,0
20010305,7.0313,7.1563,6.3281,6.4766,774400,0
20010306,6.6563,6.7344,6.3281,6.4531,698800,0
20010307,6.4375,6.5938,5.9375,6.0938,734800,0
20010308,6.8125,6.8125,5.7813,6.0000,1118400,0
20010309,5.3594,5.9375,5.3438,5.6094,1819200,0
20010312,5.2500,5.3750,5.0313,5.1875,732000,0
20010313,5.1563,5.2188,4.6406,5.0781,2216400,0
20010314,4.2969,5.3125,4.2969,5.0000,1156400,0
20010315,5.1875,5.4375,4.9375,5.1250,1297600,0
20010316,5.1172,5.2500,4.8750,5.0156,1522800,0
20010319,5.1719,5.8125,4.7656,5.6875,2470800,0
20010320,5.8672,5.8750,4.7500,4.9688,1308800,0
20010321,5.0938,5.2813,4.7500,5.0469,1114800,0
20010322,4.9141,6.4063,4.5313,6.1875,1841600,0
20010323,5.9375,6.8594,5.8281,6.7969,1981200,0
20010326,6.8438,7.3438,6.2656,6.3438,1207200,0
20010327,6.7200,6.7200,6.0000,6.2025,996400,0
20010328,5.9075,6.0625,5.2500,5.4700,1339600,0
20010329,5.4375,5.9075,5.2825,5.3275,1197600,0
20010330,5.6800,5.8600,5.0775,5.7025,927600,0
20010402,5.4225,5.4225,4.8900,5.2500,685200,0
20010403,5.1800,5.4600,4.4375,4.7500,1595200,0
20010404,4.7975,5.1575,4.5950,4.8275,734800,0
20010405,5.2350,5.4375,4.8900,5.3125,820400,0
20010406,5.0700,5.5625,4.7650,5.4850,1125600,0
20010409,5.5925,6.2250,5.5250,5.9100,2107200,0
20010410,6.1725,6.3475,6.0825,6.2750,4201200,0
20010411,6.3750,6.4425,5.6250,6.0600,1276400,0
20010412,6.0875,6.2325,5.9075,6.0475,1884400,0
20010416,5.7250,6.1875,5.7125,5.9875,1821200,0
20010417,5.9975,6.0000,5.7750,5.8900,2952800,0
20010418,5.8750,6.6700,5.8750,6.3200,4540000,0
20010419,6.3125,6.4650,6.1425,6.2500,1864400,0
20010420,6.3600,6.3600,5.3750,5.4375,2461200,0
20010423,5.5050,5.5225,5.2625,5.4975,630800,0
20010424,5.4075,5.5550,5.0150,5.1625,3078000,0
20010425,5.1850,5.4250,4.9150,5.0250,1688400,0
20010426,4.9800,5.4075,4.9800,5.1000,2060000,0
20010427,5.3650,5.5850,5.3350,5.3925,786400,0
20010430,5.5975,5.9875,5.4750,5.8325,2252800,0
20010501,5.8650,5.8975,5.7175,5.7750,556800,0
20010502,5.8225,5.8900,5.3750,5.7775,884800,0
20010503,5.6875,5.7675,5.3750,5.7150,802800,0
20010504,5.5400,5.8625,5.5400,5.7450,660000,0
20010507,5.8100,6.2325,5.7500,5.8500,1989600,0
20010508,5.8200,6.0000,5.5050,5.7325,382400,0
20010509,5.5625,6.1000,5.5125,5.5800,432000,0
20010510,5.7675,6.0250,5.7125,5.8500,547600,0
20010511,5.9350,6.0875,5.7850,5.7850,455200,0
20010514,5.6375,6.0775,5.3775,5.5150,584000,0
20010515,5.5475,6.0250,5.4375,5.5000,443600,0
20010516,5.4975,5.8625,5.4125,5.7200,356000,0
20010517,5.7200,6.0625,5.7175,6.0125,792800,0
20010518,6.0750,6.0750,5.7550,6.0000,626400,0
20010521,6.0100,7.1900,6.0000,7.1250,2593200,0
20010522,7.4825,7.4975,6.7050,6.7475,1578000,0
20010523,6.8725,6.8725,6.2875,6.3350,1012400,0
20010524,6.3400,6.8150,6.3375,6.5125,1520400,0
20010525,6.5500,6.6500,6.3275,6.5050,1010000,0
20010528,6.5050,6.5050,6.5050,6.5050,0,0
20010529,6.4500,6.5775,6.3700,6.4775,704000,0
20010530,6.2750,6.5750,6.2000,6.3650,2087200,0
20010531,6.2650,6.6150,6.2650,6.5000,961600,0
20010601,6.5250,6.6625,6.1650,6.5600,859600,0
20010604,6.5675,6.7375,6.4625,6.5100,668800,0
20010605,6.5350,6.8175,6.5000,6.7600,1516000,0
20010606,6.7625,7.0250,6.6375,6.9725,1207200,0
20010607,6.4750,6.5750,5.9750,6.0300,3554800,0
20010608,6.0300,6.0300,5.3250,5.6300,1810000,0
20010611,5.6000,5.6450,5.2350,5.2650,1056800,0
20010612,5.0000,5.5625,5.0000,5.4125,726800,0
20010613,5.5575,5.6325,5.4475,5.5750,965600,0
20010614,5.5750,5.5750,5.1500,5.2500,1418400,0
20010615,5.4600,5.4600,5.0000,5.2525,1156000,0
20010618,5.2375,5.2750,5.1000,5.1475,990400,0
20010619,5.1675,5.3250,5.0000,5.0150,1799600,0
20010620,5.0675,5.4350,4.9750,5.4025,743200,0
20010621,5.3325,5.6250,5.2150,5.4650,354400,0
20010622,5.5850,5.5850,5.2250,5.3125,496000,0
20010625,5.3375,5.4100,5.2875,5.3575,384800,0
20010626,5.2750,5.7375,5.2500,5.6025,771600,0
20010627,5.6650,5.6650,5.4775,5.5325,444400,0
20010628,5.5750,5.7625,5.5750,5.7000,2402400,0
20010629,5.7500,5.9250,5.6950,5.8450,1102000,0
20010702,5.7800,6.1250,5.7500,6.0725,1516000,0
20010703,5.7250,6.0875,5.6875,6.0250,252400,0
20010704,6.0250,6.0250,6.0250,6.0250,0,0
20010705,5.8525,6.0575,5.7250,5.9875,414400,0
20010706,5.8125,5.9725,5.4525,5.5375,1437200,0
20010709,5.5525,5.9750,5.5450,5.8875,549200,0
20010710,5.8750,5.9050,5.5000,5.5100,1078800,0
20010711,5.5250,5.5250,5.3125,5.3875,838400,0
20010712,5.3650,5.5500,5.2500,5.3250,858000,0
20010713,5.3750,5.3975,5.1950,5.3000,1658800,0
20010716,5.3000,5.3250,5.0000,5.0025,425600,0
20010717,5.0275,5.2625,4.9775,5.1950,298800,0
20010718,5.0625,5.2225,5.0025,5.0625,527600,0
20010719,5.2125,5.2500,4.8250,5.0275,568000,0
20010720,4.9250,5.0300,4.7750,5.0125,902800,0
20010723,4.9025,5.1250,4.9025,5.0500,736400,0
20010724,4.8775,4.9000,4.6700,4.7000,674800,0
20010725,4.6525,5.1025,4.6525,5.1025,560400,0
20010726,4.8000,5.0625,4.7975,4.9975,360800,0
20010727,5.0725,5.0750,4.9750,5.0150,417600,0
20010730,4.7800,4.8600,4.7325,4.8125,268400,0
20010731,4.8025,4.8025,4.6725,4.6950,690800,0
20010801,4.8575,4.9625,4.5125,4.9625,438800,0
20010802,4.9075,5.0125,4.8225,4.8675,360400,0
20010803,4.9725,4.9750,4.7325,4.7325,272800,0
20010806,4.7325,4.8975,4.7325,4.7575,94400,0
20010807,4.8400,4.8400,4.5000,4.5125,328800,0
20010808,4.6850,4.6850,4.4050,4.4575,382400,0
20010809,4.4025,4.5750,4.1925,4.3625,1228800,0
20010810,4.3750,4.5000,4.1850,4.1850,1589200,0
20010813,4.1975,4.2500,3.8300,4.0725,1990800,0
20010814,4.1800,4.1800,4.0025,4.1425,231600,0
20010815,4.0700,4.1650,4.0050,4.0275,231200,0
20010816,4.0125,4.0500,3.8650,4.0250,224800,0
20010817,3.8750,4.1750,3.8500,4.1750,450800,0
20010820,4.1100,4.2200,4.1100,4.1275,512800,0
20010821,4.1725,4.3225,3.8125,4.1975,375200,0
20010822,4.1600,4.3425,4.0850,4.3375,752400,0
20010823,4.3150,4.5050,4.2700,4.4675,474800,0
20010824,4.5500,4.8625,4.3900,4.8500,1772400,0
20010827,4.8475,4.8825,4.4675,4.7375,1191200,0
20010828,4.7275,4.7975,4.5025,4.6250,1143200,0
20010829,4.6350,4.7700,4.6125,4.7500,376000,0
20010830,4.6750,4.7775,4.6500,4.7500,722400,0
20010831,4.8225,4.8250,4.6525,4.7125,450400,0
20010903,4.7125,4.7125,4.7125,4.7125,0,0
20010904,4.6675,4.8050,4.5650,4.6575,317200,0
20010905,4.6525,4.8875,4.6400,4.7625,486000,0
20010906,4.7325,4.8750,4.5425,4.6900,794000,0
20010907,4.8025,4.8025,4.4525,4.4800,557200,0
20010910,4.4400,4.5650,4.3775,4.4800,236400,0
20010911,4.4800,4.4800,4.4800,4.4800,0,0
20010917,4.5000,4.5625,4.1625,4.4400,336400,0
20010918,4.3525,4.5000,4.2500,4.2650,574000,0
20010919,4.2575,4.2575,3.9500,3.9875,789200,0
20010920,3.9000,4.0825,3.8950,4.0575,368400,0
20010921,3.8500,3.9975,3.7525,3.7900,654800,0
20010924,4.0025,4.1225,3.8500,3.9650,489200,0
20010925,3.9525,4.1500,3.7625,3.8125,779600,0
20010926,3.7525,3.9000,3.6950,3.7375,1189200,0
20010927,3.6750,3.9100,3.5025,3.9000,3176000,0
20010928,3.9337,4.2800,3.9337,4.2550,1232800,0
20011001,4.2725,4.2725,3.9225,4.0800,208000,0
20011002,4.1850,4.2275,3.8750,4.0025,549600,0
20011003,3.8275,4.1875,3.8275,4.1675,1192400,0
20011004,4.2500,4.2500,3.9225,4.0750,367600,0
20011005,4.1525,4.1725,3.8250,3.9172,316000,0
20011008,3.8125,4.0575,3.8125,4.0350,302400,0
20011009,4.0000,4.0375,3.8125,3.8775,331200,0
20011010,4.0575,4.2075,3.8775,4.1825,335200,0
20011011,4.1250,4.2700,4.1250,4.2425,1181200,0
20011012,4.2725,4.5375,4.1750,4.3125,698400,0
20011015,4.2725,4.6100,4.2725,4.5125,487200,0
20011016,4.7275,4.7475,4.5875,4.6725,1170000,0
20011017,4.6925,4.7050,4.3275,4.3300,334000,0
20011018,4.4875,4.4875,4.1925,4.2700,244800,0
20011019,4.2625,4.5300,4.2625,4.5250,375200,0
20011022,4.5725,4.6750,4.2650,4.6050,476400,0
20011023,4.6225,4.6225,4.4200,4.4575,112400,0
20011024,4.4150,4.5625,4.4150,4.4425,174000,0
20011025,4.4375,4.6325,4.3825,4.6225,288400,0
20011026,4.6750,4.6750,4.3650,4.5325,541200,0
20011029,4.5275,4.5500,4.2025,4.2150,1054000,0
20011030,4.2525,4.4225,3.9125,4.1350,1570800,0
20011031,4.1650,4.3400,4.1650,4.3025,594800,0
20011101,4.3475,4.5400,4.2500,4.4125,965600,0
20011102,4.3875,4.3875,4.1850,4.3150,222800,0
20011105,4.3375,4.5000,4.3375,4.4275,187200,0
20011106,4.4600,4.5625,4.3250,4.5600,576400,0
20011107,4.4400,4.5000,4.2500,4.3975,336000,0
20011108,4.4600,4.7725,4.3950,4.4725,611200,0
20011109,4.6125,4.8750,4.6125,4.7125,919600,0
20011112,4.6750,5.2450,4.5150,5.0750,1652800,0
20011113,5.1700,5.4250,5.0550,5.4250,3133600,0
20011114,5.4350,5.4700,5.1225,5.2375,3498000,0
20011115,5.2275,5.3775,5.2000,5.2000,1431600,0
20011116,5.2375,5.2875,5.1125,5.1400,519600,0
20011119,5.1500,5.4000,5.1250,5.3425,506800,0
20011120,5.2750,5.3125,5.1750,5.1750,416000,0
20011121,5.1500,5.3025,5.1250,5.1950,268400,0
20011122,5.1950,5.1950,5.1950,5.1950,0,0
20011123,5.1850,5.3925,5.1850,5.3500,99200,0
20011126,5.2875,5.8750,5.2875,5.8175,1024800,0
20011127,5.7850,5.7975,5.5700,5.6250,902400,0
20011128,5.6600,5.6625,5.2875,5.3600,778000,0
20011129,5.3500,5.4775,5.2500,5.4000,324800,0
20011130,5.4025,5.4625,5.2500,5.3325,812400,0
20011203,5.3400,5.3600,5.0750,5.3475,583200,0
20011204,5.2900,5.5125,5.2500,5.4350,993600,0
20011205,5.4000,6.0250,5.4000,5.7750,1333200,0
20011206,5.7875,6.0750,5.7875,5.8900,1140800,0
