DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,19.3750,20.4375,19.0000,19.7500,37747800,0
20010103,19.5313,24.9062,19.0625,24.8125,66932200,0
20010104,23.9375,25.0625,21.9687,22.1875,95978600,0
20010105,22.4375,23.0000,21.2188,21.3438,44219400,0
20010108,21.2188,22.9375,21.0000,22.8750,47249600,0
20010109,23.2500,23.3125,21.3438,21.7500,42804800,0
20010110,21.1562,22.5625,20.8750,22.3750,57869400,0
20010111,22.1875,23.5000,21.5625,23.1875,73034600,0
20010112,23.0938,23.9375,22.3750,23.1875,59394400,0
20010115,23.1875,23.1875,23.1875,23.1875,0,0
20010116,22.9062,22.9375,21.5625,22.2188,40427600,0
20010117,24.4687,24.6562,23.6250,24.0938,75016200,0
20010118,24.0000,25.1250,23.4687,25.0313,58620200,0
20010119,25.4062,25.6250,24.4687,24.9687,48957000,0
20010122,24.8594,24.8750,24.1250,24.4687,32670800,0
20010123,24.1875,24.9062,23.6250,24.1250,33730200,0
20010124,24.3438,25.0000,23.6250,24.8125,43920600,0
20010125,24.5156,24.8438,24.1250,24.3750,34605600,0
20010126,23.6250,24.1875,23.5313,23.9375,40592800,0
20010129,23.8438,25.3750,23.7188,25.0938,22413200,0
20010130,25.3125,26.9687,25.2500,26.2188,48964600,0
20010131,25.5000,26.4062,25.1250,25.1562,67357000,0
20010201,25.1875,25.5625,24.8750,25.2813,25899600,0
20010202,25.5000,25.7813,23.8125,23.8750,24105400,0
20010205,23.3438,23.3750,21.9375,22.9062,35255400,0
20010206,22.5938,23.5625,22.4062,22.9375,25559200,0
20010207,22.8125,23.2188,21.5000,22.3750,33888200,0
20010208,21.8750,22.9062,21.0000,21.1875,37491800,0
20010209,21.2188,22.5313,21.0625,21.3125,32322600,0
20010212,21.4062,22.5000,21.0938,22.0000,28380200,0
20010213,22.2500,22.4687,20.5000,20.6250,40935200,0
20010214,21.5625,23.8438,21.3438,23.4062,95276600,0
20010215,23.8750,25.3125,23.7500,24.7188,55210800,0
20010216,23.8438,24.3281,23.2188,24.1094,43697800,0
20010219,24.1094,24.1094,24.1094,24.1094,0,0
20010220,24.2500,24.4687,22.9375,23.0000,30319400,0
20010221,22.2500,24.8125,22.2500,23.3125,43895000,0
20010222,23.4844,24.8438,22.6875,23.4062,54881000,0
20010223,23.5625,24.0000,22.1250,23.9062,43448600,0
20010226,23.7188,24.2188,22.6250,23.9062,40936800,0
20010227,23.9687,24.0625,22.3750,22.5000,33397400,0
20010228,22.3438,22.3750,20.5313,21.1250,53770200,0
20010301,20.1875,22.6875,19.5313,22.6562,59711400,0
20010302,21.8125,24.3125,21.1562,22.6250,57634200,0
20010305,23.4687,24.3750,23.3125,23.7813,31483200,0
20010306,24.6250,25.7500,24.5000,24.9062,49578000,0
20010307,24.9062,25.0000,24.2500,24.9062,32638600,0
20010308,24.9062,25.5156,22.7813,25.1562,39233600,0
20010309,24.4375,24.6875,23.0625,23.3750,38864600,0
20010312,22.5000,24.6250,22.2656,23.1562,62638800,0
20010313,23.6250,24.1875,22.5313,23.9375,58859400,0
20010314,23.0625,24.7344,23.0313,24.0938,65589800,0
20010315,24.7813,24.8750,22.7500,23.0625,51544200,0
20010316,22.3125,23.1250,21.1562,22.1250,49592400,0
20010319,22.1562,23.5625,21.6250,23.3125,33479600,0
20010320,23.5938,23.7500,21.4062,21.4062,48939200,0
20010321,21.8594,23.1875,21.5313,22.4375,55472000,0
20010322,23.0156,24.7813,23.0156,24.7188,71917200,0
20010323,25.7188,26.1250,24.1562,25.1250,75449800,0
20010326,25.4375,25.4375,24.2188,24.6562,37793400,0
20010327,24.2650,25.7200,24.2650,25.4400,61728800,0
20010328,24.8600,25.7500,23.0300,23.8450,64050000,0
20010329,23.5300,24.5650,22.0650,22.7800,68286600,0
20010330,22.2800,22.3450,21.1250,21.7500,54845000,0
20010402,21.5650,21.6550,19.4700,20.0000,68134200,0
20010403,20.0950,20.8300,19.7500,20.0650,71663600,0
20010404,19.8150,20.1550,18.2800,18.5450,77517400,0
20010405,19.9400,21.4400,19.8750,21.1250,60787000,0
20010406,20.5950,21.0000,19.5000,20.0000,57624200,0
20010409,19.9950,20.1000,18.3750,19.4100,53301600,0
20010410,19.5800,22.0000,19.1350,21.3750,60895400,0
20010411,23.7350,24.4200,22.5600,23.0150,76842400,0
20010412,22.6750,24.9550,22.5750,24.7350,55251000,0
20010416,24.0200,24.9500,23.4250,23.9300,50538000,0
20010417,23.4050,24.7350,23.0800,23.7950,54051400,0
