DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,3.69,3.70,3.44,3.67,13514,0
20010103,3.63,3.84,3.63,3.81,9579,0
20010104,3.79,3.85,3.75,3.82,0,0
20010105,3.81,3.81,3.78,3.80,0,0
20010108,3.76,4.00,3.76,3.98,11024,0
20010109,4.01,4.04,3.90,3.91,10538,0
20010110,3.90,4.10,3.90,4.10,6102,0
20010111,4.06,4.06,3.99,4.01,5238,0
20010112,3.96,4.00,3.89,3.98,14148,0
20010115,3.98,3.98,3.98,3.98,0,0
20010116,3.99,3.99,3.83,3.87,0,0
20010117,3.87,4.09,3.86,4.06,0,0
20010118,4.06,4.06,3.90,3.93,0,0
20010119,3.91,4.00,3.89,3.99,4139,0
20010122,3.99,3.99,3.99,3.99,0,0
20010123,3.97,3.97,3.92,3.94,0,0
20010124,3.96,3.97,3.94,3.95,0,0
20010125,3.94,3.94,3.90,3.94,3807,0
20010126,3.94,3.94,3.85,3.92,0,0
20010129,3.94,4.06,3.94,4.06,0,0
20010130,3.94,4.08,3.94,4.05,0,0
20010131,3.92,3.99,3.91,3.95,0,0
20010201,3.95,3.95,3.91,3.94,0,0
20010202,3.97,3.97,3.87,3.89,0,0
20010205,3.90,3.92,3.89,3.91,0,0
20010206,3.92,3.95,3.90,3.91,0,0
20010207,3.91,3.92,3.89,3.92,0,0
20010208,3.92,3.93,3.88,3.90,0,0
20010209,3.90,3.93,3.90,3.91,272700,0
20010212,3.91,4.01,3.91,4.01,0,0
20010213,4.04,4.13,4.04,4.06,267975,0
20010214,4.07,4.15,4.06,4.14,0,0
20010215,4.14,4.20,4.11,4.16,0,0
20010216,4.15,4.15,4.00,4.00,582525,0
20010219,4.00,4.00,4.00,4.00,0,0
20010220,3.89,4.00,3.82,3.96,7030800,0
20010221,3.99,4.07,3.96,4.00,364500,0
20010222,4.01,4.02,3.99,4.01,203175,0
20010223,4.01,4.02,3.96,4.02,201825,0
20010226,4.00,4.14,4.00,4.10,255825,0
20010227,4.13,4.20,4.11,4.12,193725,0
20010228,4.10,4.10,4.04,4.09,443475,0
20010301,4.09,4.09,4.03,4.08,265950,0
20010302,4.07,4.16,4.07,4.13,456300,0
20010305,4.13,4.24,4.12,4.21,284175,0
20010306,4.19,4.23,4.19,4.20,126900,0
20010307,4.19,4.26,4.16,4.16,342900,0
20010308,4.17,4.18,4.14,4.16,198450,0
20010309,4.13,4.15,4.08,4.15,498150,0
20010312,4.13,4.13,4.10,4.10,244350,0
20010313,4.12,4.12,3.91,4.01,329400,0
20010314,3.99,4.06,3.99,4.01,257175,0
20010315,3.98,4.00,3.92,4.00,456300,0
20010316,3.99,3.99,3.75,3.79,538650,0
20010319,3.75,3.89,3.72,3.88,415125,0
20010320,3.88,3.88,3.80,3.80,288900,0
20010321,3.78,3.78,3.67,3.69,218700,0
20010322,3.68,3.72,3.50,3.72,661500,0
20010323,3.75,3.85,3.70,3.85,405000,0
20010326,3.85,4.03,3.85,3.93,552150,0
20010327,3.96,4.00,3.93,3.96,384075,0
20010328,3.96,3.99,3.93,3.97,41868225,0
20010329,3.96,4.01,3.96,4.00,415800,0
20010330,3.99,4.09,3.99,4.09,879525,0
20010402,4.08,4.11,3.99,4.00,450225,0
20010403,4.01,4.01,3.90,3.96,759375,0
20010404,3.97,4.00,3.96,3.98,34188075,0
20010405,4.00,4.06,4.00,4.04,486000,0
20010406,4.04,4.04,3.99,3.99,594000,0
20010409,4.01,4.09,4.00,4.07,459675,0
20010410,4.08,4.11,4.01,4.04,489375,0
20010411,4.05,4.13,4.01,4.04,278775,0
20010412,4.04,4.07,4.01,4.06,343575,0
20010416,4.02,4.02,3.98,3.99,420525,0
20010417,4.01,4.13,4.00,4.13,312525,0
20010418,4.12,4.16,4.10,4.13,554175,0
20010419,4.14,4.22,4.13,4.22,7049700,0
20010420,4.19,4.20,3.99,4.00,1297350,0
20010423,4.00,4.02,3.98,4.01,494775,0
20010424,4.01,4.03,4.00,4.00,303750,0
20010425,4.01,4.07,4.00,4.03,888975,0
20010426,4.03,4.07,4.03,4.06,839700,0
20010427,4.09,4.09,4.02,4.07,308475,0
20010430,4.08,4.16,4.07,4.09,909900,0
20010501,4.07,4.13,4.01,4.10,467775,0
20010502,4.07,4.09,4.01,4.01,322650,0
20010503,4.01,4.03,4.00,4.01,199800,0
20010504,4.00,4.15,3.99,4.15,578475,0
20010507,4.13,4.16,4.09,4.09,237600,0
20010508,4.09,4.10,3.98,4.01,8014275,0
20010509,4.00,4.04,3.96,3.96,637875,0
20010510,3.96,3.96,3.81,3.84,579825,0
20010511,3.82,3.83,3.76,3.83,735075,0
20010514,3.83,3.83,3.80,3.81,328725,0
20010515,3.84,3.84,3.79,3.81,254475,0
20010516,3.81,3.85,3.79,3.82,342900,0
20010517,3.81,3.93,3.81,3.89,34483050,0
20010518,3.89,3.89,3.82,3.82,7373700,0
20010521,3.83,3.87,3.81,3.87,1146825,0
20010522,3.87,3.92,3.87,3.90,621675,0
20010523,3.88,3.98,3.81,3.97,647325,0
20010524,3.98,3.98,3.79,3.82,7439850,0
20010525,3.84,3.85,3.83,3.85,557550,0
20010528,3.85,3.85,3.85,3.85,0,0
20010529,3.85,3.92,3.84,3.90,729675,0
20010530,3.90,3.99,3.90,3.90,8118900,0
20010531,3.93,4.00,3.93,3.95,7232625,0
20010601,3.95,4.00,3.93,3.97,579825,0
20010604,3.94,4.05,3.91,4.00,799200,0
20010605,3.99,4.14,3.99,4.11,583200,0
20010606,4.11,4.16,4.07,4.14,942300,0
20010607,4.13,4.23,4.12,4.21,365850,0
20010608,4.21,4.37,4.21,4.31,1074600,0
20010611,4.31,4.51,4.21,4.45,8708850,0
20010612,4.44,4.44,4.36,4.43,772200,0
20010613,4.42,4.53,4.42,4.45,14158800,0
20010614,4.45,4.46,4.41,4.43,494100,0
20010615,4.41,4.51,4.41,4.48,616950,0
20010618,4.47,4.56,4.43,4.43,650025,0
20010619,4.47,4.48,4.38,4.40,602100,0
20010620,4.39,4.47,4.36,4.47,480600,0
20010621,4.47,4.48,4.44,4.45,452250,0
20010622,4.45,4.47,4.40,4.44,710775,0
20010625,4.43,4.47,4.40,4.45,548775,0
20010626,4.44,4.61,4.44,4.55,518400,0
20010627,4.55,4.55,4.44,4.44,1131300,0
20010628,4.44,4.44,4.23,4.37,752625,0
20010629,4.37,4.53,4.37,4.52,456300,0
20010702,4.54,4.54,4.47,4.48,440775,0
20010703,4.48,4.56,4.47,4.55,471825,0
20010704,4.55,4.55,4.55,4.55,0,0
20010705,4.55,4.59,4.52,4.56,327375,0
20010706,4.53,4.53,4.40,4.41,394875,0
20010709,4.43,4.44,4.41,4.44,388800,0
20010710,4.44,4.55,4.44,4.52,622350,0
20010711,4.52,4.52,4.41,4.47,748575,0
20010712,4.49,4.61,4.47,4.56,506925,0
20010713,4.56,4.56,4.50,4.53,618975,0
20010716,4.53,4.53,4.44,4.48,378675,0
20010717,4.49,4.59,4.49,4.59,258525,0
20010718,4.56,4.63,4.51,4.56,250425,0
20010719,4.57,4.61,4.49,4.52,7432425,0
20010720,4.51,4.51,4.48,4.48,404325,0
20010723,4.49,4.49,4.42,4.47,388800,0
20010724,4.45,4.47,4.34,4.37,465750,0
20010725,4.39,4.49,4.39,4.49,386100,0
20010726,4.50,4.55,4.50,4.52,15065325,0
20010727,4.56,4.62,4.55,4.60,7152975,0
20010730,4.59,4.70,4.57,4.67,1001700,0
20010731,4.67,4.67,4.62,4.63,411075,0
20010801,4.64,4.67,4.62,4.66,742500,0
20010802,4.66,4.68,4.61,4.63,316575,0
20010803,4.64,4.72,4.63,4.72,213300,0
20010806,4.72,4.72,4.63,4.67,897075,0
20010807,4.67,4.81,4.66,4.79,521775,0
20010808,4.80,4.81,4.73,4.78,570375,0
20010809,4.76,4.80,4.70,4.75,381375,0
20010810,4.75,5.01,4.74,4.96,407025,0
20010813,4.96,4.99,4.75,4.76,897750,0
20010814,4.79,5.00,4.79,4.97,461700,0
20010815,4.97,4.99,4.90,4.93,592650,0
20010816,4.92,5.04,4.89,5.04,13964400,0
20010817,5.04,5.04,4.90,4.93,362475,0
20010820,4.93,4.96,4.83,4.93,423900,0
20010821,4.95,4.95,4.89,4.90,386775,0
20010822,4.91,4.91,4.73,4.91,351675,0
20010823,4.88,4.88,4.68,4.81,1023975,0
20010824,4.80,4.80,4.61,4.67,8274150,0
20010827,4.64,4.75,4.54,4.67,1277100,0
20010828,4.65,4.71,4.63,4.68,336825,0
20010829,4.64,4.64,4.50,4.54,1698300,0
20010830,4.50,4.54,4.47,4.53,685800,0
20010831,4.53,4.53,4.40,4.52,14656950,0
20010903,4.52,4.52,4.52,4.52,0,0
20010904,4.49,4.54,4.41,4.43,364500,0
20010905,4.43,4.43,4.31,4.39,534600,0
20010906,4.40,4.50,4.27,4.38,1522125,0
20010907,4.38,4.42,4.24,4.39,1250775,0
20010910,4.39,4.53,4.38,4.41,1592325,0
20010911,4.41,4.41,4.41,4.41,0,0
20010917,4.32,4.32,4.06,4.20,783000,0
20010918,4.19,4.27,4.06,4.07,1993950,0
