DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20051003,35.30,35.90,34.17,34.70,10007600,0
20051004,34.00,34.30,33.25,33.90,8040300,0
20051005,34.00,34.10,33.32,33.65,6304400,0
20051006,33.40,33.65,33.21,33.37,7552200,0
20051007,33.28,33.60,33.13,33.60,7055200,0
20051010,33.60,33.60,33.00,33.03,3400800,0
20051011,33.04,33.39,32.98,33.00,3675400,0
20051012,32.90,33.30,32.72,32.77,4134600,0
20051013,32.53,32.70,32.48,32.55,3184100,0
20051014,32.55,32.55,32.55,32.55,0,0
20051017,32.34,32.77,32.00,32.48,1910400,0
20051018,32.30,32.55,32.15,32.43,1737900,0
20051019,32.28,33.16,32.21,33.16,1784400,0
20051020,33.16,34.06,33.10,33.58,2789600,0
20051021,33.78,34.50,33.63,34.00,2881800,0
20051024,35.25,36.48,34.93,36.29,4033400,0
20051025,35.34,37.47,35.28,37.18,2915400,0
20051026,36.85,37.72,36.70,37.00,2208000,0
20051027,36.95,37.00,35.80,36.28,2033000,0
20051028,36.50,37.20,36.21,37.10,1430200,0
20051031,37.17,37.60,36.96,37.22,1219600,0
20051101,36.90,36.96,36.46,36.56,1575200,0
20051102,36.22,36.90,36.18,36.80,1502100,0
20051103,36.72,37.62,36.72,37.42,1887900,0
20051104,37.33,37.42,37.02,37.17,1731900,0
20051107,37.10,37.17,36.82,37.02,1658700,0
20051108,36.65,37.20,36.65,36.96,2119200,0
20051109,36.96,38.18,36.90,37.88,2203900,0
20051110,37.75,39.30,37.75,38.92,2513200,0
20051111,38.50,38.96,38.47,38.91,1229800,0
20051114,38.80,39.40,38.51,39.34,1160000,0
20051115,39.00,39.40,38.47,39.21,1793000,0
20051116,39.35,40.00,39.09,39.83,2568800,0
20051117,40.10,41.18,39.78,40.00,2628100,0
20051118,40.45,40.87,39.64,39.92,1556000,0
20051121,40.17,42.00,40.17,41.58,2906900,0
20051122,41.40,42.39,41.29,42.15,2368700,0
20051123,42.20,43.76,42.20,43.47,2149100,0
20051125,44.10,44.25,42.95,43.45,468300,0
20051128,43.40,44.20,43.10,43.90,2377400,0
20051129,43.75,43.99,41.73,42.55,2962200,0
20051130,42.90,43.25,41.30,42.05,2761100,0
20051201,41.95,43.88,41.89,43.31,1833000,0
20051202,43.25,43.74,42.60,43.23,1057900,0
20051205,43.22,43.70,42.91,43.52,1042900,0
20051206,43.70,43.84,43.48,43.61,1154900,0
20051207,43.59,44.78,43.22,43.36,2063900,0
20051208,43.65,44.05,43.31,43.65,1227800,0
20051209,43.64,44.02,43.36,43.76,515400,0
20051212,43.75,43.76,42.88,43.13,1504900,0
20051213,42.90,43.37,42.51,42.83,1321300,0
20051214,42.83,43.03,41.52,41.53,1701600,0
20051215,41.43,41.90,41.09,41.19,1220600,0
20051216,41.44,42.41,41.41,42.26,1305600,0
20051219,42.31,42.63,41.12,41.31,676200,0
20051220,41.25,42.40,41.00,41.57,1121000,0
20051221,41.57,42.60,40.97,41.55,1313300,0
20051222,41.57,42.39,41.20,41.93,808300,0
20051223,39.42,42.56,39.42,41.93,576000,0
20051227,41.90,42.08,40.80,40.90,941900,0
20051228,40.90,41.33,40.80,41.05,863300,0
20051229,41.15,41.17,40.58,40.84,718300,0
20051230,40.51,41.08,40.46,41.00,511700,0
20060103,41.30,42.20,40.90,42.10,1351600,0
20060104,43.00,44.39,42.88,43.42,3492100,0
20060105,43.54,44.50,43.17,43.93,1777200,0
20060106,43.94,44.20,43.38,43.60,2265200,0
20060109,43.60,45.10,43.60,45.09,1310800,0
20060110,44.80,44.87,44.46,44.66,1254200,0
20060111,44.73,44.78,43.96,44.20,915500,0
20060112,44.21,44.58,43.95,44.16,1161500,0
20060113,44.10,44.25,43.71,43.88,907200,0
20060117,43.65,43.90,42.97,43.53,684400,0
20060118,43.30,43.90,42.27,42.32,976600,0
20060119,42.45,42.91,42.03,42.60,949100,0
20060120,42.50,42.55,41.88,42.20,1223600,0
20060123,42.44,43.90,42.42,43.50,1574200,0
20060124,42.10,43.70,41.69,43.48,2090500,0
20060125,43.49,43.49,42.94,43.21,1058600,0
20060126,43.95,44.30,43.01,43.30,1300600,0
20060127,42.88,43.69,41.76,42.40,2305000,0
20060130,42.40,42.45,41.50,41.55,1937300,0
20060131,41.40,41.45,40.51,40.69,2449400,0
20060201,40.74,43.12,40.30,41.25,1414900,0
20060202,41.30,42.69,41.30,42.51,1530900,0
20060203,42.15,43.05,41.57,42.60,2156700,0
20060206,42.60,43.45,42.39,43.33,1148500,0
20060207,43.18,43.80,43.07,43.55,773500,0
20060208,43.40,43.95,43.40,43.81,923500,0
20060209,43.95,44.24,43.73,43.92,514700,0
20060210,43.70,43.94,43.28,43.57,659700,0
20060213,43.58,43.59,42.86,42.88,712100,0
20060214,42.82,44.11,42.53,43.94,1260200,0
20060215,43.60,43.61,42.76,43.27,1072400,0
20060216,43.29,43.48,42.77,43.43,720500,0
20060217,43.41,44.26,43.41,44.02,758500,0
20060221,43.14,44.35,43.14,43.92,436000,0
20060222,44.08,45.65,44.08,45.46,1485900,0
20060223,44.58,47.25,44.58,46.42,1164800,0
20060224,45.55,46.48,45.55,46.26,869000,0
20060227,46.20,46.96,45.87,46.80,938400,0
20060228,45.92,47.16,45.36,45.48,1065900,0
20060301,45.59,46.19,45.53,45.89,525800,0
20060302,45.77,45.80,44.50,44.57,1151800,0
20060303,44.32,44.79,43.67,44.00,1331500,0
20060306,43.90,43.94,42.65,42.77,916100,0
20060307,42.73,43.77,42.68,43.65,1619600,0
20060308,43.65,43.95,43.19,43.34,1085300,0
20060309,43.44,43.86,43.05,43.33,867200,0
20060310,43.25,43.37,42.86,43.30,911500,0
20060313,43.30,43.30,43.30,43.30,0,0
20060314,43.75,45.13,43.75,45.03,1289200,0
20060315,44.84,45.55,44.76,45.39,671400,0
20060316,45.60,46.13,45.56,46.05,844200,0
20060317,46.31,46.59,45.78,45.90,1275700,0
20060320,46.06,46.15,45.22,45.35,981900,0
20060321,45.30,45.52,43.88,43.92,1028500,0
20060322,43.87,44.34,43.87,44.25,1277300,0
20060323,44.25,44.53,43.79,44.05,721300,0
20060324,44.25,44.43,43.88,44.25,953200,0
20060327,44.42,44.62,44.20,44.46,837100,0
20060328,44.47,44.47,43.10,43.13,4579900,0
20060329,43.20,43.38,42.80,42.91,1331900,0
20060330,42.91,44.98,42.91,44.80,2895500,0
20060331,45.00,45.56,44.75,45.06,1603400,0
20060403,45.50,45.70,44.61,44.66,1010700,0
20060404,44.60,45.04,44.50,45.00,686400,0
20060405,45.10,45.52,44.90,45.10,715700,0
20060406,45.10,45.15,44.51,44.93,1162400,0
20060407,44.97,45.34,44.11,44.20,949900,0
20060410,44.25,45.61,44.20,45.38,1271800,0
20060411,45.47,45.74,45.20,45.30,1102900,0
20060412,45.37,45.90,45.23,45.55,944500,0
20060413,45.56,45.90,45.40,45.48,559100,0
20060417,45.60,45.99,45.13,45.33,520900,0
20060418,45.36,46.89,45.21,46.80,985100,0
20060419,46.98,48.43,46.92,47.65,1413300,0
20060420,47.57,47.73,47.18,47.25,1062400,0
20060421,47.32,47.55,46.87,47.12,712600,0
20060424,46.85,47.45,46.83,46.91,757600,0
20060425,46.94,47.75,46.75,47.22,724700,0
20060426,47.75,49.20,47.34,48.75,1263600,0
20060427,48.66,50.08,47.99,50.00,862100,0
20060428,49.95,49.95,49.00,49.04,1001500,0
20060501,49.05,49.56,48.61,48.74,1145500,0
20060502,48.49,48.66,47.76,48.10,770700,0
20060503,48.07,48.50,48.00,48.13,530400,0
20060504,48.35,48.82,48.10,48.30,602200,0
20060505,48.29,48.78,48.11,48.55,1004800,0
20060508,48.55,49.17,48.55,49.13,845900,0
20060509,48.93,49.87,48.27,49.58,756100,0
20060510,49.49,49.76,48.87,49.19,577800,0
20060511,49.02,49.19,48.17,48.35,690800,0
20060512,48.30,48.43,47.42,47.50,992900,0
20060515,47.20,47.90,46.85,47.90,748100,0
20060516,47.89,47.89,46.60,47.35,1075700,0
20060517,46.85,46.89,45.35,45.43,1038900,0
20060518,45.70,45.97,44.90,44.95,1286000,0
20060519,45.00,45.42,44.28,44.85,2382100,0
20060522,44.86,45.20,43.82,43.96,1544800,0
20060523,43.95,44.78,43.85,44.18,1134700,0
20060524,44.15,44.69,43.45,43.97,1317300,0
20060525,44.20,44.74,43.62,44.42,1071200,0
20060526,44.42,44.98,44.20,44.48,735000,0
20060530,44.00,44.98,43.78,44.53,784100,0
20060531,44.78,45.77,44.60,45.77,1360900,0
20060601,45.96,46.69,45.84,46.64,779300,0
20060602,46.55,47.04,46.33,46.48,717300,0
