DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,5.95,6.64,5.80,6.64,5164800,0
20030501,6.94,6.94,6.64,6.82,2956300,0
20030502,6.82,7.40,6.80,7.34,4745000,0
20030505,7.54,7.85,7.54,7.80,3095700,0
20030506,7.75,7.96,7.41,7.49,2291600,0
20030507,7.44,7.44,7.00,7.24,1129500,0
20030508,7.24,7.24,6.92,7.00,804700,0
20030509,7.00,7.50,7.00,7.50,978200,0
20030512,7.45,7.71,7.42,7.68,998600,0
20030513,7.65,7.65,7.49,7.56,1124400,0
20030514,7.58,7.74,7.58,7.65,848300,0
20030515,7.70,7.77,7.35,7.58,770900,0
20030516,7.51,7.80,7.50,7.66,1150300,0
20030519,7.90,8.40,7.88,8.30,3587900,0
20030520,8.46,8.94,8.36,8.38,3343000,0
20030521,8.45,8.48,7.75,8.05,1915300,0
20030522,8.05,8.34,8.05,8.27,1320100,0
20030523,8.38,8.53,8.12,8.50,650600,0
20030527,8.50,9.06,8.40,9.06,2605200,0
20030528,9.10,9.50,9.10,9.25,2943300,0
20030529,9.25,9.90,9.25,9.49,3661700,0
20030530,9.59,9.76,8.85,8.96,2571300,0
20030602,9.15,9.35,9.05,9.25,1369900,0
20030603,9.26,9.40,8.70,8.74,1903900,0
20030604,8.65,9.14,8.51,8.95,1665300,0
20030605,8.85,9.14,8.50,9.07,1333500,0
20030606,9.21,9.35,8.50,8.70,1225400,0
20030609,8.70,8.70,7.89,8.06,2105300,0
20030610,8.27,8.38,8.10,8.19,1329900,0
20030611,8.10,8.80,7.77,8.77,1685100,0
20030612,8.85,9.10,8.52,8.57,737900,0
20030613,8.56,8.79,8.25,8.45,1056100,0
20030616,8.45,8.50,8.16,8.25,703600,0
20030617,8.26,8.66,8.20,8.57,768000,0
20030618,8.50,9.04,8.50,8.90,1348100,0
20030619,8.90,9.02,8.70,8.81,1871600,0
20030620,8.85,8.93,8.47,8.62,1479000,0
20030623,8.60,8.62,8.06,8.20,1626000,0
20030624,8.20,8.40,8.19,8.25,1396600,0
20030625,8.26,8.60,8.25,8.31,989300,0
20030626,8.35,8.75,8.30,8.68,1231500,0
20030627,8.68,8.99,8.60,8.91,1343500,0
20030630,8.96,9.16,8.79,8.85,4874300,0
20030701,8.80,9.05,8.73,8.96,1247900,0
20030702,9.05,9.58,9.01,9.58,1593200,0
20030703,9.29,9.75,9.22,9.54,671800,0
20030707,9.40,9.89,9.40,9.76,1304500,0
20030708,9.70,10.17,9.70,10.08,1655700,0
20030709,9.98,10.32,9.85,10.07,1824200,0
20030710,10.00,10.05,9.60,9.77,1682300,0
20030711,9.77,9.80,9.45,9.55,1369800,0
20030714,9.60,9.99,9.60,9.90,704300,0
20030715,10.00,10.05,9.75,9.98,997900,0
20030716,10.00,10.09,9.70,9.98,644700,0
20030717,9.80,9.80,9.26,9.48,1335000,0
20030718,9.28,9.48,9.02,9.18,1138800,0
20030721,9.13,9.50,8.75,9.40,842200,0
20030722,9.40,9.45,9.20,9.37,958500,0
20030723,9.20,9.66,9.20,9.55,1233500,0
20030724,9.60,9.77,9.31,9.56,1285900,0
20030725,9.71,9.75,9.62,9.65,906300,0
20030728,9.79,9.87,9.63,9.85,879900,0
20030729,9.30,9.50,8.75,8.89,10006600,0
20030730,9.05,9.14,9.00,9.08,11260800,0
20030731,9.10,9.19,8.90,9.10,2948100,0
20030801,9.10,9.35,9.06,9.25,2305800,0
20030804,9.20,9.41,9.05,9.19,1338700,0
20030805,9.15,9.37,9.15,9.25,1873100,0
20030806,9.26,9.39,9.11,9.35,1835400,0
20030807,9.30,9.35,9.00,9.30,1364600,0
20030808,9.25,9.40,9.19,9.33,2380100,0
20030811,9.28,9.48,9.10,9.40,994300,0
20030812,9.45,9.80,9.31,9.80,2446500,0
20030813,9.78,10.38,9.75,10.25,3501700,0
20030814,10.20,10.20,9.80,9.93,1526100,0
20030815,9.90,10.06,9.90,9.98,421500,0
20030818,10.08,10.72,10.07,10.71,2345600,0
20030819,10.60,10.85,10.50,10.70,1310800,0
20030820,10.35,10.97,10.32,10.70,1213700,0
20030821,10.70,10.82,10.50,10.82,1471900,0
20030822,10.85,11.00,10.83,10.90,912800,0
20030825,10.75,10.82,10.52,10.65,832800,0
20030826,10.55,10.80,10.36,10.72,951900,0
20030827,10.75,10.98,10.60,10.86,1526900,0
20030828,10.90,11.32,10.86,11.20,2020800,0
20030829,11.20,11.38,11.05,11.38,604900,0
20030902,11.38,11.50,11.07,11.48,1285200,0
20030903,11.45,11.71,11.27,11.49,3118100,0
20030904,11.41,11.74,11.37,11.48,1827300,0
20030905,11.46,11.47,10.95,11.27,1558500,0
20030908,11.20,11.32,11.08,11.25,1035500,0
20030909,11.15,11.15,10.84,10.95,1168200,0
20030910,10.96,10.98,10.55,10.68,1702300,0
20030911,10.68,10.85,10.35,10.63,1314700,0
20030912,10.62,11.00,10.55,10.75,1193300,0
20030915,10.75,10.87,10.56,10.65,1424300,0
20030916,10.74,10.84,10.56,10.58,794900,0
20030917,10.54,10.74,10.43,10.55,971500,0
20030918,10.52,10.55,10.26,10.42,1500000,0
20030919,10.42,10.43,10.20,10.43,1137200,0
20030922,10.33,10.35,10.11,10.32,1513600,0
20030923,10.38,10.90,10.38,10.89,2320600,0
20030924,10.99,11.05,10.37,10.42,2208700,0
20030925,10.33,10.45,9.75,10.06,1962300,0
20030926,10.06,10.40,9.75,9.85,2380500,0
20030929,9.75,9.95,9.50,9.80,2033700,0
20030930,9.80,10.15,9.56,10.15,1420200,0
20031001,10.00,10.11,9.87,9.94,1644800,0
20031002,9.82,10.30,9.59,10.28,3782300,0
20031003,10.39,10.55,10.15,10.48,2231200,0
20031006,10.50,10.94,10.48,10.94,1159700,0
20031007,10.75,10.90,10.65,10.89,898500,0
20031008,10.99,11.07,10.75,11.03,1852400,0
20031009,11.05,11.26,10.92,11.10,1866100,0
20031010,11.10,11.22,10.94,11.15,653300,0
20031013,11.23,11.24,11.04,11.07,1076800,0
20031014,11.07,11.19,11.07,11.07,2186600,0
20031015,11.10,11.14,10.96,11.00,2815000,0
20031016,10.98,11.14,10.95,11.03,1355600,0
20031017,11.01,11.16,10.95,11.04,2569700,0
20031020,11.00,11.07,10.79,10.82,1418400,0
20031021,10.90,11.18,10.89,11.11,2649600,0
20031022,11.11,11.25,10.90,11.00,1844800,0
20031023,10.90,10.90,10.55,10.58,2379200,0
20031024,10.57,10.68,10.41,10.62,996400,0
20031027,10.62,10.92,10.62,10.90,762200,0
20031028,10.95,11.23,10.85,11.19,1220500,0
20031029,11.25,12.00,11.20,11.99,3952100,0
20031030,11.50,12.00,11.45,11.67,4827700,0
20031031,11.50,11.81,11.45,11.60,1210000,0
20031103,11.60,12.00,11.60,12.00,1347993,0
20031104,12.00,12.00,11.40,11.54,1680720,0
20031105,11.64,11.64,11.31,11.57,1149800,0
20031106,11.70,11.70,11.28,11.41,897400,0
20031107,11.40,11.72,11.35,11.56,719100,0
20031110,11.56,11.68,11.23,11.29,1117100,0
20031111,11.23,11.24,10.80,10.95,1291600,0
20031112,10.94,11.35,10.88,11.20,1888400,0
20031113,11.45,11.90,11.26,11.54,2203600,0
20031114,11.44,11.47,10.63,10.65,2412900,0
20031117,10.60,10.71,10.35,10.50,1276900,0
20031118,10.75,10.98,10.70,10.82,1285100,0
20031119,10.55,10.75,10.35,10.41,1718400,0
20031120,10.32,10.69,10.26,10.62,1572500,0
20031121,10.55,10.68,10.43,10.62,1695700,0
20031124,10.62,11.09,10.62,10.95,1909300,0
20031125,11.00,11.10,10.74,10.90,827300,0
20031126,11.09,11.20,10.95,11.20,1220900,0
20031128,11.20,11.38,11.11,11.38,241300,0
20031201,11.50,11.60,11.21,11.45,1928300,0
20031202,11.35,11.45,11.25,11.36,1347800,0
20031203,11.35,11.44,11.18,11.19,1404200,0
20031204,11.10,11.25,10.76,10.91,1731700,0
20031205,10.76,11.00,10.75,10.93,888200,0
20031208,10.70,10.95,10.70,10.86,1271900,0
20031209,10.94,11.10,10.87,10.95,1638400,0
20031210,10.90,10.90,10.56,10.67,943000,0
20031211,10.67,11.11,10.67,11.02,735600,0
20031212,10.95,11.15,10.82,10.96,798800,0
20031215,10.99,11.00,10.47,10.51,1866200,0
20031216,10.32,10.50,10.27,10.44,1303400,0
20031217,10.35,10.43,10.05,10.20,1827100,0
20031218,10.23,10.50,10.16,10.29,2571200,0
20031219,10.25,10.39,9.95,10.27,2990600,0
20031222,10.27,10.68,10.25,10.68,1451100,0
20031223,10.58,10.70,10.35,10.70,1006800,0
20031224,10.60,10.68,10.51,10.60,338400,0
20031226,10.63,10.75,10.00,10.75,199100,0
20031229,10.80,10.85,10.49,10.60,1148700,0
20031230,10.60,10.80,10.50,10.70,943900,0
20031231,10.60,10.86,10.52,10.82,1094200,0
20040102,10.85,11.05,10.80,10.97,1413200,0
20040105,11.05,11.30,10.95,11.23,1963200,0
20040106,11.23,11.48,11.16,11.48,2076800,0
20040107,11.48,11.90,11.08,11.68,3908500,0
20040108,11.75,13.00,11.75,12.86,9218400,0
20040109,12.83,13.12,12.49,12.83,4484500,0
20040112,12.90,12.99,12.64,12.95,1414700,0
20040113,12.90,13.08,12.67,12.70,2000600,0
20040114,12.60,12.69,11.97,12.13,5400200,0
20040115,12.05,12.41,11.98,12.15,2951200,0
20040116,12.16,12.20,12.00,12.05,3061300,0
20040120,12.09,12.30,11.18,11.30,8371900,0
20040121,11.35,11.55,11.30,11.47,3060000,0
20040122,11.47,11.63,11.30,11.35,3307500,0
20040123,11.40,11.50,11.28,11.30,2255000,0
20040126,11.10,11.45,11.00,11.43,2250100,0
20040127,11.45,11.99,11.45,11.62,3685900,0
20040128,11.62,11.69,11.20,11.21,4748200,0
20040129,11.22,11.28,10.58,10.97,2801400,0
20040130,11.00,11.19,10.65,10.99,2508900,0
20040202,10.99,11.14,10.88,10.92,2259600,0
20040203,10.93,11.44,10.90,11.43,2890200,0
20040204,11.35,11.48,11.10,11.19,2931100,0
20040205,11.25,11.48,11.25,11.45,1626300,0
20040206,11.45,11.84,11.44,11.80,1302800,0
20040209,11.80,12.01,11.64,11.86,1680200,0
20040210,11.86,11.86,11.68,11.71,2371000,0
20040211,11.70,12.00,11.69,11.90,1809700,0
20040212,11.92,12.14,11.80,11.81,1617700,0
20040213,11.80,12.05,11.79,12.00,1022300,0
20040217,11.90,12.59,11.80,12.29,3761900,0
20040218,11.95,12.08,11.70,11.75,4287700,0
20040219,12.10,12.22,11.31,11.40,6201700,0
20040220,11.32,11.49,11.04,11.15,2011500,0
20040223,11.20,11.40,10.58,10.68,3584100,0
20040224,10.68,10.96,10.40,10.94,2995500,0
20040225,10.94,11.10,10.75,10.82,1423600,0
20040226,10.75,11.07,10.60,11.00,2312500,0
20040227,11.10,11.22,10.95,11.05,2472000,0
20040301,11.05,11.35,10.93,11.22,1721300,0
20040302,11.22,11.75,11.22,11.73,3851300,0
20040303,11.71,11.95,11.55,11.76,3248600,0
20040304,11.79,12.25,11.65,12.11,2643000,0
20040305,12.00,12.00,11.04,11.79,1241700,0
20040308,11.85,11.87,11.45,11.45,1399700,0
20040309,11.50,11.52,11.07,11.15,1721900,0
20040310,11.15,11.34,10.91,11.05,1273800,0
20040311,10.75,11.21,10.69,10.79,1685600,0
20040312,10.88,11.05,10.88,11.03,1368700,0
20040315,10.98,10.99,10.79,10.90,1356600,0
20040316,11.10,11.30,11.03,11.22,2568500,0
20040317,11.22,11.60,11.00,11.54,1199400,0
20040318,11.50,11.54,11.00,11.30,1151600,0
20040319,11.25,11.25,11.08,11.20,837800,0
20040322,11.10,11.12,10.83,10.93,1465500,0
20040323,10.97,11.05,10.37,10.39,2407800,0
20040324,10.20,10.49,9.89,10.34,4166300,0
20040325,10.45,10.97,10.39,10.95,2581500,0
20040326,10.95,11.25,10.86,10.93,1776800,0
20040329,11.00,11.11,10.92,10.98,668000,0
20040330,11.00,11.33,10.95,11.25,2199900,0
20040331,11.25,11.50,11.18,11.35,1229500,0
20040401,11.30,11.60,11.13,11.53,2292100,0
20040402,11.60,11.73,11.53,11.69,2336400,0
20040405,11.63,11.86,11.63,11.79,1800000,0
20040406,11.95,12.02,11.89,11.99,3418500,0
20040407,11.95,11.98,11.82,11.95,2277800,0
20040408,12.00,12.34,11.90,12.24,3501900,0
20040412,12.24,12.35,12.16,12.20,2137000,0
20040413,12.20,12.30,11.82,11.99,2055600,0
20040414,11.70,11.81,11.65,11.80,2224100,0
20040415,12.10,12.79,12.06,12.65,4998500,0
20040416,12.60,12.86,12.46,12.80,1851700,0
20040419,12.75,13.01,12.66,13.00,2047400,0
20040420,12.99,13.25,12.95,12.99,4792500,0
20040421,13.00,13.36,12.87,13.31,2474500,0
20040422,13.30,13.80,13.20,13.72,4262600,0
20040423,13.85,13.91,13.33,13.45,2933500,0
