DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,5.88,5.88,5.00,5.25,0,0
20010103,5.38,5.81,5.38,5.81,4920,0
20010104,5.75,5.88,5.50,5.88,0,0
20010105,5.75,6.13,5.75,5.88,0,0
20010108,5.88,5.94,5.75,5.81,3211,0
20010109,5.75,5.81,5.63,5.75,331884,0
20010110,5.69,5.75,5.63,5.75,12136,0
20010111,5.75,5.75,5.63,5.75,32416,0
20010112,5.75,5.81,5.63,5.81,16286,0
20010115,5.81,5.81,5.81,5.81,0,0
20010116,5.81,6.13,5.81,6.06,694823,0
20010117,6.06,6.44,6.06,6.31,58803,0
20010118,6.38,6.50,6.31,6.44,0,0
20010119,6.44,6.50,6.38,6.44,3316,0
20010122,6.44,6.44,6.44,6.44,0,0
20010123,6.50,6.56,6.44,6.50,30497,0
20010124,6.50,6.56,6.44,6.56,3573,0
20010125,6.56,6.63,6.50,6.56,0,0
20010126,6.56,6.69,6.56,6.63,0,0
20010129,8.94,9.03,8.59,8.88,5715600,0
20010130,9.03,9.09,7.00,8.25,1024900,0
20010131,7.40,7.74,7.40,7.50,27415300,0
20010201,7.50,7.50,6.78,7.16,0,0
20010202,7.21,7.25,6.75,6.75,0,0
20010205,6.75,6.97,6.50,6.61,0,0
20010206,6.55,6.79,6.51,6.65,536600,0
20010207,6.60,7.00,6.40,7.00,0,0
20010208,7.00,7.23,6.82,7.00,5014400,0
20010209,7.24,7.35,6.92,7.21,1181500,0
20010212,7.15,7.25,6.90,7.21,1080300,0
20010213,7.24,7.34,7.15,7.28,28704900,0
20010214,7.25,7.65,7.20,7.63,0,0
20010215,7.80,8.00,7.75,7.96,1183300,0
20010216,7.90,8.09,7.65,8.03,2069600,0
20010219,8.03,8.03,8.03,8.03,0,0
20010220,8.00,8.35,7.96,8.16,20809300,0
20010221,8.16,8.46,8.11,8.45,8066500,0
20010222,8.44,8.48,8.15,8.30,2228200,0
20010223,8.25,8.25,8.16,8.20,44366200,0
20010226,8.25,8.29,8.23,8.27,6053800,0
20010227,8.29,8.34,8.25,8.29,2300100,0
20010228,8.29,8.32,8.21,8.30,16108900,0
20010301,8.27,8.35,8.19,8.22,13155200,0
20010302,8.23,8.25,8.15,8.15,4688400,0
20010305,8.15,8.20,8.02,8.03,732600,0
20010306,8.07,8.07,7.90,8.01,692200,0
20010307,8.05,8.18,8.01,8.16,12299600,0
20010308,8.16,8.18,8.00,8.10,40417700,0
20010309,8.10,8.48,8.10,8.41,5820700,0
20010312,8.42,8.58,8.40,8.53,47156900,0
20010313,8.54,8.70,8.45,8.50,2159300,0
20010314,8.50,8.55,8.37,8.43,96478100,0
20010315,8.44,8.44,8.36,8.44,686000,0
20010316,8.47,8.47,8.37,8.41,597100,0
20010319,8.36,8.45,8.26,8.41,8263400,0
20010320,8.40,8.70,8.31,8.61,1220500,0
20010321,8.55,8.56,8.43,8.45,1164700,0
20010322,8.40,8.45,8.33,8.38,1491500,0
20010323,8.00,8.35,8.00,8.30,1550500,0
20010326,8.38,8.42,8.05,8.25,6686600,0
20010327,8.50,8.65,8.45,8.51,61492900,0
20010328,8.54,8.74,8.50,8.60,9233000,0
20010329,8.55,8.94,8.52,8.90,866900,0
20010330,9.00,9.24,8.90,9.01,10702600,0
20010402,8.85,9.10,8.70,8.80,1521300,0
20010403,8.80,8.81,8.67,8.80,600400,0
20010404,8.80,8.90,8.61,8.75,652900,0
20010405,8.80,9.05,8.80,8.98,614100,0
20010406,8.98,9.00,8.91,8.97,11086200,0
20010409,8.95,9.00,8.92,9.00,8427300,0
20010410,8.98,9.09,8.97,9.07,25208400,0
20010411,9.05,9.07,8.85,8.98,4476300,0
20010412,8.95,9.00,8.79,8.98,91900,0
20010416,8.98,8.98,8.85,8.94,214000,0
20010417,8.84,8.98,8.80,8.98,1210800,0
20010418,8.98,9.10,8.87,8.95,552700,0
20010419,8.95,9.30,8.95,9.30,504800,0
20010420,9.30,9.87,9.30,9.80,1036100,0
20010423,9.80,10.50,9.75,10.46,1499000,0
20010424,10.50,11.63,10.50,10.81,8776700,0
20010425,10.75,10.90,10.70,10.75,923900,0
20010426,10.85,10.98,10.25,10.28,985700,0
20010427,10.50,11.00,10.46,11.00,4468400,0
20010430,11.00,11.08,10.81,11.01,2738000,0
20010501,10.25,10.40,9.85,10.20,6715600,0
20010502,10.20,10.20,9.81,9.99,667100,0
20010503,10.03,10.03,9.61,9.78,20296200,0
20010504,9.74,10.04,9.62,10.01,102057000,0
20010507,10.25,10.43,10.18,10.30,1142400,0
20010508,10.35,10.45,9.90,10.40,3599900,0
20010509,10.30,10.31,10.10,10.23,5381800,0
20010510,10.24,10.24,9.91,10.09,12265800,0
20010511,10.09,10.22,10.04,10.12,458500,0
20010514,10.15,10.55,10.12,10.40,6502400,0
20010515,10.44,10.67,10.32,10.59,1109200,0
20010516,10.55,10.90,10.45,10.71,74004500,0
20010517,10.72,10.94,10.71,10.83,8286200,0
20010518,10.84,10.90,10.25,10.55,742200,0
