DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,34.25,34.38,33.44,33.56,6815,0
20010103,33.63,34.25,33.50,34.13,19709,0
20010104,33.88,34.94,33.75,33.88,0,0
20010105,33.81,33.88,32.13,32.44,14763,0
20010108,32.75,33.44,32.69,33.13,0,0
20010109,33.06,33.31,32.81,32.94,0,0
20010110,32.00,33.06,32.00,32.69,13245,0
20010111,32.69,33.75,32.69,33.19,27694,0
20010112,33.00,33.06,30.81,31.81,10220,0
20010115,31.81,31.81,31.81,31.81,0,0
20010116,31.63,33.44,31.50,32.81,26535,0
20010117,32.94,33.25,32.44,32.56,5206,0
20010118,33.00,33.06,32.50,32.88,9879,0
20010119,33.00,33.13,32.31,33.00,8903,0
20010122,33.00,33.00,33.00,33.00,0,0
20010123,33.94,34.81,33.75,34.75,8080,0
20010124,34.63,35.75,34.38,35.06,0,0
20010125,35.19,35.50,34.56,35.00,65823,0
20010126,34.38,34.94,33.56,33.88,56952,0
20010129,34.19,36.09,33.00,34.19,0,0
20010130,35.66,37.09,33.38,35.41,987400,0
20010131,34.86,35.49,34.45,35.15,948800,0
20010201,35.16,35.48,34.15,34.63,594700,0
20010202,34.63,35.38,34.56,34.71,969100,0
20010205,34.96,35.87,34.72,35.38,9478700,0
20010206,35.16,35.35,34.75,35.16,0,0
20010207,35.15,35.58,35.12,35.18,0,0
20010208,35.00,36.50,34.75,35.50,2189600,0
20010209,35.40,36.32,35.05,36.28,676700,0
20010212,36.03,37.15,35.91,37.10,2578200,0
20010213,36.85,37.25,36.16,37.03,824800,0
20010214,36.95,38.18,36.91,38.00,0,0
20010215,38.05,38.05,36.40,36.68,0,0
20010216,36.45,37.15,36.10,36.32,814500,0
20010219,36.32,36.32,36.32,36.32,0,0
20010220,36.07,36.10,33.50,34.07,6501400,0
20010221,34.00,34.00,33.00,33.43,1524900,0
20010222,33.68,33.87,32.20,33.76,1388500,0
20010223,33.73,33.95,32.35,33.14,10629700,0
20010226,33.23,33.66,33.02,33.63,6737200,0
20010227,33.63,35.35,33.63,34.91,21967500,0
20010228,34.96,35.18,33.76,34.27,482200,0
20010301,34.50,34.89,34.00,34.72,3463400,0
20010302,35.15,36.71,35.00,36.27,11587400,0
20010305,36.02,36.49,35.34,35.90,1316900,0
20010306,36.30,36.39,35.62,36.05,539200,0
20010307,36.05,36.74,36.05,36.55,1460500,0
20010308,36.75,37.20,36.32,36.45,479300,0
20010309,36.66,37.00,36.45,36.47,666800,0
20010312,36.41,36.88,35.50,35.53,617800,0
20010313,35.42,35.76,34.81,35.75,1046700,0
20010314,35.01,35.20,34.36,34.78,629500,0
20010315,34.78,35.49,34.78,35.14,651600,0
20010316,33.75,35.36,33.75,34.67,1442300,0
20010319,34.65,35.19,33.90,34.64,924400,0
20010320,34.74,34.99,34.55,34.56,20779100,0
20010321,34.55,34.57,34.00,34.02,468100,0
20010322,33.61,33.65,32.06,32.90,671700,0
20010323,33.05,34.04,33.02,33.97,4400200,0
20010326,34.00,34.89,33.98,34.31,3379700,0
20010327,34.15,34.94,34.15,34.86,5316800,0
20010328,34.75,34.90,34.12,34.74,315400,0
20010329,34.72,35.35,34.68,35.19,1244500,0
20010330,35.19,35.99,35.19,35.50,3688100,0
20010402,35.91,35.99,35.04,35.39,13694000,0
20010403,35.00,35.00,34.35,34.52,727600,0
20010404,34.14,34.60,33.65,34.04,704300,0
20010405,34.27,35.11,34.09,34.98,1085300,0
20010406,34.98,34.98,33.00,33.45,2827400,0
20010409,33.60,33.63,32.68,33.15,6425500,0
20010410,33.25,33.75,32.61,33.72,766700,0
20010411,33.51,33.95,33.15,33.56,449500,0
20010412,33.42,34.41,33.42,34.12,2477800,0
20010416,34.20,35.30,34.05,34.53,5065200,0
20010417,34.52,34.75,34.44,34.64,594200,0
20010418,34.90,35.65,34.60,35.09,1231900,0
20010419,34.84,35.52,34.84,35.08,693600,0
20010420,35.00,35.30,29.75,32.00,23879000,0
20010423,33.75,33.75,32.26,32.55,15743500,0
20010424,32.68,33.40,32.00,32.35,1688000,0
20010425,32.40,33.08,32.20,32.77,1330900,0
20010426,32.60,33.38,32.50,33.11,906500,0
20010427,32.86,33.41,32.75,33.12,10562600,0
20010430,33.12,33.42,33.02,33.24,1609100,0
20010501,32.95,33.58,32.85,33.45,6411000,0
20010502,33.20,33.75,33.08,33.57,988300,0
20010503,33.32,33.32,32.21,32.44,958300,0
20010504,32.20,33.14,32.15,33.02,1598200,0
20010507,33.15,33.29,33.02,33.10,631300,0
20010508,32.85,33.35,32.85,33.12,735200,0
20010509,32.95,33.18,32.51,32.82,553000,0
20010510,32.97,33.19,32.85,33.05,20295300,0
20010511,33.00,33.01,32.62,32.85,4388900,0
20010514,32.93,32.99,32.50,32.72,6256900,0
20010515,32.75,32.80,32.25,32.40,15662900,0
20010516,32.65,34.00,32.34,33.69,1491200,0
20010517,34.15,34.15,33.21,33.67,2571000,0
20010518,33.67,34.15,33.50,34.05,3032200,0
20010521,34.02,34.75,34.00,34.40,8407800,0
20010522,34.10,34.39,34.10,34.34,642000,0
20010523,34.20,34.90,34.10,34.29,636700,0
20010524,34.25,34.45,34.06,34.25,774200,0
20010525,34.16,34.40,33.92,34.11,636700,0
20010528,34.11,34.11,34.11,34.11,0,0
20010529,34.35,34.97,34.30,34.80,2402200,0
20010530,34.50,34.95,34.35,34.75,4538400,0
20010531,34.85,35.10,34.76,35.00,14750600,0
20010601,34.92,35.20,34.52,34.75,1944500,0
20010604,34.55,35.05,34.54,34.97,816900,0
20010605,35.05,35.54,34.94,35.41,657000,0
20010606,35.35,35.39,34.95,35.30,937900,0
20010607,35.10,35.24,34.98,35.08,70024600,0
20010608,34.88,35.24,34.70,35.04,5453600,0
20010611,35.10,35.43,35.04,35.25,2412200,0
20010612,35.20,35.40,34.80,35.35,5479400,0
20010613,35.20,35.64,35.10,35.33,7478100,0
20010614,35.35,35.36,34.97,35.01,2289200,0
20010615,34.90,35.14,34.86,34.86,8708300,0
20010618,34.71,35.03,34.61,34.80,3538100,0
20010619,35.10,35.20,34.77,34.96,12403700,0
20010620,34.96,35.17,34.79,34.79,974700,0
20010621,34.75,35.40,34.75,35.40,828600,0
20010622,35.00,35.55,35.00,35.21,10571700,0
20010625,35.21,35.25,34.79,34.85,4545700,0
20010626,34.51,34.90,34.51,34.85,13496200,0
20010627,34.50,34.99,34.50,34.81,719600,0
20010628,35.50,36.50,35.05,35.09,33875900,0
20010629,35.25,35.25,34.80,35.00,11349000,0
20010702,34.85,35.04,34.77,34.90,1490400,0
20010703,34.95,35.14,34.95,35.00,368600,0
20010704,35.00,35.00,35.00,35.00,0,0
20010705,34.90,35.01,34.62,34.89,6404600,0
20010706,34.64,34.84,34.21,34.21,3367200,0
20010709,34.26,34.51,34.06,34.23,6502600,0
20010710,34.00,34.15,33.68,33.69,16394100,0
20010711,33.26,33.80,33.26,33.58,9455900,0
20010712,33.80,34.60,33.52,34.25,5003800,0
20010713,34.23,35.01,34.14,35.00,12594100,0
20010716,35.00,35.90,34.89,35.00,1159900,0
20010717,35.00,35.23,34.82,35.08,1322400,0
20010718,35.00,35.12,34.81,34.93,440700,0
20010719,35.00,35.10,34.65,34.75,8621600,0
20010720,34.60,35.04,34.51,34.69,7588700,0
20010723,34.65,35.10,34.64,34.72,11581600,0
20010724,34.50,35.04,34.28,34.98,11537700,0
20010725,34.90,35.05,34.84,35.00,33783300,0
20010726,34.80,35.09,34.80,35.00,12570100,0
20010727,35.00,35.05,34.88,34.91,35606700,0
20010730,34.96,35.04,34.85,34.94,402500,0
20010731,34.80,35.73,34.80,35.45,1114100,0
20010801,35.55,35.65,35.24,35.31,33536900,0
20010802,36.00,37.12,35.76,35.90,3385800,0
20010803,35.80,36.05,35.50,35.80,1256400,0
20010806,36.05,36.90,35.75,35.80,18724100,0
20010807,36.00,37.01,36.00,36.55,20791800,0
20010808,36.75,38.45,36.55,37.99,14647700,0
20010809,37.87,38.48,37.86,38.45,874500,0
20010810,38.25,39.25,38.25,38.80,3846600,0
20010813,38.80,38.90,38.60,38.73,8553800,0
20010814,38.83,39.30,38.83,39.10,19775900,0
20010815,39.00,39.18,38.30,38.39,1606200,0
20010816,38.60,38.75,38.05,38.50,1563300,0
20010817,38.43,38.43,38.01,38.17,196900,0
20010820,38.11,38.68,38.11,38.60,2348000,0
20010821,38.60,38.83,38.34,38.39,3369000,0
20010822,38.38,38.75,37.96,38.48,8489700,0
20010823,38.40,38.70,38.29,38.52,272200,0
20010824,38.40,38.63,38.02,38.48,623900,0
20010827,38.35,38.49,37.85,37.90,3382500,0
20010828,37.54,38.19,37.52,37.95,357700,0
20010829,38.10,38.20,37.50,37.59,432600,0
20010830,37.70,37.85,36.88,37.05,10398400,0
20010831,37.04,37.43,36.96,37.15,1328300,0
20010903,37.15,37.15,37.15,37.15,0,0
20010904,37.35,37.80,36.92,37.04,268900,0
20010905,36.85,37.85,36.65,37.45,12375400,0
20010906,37.30,37.50,36.66,36.70,4525300,0
20010907,36.57,37.25,35.81,36.33,1499000,0
20010910,36.08,36.76,35.82,36.71,2407100,0
20010911,36.71,36.71,36.71,36.71,0,0
20010917,34.00,38.07,33.90,36.25,5341100,0
20010918,36.00,37.59,36.00,36.69,2351800,0
20010919,36.69,37.74,36.69,37.74,1920300,0
20010920,37.73,37.99,37.06,37.70,1978700,0
20010921,36.60,37.35,35.96,36.30,4073600,0
20010924,37.25,37.90,36.79,37.90,2070100,0
20010925,37.90,38.15,37.50,37.95,16027800,0
20010926,37.95,39.20,37.50,39.20,1100200,0
20010927,39.09,40.48,39.00,40.33,22273500,0
20010928,40.53,42.00,40.30,42.00,1963300,0
20011001,41.50,41.80,41.00,41.80,1805400,0
20011002,41.39,42.50,40.53,42.50,1570300,0
20011003,42.01,44.75,41.96,44.75,17350500,0
20011004,44.70,44.74,43.58,43.59,2799500,0
20011005,43.34,43.34,42.36,43.15,1113700,0
20011008,42.70,43.05,41.24,42.53,9087300,0
