DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,37.56,38.65,37.10,37.39,8243,0
20010103,37.79,38.60,36.46,37.67,10268,0
20010104,37.56,39.23,37.44,38.19,20572,0
20010105,38.42,38.54,36.80,37.73,0,0
20010108,37.62,38.31,37.39,37.67,57783,0
20010109,36.98,37.39,36.05,36.34,10926,0
20010110,36.69,36.98,35.31,36.52,37655,0
20010111,36.34,36.34,34.95,35.19,6082,0
20010112,35.25,35.25,34.03,34.61,0,0
20010115,34.61,34.61,34.61,34.61,0,0
20010116,33.74,35.07,33.46,34.38,13952,0
20010117,34.90,35.07,33.57,34.03,6504,0
20010118,33.97,34.33,33.34,33.86,4722,0
20010119,33.40,33.74,32.59,33.23,5959,0
20010122,33.23,33.23,33.23,33.23,0,0
20010123,33.11,34.84,32.87,33.57,9572,0
20010124,33.34,34.21,33.05,34.15,0,0
20010125,34.21,35.36,34.21,34.56,14080,0
20010126,34.33,34.33,33.40,33.63,0,0
20010129,34.90,35.65,34.21,34.38,7501000,0
20010130,36.80,37.06,34.21,35.25,1387900,0
20010131,35.05,35.68,34.82,34.99,3815600,0
20010201,34.44,35.36,34.31,35.08,1764300,0
20010202,35.08,35.41,34.67,35.11,0,0
20010205,35.11,36.25,35.10,36.00,992700,0
20010206,36.70,36.74,34.67,35.51,2338200,0
20010207,36.05,36.05,34.83,35.84,715100,0
20010208,36.98,36.98,36.02,36.56,1564800,0
20010209,36.05,36.42,35.87,36.06,1153100,0
20010212,36.29,36.38,35.62,36.05,642000,0
20010213,36.05,36.52,35.97,36.50,1318400,0
20010214,36.98,37.15,36.21,36.47,2924800,0
20010215,36.98,37.49,36.70,36.93,0,0
20010216,36.10,36.61,35.59,36.35,979900,0
20010219,36.35,36.35,36.35,36.35,0,0
20010220,36.84,37.39,36.52,37.22,6712500,0
20010221,36.75,36.89,35.15,35.97,1300100,0
20010222,36.05,36.98,35.31,35.74,744200,0
20010223,35.96,35.96,34.33,34.58,20491800,0
20010226,34.94,36.05,34.87,35.90,1310500,0
20010227,35.78,36.54,35.78,36.36,906700,0
20010228,36.58,37.49,36.58,37.49,1245700,0
20010301,37.26,37.44,36.48,36.95,5993800,0
20010302,37.03,37.22,36.31,37.16,4645300,0
20010305,36.70,37.61,36.70,37.39,1551100,0
20010306,37.76,39.29,37.44,38.74,1730200,0
20010307,38.67,39.40,38.39,39.29,2025600,0
20010308,39.27,39.89,38.50,39.75,1108400,0
20010309,39.72,40.17,39.01,39.52,925600,0
20010312,38.87,39.47,38.08,38.08,960300,0
20010313,37.39,38.00,36.29,37.72,1080500,0
20010314,37.44,37.87,36.98,37.03,773300,0
20010315,37.03,37.21,36.66,36.86,551600,0
20010316,36.15,37.58,36.15,36.71,1693400,0
20010319,36.89,37.92,36.79,37.41,721200,0
20010320,36.05,38.09,35.71,36.77,1319100,0
20010321,36.62,36.62,35.35,35.69,965800,0
20010322,35.08,35.08,33.65,34.78,1187800,0
20010323,34.90,36.11,34.83,35.90,944800,0
20010326,35.90,36.98,35.89,36.38,639800,0
20010327,36.05,36.29,35.41,36.05,6572800,0
20010328,35.55,36.05,34.86,35.93,882000,0
20010329,35.45,35.92,34.66,34.99,1670000,0
20010330,34.90,35.78,34.44,35.50,5729900,0
20010402,36.50,36.92,36.05,36.61,10903800,0
20010403,36.42,36.42,35.49,35.57,1297000,0
20010404,35.27,37.12,35.27,36.69,1797000,0
20010405,36.59,37.90,36.48,37.54,2820900,0
20010406,37.44,37.44,36.05,37.15,709700,0
20010409,37.58,38.77,37.55,38.22,1561000,0
20010410,38.83,40.16,38.76,40.00,1233800,0
20010411,39.66,39.86,38.64,39.34,1484900,0
20010412,39.11,39.78,38.55,39.34,907800,0
20010416,39.29,40.65,39.08,39.75,2621300,0
20010417,39.01,39.57,38.69,39.10,868800,0
20010418,39.11,40.68,38.64,40.65,1748800,0
20010419,40.31,40.31,39.24,39.56,795300,0
20010420,39.56,40.03,38.81,39.11,2581900,0
20010423,39.01,40.31,38.43,39.11,13703300,0
20010424,39.06,40.68,39.06,39.69,2690400,0
20010425,39.01,39.75,38.40,39.52,2409200,0
20010426,39.06,40.21,38.95,40.02,311000,0
20010427,40.08,40.21,39.54,40.17,2556000,0
20010430,39.84,40.72,39.07,39.70,542500,0
20010501,39.29,39.80,38.97,39.58,3388800,0
20010502,39.48,39.66,38.84,39.66,1651900,0
20010503,39.56,39.57,38.50,39.27,3555700,0
20010504,38.66,40.06,38.65,40.01,1456300,0
20010507,40.15,40.54,39.47,39.59,638600,0
20010508,39.60,40.38,39.55,40.18,543700,0
20010509,39.76,40.82,39.75,40.46,619700,0
20010510,40.68,41.34,40.63,41.16,353400,0
20010511,41.15,41.15,40.28,40.73,990100,0
20010514,40.80,41.19,40.73,41.19,417700,0
20010515,41.00,41.55,40.79,41.48,337500,0
20010516,41.44,43.40,41.37,43.17,935900,0
20010517,43.13,43.93,43.10,43.92,13560100,0
20010518,43.45,43.68,42.29,42.52,10892000,0
20010521,42.62,42.85,42.23,42.52,6423900,0
20010522,42.85,42.94,42.25,42.90,26727800,0
20010523,42.80,42.80,42.32,42.53,1316500,0
20010524,42.43,42.62,41.60,41.65,12048400,0
20010525,41.60,42.58,41.60,42.44,1083700,0
20010528,42.44,42.44,42.44,42.44,0,0
20010529,42.53,43.47,42.53,42.84,14436500,0
20010530,42.80,43.11,42.25,42.54,819400,0
20010531,42.64,43.47,42.62,43.24,3615100,0
20010601,43.31,43.74,42.16,43.68,1112700,0
20010604,43.68,44.20,43.68,44.12,3774300,0
20010605,43.94,44.37,43.32,44.27,947900,0
20010606,44.37,44.58,44.11,44.24,26567000,0
20010607,44.19,44.65,44.19,44.37,2327400,0
20010608,44.47,44.47,43.91,44.00,3413000,0
20010611,43.64,43.91,42.90,43.64,1601600,0
20010612,43.40,43.68,43.23,43.66,2329400,0
20010613,43.54,44.33,43.50,43.78,573300,0
20010614,43.74,43.74,42.85,42.95,1433000,0
20010615,42.34,43.73,42.34,43.40,6767100,0
20010618,43.41,44.14,43.22,43.63,210500,0
20010619,43.40,44.19,43.40,43.97,2279300,0
20010620,44.20,44.94,43.73,44.04,1833100,0
20010621,43.73,44.19,43.35,43.39,968900,0
20010622,43.20,43.45,42.16,42.18,935600,0
20010625,42.32,42.69,41.42,41.75,535800,0
20010626,41.15,42.43,40.68,42.28,3767800,0
20010627,42.16,42.95,42.06,42.06,4834100,0
20010628,41.79,42.53,41.79,42.04,462800,0
20010629,41.76,42.61,41.76,42.29,5567800,0
20010702,42.39,43.45,41.70,42.72,536800,0
20010703,42.48,42.87,41.76,42.71,720500,0
20010704,42.71,42.71,42.71,42.71,0,0
20010705,42.57,43.34,42.34,42.49,519900,0
20010706,42.61,42.66,41.05,41.35,803800,0
20010709,41.60,42.06,41.32,41.83,814400,0
20010710,42.02,42.83,41.86,42.18,6356700,0
20010711,42.49,42.84,41.69,42.00,458000,0
20010712,41.88,43.21,41.83,43.14,1648600,0
20010713,43.37,43.59,42.34,43.22,2789800,0
20010716,43.17,43.35,42.79,43.00,3599500,0
20010717,42.99,44.00,42.99,43.83,580600,0
20010718,43.78,44.60,43.50,44.01,22678400,0
20010719,44.01,45.30,44.01,44.37,1519000,0
20010720,42.53,42.53,40.74,40.85,4087100,0
20010723,38.99,39.43,37.42,39.24,3484400,0
20010724,38.60,38.75,38.28,38.44,24119400,0
20010725,38.32,39.28,38.26,38.90,1520500,0
20010726,38.96,38.96,37.92,38.37,1215200,0
20010727,38.37,38.87,37.67,38.17,1883400,0
20010730,37.92,38.02,37.14,37.65,706800,0
20010731,37.45,38.10,37.45,37.75,1550300,0
20010801,38.37,38.41,37.80,37.87,1425800,0
20010802,37.72,38.37,37.72,38.13,979500,0
20010803,38.13,38.78,37.96,38.45,13457400,0
20010806,38.45,39.19,38.41,38.76,850800,0
20010807,38.83,39.20,38.60,39.13,748400,0
20010808,38.97,39.42,38.55,38.62,950700,0
20010809,38.64,38.83,38.16,38.27,547900,0
20010810,38.34,39.17,38.00,38.90,394700,0
20010813,39.06,39.36,38.58,38.90,5504700,0
20010814,38.74,39.11,38.65,38.94,424400,0
20010815,38.90,39.30,38.27,38.37,597300,0
20010816,38.13,38.13,37.72,37.98,503200,0
20010817,37.82,38.32,37.78,38.23,5285000,0
20010820,38.23,38.25,37.55,38.07,306900,0
20010821,38.07,38.76,38.07,38.22,257300,0
20010822,38.43,38.89,37.69,38.49,807900,0
20010823,38.49,39.00,38.14,38.74,3407900,0
20010824,38.71,39.29,38.69,39.29,14384400,0
20010827,40.21,40.26,39.76,39.86,860000,0
20010828,39.59,39.94,39.11,39.51,1413700,0
20010829,39.47,39.84,39.11,39.12,509300,0
20010830,39.06,39.24,38.69,38.87,663500,0
