DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,4.84,4.86,4.64,4.79,271024,0
20010103,4.68,5.09,4.57,4.92,40792,0
20010104,4.92,5.21,4.88,5.13,0,0
20010105,5.17,5.22,4.70,4.70,12256,0
20010108,4.85,4.94,4.67,4.89,22312,0
20010109,4.89,4.89,4.79,4.83,0,0
20010110,4.80,5.16,4.74,5.14,89880,0
20010111,5.11,5.53,5.06,5.49,39424,0
20010112,5.58,5.77,5.49,5.67,0,0
20010115,5.67,5.67,5.67,5.67,0,0
20010116,5.67,5.83,5.53,5.82,25048,0
20010117,5.92,6.16,5.92,5.96,34872,0
20010118,6.05,6.12,5.86,6.08,32936,0
20010119,6.35,6.35,6.24,6.24,0,0
20010122,6.24,6.24,6.24,6.24,0,0
20010123,6.03,6.04,5.78,5.88,43064,0
20010124,5.83,6.16,5.83,6.01,20152,0
20010125,6.00,6.00,5.86,5.90,5296,0
20010126,5.74,5.89,5.71,5.88,0,0
20010129,6.01,6.13,5.91,5.99,0,0
20010130,6.01,6.26,5.96,6.21,900800,0
20010131,6.09,6.20,6.03,6.05,1352000,0
20010201,6.12,6.16,6.07,6.13,0,0
20010202,6.10,6.13,5.83,5.83,1698400,0
20010205,5.63,5.63,5.41,5.53,2024000,0
20010206,5.53,5.78,5.48,5.71,9352800,0
20010207,5.61,5.68,5.41,5.48,1472800,0
20010208,5.38,5.43,5.19,5.24,0,0
20010209,5.25,5.25,5.00,5.07,0,0
20010212,5.00,5.05,4.95,5.05,2437600,0
20010213,5.08,5.17,5.05,5.08,1316000,0
20010214,5.13,5.15,4.89,5.00,17476800,0
20010215,5.31,5.65,5.31,5.41,9132000,0
20010216,5.10,5.22,5.00,5.14,2492800,0
20010219,5.14,5.14,5.14,5.14,0,0
20010220,5.19,5.20,4.88,4.88,1747200,0
20010221,4.75,4.97,4.75,4.83,1302400,0
20010222,4.82,4.99,4.68,4.84,1826400,0
20010223,4.78,4.78,4.46,4.76,2226400,0
20010226,4.83,5.32,4.83,5.18,9426400,0
20010227,5.07,5.07,4.57,4.64,1574400,0
20010228,4.62,4.62,4.45,4.47,2080000,0
20010301,4.47,4.47,4.38,4.44,8994400,0
20010302,4.32,4.83,4.20,4.58,58810400,0
20010305,4.57,4.69,4.53,4.58,25657600,0
20010306,4.63,4.89,4.63,4.84,10869600,0
20010307,4.85,4.91,4.82,4.89,81145600,0
20010308,4.85,4.94,4.80,4.87,25539200,0
20010309,4.83,4.83,4.48,4.63,1568800,0
20010312,4.41,4.41,4.26,4.28,2119200,0
20010313,4.33,4.38,4.18,4.29,2371200,0
20010314,4.19,4.33,4.12,4.18,2652000,0
20010315,4.27,4.27,4.13,4.16,948000,0
20010316,4.18,4.19,3.80,3.80,3405600,0
20010319,3.80,4.05,3.54,3.98,11176800,0
20010320,3.97,3.98,3.86,3.96,1696000,0
20010321,4.01,4.01,3.88,3.93,1352800,0
20010322,3.89,3.90,3.78,3.89,3139200,0
20010323,3.95,4.27,3.95,4.24,3432800,0
20010326,4.28,4.28,4.16,4.16,33608000,0
20010327,4.17,4.20,4.13,4.18,1165600,0
20010328,4.17,4.18,3.87,3.87,9399200,0
20010329,3.80,3.92,3.75,3.78,138433600,0
20010330,3.75,3.95,3.74,3.94,246026400,0
20010402,3.89,3.92,3.86,3.88,17553600,0
20010403,3.82,3.82,3.69,3.72,26368800,0
20010404,3.67,3.81,3.64,3.75,17019200,0
20010405,3.85,4.00,3.83,4.00,1388000,0
20010406,3.97,3.97,3.73,3.85,1088800,0
20010409,3.90,4.11,3.86,4.01,3158400,0
20010410,4.13,4.41,4.12,4.37,1784800,0
20010411,4.47,4.75,4.47,4.62,2490400,0
20010412,4.51,4.83,4.47,4.80,1482400,0
20010416,4.75,4.75,4.47,4.61,2824000,0
20010417,4.57,4.68,4.49,4.63,2629600,0
20010418,4.94,5.06,4.86,5.02,2848000,0
20010419,4.99,5.50,4.94,5.50,3253600,0
20010420,5.47,5.47,5.26,5.27,991200,0
20010423,5.07,5.12,5.03,5.07,1340000,0
20010424,5.07,5.07,4.92,4.92,9070400,0
20010425,4.85,5.11,4.75,5.07,1167200,0
20010426,5.13,5.29,5.05,5.28,1312000,0
20010427,5.38,5.44,5.32,5.36,1002400,0
20010430,5.36,5.42,5.27,5.27,3300000,0
20010501,5.26,5.39,5.25,5.38,992800,0
20010502,5.47,5.92,5.47,5.69,18688000,0
20010503,5.61,5.81,5.56,5.73,10382400,0
20010504,5.62,5.91,5.62,5.88,2753600,0
20010507,5.82,5.88,5.75,5.83,9199200,0
20010508,5.88,5.88,5.81,5.88,16845600,0
20010509,5.82,6.07,5.79,5.96,2656800,0
20010510,6.01,6.01,5.88,5.92,1816800,0
20010511,5.88,5.94,5.86,5.89,823200,0
20010514,5.82,5.90,5.81,5.90,8859200,0
20010515,5.90,5.91,5.84,5.87,1440000,0
20010516,5.82,5.93,5.82,5.90,81132800,0
20010517,5.93,6.53,5.93,6.48,19488000,0
20010518,6.54,6.61,6.41,6.60,2264000,0
20010521,6.66,7.07,6.63,7.07,10505600,0
20010522,7.13,7.25,6.98,7.05,1553600,0
20010523,6.98,6.98,6.69,6.77,4536800,0
20010524,6.77,6.77,6.51,6.63,1428000,0
20010525,6.68,6.70,6.57,6.60,976800,0
20010528,6.60,6.60,6.60,6.60,0,0
20010529,6.57,6.58,6.33,6.33,1482400,0
20010530,6.19,6.32,6.06,6.08,82707200,0
20010531,6.13,6.35,6.13,6.33,1799200,0
20010601,6.44,6.45,6.29,6.30,1469600,0
20010604,6.18,6.25,6.07,6.13,2264000,0
20010605,6.16,6.38,6.15,6.35,1813600,0
20010606,6.34,6.43,6.26,6.40,952800,0
20010607,6.35,6.45,6.30,6.39,876000,0
20010608,6.15,6.15,5.92,5.98,10075200,0
20010611,5.95,6.01,5.75,5.80,2229600,0
20010612,5.73,5.73,5.57,5.65,1481600,0
20010613,5.65,5.66,5.57,5.60,2144800,0
20010614,5.52,5.53,5.26,5.33,2382400,0
20010615,5.22,5.37,4.93,5.04,27041600,0
20010618,5.04,5.04,4.82,4.83,738400,0
20010619,4.86,4.89,4.41,4.57,5058400,0
20010620,4.49,4.50,4.29,4.45,18622400,0
20010621,4.47,4.66,4.39,4.64,51537600,0
20010622,4.64,4.70,4.56,4.64,1796000,0
20010625,4.68,4.78,4.64,4.72,50100800,0
20010626,4.66,4.70,4.51,4.64,2000000,0
20010627,4.66,4.72,4.62,4.68,1130400,0
20010628,4.72,4.96,4.72,4.89,825600,0
20010629,4.91,5.12,4.91,5.01,2278400,0
20010702,5.02,5.03,4.97,5.00,1258400,0
20010703,4.99,5.03,4.97,5.01,788000,0
20010704,5.01,5.01,5.01,5.01,0,0
20010705,4.97,5.01,4.93,4.97,1305600,0
20010706,4.90,4.90,4.77,4.81,9323200,0
20010709,4.82,5.03,4.82,4.95,1440800,0
20010710,5.01,5.18,4.98,5.05,19686400,0
20010711,5.00,5.07,4.91,5.03,50316000,0
20010712,5.10,5.21,5.03,5.08,18542400,0
20010713,5.11,5.15,5.07,5.08,1116000,0
20010716,5.10,5.12,5.07,5.12,896800,0
20010717,5.12,5.19,5.01,5.17,9046400,0
20010718,5.13,5.38,5.13,5.18,2251200,0
20010719,5.22,5.39,5.21,5.33,1479200,0
20010720,5.27,5.29,5.21,5.25,1180800,0
20010723,5.27,5.35,5.25,5.33,995200,0
20010724,5.33,5.38,5.30,5.31,9668000,0
20010725,5.31,5.33,5.20,5.25,2644800,0
20010726,5.25,5.25,5.10,5.17,17858400,0
20010727,5.18,5.19,5.10,5.12,2641600,0
20010730,5.21,5.29,5.17,5.23,2224800,0
20010731,5.23,5.25,5.18,5.20,250400,0
20010801,5.19,5.32,5.19,5.26,11308800,0
20010802,5.44,5.70,5.43,5.68,2891200,0
