DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,15.94,16.19,15.00,15.19,3122,0
20010103,15.44,15.56,14.50,15.00,3610,0
20010104,15.00,15.38,14.63,14.94,0,0
20010105,15.00,15.25,14.25,14.44,0,0
20010108,14.56,15.19,13.38,13.94,8311,0
20010109,14.19,14.38,13.50,13.75,0,0
20010110,13.75,13.88,13.44,13.75,43462,0
20010111,13.88,14.13,13.56,13.69,3018,0
20010112,13.63,13.75,13.19,13.19,0,0
20010115,13.19,13.19,13.19,13.19,0,0
20010116,13.56,14.81,13.44,14.44,4545,0
20010117,14.44,14.63,14.13,14.63,2856,0
20010118,14.25,14.94,13.56,14.50,6262,0
20010119,14.50,14.75,14.31,14.69,2194,0
20010122,14.69,14.69,14.69,14.69,0,0
20010123,14.56,15.69,14.50,15.63,4254,0
20010124,15.88,16.25,15.75,15.88,0,0
20010125,15.63,15.88,15.63,15.81,3349,0
20010126,15.94,16.13,15.69,15.94,2381,0
20010129,16.91,16.91,16.25,16.78,0,0
20010130,17.25,17.72,16.94,17.03,237500,0
20010131,16.60,17.00,16.60,16.85,326000,0
20010201,16.76,16.96,16.76,16.83,0,0
20010202,16.80,17.08,16.80,16.99,115100,0
20010205,16.90,17.20,16.79,17.19,175300,0
20010206,17.19,17.19,16.73,16.89,157600,0
20010207,17.09,17.10,16.81,17.02,0,0
20010208,17.09,17.25,16.75,17.11,0,0
20010209,17.11,17.29,17.11,17.20,0,0
20010212,17.21,17.57,17.20,17.51,0,0
20010213,17.53,17.90,17.40,17.57,207600,0
20010214,17.50,17.85,17.30,17.53,580200,0
20010215,17.94,18.10,17.54,18.07,157800,0
20010216,18.01,18.01,17.51,17.71,0,0
20010219,17.71,17.71,17.71,17.71,0,0
20010220,17.51,18.08,17.51,17.89,61200,0
20010221,17.89,18.00,17.21,17.36,122800,0
20010222,17.35,17.41,17.00,17.35,145400,0
20010223,17.15,17.77,17.00,17.45,20391000,0
20010226,17.45,18.05,17.40,17.84,4169400,0
20010227,17.83,17.98,17.40,17.97,312600,0
20010228,17.85,17.90,17.50,17.65,142900,0
20010301,17.55,17.65,17.10,17.40,426800,0
20010302,17.20,18.15,17.20,17.68,241600,0
20010305,17.93,19.00,17.35,18.09,213200,0
20010306,18.10,18.34,17.88,18.04,72200,0
20010307,18.05,18.38,17.77,17.94,1107200,0
20010308,17.95,18.50,17.60,18.36,154400,0
20010309,18.75,18.80,18.05,18.60,204500,0
20010312,18.36,18.55,18.00,18.00,123900,0
20010313,18.24,18.50,17.32,18.05,282300,0
20010314,18.00,18.00,17.45,17.53,155100,0
20010315,18.25,18.25,17.50,17.58,1101000,0
20010316,17.68,17.70,17.10,17.23,271200,0
20010319,17.23,19.00,17.13,18.95,218300,0
20010320,18.57,18.57,18.00,18.01,187800,0
20010321,17.40,17.55,17.00,17.35,228600,0
20010322,17.08,17.40,16.60,16.89,198600,0
20010323,16.63,17.13,16.60,16.89,247700,0
20010326,16.99,17.10,16.82,16.99,59600,0
20010327,17.24,17.26,17.01,17.26,196900,0
20010328,17.01,17.90,17.00,17.60,1113500,0
20010329,17.50,18.25,17.23,17.35,116500,0
20010330,17.40,17.70,16.95,17.42,117200,0
20010402,17.15,17.85,16.95,17.55,143600,0
20010403,17.75,17.75,16.42,16.83,163700,0
20010404,16.50,17.06,16.45,17.00,66000,0
20010405,17.20,18.00,17.10,18.00,181000,0
20010406,17.75,17.75,17.17,17.36,130500,0
20010409,17.36,18.17,17.30,17.96,106500,0
20010410,18.06,18.46,17.98,18.46,78900,0
20010411,18.30,18.35,18.00,18.32,75000,0
20010412,18.40,18.40,18.22,18.38,71600,0
20010416,18.16,18.32,17.95,18.21,110900,0
20010417,18.21,18.37,17.63,18.37,98000,0
20010418,18.35,19.43,18.15,19.32,148700,0
20010419,18.45,18.60,16.40,17.83,6283700,0
20010420,17.91,18.13,17.37,17.67,1486200,0
20010423,17.67,17.75,17.00,17.52,330700,0
20010424,17.52,17.95,17.21,17.95,262100,0
20010425,18.05,18.05,17.60,17.99,70300,0
20010426,18.00,18.10,17.78,18.08,3193400,0
20010427,18.18,18.40,18.00,18.05,162700,0
20010430,18.22,18.84,18.22,18.24,90100,0
20010501,18.14,18.20,17.70,18.05,210300,0
20010502,18.30,18.35,17.70,18.06,81700,0
20010503,18.10,18.10,17.55,17.90,82400,0
20010504,17.80,18.20,17.57,17.83,89900,0
20010507,17.95,18.88,17.90,18.13,244800,0
20010508,18.20,18.69,17.78,17.86,2132800,0
20010509,17.86,18.06,17.49,17.50,192600,0
20010510,17.60,18.40,17.55,18.19,596400,0
20010511,18.21,18.51,18.06,18.23,110700,0
20010514,18.13,18.80,18.13,18.80,1111400,0
20010515,18.56,19.10,18.28,18.95,194900,0
20010516,18.90,19.70,18.80,19.60,170200,0
20010517,19.60,20.01,19.51,19.86,240400,0
20010518,19.99,20.34,19.57,20.34,317300,0
20010521,20.35,20.60,20.28,20.60,131000,0
20010522,20.75,20.75,20.10,20.13,108600,0
20010523,20.20,20.45,19.85,20.34,1347300,0
20010524,20.00,20.09,19.79,20.06,154600,0
20010525,19.50,20.07,19.40,19.88,156300,0
20010528,19.88,19.88,19.88,19.88,0,0
20010529,19.68,20.90,19.66,20.44,194200,0
20010530,20.74,20.74,19.62,19.83,225300,0
20010531,20.18,20.98,20.03,20.64,4153300,0
20010601,20.70,20.83,20.29,20.69,237200,0
20010604,20.70,20.72,20.25,20.29,6659900,0
20010605,20.20,21.05,19.86,20.90,1332300,0
20010606,20.91,21.05,20.16,20.93,3313500,0
20010607,21.07,21.07,20.65,20.80,229200,0
20010608,20.80,20.80,20.50,20.56,83900,0
20010611,20.46,21.00,20.16,20.17,1173600,0
20010612,20.20,20.30,19.77,20.00,304200,0
20010613,19.98,20.30,19.98,20.08,5188700,0
20010614,19.86,19.96,19.35,19.62,321900,0
20010615,19.55,19.64,18.72,18.95,336100,0
20010618,18.75,19.00,18.75,18.95,61600,0
20010619,18.85,19.28,18.85,19.08,91800,0
20010620,18.80,18.90,18.40,18.54,4186800,0
20010621,18.50,18.86,18.26,18.60,178200,0
20010622,18.45,18.58,17.68,17.96,96200,0
20010625,18.00,18.04,17.50,17.78,71600,0
20010626,17.44,18.10,17.28,17.83,277500,0
20010627,17.83,18.05,17.70,17.90,136600,0
20010628,17.87,18.17,17.78,17.92,154300,0
20010629,18.05,18.60,18.00,18.09,215100,0
20010702,18.10,18.10,17.81,17.94,199300,0
20010703,17.93,17.93,17.60,17.80,116100,0
20010704,17.80,17.80,17.80,17.80,0,0
20010705,17.80,17.80,17.39,17.58,105400,0
