DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,50.00,50.00,49.44,49.50,706,0
20010103,49.63,49.94,49.44,49.50,1181,0
20010104,49.50,49.50,49.19,49.19,0,0
20010105,49.00,49.00,47.50,48.06,0,0
20010108,48.00,48.75,47.50,47.63,1391,0
20010109,48.00,48.25,47.81,48.06,0,0
20010110,48.13,48.31,47.63,47.81,672,0
20010111,47.63,47.88,47.56,47.81,0,0
20010112,47.88,47.88,47.38,47.50,1036,0
20010115,47.50,47.50,47.50,47.50,0,0
20010116,47.75,47.75,46.56,46.56,3129,0
20010117,47.00,47.38,47.00,47.19,0,0
20010118,47.13,47.50,47.13,47.50,0,0
20010119,47.31,47.56,47.31,47.50,450,0
20010122,47.50,47.50,47.50,47.50,0,0
20010123,47.00,47.31,46.88,47.19,2534,0
20010124,47.50,47.63,45.88,46.56,0,0
20010125,46.75,47.50,46.69,47.44,2327,0
20010126,47.06,47.31,46.75,47.00,0,0
20010129,47.09,48.09,47.09,47.97,0,0
20010130,47.84,50.09,47.84,48.78,0,0
20010131,48.20,48.59,48.15,48.59,0,0
20010201,48.79,48.79,48.00,48.27,0,0
20010202,48.26,48.28,48.00,48.00,0,0
20010205,48.15,48.15,47.90,47.96,42500,0
20010206,47.90,47.98,47.00,47.45,0,0
20010207,47.45,47.70,46.00,46.48,0,0
20010208,46.48,46.49,46.30,46.40,0,0
20010209,46.30,46.40,45.98,46.02,64300,0
20010212,45.80,46.00,45.55,45.63,0,0
20010213,45.61,45.98,45.61,45.95,0,0
20010214,45.92,46.34,45.92,46.29,0,0
20010215,46.40,46.49,46.21,46.43,0,0
20010216,46.40,46.58,46.35,46.40,0,0
20010219,46.40,46.40,46.40,46.40,0,0
20010220,46.40,46.40,46.25,46.30,1077500,0
20010221,46.25,46.26,45.85,45.95,77100,0
20010222,46.00,46.00,45.15,45.54,3058100,0
20010223,45.50,46.37,45.50,46.25,271000,0
20010226,46.35,46.50,46.01,46.50,62700,0
20010227,46.65,47.35,46.60,47.05,90800,0
20010228,47.06,47.35,47.00,47.35,64400,0
20010301,47.45,48.15,47.45,48.13,171400,0
20010302,48.09,48.89,48.09,48.89,95700,0
20010305,48.79,49.20,48.59,49.20,120100,0
20010306,49.20,49.20,48.44,48.60,84100,0
20010307,48.65,48.80,48.60,48.80,54800,0
20010308,48.75,48.78,48.45,48.74,35800,0
20010309,48.85,48.85,48.66,48.76,224500,0
20010312,48.70,48.93,48.63,48.80,114100,0
20010313,48.80,48.95,48.65,48.85,91500,0
20010314,48.75,48.94,48.51,48.81,65900,0
20010315,48.77,48.77,48.52,48.53,1061400,0
20010316,48.65,48.69,48.54,48.66,155600,0
20010319,48.86,48.86,48.61,48.74,57400,0
20010320,48.80,49.10,48.80,49.08,146300,0
20010321,49.14,49.20,47.90,47.94,162800,0
20010322,47.94,47.94,46.90,47.47,103200,0
20010323,47.79,47.80,47.09,47.35,78000,0
20010326,47.00,47.79,47.00,47.78,106800,0
20010327,48.00,48.18,47.70,47.72,80300,0
20010328,47.30,47.30,45.85,46.14,15256900,0
20010329,46.14,46.25,45.95,46.04,1097200,0
20010330,46.00,46.37,45.85,45.88,7202000,0
20010402,46.19,46.25,45.49,45.69,1181200,0
20010403,45.50,45.60,44.60,44.90,1243600,0
20010404,44.80,44.94,44.35,44.43,176400,0
20010405,44.52,44.99,44.51,44.89,103600,0
20010406,44.75,44.77,44.00,44.00,334600,0
20010409,44.20,44.25,44.00,44.25,301700,0
20010410,44.20,44.23,43.90,43.99,4105800,0
20010411,43.90,43.95,42.95,42.99,1190900,0
20010412,43.00,43.29,42.45,42.81,144600,0
20010416,43.00,43.50,42.50,42.65,1439800,0
20010417,42.55,43.14,42.55,43.00,107100,0
20010418,43.00,44.14,42.89,44.12,2246000,0
20010419,44.00,44.09,43.52,44.00,368400,0
20010420,44.20,44.24,43.57,43.58,68100,0
20010423,43.68,43.72,43.39,43.46,95700,0
20010424,43.71,44.95,43.55,44.40,10228800,0
20010425,44.15,44.56,44.00,44.45,64800,0
20010426,44.30,45.38,44.30,45.15,110300,0
20010427,45.10,45.45,45.00,45.36,95200,0
20010430,45.11,45.65,45.11,45.40,103600,0
20010501,45.65,45.65,44.80,45.52,96600,0
20010502,45.37,45.37,44.70,45.04,5103500,0
20010503,45.09,45.22,44.92,45.20,1164200,0
20010504,45.26,45.26,44.78,45.17,3098600,0
20010507,45.35,45.35,44.79,45.00,74200,0
20010508,45.00,45.07,44.49,45.04,138400,0
20010509,45.00,45.00,44.50,44.71,66500,0
20010510,44.55,44.55,44.28,44.40,4078200,0
20010511,44.35,44.39,44.01,44.29,92200,0
20010514,44.29,44.29,44.00,44.15,180400,0
20010515,44.11,44.36,43.91,44.35,92600,0
20010516,44.39,44.41,44.13,44.41,171500,0
20010517,44.66,45.14,44.66,45.14,85200,0
20010518,45.05,45.75,45.01,45.58,4085800,0
20010521,45.50,45.59,45.05,45.53,42100,0
20010522,45.50,45.80,45.40,45.69,61500,0
20010523,45.60,46.40,45.55,46.40,154400,0
20010524,46.65,46.65,46.45,46.62,145400,0
20010525,46.60,47.08,46.25,46.79,92600,0
20010528,46.79,46.79,46.79,46.79,0,0
20010529,46.65,46.71,46.33,46.44,96900,0
20010530,46.40,46.66,46.00,46.03,2053700,0
20010531,46.09,46.12,45.92,46.08,54400,0
20010601,46.18,46.25,45.86,46.10,63100,0
20010604,46.09,46.50,46.01,46.50,76200,0
20010605,46.51,46.70,46.42,46.56,88400,0
20010606,46.70,46.74,46.58,46.68,77600,0
20010607,46.68,46.74,46.60,46.70,3107600,0
20010608,46.70,46.70,46.55,46.56,8035400,0
20010611,46.65,46.70,46.40,46.40,13254300,0
20010612,46.50,46.54,46.25,46.34,526500,0
20010613,46.54,46.74,46.44,46.51,156100,0
20010614,46.51,46.51,46.25,46.36,98000,0
20010615,46.30,46.40,46.00,46.11,2097600,0
20010618,46.15,46.15,45.75,45.86,2255500,0
20010619,46.05,46.05,45.91,45.95,4103400,0
20010620,45.92,46.55,45.92,46.50,348600,0
20010621,46.65,47.32,46.48,47.29,6106800,0
20010622,47.30,47.30,46.95,47.15,109500,0
20010625,47.20,47.26,46.52,46.74,79100,0
20010626,46.60,47.15,46.52,47.06,106200,0
20010627,46.67,46.87,46.28,46.52,132100,0
20010628,46.55,47.29,46.50,47.00,2187200,0
20010629,46.98,47.30,46.75,46.75,2964300,0
20010702,47.00,47.53,47.00,47.53,156400,0
20010703,47.10,47.80,46.80,47.57,110900,0
20010704,47.57,47.57,47.57,47.57,0,0
20010705,47.57,47.99,47.46,47.52,88400,0
20010706,47.70,47.87,47.55,47.85,1120000,0
20010709,47.89,47.89,47.10,47.66,138600,0
20010710,47.80,47.90,47.41,47.50,177500,0
20010711,47.55,47.55,46.99,47.20,82700,0
20010712,47.20,47.25,46.98,47.10,8186300,0
20010713,47.35,47.60,47.30,47.60,124700,0
20010716,47.55,47.70,46.74,47.05,1183500,0
20010717,47.15,47.25,46.81,47.00,5095300,0
20010718,47.10,47.45,47.05,47.45,51200,0
20010719,47.49,47.52,47.18,47.22,44200,0
20010720,47.20,47.30,47.11,47.20,2062700,0
20010723,47.30,47.38,46.85,47.17,75100,0
20010724,47.29,47.60,47.13,47.13,9311800,0
20010725,47.10,47.71,47.10,47.64,1111600,0
20010726,47.74,47.90,47.60,47.75,96500,0
20010727,47.80,47.89,47.58,47.81,1104100,0
20010730,47.73,47.90,47.59,47.80,237600,0
20010731,47.81,47.87,47.71,47.85,53900,0
20010801,47.86,48.55,47.75,48.32,226800,0
20010802,48.45,48.60,48.08,48.60,4130000,0
20010803,48.75,48.99,48.50,48.99,257200,0
20010806,49.00,49.31,49.00,49.24,311900,0
20010807,49.17,49.33,49.05,49.33,4113900,0
20010808,49.31,49.54,49.30,49.48,1178800,0
20010809,49.48,49.48,49.15,49.38,101900,0
20010810,49.38,49.93,49.38,49.90,2075800,0
20010813,49.97,49.98,49.47,49.85,91400,0
