DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20090806,16.5000,16.9100,15.5600,16.1800,24198409,0
20090807,16.1500,16.7600,16.0300,16.4300,2454272,0
20090810,16.6300,16.6300,15.6100,15.9700,2420915,0
20090811,15.9800,16.0000,15.5000,15.6700,2305371,0
20090812,16.1500,16.2000,15.6600,16.0000,1451293,0
20090813,16.0000,16.7200,16.0000,16.5500,1150559,0
20090814,16.5000,17.0000,16.2500,16.6000,637782,0
20090817,16.2700,16.3700,16.2000,16.2200,254388,0
20090818,16.4800,17.2000,16.3500,17.0700,1446616,0
20090819,16.8000,17.9400,16.8000,17.8900,2070763,0
20090820,17.9500,17.9500,17.2900,17.7600,1882077,0
20090821,17.7900,17.9700,17.5800,17.8200,863511,0
20090824,17.5200,17.8500,17.3000,17.5000,1021584,0
20090825,17.6500,17.9000,17.5500,17.8500,530724,0
20090826,17.6900,17.8500,17.1500,17.8500,708574,0
20090827,17.8500,18.2100,17.5500,18.1600,1161100,0
20090828,18.1000,19.0000,18.0000,18.4700,1294949,0
20090831,18.3500,18.4000,17.8100,18.2000,1004719,0
20090901,18.2500,18.4400,16.9400,17.8500,1383480,0
20090902,17.8800,18.2500,17.4800,17.6800,1293388,0
20090903,17.9700,17.9700,17.0000,17.4500,3657607,0
20090904,17.7500,17.9989,17.4900,17.7600,1158584,0
20090908,17.7600,17.9300,17.4500,17.7000,574890,0
20090909,17.8500,17.8500,17.2200,17.2600,551181,0
20090910,17.0100,17.4600,16.9500,17.0500,415199,0
20090911,17.0000,17.3300,16.5400,16.8800,620281,0
20090914,16.6400,16.8999,16.3100,16.6500,1614491,0
20090915,17.2500,17.3500,16.6300,17.1800,1987187,0
20090916,17.4000,17.7500,17.1100,17.5800,2022369,0
20090917,17.6600,17.9000,16.5300,16.6400,1446351,0
20090918,16.5700,17.0200,16.1800,16.2000,899815,0
20090921,16.2800,16.6300,15.8700,16.6000,545033,0
20090922,16.9600,17.3700,16.8200,17.2500,1114012,0
20090923,17.5000,17.7900,17.3000,17.4000,530281,0
20090924,17.3300,17.8488,16.7500,17.4900,778713,0
20090925,17.4800,17.4800,17.1000,17.1300,468435,0
20090928,17.3200,17.8500,17.0300,17.6500,233528,0
20090929,17.5500,17.8400,16.9500,17.0300,356673,0
20090930,17.0000,17.3300,16.9600,17.0700,512589,0
20091001,17.0000,17.0900,16.2100,16.3200,617801,0
20091002,16.2000,16.3600,15.9002,16.0900,629503,0
20091005,16.1000,16.5300,16.0000,16.4900,188821,0
20091006,16.7400,17.1993,16.4400,16.4700,469372,0
20091007,16.5700,16.6100,15.9200,16.1300,291687,0
20091008,16.1100,16.1800,15.9400,16.0100,557222,0
20091009,15.9800,16.4500,15.9400,16.2500,870466,0
20091012,16.2200,16.4500,16.0400,16.3400,1288739,0
20091013,16.1900,16.6700,16.1500,16.5300,557288,0
20091014,16.8400,17.0000,16.5400,16.8600,698887,0
20091015,17.4000,17.9500,17.1000,17.1600,2091929,0
20091016,17.2300,17.2300,16.2100,16.4300,1263745,0
20091019,16.4600,16.6400,16.0600,16.2400,2142809,0
20091020,16.3400,16.7300,16.2700,16.5300,488930,0
20091021,16.3700,16.9100,16.1100,16.4900,233705,0
20091022,16.3300,16.3300,15.6100,16.2800,983391,0
20091023,16.1300,16.4100,15.9200,16.0500,1134065,0
20091026,15.9100,16.1200,15.8100,15.8400,162329,0
20091027,15.9500,15.9880,15.2600,15.4500,328758,0
20091028,15.5000,15.5000,14.8900,14.9300,621970,0
20091029,14.9500,15.2000,14.7184,15.0400,1183263,0
