DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,23.81,24.13,23.50,23.63,20388,0
20010103,23.75,24.13,22.88,23.22,172484,0
20010104,22.88,22.97,21.56,22.09,39512,0
20010105,22.00,22.66,21.94,22.25,20476,0
20010108,22.50,23.09,22.38,23.00,71162,0
20010109,22.84,23.84,22.72,23.38,21264,0
20010110,23.28,23.50,23.00,23.38,8054,0
20010111,23.56,23.75,22.50,22.78,20862,0
20010112,22.97,23.16,21.50,21.66,31872,0
20010115,21.66,21.66,21.66,21.66,0,0
20010116,21.38,22.00,21.06,21.28,863342,0
20010117,21.28,21.44,20.38,20.56,126020,0
20010118,20.69,21.75,20.63,21.31,29064,0
20010119,21.06,21.22,20.31,20.81,24378,0
20010122,20.81,20.81,20.81,20.81,0,0
20010123,20.44,22.06,20.44,21.75,21622,0
20010124,21.56,22.22,21.06,21.84,0,0
20010125,20.97,21.47,20.41,21.31,53144,0
20010126,21.44,21.47,20.41,20.47,34016,0
20010129,20.08,20.53,19.50,19.72,3965600,0
20010130,20.16,21.66,20.05,20.81,6267600,0
20010131,20.00,21.15,20.00,21.15,14023800,0
20010201,20.67,21.18,20.65,21.00,3497400,0
20010202,20.88,20.90,20.50,20.69,41389800,0
20010205,20.45,20.92,20.45,20.79,27369000,0
20010206,20.92,21.10,20.50,20.83,0,0
20010207,20.95,21.32,20.90,21.30,2239000,0
20010208,21.30,21.52,21.25,21.39,10495200,0
20010209,21.15,21.38,21.02,21.10,1531600,0
20010212,21.10,21.10,20.58,20.85,1734000,0
20010213,20.85,20.85,20.48,20.80,21024000,0
20010214,20.80,20.80,20.17,20.27,3723400,0
20010215,19.75,19.83,19.45,19.71,8413400,0
20010216,19.75,20.23,19.75,20.09,3827400,0
20010219,20.09,20.09,20.09,20.09,0,0
20010220,20.50,20.65,20.10,20.50,17996200,0
20010221,20.35,20.89,20.07,20.51,2467400,0
20010222,20.50,20.67,19.74,20.36,2002000,0
20010223,20.38,20.38,19.90,20.25,9024000,0
20010226,20.05,20.30,19.85,20.25,536800,0
20010227,20.27,20.63,20.20,20.58,2172000,0
20010228,20.70,21.50,20.67,21.23,6542000,0
20010301,21.23,21.23,20.50,20.60,3687600,0
20010302,20.60,20.83,20.38,20.77,12205000,0
20010305,20.78,21.20,20.38,21.18,1955400,0
20010306,21.45,21.45,21.10,21.37,4077800,0
20010307,21.23,21.67,21.20,21.56,41579000,0
20010308,21.70,21.70,21.31,21.47,2723200,0
20010309,21.48,21.48,20.83,21.34,1192000,0
20010312,21.30,21.35,21.02,21.35,1898200,0
20010313,21.05,21.05,19.92,19.94,3542200,0
20010314,19.95,19.95,19.47,19.66,8109200,0
20010315,19.78,19.96,19.38,19.65,2344800,0
20010316,19.40,19.80,19.40,19.46,2897400,0
20010319,19.42,19.84,19.42,19.60,1918000,0
20010320,19.50,20.08,19.49,19.50,2368200,0
20010321,19.53,19.77,19.50,19.55,17288400,0
20010322,19.58,19.71,19.00,19.65,4683600,0
20010323,19.52,19.80,19.08,19.21,14054600,0
20010326,19.14,19.68,19.00,19.50,2302600,0
20010327,19.63,19.69,19.34,19.65,3917800,0
20010328,19.17,19.98,19.14,19.60,10121800,0
20010329,19.25,20.25,19.25,19.78,45623200,0
20010330,19.73,20.19,19.45,20.00,2383400,0
20010402,20.02,20.08,19.67,20.00,1756200,0
20010403,19.75,19.75,19.40,19.53,5133200,0
20010404,19.35,19.67,19.10,19.42,2728200,0
20010405,19.42,19.97,19.27,19.78,2259800,0
20010406,19.78,19.78,18.78,19.36,6010400,0
20010409,19.27,19.28,18.58,18.64,2802400,0
20010410,18.05,18.62,17.77,18.50,19165200,0
20010411,18.45,18.45,17.90,18.39,3204200,0
20010412,19.63,19.63,19.13,19.33,35656000,0
20010416,19.40,19.65,19.23,19.65,2352200,0
20010417,19.58,19.59,19.08,19.39,12144200,0
20010418,19.50,19.51,18.90,19.00,3039000,0
20010419,18.77,19.03,18.38,18.83,5996800,0
20010420,19.00,19.35,18.83,19.20,4590200,0
20010423,19.15,19.40,19.03,19.14,1854400,0
20010424,18.63,19.02,18.58,19.00,2115800,0
20010425,18.75,19.00,18.65,18.90,2699800,0
20010426,18.45,19.23,17.86,19.20,7090000,0
20010427,19.25,20.52,18.86,20.48,38508200,0
20010430,20.98,21.30,20.80,21.16,4119600,0
20010501,21.35,21.59,21.17,21.51,3302600,0
20010502,21.80,21.99,21.55,21.77,4773400,0
