DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,28.25,28.31,27.75,27.88,12088,0
20010103,27.94,28.75,27.88,28.75,43461,0
20010104,28.88,29.00,28.75,29.00,6293,0
20010105,28.94,28.94,28.50,28.56,5404,0
20010108,28.56,28.81,28.25,28.69,0,0
20010109,28.69,28.88,28.19,28.44,43372,0
20010110,28.25,28.94,28.19,28.88,53038,0
20010111,28.75,28.81,28.50,28.69,1381,0
20010112,28.81,28.88,28.19,28.81,5492,0
20010115,28.81,28.81,28.81,28.81,0,0
20010116,28.81,29.38,28.69,29.00,15797,0
20010117,28.81,29.75,28.81,29.56,36752,0
20010118,29.44,29.56,28.50,28.81,3223,0
20010119,28.38,28.75,27.81,28.56,0,0
20010122,28.56,28.56,28.56,28.56,0,0
20010123,26.19,26.88,25.94,26.81,13073,0
20010124,26.75,26.81,25.50,26.13,0,0
20010125,26.13,26.94,25.75,26.75,2436,0
20010126,26.50,26.81,26.44,26.81,0,0
20010129,27.25,27.78,27.00,27.25,0,0
20010130,28.81,29.03,27.13,28.50,0,0
20010131,26.15,26.69,25.97,26.03,7576200,0
20010201,26.15,26.15,25.64,25.75,516300,0
20010202,25.55,26.20,25.51,25.79,0,0
20010205,25.90,25.95,25.45,25.50,0,0
20010206,25.27,25.54,25.14,25.14,0,0
20010207,24.85,25.50,24.61,25.24,347000,0
20010208,25.24,25.28,24.71,24.84,0,0
20010209,24.75,25.11,24.60,24.77,282200,0
20010212,24.75,25.47,24.75,25.35,0,0
20010213,25.60,26.10,25.50,25.76,1324900,0
20010214,25.82,26.27,25.55,26.01,0,0
20010215,25.99,26.10,25.89,26.02,414500,0
20010216,25.15,26.02,25.12,25.85,340300,0
20010219,25.85,25.85,25.85,25.85,0,0
20010220,25.88,26.07,25.55,25.68,145900,0
20010221,25.68,25.68,24.50,24.50,331800,0
20010222,24.56,24.89,24.44,24.46,5302800,0
20010223,24.48,25.50,24.37,24.77,1216700,0
