DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,36.00,36.38,36.00,36.13,47092,0
20010103,36.19,37.44,35.56,37.44,188027,0
20010104,37.13,38.13,37.13,37.88,18281,0
20010105,37.94,38.00,36.94,37.13,11226,0
20010108,36.94,37.00,36.31,36.75,630000,0
20010109,36.88,37.00,35.50,35.63,8733,0
20010110,35.44,37.06,35.25,36.94,18544,0
20010111,36.69,37.00,36.56,36.94,8179,0
20010112,36.94,36.94,35.19,36.13,28670,0
20010115,36.13,36.13,36.13,36.13,0,0
20010116,36.06,36.69,35.69,36.63,20123,0
20010117,36.75,37.31,36.56,37.13,9117,0
20010118,37.19,37.25,36.69,37.00,10793,0
20010119,37.00,37.00,36.00,36.56,12359,0
20010122,36.56,36.56,36.56,36.56,0,0
20010123,36.56,37.44,36.50,37.31,8006,0
20010124,35.50,36.25,35.44,36.00,70593,0
20010125,36.00,36.25,35.81,36.25,0,0
20010126,36.25,36.63,35.81,36.56,5721,0
20010129,37.59,38.94,37.41,38.53,828800,0
20010130,37.56,39.06,36.81,39.03,921400,0
20010131,36.96,36.96,36.46,36.63,914200,0
20010201,36.63,36.70,36.30,36.40,639100,0
20010202,36.61,37.20,36.55,36.80,3122100,0
20010205,36.60,36.90,36.60,36.86,6953000,0
20010206,36.86,36.86,36.40,36.44,875100,0
20010207,36.36,36.81,36.36,36.53,612800,0
20010208,36.55,36.80,36.55,36.61,704100,0
20010209,36.60,37.01,36.56,36.86,885900,0
20010212,37.03,37.34,37.00,37.11,757900,0
20010213,37.01,37.28,36.89,36.96,676600,0
20010214,36.96,37.25,36.80,37.04,0,0
20010215,36.92,36.93,36.50,36.76,647100,0
20010216,36.76,37.29,36.74,37.19,1255300,0
20010219,37.19,37.19,37.19,37.19,0,0
20010220,37.13,37.15,36.56,36.62,11560800,0
20010221,36.62,36.70,36.52,36.57,4753000,0
20010222,36.51,36.51,34.98,35.65,1471900,0
20010223,35.35,35.88,35.10,35.81,3689600,0
20010226,35.90,36.23,35.55,36.12,1556100,0
20010227,36.44,36.69,36.08,36.59,876800,0
20010228,36.60,36.60,35.70,36.13,1405700,0
20010301,35.88,36.40,35.65,36.35,819000,0
20010302,36.36,36.92,36.36,36.71,952500,0
20010305,36.71,36.85,36.10,36.24,916000,0
20010306,36.25,36.47,36.10,36.15,532100,0
20010307,36.14,36.56,36.01,36.56,260500,0
20010308,36.58,36.70,36.38,36.63,352200,0
20010309,36.24,36.30,35.57,35.68,502600,0
20010312,35.18,35.19,34.13,34.24,1563700,0
20010313,33.86,35.00,33.80,35.00,34203500,0
20010314,33.98,34.47,33.53,34.06,1186800,0
20010315,34.35,35.37,34.35,35.37,969200,0
20010316,34.81,35.43,34.75,34.88,1492800,0
20010319,34.65,35.21,34.12,35.17,1612900,0
20010320,35.06,35.09,34.35,34.38,588400,0
20010321,34.35,34.35,33.05,33.12,1144400,0
20010322,33.00,33.00,30.24,31.42,1927200,0
20010323,31.50,33.26,31.50,33.24,1267100,0
20010326,33.16,33.80,33.16,33.65,307100,0
20010327,33.81,34.60,33.52,34.51,1039800,0
20010328,34.07,34.65,34.06,34.55,5560000,0
20010329,34.55,35.03,34.40,34.72,855900,0
20010330,34.75,35.17,34.75,35.17,702100,0
20010402,35.20,36.00,35.09,35.38,1695600,0
20010403,35.18,35.45,34.89,34.99,1925800,0
20010404,34.80,34.80,33.74,34.25,914100,0
20010405,34.35,35.25,34.35,35.20,506900,0
20010406,35.00,35.45,34.50,34.85,1037600,0
20010409,35.49,35.49,34.70,34.90,253000,0
20010410,34.92,35.49,34.92,34.98,802200,0
20010411,34.95,35.37,34.56,34.63,2466400,0
20010412,34.67,34.90,34.45,34.50,742300,0
20010416,34.80,34.94,34.05,34.38,913600,0
20010417,34.37,34.79,34.04,34.79,954900,0
20010418,34.70,35.84,34.45,35.62,1391700,0
20010419,35.78,35.85,35.50,35.64,4305200,0
20010420,35.50,35.72,35.40,35.69,886200,0
20010423,35.80,35.85,35.48,35.53,6593300,0
20010424,35.68,35.90,35.50,35.66,651500,0
20010425,35.41,35.85,35.41,35.83,501000,0
20010426,35.80,35.99,35.49,35.56,512600,0
20010427,35.75,36.09,35.50,36.09,422900,0
20010430,36.10,36.25,35.15,35.42,440400,0
20010501,35.42,35.68,35.00,35.68,494100,0
20010502,35.88,36.00,35.15,36.00,565200,0
20010503,35.75,36.44,35.53,36.41,1360300,0
20010504,36.07,36.68,35.98,36.68,667700,0
20010507,36.68,36.74,36.31,36.60,452900,0
20010508,36.40,36.45,36.01,36.20,1310300,0
20010509,36.15,36.23,35.99,36.20,351500,0
20010510,36.50,36.50,35.80,36.01,413200,0
20010511,36.05,36.30,35.70,35.92,335400,0
20010514,35.92,36.21,35.70,35.85,375600,0
20010515,35.95,36.39,35.83,36.19,355000,0
20010516,36.15,37.00,36.01,37.00,579200,0
20010517,36.75,37.05,36.70,36.83,505500,0
20010518,36.85,37.00,36.30,36.59,2293100,0
20010521,36.57,36.57,36.18,36.45,548000,0
20010522,36.28,37.01,36.25,37.01,701400,0
20010523,37.00,37.00,36.30,36.64,455400,0
20010524,36.65,36.78,35.80,36.33,5322500,0
20010525,36.35,36.40,35.82,36.11,4290400,0
20010528,36.11,36.11,36.11,36.11,0,0
20010529,35.30,36.17,35.29,35.96,351800,0
20010530,35.96,36.29,35.80,35.89,299700,0
20010531,35.76,36.35,35.75,36.15,1678000,0
20010601,35.98,36.15,35.87,36.01,12376700,0
20010604,36.01,36.38,36.00,36.33,1439500,0
20010605,36.35,36.46,36.15,36.40,231200,0
20010606,36.16,36.42,35.91,36.26,3443700,0
20010607,36.26,36.27,35.80,36.11,479100,0
20010608,36.11,36.11,36.11,36.11,0,0
20010611,35.61,35.95,35.40,35.52,222100,0
20010612,35.06,35.46,35.02,35.41,302400,0
20010613,35.41,35.70,35.30,35.43,349200,0
20010614,35.62,35.62,35.11,35.22,636100,0
20010615,35.21,35.38,34.88,35.06,1122300,0
20010618,35.06,35.41,34.75,35.41,558800,0
20010619,35.50,35.75,35.36,35.55,277900,0
20010620,35.78,36.15,35.67,35.99,775200,0
20010621,35.99,37.00,35.40,36.90,1234600,0
20010622,36.98,37.02,36.15,36.35,2321500,0
20010625,36.50,36.57,36.02,36.02,525600,0
20010626,35.70,36.40,35.67,36.22,511600,0
20010627,36.00,36.65,36.00,36.29,570100,0
20010628,36.50,36.83,36.41,36.61,636500,0
20010629,36.60,36.70,36.05,36.70,947200,0
20010702,36.55,36.88,36.35,36.83,720100,0
20010703,36.90,36.90,36.40,36.80,271800,0
20010704,36.80,36.80,36.80,36.80,0,0
20010705,36.70,36.82,36.35,36.53,409900,0
20010706,36.33,36.45,36.02,36.11,339400,0
