DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,34.38,35.19,33.94,34.19,54203,0
20010103,34.44,34.50,32.94,33.06,9728,0
20010104,33.13,33.38,31.38,31.81,0,0
20010105,31.63,31.81,30.94,31.38,0,0
20010108,31.25,31.63,31.00,31.56,24789,0
20010109,31.56,32.81,31.38,32.63,0,0
20010110,32.63,32.63,31.69,31.94,143285,0
20010111,32.25,33.44,32.00,33.13,46969,0
20010112,33.00,33.00,31.94,32.50,3817,0
20010115,32.50,32.50,32.50,32.50,0,0
20010116,32.50,33.63,32.44,33.00,4869,0
20010117,33.13,33.31,32.31,32.50,34726,0
20010118,32.38,34.19,31.56,33.75,10414,0
20010119,33.50,33.56,31.81,32.38,125024,0
20010122,32.38,32.38,32.38,32.38,0,0
20010123,34.06,34.50,33.75,34.19,6289,0
20010124,34.38,35.13,33.75,34.88,0,0
20010125,34.50,35.38,34.25,35.25,111870,0
20010126,35.00,35.06,34.56,35.00,8688,0
20010129,36.84,37.06,35.00,35.19,8700100,0
20010130,35.00,37.09,35.00,36.63,866300,0
20010131,34.80,34.80,33.86,34.35,0,0
20010201,34.63,35.04,34.15,34.84,0,0
20010202,35.30,36.28,35.30,36.25,2559500,0
20010205,36.81,36.98,35.63,35.80,13461100,0
20010206,36.45,37.04,35.90,36.60,2265500,0
20010207,36.35,36.47,35.70,36.06,1030800,0
20010208,36.10,36.99,36.08,36.98,1705800,0
20010209,36.87,37.18,36.50,37.03,0,0
20010212,37.03,37.89,36.81,37.67,0,0
20010213,38.00,39.25,37.66,39.00,2085700,0
20010214,38.65,38.66,36.90,37.38,0,0
20010215,37.18,37.32,36.10,36.40,786600,0
20010216,36.65,36.99,36.25,36.76,0,0
20010219,36.76,36.76,36.76,36.76,0,0
20010220,36.40,37.33,36.11,37.10,4558800,0
20010221,37.22,37.84,37.01,37.20,940900,0
20010222,37.03,37.50,36.00,36.39,1483900,0
20010223,36.00,36.25,34.93,35.20,2212400,0
20010226,35.03,36.84,35.03,36.56,735200,0
20010227,36.56,36.61,35.69,35.89,603100,0
20010228,35.25,36.09,35.25,35.98,512700,0
20010301,36.23,36.34,35.26,36.01,658300,0
20010302,35.85,35.96,34.81,35.84,5465000,0
20010305,35.83,35.83,35.01,35.47,722800,0
20010306,35.72,35.80,34.80,34.87,735300,0
20010307,35.02,35.53,34.92,35.04,25854300,0
20010308,35.29,35.87,35.07,35.65,848300,0
20010309,35.50,36.10,35.31,36.00,3657900,0
20010312,35.90,36.21,35.01,35.51,1268000,0
20010313,35.50,35.50,34.77,34.98,457900,0
20010314,34.80,34.97,33.88,34.12,640800,0
20010315,34.37,34.42,33.75,33.89,8415900,0
20010316,33.20,33.84,32.37,32.45,1631700,0
20010319,32.96,34.60,32.77,34.50,1259800,0
20010320,34.30,34.65,33.60,33.60,1768200,0
20010321,33.76,34.29,33.12,33.85,1284000,0
20010322,33.20,33.24,31.10,32.00,1433500,0
20010323,32.08,33.04,31.92,33.01,1923100,0
20010326,33.00,33.85,33.00,33.22,5620900,0
20010327,33.00,33.18,32.77,33.00,8418700,0
20010328,32.80,33.43,32.71,33.15,1194500,0
20010329,33.40,34.82,33.15,34.37,972600,0
20010330,34.60,35.93,34.60,35.30,7961000,0
20010402,35.85,36.45,34.90,35.15,926400,0
20010403,34.95,35.11,33.70,33.81,697200,0
20010404,33.88,34.23,33.52,33.84,653400,0
20010405,33.91,34.99,33.82,34.98,2390100,0
20010406,34.90,34.97,34.03,34.53,569100,0
20010409,34.75,35.45,34.47,34.74,238700,0
20010410,34.95,35.25,34.35,34.94,558400,0
20010411,34.70,34.70,33.75,33.89,476100,0
20010412,33.90,34.46,33.87,34.46,500800,0
20010416,34.65,34.93,33.95,34.34,405200,0
20010417,34.48,35.88,34.38,35.02,717700,0
20010418,35.32,35.32,34.47,34.67,1165300,0
20010419,34.50,34.88,33.30,33.85,1406600,0
20010420,33.70,33.90,32.00,32.80,19159700,0
20010423,32.50,33.05,32.00,32.33,2873300,0
20010424,32.35,32.60,31.15,31.20,1588800,0
20010425,31.45,31.85,31.30,31.63,22389300,0
20010426,31.75,32.04,31.31,31.61,1022800,0
20010427,31.70,32.64,31.65,32.55,15728000,0
20010430,32.60,33.04,32.10,32.25,695000,0
20010501,32.60,33.25,32.60,32.75,6878900,0
20010502,32.65,32.65,31.70,32.19,3593800,0
20010503,32.15,32.42,31.00,31.41,5842000,0
20010504,31.45,31.59,31.00,31.50,1025600,0
20010507,31.51,32.30,31.28,31.91,606500,0
20010508,31.93,32.14,31.08,31.49,997300,0
20010509,31.61,32.19,31.41,31.94,5670400,0
20010510,32.10,32.40,30.57,30.60,6747400,0
20010511,30.60,30.75,29.96,30.14,13958000,0
20010514,30.21,31.33,30.21,30.78,2006200,0
20010515,30.55,31.16,30.54,30.82,1074600,0
20010516,30.81,31.45,30.52,31.08,47068100,0
20010517,31.33,31.44,30.79,31.00,1240800,0
20010518,30.90,30.95,30.48,30.84,22720500,0
20010521,31.09,31.78,30.95,31.76,1855400,0
20010522,32.00,32.32,31.92,32.26,11331700,0
20010523,32.26,32.55,31.65,31.66,1261300,0
20010524,31.66,32.92,31.66,32.52,1749700,0
20010525,32.52,33.30,32.47,33.18,11866600,0
20010528,33.18,33.18,33.18,33.18,0,0
20010529,32.95,33.25,32.90,33.11,3440800,0
20010530,33.36,34.35,33.00,34.25,1827400,0
20010531,33.90,34.50,33.67,34.33,11703700,0
20010601,34.30,34.94,34.08,34.85,2505500,0
20010604,35.00,35.43,34.90,35.33,14056000,0
20010605,35.90,36.20,35.40,35.92,9906000,0
20010606,35.57,35.60,34.80,35.29,1485700,0
20010607,35.75,35.84,34.95,35.30,1394400,0
20010608,34.60,35.13,34.60,35.12,14362200,0
20010611,34.90,34.98,34.31,34.48,1294200,0
20010612,34.35,35.08,34.25,34.65,508700,0
20010613,34.45,35.04,34.41,34.98,363300,0
20010614,34.94,34.97,34.47,34.55,204300,0
20010615,34.35,34.99,34.31,34.89,364900,0
20010618,34.75,35.23,34.45,35.19,358000,0
20010619,35.19,35.19,34.60,35.01,490200,0
20010620,35.02,35.79,35.02,35.77,1476300,0
20010621,35.75,36.50,35.70,36.00,9091700,0
20010622,36.00,36.00,35.23,35.71,3484000,0
20010625,35.60,35.80,35.30,35.39,1301400,0
20010626,35.37,35.86,35.32,35.61,733700,0
20010627,35.40,35.80,35.20,35.30,723900,0
20010628,35.15,35.82,35.03,35.57,2428700,0
20010629,35.32,36.05,35.30,35.79,1883200,0
20010702,36.04,36.42,35.75,36.02,6898000,0
20010703,35.90,35.90,35.40,35.72,281600,0
20010704,35.72,35.72,35.72,35.72,0,0
20010705,35.72,36.15,35.44,36.06,1353800,0
