DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,12.67,12.80,12.33,12.49,2098500,0
20010103,12.58,13.45,12.48,13.33,3647100,0
20010104,13.50,13.78,13.03,13.10,1907700,0
20010105,13.18,13.23,12.84,13.00,1222800,0
20010108,13.03,13.03,12.77,12.95,702900,0
20010109,12.95,12.99,12.67,12.68,0,0
20010110,12.59,12.98,12.59,12.89,1302900,0
20010111,12.97,13.32,12.85,12.95,1115100,0
20010112,13.03,13.22,12.83,12.92,0,0
20010115,12.92,12.92,12.92,12.92,0,0
20010116,12.90,13.31,12.83,13.17,0,0
20010117,13.17,13.45,13.17,13.29,1838400,0
20010118,13.21,13.63,12.88,13.44,2158800,0
20010119,13.50,13.53,13.28,13.34,7381200,0
20010122,13.34,13.34,13.34,13.34,0,0
20010123,13.52,13.88,13.50,13.74,0,0
20010124,13.92,14.13,13.73,14.00,0,0
20010125,13.96,14.23,13.50,14.17,1933500,0
20010126,14.25,14.92,14.25,14.49,2846400,0
20010129,15.83,16.36,15.21,15.72,5018100,0
20010130,16.17,16.70,15.58,16.20,3641100,0
20010131,15.77,15.77,15.38,15.59,1490700,0
20010201,15.37,15.96,15.33,15.92,2332800,0
20010202,15.86,16.10,15.64,15.82,34911300,0
20010205,15.82,15.82,15.41,15.55,0,0
20010206,15.53,15.53,14.86,14.89,0,0
20010207,14.89,14.98,14.73,14.75,4195500,0
20010208,14.75,14.95,14.62,14.65,0,0
20010209,14.65,14.65,14.27,14.42,0,0
20010212,14.67,14.78,14.43,14.78,2709000,0
20010213,14.33,14.68,14.33,14.65,8729400,0
20010214,14.73,14.80,14.53,14.55,0,0
20010215,14.50,14.55,14.39,14.43,1917900,0
20010216,14.45,14.53,14.38,14.47,6723300,0
20010219,14.47,14.47,14.47,14.47,0,0
20010220,14.43,14.48,13.75,13.80,7641600,0
20010221,13.88,13.98,13.75,13.80,1294800,0
20010222,13.83,13.83,13.43,13.79,19419900,0
20010223,13.77,13.83,13.35,13.82,930900,0
20010226,14.08,14.25,13.67,14.24,752400,0
20010227,14.33,14.41,13.92,14.22,1146300,0
20010228,14.27,14.27,13.83,13.91,1049400,0
20010301,13.91,13.91,13.60,13.72,7645500,0
20010302,13.78,14.33,13.73,14.28,4770600,0
20010305,14.22,14.40,13.95,14.12,1336500,0
20010306,14.27,14.45,14.08,14.16,1121400,0
20010307,14.24,14.30,14.04,14.28,561300,0
20010308,14.40,14.65,14.30,14.47,1966800,0
20010309,14.50,14.56,14.08,14.25,1554000,0
20010312,14.17,14.17,13.62,13.72,2019900,0
20010313,13.65,13.69,13.47,13.53,16287300,0
20010314,13.23,13.37,12.94,13.13,1396200,0
20010315,13.09,13.48,13.09,13.44,1715400,0
20010316,13.13,13.43,13.03,13.03,19594500,0
20010319,13.03,13.50,12.85,13.43,16625400,0
