DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010726,9.07,9.07,8.80,8.99,781500,0
20010727,9.00,9.02,8.84,8.89,291000,0
20010730,8.82,8.93,8.77,8.93,304500,0
20010731,8.95,9.13,8.95,9.11,448500,0
20010801,9.15,9.15,8.92,8.99,376500,0
20010802,9.02,9.12,9.01,9.04,291750,0
20010803,9.04,9.04,8.90,8.90,305250,0
20010806,8.90,8.91,8.81,8.81,220500,0
20010807,8.80,8.84,8.70,8.74,282750,0
20010808,8.74,8.78,8.71,8.74,210750,0
20010809,8.68,8.82,8.66,8.78,241500,0
20010810,8.77,8.93,8.74,8.84,281250,0
20010813,8.82,8.90,8.80,8.81,171750,0
20010814,8.80,8.80,8.66,8.68,284250,0
20010815,8.70,8.78,8.66,8.69,246000,0
20010816,8.66,8.87,8.65,8.85,258750,0
20010817,8.82,8.87,8.74,8.81,186750,0
20010820,8.82,9.04,8.82,9.03,7663500,0
20010821,9.06,9.08,8.97,8.99,160500,0
20010822,8.99,9.03,8.94,8.96,360000,0
20010823,8.96,8.98,8.88,8.93,315000,0
20010824,8.91,9.06,8.90,9.03,180000,0
20010827,9.04,9.07,8.90,8.90,312750,0
20010828,8.90,8.94,8.87,8.89,258000,0
20010829,8.84,8.85,8.77,8.77,209250,0
20010830,8.78,8.93,8.74,8.75,353250,0
20010831,8.72,8.74,8.60,8.60,429000,0
20010903,8.60,8.60,8.60,8.60,0,0
20010904,8.62,8.87,8.62,8.78,439500,0
20010905,8.77,8.81,8.69,8.79,369750,0
20010906,8.77,8.87,8.65,8.65,294750,0
20010907,8.62,8.65,8.55,8.63,291750,0
20010910,8.60,8.74,8.58,8.67,534750,0
20010911,8.67,8.67,8.67,8.67,0,0
20010917,8.63,8.63,8.27,8.37,480750,0
20010918,8.36,8.36,8.15,8.21,270750,0
20010919,8.22,8.28,7.97,8.09,776250,0
20010920,8.09,8.20,7.94,8.20,723000,0
20010921,8.07,8.24,7.96,8.05,1065750,0
20010924,8.07,8.20,8.06,8.20,296250,0
20010925,8.17,8.32,8.16,8.29,501750,0
20010926,8.29,8.40,8.18,8.36,776250,0
20010927,8.38,8.41,8.26,8.34,575250,0
20010928,8.40,8.48,8.32,8.43,838500,0
20011001,8.43,8.44,8.32,8.36,642000,0
20011002,8.40,8.49,8.32,8.43,384000,0
20011003,8.39,8.46,8.39,8.45,384000,0
20011004,8.43,8.44,8.27,8.29,473250,0
20011005,8.30,8.40,8.28,8.39,360750,0
20011008,8.35,8.35,8.14,8.20,457500,0
20011009,8.20,8.26,8.07,8.21,7914750,0
20011010,8.20,8.24,8.14,8.22,613500,0
20011011,8.22,8.24,8.03,8.06,747750,0
20011012,8.07,8.18,8.00,8.18,581250,0
20011015,8.16,8.20,8.06,8.19,562500,0
20011016,8.20,8.20,8.06,8.13,224250,0
20011017,8.13,8.16,8.04,8.14,502500,0
20011018,8.13,8.34,8.13,8.29,434250,0
20011019,8.29,8.31,8.24,8.25,294000,0
20011022,8.24,8.29,8.07,8.16,423750,0
20011023,8.14,8.24,8.12,8.22,327000,0
20011024,8.22,8.22,7.95,8.02,575250,0
20011025,8.02,8.12,7.90,8.12,333000,0
20011026,8.12,8.27,8.12,8.23,357750,0
20011029,8.23,8.30,8.18,8.24,310500,0
20011030,8.20,8.20,8.00,8.00,360750,0
20011031,8.00,8.00,7.88,7.93,634500,0
20011101,7.93,8.09,7.85,8.07,477000,0
20011102,8.06,8.15,7.97,8.14,279000,0
20011105,8.12,8.28,8.10,8.23,474000,0
20011106,8.23,8.27,8.13,8.24,424500,0
