DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,42.25,42.56,40.00,40.00,0,0
20010103,39.75,40.13,39.25,39.81,474,0
20010104,40.06,40.69,39.38,39.38,0,0
20010105,39.38,39.38,35.38,35.75,0,0
20010108,36.00,37.19,36.00,36.50,668,0
20010109,36.88,37.00,36.31,36.50,0,0
20010110,36.38,38.00,36.38,37.88,411,0
20010111,37.63,38.75,36.63,36.63,0,0
20010112,37.25,37.25,35.50,37.00,558,0
20010115,37.00,37.00,37.00,37.00,0,0
20010116,37.50,38.06,36.06,38.00,0,0
20010117,38.63,41.50,38.63,40.19,1212,0
20010118,40.25,40.56,40.00,40.38,0,0
20010119,40.38,41.25,39.81,39.81,620,0
20010122,39.81,39.81,39.81,39.81,0,0
20010123,39.63,40.38,39.50,40.31,0,0
20010124,40.38,40.38,39.19,39.19,0,0
20010125,39.19,39.50,38.75,39.44,1397,0
20010126,39.50,39.69,39.44,39.50,0,0
20010129,41.31,41.94,41.00,41.78,0,0
20010130,41.78,42.72,41.00,42.47,57900,0
20010131,41.00,41.00,39.66,39.81,0,0
20010201,40.00,41.25,39.75,41.00,0,0
20010202,41.00,42.60,41.00,42.50,0,0
20010205,42.75,43.00,41.00,41.00,3009100,0
20010206,40.75,41.25,40.00,41.20,21200,0
20010207,41.20,44.00,41.20,42.86,0,0
20010208,43.00,43.40,42.54,43.00,37500,0
20010209,43.00,43.00,42.20,42.20,0,0
20010212,42.20,43.71,42.00,43.39,0,0
20010213,43.14,43.99,43.14,43.60,0,0
20010214,43.46,43.46,42.50,43.10,0,0
20010215,43.15,43.50,42.70,43.40,18100,0
20010216,43.20,43.20,41.93,42.15,0,0
20010219,42.15,42.15,42.15,42.15,0,0
20010220,42.10,42.10,39.10,39.40,54200,0
20010221,39.20,39.80,39.10,39.37,1028900,0
20010222,39.30,39.30,39.00,39.04,43900,0
20010223,39.01,39.75,39.01,39.75,36600,0
20010226,39.80,42.50,39.80,42.10,34100,0
20010227,42.35,42.50,41.00,41.00,31400,0
20010228,41.10,41.10,39.00,39.25,33600,0
20010301,39.40,40.45,39.25,40.45,21900,0
