DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,2.87,2.88,2.77,2.78,0,0
20010103,2.76,2.96,2.76,2.95,31440,0
20010104,2.94,2.95,2.91,2.94,28304,0
20010105,2.86,2.91,2.84,2.90,0,0
20010108,2.91,2.97,2.85,2.89,0,0
20010109,2.88,2.91,2.86,2.91,0,0
20010110,2.93,3.01,2.91,3.00,36672,0
20010111,3.00,3.06,2.96,2.98,61760,0
20010112,2.99,2.99,2.90,2.92,22176,0
20010115,2.92,2.92,2.92,2.92,0,0
20010116,2.92,2.92,2.82,2.85,49424,0
20010117,2.85,2.87,2.80,2.82,0,0
20010118,2.83,2.85,2.81,2.82,0,0
20010119,2.82,2.82,2.68,2.70,25552,0
20010122,2.70,2.70,2.70,2.70,0,0
20010123,2.64,2.73,2.63,2.72,0,0
20010124,2.73,2.79,2.71,2.75,0,0
20010125,2.76,2.81,2.58,2.62,56160,0
20010126,2.63,2.63,2.50,2.50,36320,0
20010129,2.52,2.63,2.50,2.58,0,0
20010130,2.58,2.63,2.50,2.62,0,0
20010131,2.50,2.53,2.49,2.50,0,0
20010201,2.52,2.60,2.51,2.56,0,0
20010202,2.55,2.59,2.50,2.50,0,0
20010205,2.50,2.55,2.50,2.55,0,0
20010206,2.54,2.57,2.52,2.57,2388800,0
20010207,2.55,2.57,2.54,2.56,0,0
20010208,2.56,2.58,2.54,2.56,1830400,0
20010209,2.57,2.57,2.52,2.53,0,0
20010212,2.53,2.57,2.50,2.56,0,0
20010213,2.56,2.60,2.54,2.56,900800,0
20010214,2.56,2.61,2.55,2.57,0,0
20010215,2.59,2.66,2.58,2.63,2131200,0
20010216,2.64,2.67,2.58,2.59,0,0
20010219,2.59,2.59,2.59,2.59,0,0
20010220,2.60,2.66,2.53,2.53,1336000,0
20010221,2.54,2.57,2.42,2.50,2110400,0
20010222,2.51,2.52,2.48,2.50,1337600,0
20010223,2.50,2.50,2.38,2.44,1795200,0
20010226,2.46,2.53,2.46,2.50,1092800,0
20010227,2.53,2.58,2.51,2.57,1444800,0
20010228,2.57,2.61,2.56,2.59,18259200,0
20010301,2.59,2.61,2.57,2.57,2147200,0
20010302,2.55,2.64,2.54,2.60,1224000,0
20010305,2.62,2.67,2.58,2.58,2235200,0
20010306,2.60,2.66,2.60,2.66,1908800,0
20010307,2.69,2.79,2.69,2.75,3969600,0
20010308,2.74,2.83,2.74,2.83,2627200,0
20010309,2.78,2.85,2.77,2.79,33928000,0
20010312,2.78,2.78,2.72,2.72,2092800,0
20010313,2.71,2.80,2.69,2.80,3134400,0
20010314,2.77,2.82,2.74,2.75,19865600,0
20010315,2.75,2.82,2.75,2.77,34296000,0
20010316,2.81,2.84,2.73,2.74,4316800,0
20010319,2.74,2.83,2.74,2.81,2116800,0
20010320,2.81,2.85,2.77,2.78,1580800,0
20010321,2.79,2.79,2.72,2.75,1652800,0
