DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,16.69,16.69,16.03,16.09,3038,0
20010103,16.16,16.69,15.84,16.47,4952,0
20010104,16.63,16.63,16.00,16.09,0,0
20010105,16.00,16.00,14.97,15.16,47028,0
20010108,15.41,15.41,14.94,15.22,0,0
20010109,14.97,15.28,14.56,14.75,0,0
20010110,14.88,14.94,14.50,14.84,2542,0
20010111,14.91,15.09,14.63,15.00,0,0
20010112,15.09,15.19,14.88,15.00,2258,0
20010115,15.00,15.00,15.00,15.00,0,0
20010116,15.00,15.22,14.94,15.09,0,0
20010117,15.09,15.16,14.88,14.94,1162,0
20010118,14.97,15.03,14.69,14.72,0,0
20010119,14.50,14.56,14.34,14.41,0,0
20010122,14.41,14.41,14.41,14.41,0,0
20010123,14.78,14.91,14.63,14.88,43544,0
20010124,14.88,15.22,14.63,14.66,22300,0
20010125,14.75,15.72,14.75,15.28,0,0
20010126,15.13,15.47,14.97,15.03,640000,0
20010129,16.14,16.73,15.50,15.89,0,0
20010130,15.73,17.05,15.50,17.05,479400,0
20010131,15.97,16.68,15.94,16.50,553600,0
20010201,16.38,16.86,16.38,16.51,0,0
20010202,16.50,16.61,16.50,16.58,0,0
20010205,16.70,16.73,16.50,16.56,140400,0
20010206,16.57,16.63,16.44,16.50,292600,0
20010207,16.52,16.77,16.50,16.75,191600,0
20010208,16.85,16.95,16.50,16.77,0,0
20010209,16.85,16.90,16.75,16.84,150400,0
20010212,16.98,16.98,16.75,16.90,0,0
20010213,16.97,17.23,16.90,16.99,140600,0
20010214,16.97,16.97,16.25,16.63,0,0
20010215,16.76,17.20,16.75,17.18,371000,0
20010216,17.19,17.23,16.95,17.11,223200,0
20010219,17.11,17.11,17.11,17.11,0,0
20010220,17.07,17.60,17.07,17.20,170200,0
20010221,17.22,17.22,16.96,16.98,182400,0
20010222,16.83,17.12,16.80,16.99,2195200,0
20010223,16.99,16.99,16.56,16.86,170400,0
20010226,16.77,17.23,16.77,17.16,2156400,0
20010227,17.10,17.20,17.00,17.00,374400,0
20010228,17.05,17.09,16.90,17.01,309000,0
20010301,16.89,16.91,16.42,16.65,307800,0
20010302,16.75,17.00,16.67,16.94,243400,0
20010305,17.06,17.28,16.95,17.16,218400,0
20010306,17.08,17.55,17.08,17.20,280000,0
20010307,17.39,17.85,17.39,17.72,462000,0
20010308,17.72,17.88,17.48,17.84,184600,0
20010309,17.80,18.00,17.75,17.76,176200,0
20010312,17.76,17.76,17.45,17.58,242000,0
20010313,17.50,17.50,16.88,17.24,264000,0
20010314,17.15,17.17,16.52,16.73,157600,0
20010315,16.80,16.80,16.40,16.61,148600,0
20010316,16.50,17.08,16.50,16.58,313200,0
20010319,16.58,16.83,16.51,16.83,2154400,0
20010320,16.83,17.43,16.60,16.83,261800,0
20010321,16.80,16.80,16.45,16.50,199000,0
20010322,16.37,16.37,15.67,16.13,215200,0
20010323,16.10,16.45,15.85,16.19,238400,0
20010326,16.30,16.73,16.25,16.37,265600,0
20010327,16.50,16.70,16.33,16.69,2196000,0
20010328,16.67,16.73,16.05,16.56,263400,0
20010329,16.56,16.75,16.25,16.57,235400,0
20010330,16.61,16.65,16.25,16.55,289000,0
20010402,16.96,17.10,16.30,16.52,258800,0
20010403,16.52,16.52,15.80,16.27,210600,0
20010404,16.28,16.50,16.24,16.50,56200,0
20010405,16.63,16.77,16.50,16.73,119600,0
20010406,16.85,16.85,16.36,16.74,168400,0
20010409,16.65,17.50,16.65,17.28,313000,0
20010410,17.25,17.75,17.25,17.69,237600,0
20010411,17.65,17.65,17.35,17.42,2186000,0
20010412,17.42,17.83,17.35,17.63,246400,0
20010416,17.63,17.99,17.57,17.78,116000,0
20010417,17.70,17.91,17.55,17.91,64000,0
20010418,17.98,18.75,17.91,18.32,310600,0
20010419,18.20,18.40,18.18,18.25,213600,0
20010420,18.12,18.33,18.05,18.11,323000,0
20010423,18.00,18.25,17.90,18.07,28000000,0
20010424,18.06,18.22,18.00,18.14,159000,0
20010425,18.18,18.25,18.00,18.18,243000,0
20010426,18.12,18.48,18.00,18.30,200200,0
20010427,18.40,18.50,18.34,18.39,180000,0
20010430,18.28,18.83,18.28,18.81,301600,0
20010501,18.75,18.84,18.65,18.83,200800,0
20010502,18.70,18.90,18.52,18.81,197200,0
20010503,18.68,18.70,18.30,18.58,293800,0
20010504,18.65,19.24,18.58,19.16,213600,0
20010507,19.25,19.43,19.13,19.21,262400,0
20010508,19.11,19.50,19.06,19.32,179800,0
20010509,19.44,19.50,19.20,19.32,163000,0
20010510,19.33,19.35,19.25,19.30,405600,0
20010511,19.17,19.38,19.09,19.13,332000,0
20010514,19.14,19.25,19.08,19.20,187600,0
20010515,19.25,19.60,19.22,19.48,188600,0
20010516,19.25,20.00,19.25,19.92,412400,0
20010517,19.90,20.28,19.80,20.23,476800,0
20010518,20.32,20.32,19.87,20.03,262800,0
20010521,20.00,20.13,19.61,19.87,257800,0
20010522,19.92,19.92,19.38,19.46,271200,0
20010523,19.58,19.58,19.33,19.53,406600,0
20010524,19.52,19.53,19.05,19.14,221600,0
20010525,19.26,19.27,19.00,19.11,154800,0
20010528,19.11,19.11,19.11,19.11,0,0
20010529,19.15,19.29,18.95,19.16,238400,0
20010530,19.28,19.34,18.75,18.94,424600,0
20010531,18.82,19.22,18.82,19.00,201800,0
20010601,19.00,19.21,18.70,19.21,195200,0
20010604,19.08,19.60,19.08,19.59,230000,0
20010605,19.59,19.81,19.38,19.66,189200,0
20010606,19.70,19.94,19.45,19.92,421400,0
20010607,19.86,20.00,19.76,19.92,198000,0
20010608,19.95,20.09,19.75,20.00,169400,0
20010611,20.02,20.08,19.84,20.00,251200,0
20010612,20.00,20.00,19.67,19.91,103400,0
20010613,19.97,20.28,19.91,20.10,327200,0
20010614,20.15,20.15,19.90,19.90,194600,0
20010615,19.68,19.85,19.32,19.34,593200,0
20010618,19.42,19.48,19.30,19.31,2129400,0
20010619,19.35,19.61,19.28,19.60,2192200,0
20010620,19.53,19.88,19.53,19.64,122200,0
20010621,19.51,19.76,19.39,19.73,257600,0
20010622,19.68,19.73,19.29,19.41,176200,0
20010625,19.53,19.62,19.25,19.38,155200,0
20010626,19.38,19.50,19.10,19.39,182800,0
20010627,19.43,19.77,19.38,19.70,221200,0
20010628,19.66,19.94,19.66,19.80,126200,0
20010629,19.74,20.20,19.65,20.08,2446400,0
20010702,20.09,20.35,20.01,20.12,259000,0
20010703,20.17,20.23,19.92,20.02,104400,0
20010704,20.02,20.02,20.02,20.02,0,0
20010705,19.98,20.50,19.98,20.32,369000,0
20010706,20.27,20.34,19.89,19.99,157600,0
20010709,19.99,20.27,19.98,20.20,130800,0
20010710,20.33,20.50,20.10,20.50,215800,0
20010711,20.41,20.83,20.25,20.67,2318200,0
20010712,20.75,21.00,20.64,20.99,236000,0
20010713,20.92,21.23,20.85,21.06,2416200,0
20010716,21.06,21.10,20.90,20.96,140800,0
20010717,20.98,21.25,20.95,21.17,378400,0
20010718,21.05,21.35,20.94,21.22,221200,0
20010719,21.33,21.56,21.30,21.44,122600,0
20010720,21.48,21.55,21.29,21.41,124800,0
20010723,21.49,21.53,21.20,21.44,2119400,0
20010724,21.64,21.64,21.21,21.36,164600,0
20010725,21.47,21.75,21.29,21.52,297600,0
20010726,21.48,21.62,21.20,21.51,453400,0
20010727,21.58,21.77,21.50,21.63,269600,0
20010730,21.56,21.63,21.50,21.50,189800,0
20010731,21.60,22.19,21.60,22.12,82200,0
20010801,22.07,22.32,21.83,21.90,157800,0
20010802,21.83,22.13,21.80,22.03,205800,0
20010803,22.08,22.13,21.81,21.90,156200,0
20010806,21.92,21.92,21.53,21.54,300800,0
20010807,21.55,21.55,21.06,21.13,264000,0
20010808,21.20,21.24,21.02,21.06,284400,0
20010809,21.06,21.10,20.47,21.00,374000,0
20010810,21.06,21.22,20.70,21.17,234200,0
20010813,21.05,21.12,20.85,21.06,184000,0
20010814,21.08,21.41,20.95,21.26,383600,0
20010815,21.27,21.33,21.08,21.08,185400,0
20010816,21.00,21.18,20.86,21.08,280200,0
20010817,20.99,21.38,20.95,21.23,143200,0
20010820,21.23,21.62,21.16,21.55,193200,0
