DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,6.75,6.88,6.63,6.75,41536,0
20010103,6.78,6.84,6.66,6.75,37348,0
20010104,6.72,7.50,6.69,7.50,125994,0
20010105,7.34,7.81,7.03,7.81,96008,0
20010108,7.63,7.97,7.53,7.78,42696,0
20010109,7.75,8.22,7.75,7.88,34484,0
20010110,7.84,7.97,7.44,7.47,983144,0
20010111,7.47,7.72,7.38,7.44,53468,0
20010112,7.59,7.69,7.47,7.50,35876,0
20010115,7.50,7.50,7.50,7.50,0,0
20010116,7.50,7.56,7.44,7.50,37308,0
20010117,7.56,7.97,7.53,7.84,43532,0
20010118,7.78,7.88,7.69,7.75,37928,0
20010119,7.72,7.78,7.13,7.25,52446,0
20010122,7.25,7.25,7.25,7.25,0,0
20010123,7.63,8.09,7.63,8.03,33140,0
20010124,8.00,8.31,8.00,8.00,60948,0
20010125,7.88,8.31,7.88,8.28,38952,0
20010126,8.19,8.75,8.00,8.59,46988,0
20010129,8.92,9.28,8.77,9.20,2649200,0
20010130,8.81,9.55,8.50,9.50,2322800,0
20010131,8.48,8.48,8.26,8.35,11308600,0
20010201,8.25,9.00,8.23,8.80,48229800,0
20010202,8.77,8.87,8.28,8.38,7243800,0
20010205,8.27,8.30,8.00,8.05,9661200,0
20010206,8.05,8.24,8.00,8.06,8804800,0
20010207,7.65,8.05,7.52,7.96,6845600,0
20010208,8.05,8.13,7.86,7.99,2530400,0
20010209,8.00,8.10,7.85,7.95,6763400,0
20010212,7.80,8.30,7.77,8.26,3537600,0
20010213,8.25,8.25,8.05,8.13,186044000,0
20010214,8.05,8.22,8.05,8.16,2326200,0
20010215,7.99,8.15,7.95,8.13,5737800,0
20010216,8.00,8.02,7.78,7.86,29084800,0
20010219,7.86,7.86,7.86,7.86,0,0
20010220,7.86,8.02,7.84,7.94,3240800,0
20010221,7.93,8.15,7.89,7.93,2509400,0
20010222,7.93,8.02,7.90,8.00,3046600,0
20010223,7.99,8.00,7.63,7.88,2760600,0
20010226,7.80,8.00,7.80,7.98,1910200,0
20010227,7.97,7.99,7.82,7.91,1656000,0
20010228,7.91,8.49,7.91,8.24,4266000,0
20010301,8.75,9.00,8.40,8.73,8462200,0
20010302,8.73,8.88,8.53,8.78,4494200,0
20010305,8.78,9.47,8.70,9.35,6693800,0
20010306,9.25,9.44,8.99,9.10,3082200,0
20010307,8.80,9.10,8.80,9.05,27096800,0
20010308,9.05,9.05,8.82,8.89,2188600,0
20010309,8.81,9.00,8.75,9.00,2019600,0
20010312,8.95,9.34,8.80,8.98,9867400,0
20010313,8.90,9.52,8.81,9.23,8088400,0
20010314,8.95,9.23,8.90,9.00,1865200,0
20010315,9.00,9.20,8.83,9.15,3186000,0
20010316,9.05,9.40,9.03,9.23,4588600,0
20010319,9.13,9.60,9.13,9.60,3672000,0
20010320,9.50,9.55,9.27,9.27,20196200,0
20010321,9.13,9.13,8.57,8.60,7808400,0
20010322,8.75,8.75,8.26,8.52,3620400,0
20010323,8.75,9.02,8.54,8.98,3497200,0
20010326,9.35,9.55,9.15,9.25,14106600,0
20010327,9.30,9.54,9.26,9.46,2241600,0
20010328,9.40,9.64,9.36,9.57,2520200,0
20010329,9.57,10.09,9.30,10.05,53687400,0
20010330,10.35,10.39,9.90,10.09,3803400,0
20010402,10.18,10.20,9.88,9.97,3838600,0
20010403,9.97,10.00,9.30,9.65,4344800,0
20010404,9.57,9.60,9.35,9.49,4539800,0
20010405,9.50,9.65,8.45,8.77,4441000,0
20010406,7.60,7.76,7.28,7.59,22758400,0
20010409,7.60,7.88,7.57,7.78,5272800,0
20010410,7.88,8.01,7.63,8.00,5116600,0
20010411,8.00,8.10,7.70,7.97,26973400,0
20010412,7.75,8.01,7.75,7.99,3669000,0
20010416,7.95,7.95,7.68,7.82,4132200,0
20010417,7.72,8.06,7.72,7.99,2040400,0
20010418,7.86,8.23,7.75,8.11,3317600,0
20010419,7.85,8.13,7.85,8.05,4528400,0
20010420,8.00,8.03,7.70,7.97,3425200,0
20010423,7.50,7.65,7.43,7.55,4215800,0
20010424,7.57,7.59,7.43,7.50,3267000,0
20010425,7.57,7.87,7.53,7.75,1761600,0
20010426,7.57,7.89,7.43,7.57,2026400,0
20010427,7.57,7.57,7.41,7.51,3369400,0
20010430,7.57,8.04,7.46,7.94,3110000,0
20010501,7.93,8.23,7.84,8.15,3024600,0
20010502,8.15,8.18,7.89,7.93,2066400,0
20010503,7.97,8.00,7.76,7.85,1015400,0
20010504,7.85,7.93,7.70,7.83,1077800,0
20010507,7.88,7.88,7.64,7.68,9742200,0
20010508,7.68,7.90,7.57,7.76,3191400,0
20010509,7.76,7.84,7.65,7.76,2032600,0
20010510,7.75,7.75,7.59,7.64,1997400,0
20010511,7.64,7.72,7.43,7.70,2473000,0
20010514,7.58,7.70,7.57,7.64,2169200,0
20010515,7.60,8.02,7.59,7.97,1986000,0
20010516,7.80,8.16,7.80,8.02,3544800,0
20010517,8.03,8.18,8.00,8.15,11198200,0
20010518,8.18,8.24,7.99,8.19,6735800,0
20010521,8.19,8.87,8.07,8.74,4373600,0
20010522,8.77,8.80,8.48,8.57,2433200,0
20010523,8.58,8.75,8.48,8.60,1815000,0
20010524,8.50,8.68,8.32,8.63,1733000,0
20010525,8.63,8.68,8.40,8.49,2775200,0
20010528,8.49,8.49,8.49,8.49,0,0
20010529,8.49,8.63,8.39,8.40,17385400,0
20010530,8.45,8.68,8.41,8.61,3403800,0
20010531,8.68,8.82,8.57,8.63,10097000,0
20010601,8.64,8.64,8.50,8.63,21610400,0
20010604,8.65,8.82,8.65,8.77,9241200,0
20010605,8.77,9.13,8.77,8.99,3216600,0
20010606,8.93,9.00,8.76,8.91,780800,0
20010607,8.90,9.02,8.81,8.85,22336200,0
20010608,8.82,8.85,8.76,8.77,1034000,0
20010611,8.90,8.97,8.68,8.68,23073400,0
20010612,8.60,9.02,8.60,8.86,11705600,0
20010613,8.98,8.98,8.75,8.78,1015600,0
20010614,8.79,8.85,8.63,8.68,2925600,0
20010615,8.56,8.80,8.55,8.57,2609200,0
20010618,8.54,8.60,8.48,8.59,3329800,0
20010619,8.55,8.68,8.44,8.52,7358200,0
20010620,8.55,9.39,8.52,9.20,17972800,0
20010621,9.10,9.19,8.95,9.00,1637600,0
20010622,9.01,9.10,8.80,8.86,1246400,0
20010625,8.95,9.00,8.76,8.82,872000,0
20010626,8.82,8.93,8.77,8.90,994000,0
20010627,8.88,8.90,8.77,8.85,627000,0
20010628,8.85,9.09,8.65,8.76,8955200,0
20010629,8.75,8.93,8.50,8.50,5201000,0
20010702,8.60,8.82,8.57,8.78,2276200,0
20010703,8.68,8.74,8.57,8.72,1253400,0
20010704,8.72,8.72,8.72,8.72,0,0
20010705,8.70,8.81,8.68,8.69,2438000,0
20010706,8.74,8.91,8.60,8.62,1522000,0
20010709,8.59,8.84,8.52,8.76,27034600,0
20010710,8.77,8.85,8.68,8.73,57503000,0
20010711,8.74,9.08,8.73,8.98,6933800,0
20010712,9.05,9.07,8.77,8.89,1257000,0
20010713,8.93,9.07,8.90,8.99,10728400,0
20010716,9.00,9.09,8.93,9.02,10979800,0
20010717,9.06,9.07,8.95,8.99,1033200,0
20010718,8.90,9.10,8.85,8.98,1694600,0
20010719,9.02,9.30,8.98,9.01,31979400,0
20010720,9.05,9.20,9.00,9.13,37236000,0
20010723,9.13,9.20,8.98,9.00,907800,0
20010724,9.00,9.18,8.90,9.00,855200,0
20010725,9.00,9.24,8.96,9.24,4714800,0
20010726,9.18,9.34,8.95,9.07,1040800,0
20010727,9.13,9.34,9.10,9.13,1701200,0
20010730,9.15,9.25,9.02,9.19,1117000,0
20010731,9.24,9.25,9.01,9.01,2494000,0
20010801,9.05,9.19,8.94,8.97,1488400,0
20010802,9.25,9.32,9.03,9.07,52429600,0
20010803,9.09,9.25,8.98,9.13,927000,0
20010806,9.10,9.47,9.10,9.19,2045400,0
20010807,9.35,9.55,9.30,9.45,53823200,0
20010808,9.45,9.45,9.12,9.14,31313600,0
20010809,9.20,9.36,9.12,9.24,867200,0
20010810,9.35,9.49,9.21,9.23,1763000,0
20010813,9.29,9.63,9.27,9.55,3409600,0
20010814,9.51,9.62,9.30,9.32,91585400,0
20010815,9.35,9.49,9.30,9.43,13216000,0
20010816,9.35,9.40,9.25,9.36,1687600,0
20010817,9.35,9.36,9.22,9.27,984200,0
20010820,9.21,9.27,9.00,9.25,2646200,0
20010821,9.27,9.70,9.20,9.31,10189800,0
20010822,9.33,9.50,9.31,9.36,1599400,0
20010823,9.31,9.74,9.31,9.55,3400200,0
20010824,9.90,9.90,9.70,9.80,25692400,0
20010827,9.80,9.93,9.78,9.80,1415600,0
20010828,9.73,9.90,9.73,9.74,4738000,0
20010829,9.76,9.77,9.49,9.52,2975000,0
20010830,9.51,9.57,9.32,9.45,22324000,0
20010831,9.44,9.60,9.44,9.55,2034600,0
20010903,9.55,9.55,9.55,9.55,0,0
20010904,9.48,9.98,9.45,9.82,6854600,0
20010905,9.90,10.02,9.71,9.88,5151800,0
20010906,9.77,9.85,9.56,9.70,2389000,0
20010907,9.60,9.69,8.50,9.15,11825200,0
20010910,9.36,9.45,9.26,9.45,6502800,0
20010911,9.45,9.45,9.45,9.45,0,0
20010917,8.60,9.05,8.51,8.84,2989600,0
20010918,8.84,9.37,8.84,9.02,3649600,0
20010919,9.15,9.40,8.72,9.02,4376000,0
20010920,8.80,9.34,8.70,9.05,4396200,0
20010921,8.78,9.48,8.68,9.25,7246800,0
20010924,9.63,10.50,9.31,10.30,151400000,0
20010925,10.27,10.40,9.77,9.82,13149600,0
20010926,9.73,9.98,9.70,9.95,4677600,0
20010927,9.90,10.20,9.90,10.18,5121200,0
20010928,10.25,10.31,10.08,10.25,6523600,0
20011001,10.40,10.48,10.14,10.27,3895000,0
20011002,10.32,10.49,10.15,10.49,4059000,0
20011003,10.30,10.74,10.18,10.68,6545400,0
20011004,10.75,11.23,10.75,10.95,13261400,0
20011005,10.95,11.38,10.82,11.31,6684600,0
20011008,11.01,11.16,10.95,11.05,2474000,0
20011009,11.06,11.29,10.98,11.00,5382600,0
20011010,11.13,11.18,10.85,10.85,5271600,0
20011011,10.81,11.00,10.60,10.99,33463400,0
20011012,10.99,11.10,10.91,11.08,3010600,0
20011015,11.00,11.43,10.90,11.35,3328600,0
20011016,11.27,11.75,11.25,11.72,4088600,0
20011017,11.72,11.75,10.85,11.07,4042600,0
20011018,11.08,11.13,10.74,10.91,2938200,0
20011019,10.85,11.47,10.85,11.35,2588200,0
20011022,11.35,11.44,10.95,11.12,3500400,0
20011023,11.45,11.75,11.18,11.38,5792200,0
20011024,11.38,11.73,11.37,11.56,4446000,0
20011025,11.48,11.57,11.39,11.55,2200200,0
20011026,11.45,11.75,11.45,11.68,2572800,0
20011029,11.53,11.72,11.43,11.47,2456400,0
20011030,11.48,11.50,11.30,11.38,2327200,0
20011031,11.38,11.49,11.27,11.37,2652600,0
20011101,11.50,11.77,11.43,11.75,5791800,0
20011102,11.75,12.23,11.75,11.90,4962000,0
20011105,12.05,12.35,11.93,12.14,3676600,0
20011106,12.10,12.15,11.88,12.10,1725800,0
20011107,12.09,12.15,11.88,11.93,1640600,0
20011108,11.98,12.02,11.74,11.80,1804600,0
20011109,11.80,11.82,11.50,11.61,1577600,0
20011112,11.60,11.61,11.25,11.55,2234400,0
20011113,11.70,11.90,11.25,11.56,3351400,0
20011114,11.69,11.73,11.45,11.55,3567800,0
20011115,11.76,11.85,11.65,11.80,2011600,0
20011116,11.85,12.31,11.85,12.25,22025400,0
20011119,12.48,12.52,12.18,12.50,21041600,0
20011120,12.50,13.28,12.46,13.25,62180200,0
20011121,13.13,13.49,13.13,13.33,4245400,0
20011122,13.33,13.33,13.33,13.33,0,0
20011123,13.34,13.94,13.34,13.84,2290800,0
20011126,13.84,13.84,13.25,13.45,5750800,0
20011127,13.30,13.52,13.18,13.48,4668000,0
20011128,13.38,13.55,13.28,13.40,4644000,0
20011129,13.40,13.51,13.25,13.32,3245800,0
20011130,13.45,13.75,13.27,13.30,5102000,0
20011203,13.38,13.63,13.30,13.38,3455800,0
