DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,5.00,5.12,4.94,4.97,12736,0
20010103,4.92,5.32,4.92,5.31,16672,0
20010104,5.28,5.55,5.24,5.39,0,0
20010105,5.35,5.35,5.13,5.16,0,0
20010108,5.16,5.21,4.97,5.21,0,0
20010109,5.16,5.16,4.99,5.00,0,0
20010110,5.00,5.00,4.87,4.95,10304,0
20010111,4.97,5.07,4.90,5.03,0,0
20010112,5.01,5.01,4.90,4.99,0,0
20010115,4.99,4.99,4.99,4.99,0,0
20010116,4.97,5.11,4.79,5.00,0,0
20010117,5.03,5.17,5.03,5.11,0,0
20010118,5.10,5.13,5.01,5.01,0,0
20010119,5.03,5.05,4.89,4.89,6760,0
20010122,4.89,4.89,4.89,4.89,0,0
20010123,5.04,5.13,4.99,5.12,5624,0
20010124,5.10,5.10,5.01,5.03,0,0
20010125,5.01,5.28,5.01,5.26,0,0
20010126,5.24,5.28,5.16,5.25,6304,0
20010129,5.56,5.62,5.38,5.58,629128,0
20010130,5.45,5.51,5.25,5.29,0,0
20010131,5.28,5.28,5.25,5.28,869600,0
20010201,5.28,5.33,5.26,5.33,0,0
20010202,5.32,5.41,5.32,5.41,0,0
20010205,5.38,5.43,5.37,5.38,411200,0
20010206,5.40,5.62,5.40,5.60,1038400,0
20010207,5.60,5.62,5.48,5.54,0,0
20010208,5.38,5.52,5.38,5.50,0,0
20010209,5.53,5.53,5.35,5.38,0,0
20010212,5.40,5.46,5.40,5.41,474400,0
20010213,5.38,5.45,5.38,5.43,1374400,0
20010214,5.43,5.44,5.41,5.42,0,0
20010215,5.41,5.43,5.41,5.43,0,0
20010216,5.42,5.44,5.35,5.42,0,0
20010219,5.42,5.42,5.42,5.42,0,0
20010220,5.42,5.56,5.36,5.36,720800,0
20010221,5.30,5.38,5.30,5.32,692000,0
20010222,5.33,5.33,5.11,5.26,1071200,0
20010223,5.25,5.35,5.20,5.35,586400,0
20010226,5.33,5.50,5.32,5.49,1060800,0
20010227,5.48,5.75,5.48,5.54,1255200,0
20010228,5.54,5.54,5.37,5.44,481600,0
20010301,5.44,5.51,5.38,5.41,964800,0
20010302,5.40,5.75,5.40,5.63,1877600,0
20010305,5.66,5.67,5.58,5.60,579200,0
20010306,5.63,5.73,5.62,5.63,446400,0
20010307,5.65,5.68,5.60,5.66,495200,0
20010308,5.66,5.77,5.66,5.73,703200,0
20010309,5.74,5.75,5.61,5.70,49604000,0
20010312,5.69,5.76,5.62,5.62,1839200,0
20010313,5.65,5.65,5.48,5.50,744000,0
20010314,5.44,5.50,5.35,5.40,683200,0
20010315,5.40,5.42,5.35,5.40,8470400,0
20010316,5.39,5.43,5.26,5.27,795200,0
20010319,5.28,5.43,5.27,5.41,776000,0
20010320,5.39,5.43,5.23,5.23,1226400,0
20010321,5.25,5.25,5.03,5.06,8804000,0
20010322,5.06,5.06,4.80,4.87,2052000,0
20010323,4.87,5.07,4.87,5.03,1207200,0
20010326,5.03,5.28,5.01,5.26,947200,0
20010327,5.22,5.28,5.05,5.28,1124800,0
20010328,5.28,5.28,5.11,5.18,649600,0
20010329,5.14,5.18,4.99,5.01,8729600,0
20010330,5.03,5.07,4.99,5.01,8971200,0
20010402,5.01,5.08,4.99,5.01,1480000,0
20010403,5.01,5.01,4.93,4.95,674400,0
20010404,4.96,5.14,4.96,5.05,902400,0
20010405,5.04,5.14,4.88,5.12,2077600,0
20010406,5.19,5.19,5.01,5.14,855200,0
20010409,5.16,5.34,5.16,5.25,1124800,0
20010410,5.30,5.41,5.30,5.40,904000,0
20010411,5.41,5.41,5.23,5.28,397600,0
20010412,5.30,5.40,5.26,5.40,908800,0
20010416,5.45,5.53,5.45,5.48,1384000,0
20010417,5.47,5.53,5.44,5.53,324800,0
20010418,5.54,5.69,5.54,5.62,9510400,0
20010419,5.63,5.71,5.62,5.71,395200,0
20010420,5.75,5.75,5.58,5.71,741600,0
20010423,5.69,5.69,5.63,5.63,441600,0
20010424,5.63,5.70,5.63,5.66,254400,0
20010425,5.63,5.65,5.53,5.63,9237600,0
20010426,5.63,5.68,5.61,5.61,873600,0
20010427,5.60,5.66,5.56,5.58,8773600,0
20010430,5.58,5.63,5.57,5.57,517600,0
20010501,5.63,5.63,5.50,5.53,16956800,0
20010502,5.53,5.62,5.50,5.58,533600,0
20010503,5.56,5.56,5.47,5.50,16770400,0
20010504,5.48,5.50,5.44,5.50,852800,0
20010507,5.50,5.59,5.49,5.49,636800,0
20010508,5.50,5.50,5.35,5.44,488800,0
20010509,5.44,5.50,5.41,5.41,600800,0
20010510,5.40,5.50,5.39,5.39,280000,0
20010511,5.40,5.43,5.28,5.30,552000,0
20010514,5.30,5.38,5.30,5.36,40460800,0
20010515,5.36,5.52,5.36,5.51,991200,0
20010516,5.50,5.72,5.50,5.72,656000,0
20010517,5.73,5.77,5.68,5.73,935200,0
20010518,5.73,5.73,5.64,5.69,571200,0
20010521,5.69,5.73,5.62,5.73,474400,0
20010522,5.70,5.77,5.65,5.75,24643200,0
20010523,5.75,5.77,5.72,5.74,1008000,0
20010524,5.74,5.82,5.70,5.82,9179200,0
20010525,5.83,5.90,5.83,5.86,784800,0
20010528,5.86,5.86,5.86,5.86,0,0
20010529,5.86,5.92,5.82,5.84,590400,0
20010530,5.84,5.84,5.70,5.70,728000,0
20010531,5.70,5.78,5.68,5.69,818400,0
20010601,5.72,5.93,5.72,5.91,1276800,0
20010604,5.90,5.91,5.86,5.87,853600,0
20010605,5.86,6.00,5.86,5.97,791200,0
20010606,5.97,5.97,5.91,5.92,468800,0
20010607,5.92,5.95,5.86,5.88,8597600,0
20010608,5.88,5.88,5.82,5.87,263200,0
20010611,5.87,5.93,5.87,5.91,40774400,0
20010612,5.90,5.90,5.74,5.75,17090400,0
20010613,5.76,5.82,5.72,5.72,568000,0
20010614,5.72,5.72,5.55,5.56,367200,0
20010615,5.49,5.57,5.49,5.55,960800,0
20010618,5.56,5.60,5.56,5.57,490400,0
20010619,5.58,5.59,5.54,5.55,566400,0
20010620,5.54,5.69,5.54,5.68,676800,0
20010621,5.68,5.95,5.67,5.88,1128000,0
20010622,5.91,6.00,5.88,5.92,1302400,0
20010625,5.94,5.94,5.87,5.93,1152000,0
20010626,5.91,6.13,5.90,6.08,1868800,0
20010627,6.08,6.14,6.02,6.02,952800,0
20010628,6.00,6.15,6.00,6.14,206400,0
20010629,6.18,6.21,6.14,6.20,9414400,0
20010702,6.18,6.18,6.07,6.09,1419200,0
20010703,6.09,6.10,5.96,6.03,2742400,0
20010704,6.03,6.03,6.03,6.03,0,0
20010705,6.03,6.09,5.98,6.01,1288000,0
20010706,6.02,6.02,5.93,5.93,791200,0
20010709,5.91,6.07,5.89,6.04,25003200,0
20010710,6.01,6.22,6.01,6.14,802400,0
20010711,6.13,6.26,6.13,6.23,2440800,0
20010712,6.25,6.38,6.25,6.35,10672000,0
20010713,6.35,6.42,6.34,6.40,977600,0
20010716,6.39,6.46,6.34,6.36,16605600,0
20010717,6.38,6.49,6.37,6.45,49517600,0
20010718,6.41,6.43,6.36,6.42,630400,0
20010719,6.41,6.43,6.33,6.38,1005600,0
20010720,6.39,6.41,6.38,6.39,443200,0
20010723,6.39,6.39,6.26,6.26,8654400,0
20010724,6.25,6.25,5.93,5.93,888800,0
20010725,5.94,6.13,5.94,6.04,1599200,0
20010726,6.05,6.30,6.05,6.28,1096000,0
20010727,6.27,6.43,6.27,6.41,960000,0
20010730,6.41,6.61,6.41,6.54,2504800,0
20010731,6.57,6.68,6.57,6.62,888800,0
