DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,43.63,43.88,42.63,43.31,33341,0
20010103,43.38,43.38,42.25,42.81,55450,0
20010104,42.75,42.81,42.38,42.56,0,0
20010105,42.50,42.50,40.44,40.75,360774,0
20010108,40.94,41.00,40.13,40.25,0,0
20010109,40.50,40.56,40.13,40.44,0,0
20010110,40.31,40.88,40.00,40.50,1861,0
20010111,40.63,40.63,40.00,40.13,82237,0
20010112,40.38,40.63,40.25,40.56,2740,0
20010115,40.56,40.56,40.56,40.56,0,0
20010116,40.69,40.69,40.25,40.38,0,0
20010117,40.50,40.56,40.25,40.44,2309,0
20010118,40.44,40.75,40.25,40.75,0,0
20010119,40.63,40.75,40.38,40.63,1411,0
20010122,40.63,40.63,40.63,40.63,0,0
20010123,40.81,41.56,40.81,41.50,1421,0
20010124,41.75,42.19,41.56,41.94,0,0
20010125,41.94,42.44,41.88,42.38,0,0
20010126,42.25,42.31,41.50,41.63,0,0
20010129,41.45,42.97,40.00,42.66,190500,0
20010130,41.00,43.09,41.00,43.03,0,0
20010131,41.00,41.00,40.47,40.60,0,0
20010201,40.50,41.00,40.20,41.00,298700,0
20010202,41.01,42.12,40.90,42.12,0,0
20010205,42.40,42.50,41.65,42.10,168700,0
20010206,42.10,42.11,41.20,41.27,0,0
20010207,41.27,41.35,40.25,40.65,0,0
20010208,40.67,40.67,40.25,40.50,249800,0
20010209,40.65,40.70,40.26,40.29,0,0
20010212,40.43,40.59,40.40,40.55,0,0
20010213,40.50,40.75,40.45,40.71,114600,0
20010214,40.66,40.70,40.53,40.60,0,0
20010215,40.54,40.70,40.45,40.60,117700,0
20010216,40.60,40.60,40.25,40.36,180600,0
20010219,40.36,40.36,40.36,40.36,0,0
20010220,40.40,40.40,40.10,40.25,231400,0
20010221,40.10,40.10,39.70,39.75,5254700,0
20010222,39.70,39.70,39.00,39.21,3671500,0
20010223,39.15,40.28,39.15,40.20,860900,0
20010226,40.25,40.35,39.80,39.97,1172900,0
20010227,40.00,40.30,39.86,40.30,6269800,0
20010228,40.50,40.50,40.01,40.34,27180500,0
20010301,40.36,40.36,40.00,40.15,412600,0
20010302,40.15,40.70,40.15,40.62,331200,0
20010305,40.85,41.05,40.65,40.65,11312800,0
20010306,40.76,40.87,40.50,40.70,623100,0
20010307,40.80,41.13,40.70,41.06,7006300,0
20010308,41.04,41.17,41.00,41.13,46700,0
20010309,41.25,41.25,40.89,40.89,336000,0
20010312,40.80,40.86,39.90,40.03,2294500,0
20010313,40.00,40.00,39.64,39.82,200600,0
20010314,39.80,40.07,39.65,39.74,146400,0
20010315,39.74,39.85,39.51,39.85,159900,0
20010316,40.00,40.25,39.40,39.47,1197300,0
20010319,39.50,39.70,39.39,39.50,85100,0
20010320,39.55,40.00,39.15,39.24,1106100,0
20010321,39.00,39.42,38.50,38.75,125700,0
20010322,38.80,38.80,37.25,37.92,305200,0
20010323,38.48,39.00,38.36,38.68,251200,0
20010326,38.80,39.58,38.35,39.58,98000,0
20010327,39.31,39.60,39.00,39.45,177200,0
20010328,38.99,38.99,38.49,38.55,4231200,0
20010329,38.50,38.60,38.26,38.50,1109900,0
20010330,38.60,38.66,38.40,38.45,119100,0
20010402,38.50,38.65,37.78,38.10,2262600,0
20010403,38.10,38.21,37.75,37.91,178200,0
20010404,37.95,38.33,37.64,37.70,125200,0
20010405,37.70,37.96,37.70,37.90,139900,0
