DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,19.5625,19.7500,18.3125,18.6875,20297,0
20010103,19.0000,21.6250,19.0000,21.3125,45321,0
20010104,25.6250,26.7500,24.8750,25.8750,81237,0
20010105,25.8750,25.8750,23.0000,23.4375,52281,0
20010108,23.8750,24.6875,23.1875,24.5625,0,0
20010109,24.9375,26.9375,24.6875,26.4375,39413,0
20010110,26.5000,28.2500,25.8750,27.6875,38413,0
20010111,27.8125,28.8750,27.3125,28.6250,33879,0
20010112,28.1875,29.2500,27.0000,27.7500,87822,0
20010115,27.7500,27.7500,27.7500,27.7500,0,0
20010116,27.6875,27.9375,26.6250,27.5000,27679,0
20010117,28.1250,29.0000,28.0000,28.9375,33218,0
20010118,30.2500,34.6250,30.0625,34.6250,114554,0
20010119,34.5625,34.6250,33.1875,33.6875,65823,0
20010122,33.6875,33.6875,33.6875,33.6875,0,0
20010123,32.1875,34.2500,32.0625,34.1250,74987,0
20010124,33.7500,35.2500,33.5625,34.6250,34652,0
20010125,34.5000,34.5625,33.3750,33.5000,28553,0
20010126,34.0000,34.4375,32.6875,34.1875,30922,0
20010129,36.3438,37.2500,35.0000,36.0937,1925400,0
20010130,37.0937,41.0938,36.7813,38.5625,6707200,0
20010131,37.5000,37.5000,35.7600,36.0500,3573200,0
20010201,36.0100,36.1900,35.1000,35.8300,1967500,0
20010202,36.2500,36.2500,33.8800,34.1000,3190800,0
20010205,33.6000,34.1000,33.1800,33.7300,1733200,0
20010206,33.7500,35.2000,33.7500,34.9800,2835900,0
20010207,34.3000,35.1000,33.6500,35.0600,5041400,0
20010208,34.9900,36.4000,34.7200,36.4000,4842400,0
20010209,36.6000,36.6000,34.5000,34.9000,2533100,0
20010212,34.7500,36.3500,34.2000,35.1700,1791200,0
20010213,35.3500,35.7400,34.3500,34.4900,1852000,0
20010214,34.4000,35.5000,33.1300,35.5000,5650800,0
20010215,36.6900,38.1000,36.5000,37.5000,3653100,0
20010216,35.8100,37.0500,35.2600,35.9000,2766700,0
20010219,35.9000,35.9000,35.9000,35.9000,0,0
20010220,35.2000,35.6200,34.0000,35.2500,2285200,0
20010221,35.0000,35.0000,32.3700,32.7500,2737700,0
20010222,32.9700,33.3500,31.5000,32.8800,2623500,0
20010223,31.9000,32.3300,30.5100,32.1900,2402500,0
20010226,32.3600,33.9000,31.9100,33.6300,2669900,0
20010227,33.8800,33.8800,32.1500,32.4900,2146100,0
20010228,32.4400,32.9800,30.5000,31.1900,1867000,0
20010301,30.1200,31.5000,29.8000,31.4000,3006900,0
20010302,28.9900,31.5000,28.1000,29.6500,8503700,0
20010305,29.6500,29.9700,27.9900,28.3200,3965000,0
20010306,28.8000,29.0000,27.4700,27.5300,4398100,0
20010307,27.9000,30.3000,27.8000,29.7000,9018200,0
20010308,29.6000,29.6000,28.5100,28.7400,3159200,0
20010309,28.0000,28.4000,26.0000,26.5200,4078600,0
20010312,26.5200,27.8000,25.7300,26.4000,2992900,0
20010313,26.6500,27.0700,25.5900,26.1500,3209600,0
20010314,25.8900,26.0800,23.7800,24.9200,4120800,0
20010315,26.5000,26.8000,25.1600,25.3000,39901700,0
20010316,24.3000,25.6500,24.2500,24.4000,4947400,0
20010319,24.5500,25.4500,24.5100,25.1800,2500100,0
20010320,25.1700,25.5000,24.8500,24.8800,3245100,0
20010321,25.0000,26.3000,24.9000,25.3000,14148300,0
20010322,25.1200,26.3400,25.1200,26.3100,3195400,0
20010323,27.5500,28.1000,26.2700,26.6000,5662500,0
20010326,26.9000,27.0000,25.9000,26.0000,34526100,0
20010327,26.0500,27.3900,25.9600,27.2600,3451600,0
20010328,27.1000,27.1000,25.8400,26.0000,2999200,0
20010329,25.3000,26.9500,25.1100,26.2800,1851400,0
20010330,26.1500,27.9000,26.1100,27.2000,1694200,0
20010402,27.5000,28.4500,27.0000,27.2700,2049500,0
20010403,26.8600,26.9000,25.0600,25.4000,2764700,0
20010404,25.2500,26.9300,25.0600,25.7300,2356800,0
20010405,26.8500,28.4000,26.7100,28.1500,2769900,0
20010406,28.2500,29.0000,27.5500,28.2000,3872300,0
20010409,28.4500,28.8000,27.9000,28.4900,1529800,0
20010410,30.1000,30.9300,29.9000,30.1100,3152800,0
20010411,31.2500,32.0000,29.3600,29.8200,2951600,0
20010412,29.3000,29.8900,28.8700,29.8200,2192500,0
20010416,30.0500,30.1100,29.1000,29.5900,1923500,0
20010417,32.0000,34.0000,32.0000,33.9000,6624200,0
20010418,33.9800,38.0600,33.5400,36.5000,7007300,0
20010419,35.9100,38.0000,35.6000,37.0000,3546500,0
20010420,37.0000,37.2000,36.0000,37.1900,3437800,0
20010423,36.0000,36.1000,34.9500,35.8000,2157800,0
20010424,35.1800,36.4900,35.1200,35.6900,2786700,0
20010425,34.2500,35.0500,33.3500,34.6000,4239200,0
20010426,35.3500,36.3600,35.0800,36.0100,3047300,0
20010427,36.4000,36.4500,34.9000,35.2100,10413800,0
20010430,32.5000,32.5000,30.0100,32.1900,13371900,0
20010501,31.9500,31.9500,30.5000,31.0200,5333000,0
20010502,31.0000,31.9000,29.8800,30.1100,6242500,0
20010503,30.1500,30.7300,29.3000,29.7600,26864000,0
20010504,29.1700,30.8000,29.0000,30.7000,4037200,0
20010507,29.1500,29.1500,27.8000,28.2000,8154200,0
20010508,28.4500,28.7500,27.5500,28.6000,5167200,0
20010509,28.4500,29.3800,27.8500,29.1200,7638400,0
20010510,29.4800,29.4800,27.9500,28.3700,2675800,0
20010511,28.1500,28.2500,27.3400,27.5200,5724300,0
20010514,27.5000,28.3500,27.2500,28.3500,2154200,0
20010515,28.2000,28.8900,27.9300,28.2500,2155300,0
20010516,27.8000,30.5000,27.7600,30.2700,3160500,0
20010517,30.0500,30.6500,29.8500,29.9300,2490700,0
20010518,29.9500,30.0300,29.3800,30.0000,6101500,0
20010521,30.0100,31.0600,29.7500,31.0200,1616500,0
20010522,31.8500,32.7000,31.0500,32.5600,3619400,0
20010523,32.3200,32.7100,30.6400,30.7100,3214600,0
20010524,30.9800,32.2000,30.8200,31.9000,3023900,0
20010525,32.0500,32.2500,30.9000,30.9000,6097000,0
20010528,30.9000,30.9000,30.9000,30.9000,0,0
20010529,31.0000,31.0200,29.4000,29.7900,6170000,0
20010530,28.5500,29.0500,28.1300,28.2700,3177400,0
20010531,28.0000,28.9500,27.8900,28.3600,2995400,0
20010601,28.6000,30.5700,28.6000,30.1400,3775300,0
20010604,30.5000,31.0400,30.3100,30.4800,1951800,0
20010605,30.7500,32.8700,30.7000,32.5000,3346700,0
20010606,32.5700,33.1000,32.3200,32.7500,2112300,0
20010607,32.8500,34.0900,32.8000,34.0800,1613200,0
20010608,33.5000,33.7600,33.3500,33.5200,1324200,0
20010611,33.2800,33.5100,32.2400,32.2500,2086200,0
20010612,31.5500,32.6000,30.7600,32.6000,3695800,0
20010613,32.5900,33.3500,32.3300,32.7900,2054700,0
20010614,32.8000,32.8500,31.3700,31.3700,2691100,0
20010615,31.2000,33.0500,31.0000,32.5500,2931000,0
20010618,32.5600,32.9500,32.1100,32.2500,2148400,0
20010619,33.0900,33.7000,32.2000,32.4400,1980500,0
20010620,32.3000,34.0500,32.3000,33.8000,2922400,0
20010621,34.5000,35.3000,33.2300,33.6900,5307600,0
20010622,33.6000,33.7800,31.7500,31.8500,3228900,0
20010625,32.2000,32.3500,31.7200,32.0000,1498500,0
20010626,31.5000,32.9500,31.3700,32.6600,1859000,0
20010627,32.3000,33.2500,32.1600,33.2400,4688200,0
20010628,33.4000,34.1000,32.9500,33.4600,15925300,0
20010629,34.1000,36.0000,33.6100,36.0000,4533100,0
20010702,35.2600,35.5000,34.2600,34.6200,2105400,0
20010703,34.2000,35.0000,33.9400,34.6400,1078000,0
20010704,34.6400,34.6400,34.6400,34.6400,0,0
20010705,34.6000,34.8000,33.3200,33.9000,3989000,0
20010706,33.0000,33.0000,31.9100,32.0200,8386500,0
20010709,32.0700,33.4000,32.0700,33.0500,2296000,0
20010710,33.0500,33.3500,31.0000,31.1200,2113600,0
