DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,20.14,20.23,19.89,19.89,0,0
20010103,19.84,20.19,18.58,18.68,135184,0
20010104,18.53,18.58,17.03,17.70,53143,0
20010105,17.70,18.33,17.51,18.19,16366,0
20010108,18.00,18.58,18.00,18.48,50957,0
20010109,18.43,18.92,18.29,18.78,51453,0
20010110,18.82,18.97,18.68,18.92,21015,0
20010111,18.97,18.97,18.43,18.53,13733,0
20010112,18.33,18.33,18.14,18.29,14334,0
20010115,18.29,18.29,18.29,18.29,0,0
20010116,18.29,18.53,18.24,18.48,11442,0
20010117,18.24,18.63,18.24,18.48,13915,0
20010118,18.48,18.82,18.48,18.68,12874,0
20010119,18.58,18.68,18.24,18.39,170494,0
20010122,18.39,18.39,18.39,18.39,0,0
20010123,18.33,18.33,18.00,18.29,31432,0
20010124,18.29,18.33,17.94,18.19,13254,0
20010125,18.24,18.53,17.94,18.29,12105,0
20010126,18.14,18.29,17.94,18.14,30495,0
20010129,18.87,19.55,18.50,19.04,731000,0
20010130,19.04,20.30,18.39,19.77,1040500,0
20010131,18.60,18.60,18.15,18.21,1068800,0
20010201,18.56,18.89,18.16,18.70,1039300,0
20010202,18.95,19.10,18.60,18.69,1783500,0
20010205,18.70,19.05,18.48,18.62,1073000,0
20010206,18.71,18.75,18.53,18.69,928900,0
20010207,19.06,19.06,18.68,18.88,37251600,0
20010208,19.01,19.41,18.92,19.27,1662200,0
20010209,19.34,19.37,18.96,19.03,1221900,0
20010212,19.10,19.38,18.77,19.24,4691900,0
20010213,19.45,19.45,18.81,19.34,1328800,0
20010214,14.59,15.72,14.59,15.57,27130300,0
20010215,15.72,16.34,15.65,16.27,7389200,0
20010216,16.11,16.11,15.87,15.98,4096200,0
20010219,15.98,15.98,15.98,15.98,0,0
20010220,15.92,16.18,15.80,15.98,3015600,0
20010221,15.95,15.98,15.17,15.81,1977500,0
20010222,15.95,15.95,15.49,15.58,3335200,0
20010223,15.58,15.60,15.25,15.41,20693000,0
20010226,15.41,15.53,15.17,15.33,3631100,0
20010227,15.36,15.36,14.78,15.02,3244100,0
20010228,14.94,15.32,14.79,15.31,6269300,0
20010301,15.52,15.56,15.19,15.35,2116500,0
20010302,15.51,15.51,14.86,15.00,8068800,0
20010305,15.14,15.30,14.94,15.04,1315600,0
20010306,14.85,15.10,14.85,14.92,1614300,0
20010307,14.98,15.29,14.93,15.15,11774800,0
20010308,15.03,15.28,14.78,15.10,12537100,0
20010309,15.16,15.25,14.98,15.19,1213900,0
20010312,15.00,15.56,14.99,15.39,1711100,0
20010313,15.41,15.43,14.89,15.26,1383700,0
20010314,15.27,15.27,14.89,15.06,1878500,0
20010315,15.25,15.25,15.03,15.17,1611900,0
20010316,14.82,15.12,14.82,14.99,2170200,0
20010319,15.08,15.10,14.86,14.92,2137200,0
20010320,14.88,14.88,14.60,14.68,2305900,0
20010321,14.78,14.82,14.61,14.65,2184500,0
20010322,14.75,14.80,14.56,14.67,2426800,0
20010323,14.59,14.89,14.33,14.81,2105800,0
20010326,14.80,14.92,14.33,14.36,3255700,0
20010327,13.62,14.16,13.62,14.12,22511100,0
20010328,14.08,14.19,14.01,14.12,3483400,0
20010329,14.12,14.12,13.94,14.01,27957200,0
20010330,14.00,14.28,13.91,14.19,39693300,0
20010402,14.26,14.35,14.04,14.11,6082900,0
20010403,14.12,14.16,13.91,14.09,1576600,0
20010404,14.20,14.78,14.12,14.78,2223900,0
20010405,14.78,14.94,14.75,14.87,2319800,0
20010406,14.87,15.31,14.87,15.17,41607400,0
20010409,15.29,15.49,15.29,15.35,13353700,0
20010410,15.11,15.32,15.10,15.17,1812800,0
20010411,15.17,15.19,14.99,15.08,1108100,0
20010412,15.16,15.37,15.05,15.15,56074500,0
20010416,15.24,15.45,15.16,15.41,936000,0
20010417,15.41,15.64,15.25,15.52,1199800,0
20010418,15.52,15.80,15.42,15.60,1199900,0
20010419,15.71,15.76,15.57,15.71,600700,0
20010420,15.71,15.74,15.52,15.60,1727900,0
20010423,15.56,15.80,15.56,15.69,763000,0
20010424,15.73,15.73,15.60,15.63,896400,0
20010425,15.56,15.99,15.56,15.98,990900,0
20010426,15.77,16.14,15.77,15.92,797900,0
20010427,15.99,16.15,15.87,16.12,431400,0
20010430,16.22,16.33,16.06,16.19,796000,0
20010501,16.19,16.58,16.08,16.58,1158700,0
20010502,16.34,16.34,16.01,16.15,1053800,0
20010503,16.35,16.35,15.66,16.11,5893800,0
20010504,15.92,16.34,15.91,16.34,733100,0
20010507,16.26,16.63,16.16,16.61,1112200,0
20010508,16.61,16.68,16.43,16.68,1026200,0
20010509,16.68,16.68,16.36,16.50,1402200,0
20010510,16.65,16.73,16.54,16.71,828100,0
20010511,16.54,16.82,16.36,16.45,775800,0
20010514,16.64,16.65,16.43,16.51,376600,0
20010515,16.52,16.53,16.26,16.43,378300,0
20010516,16.26,16.88,16.22,16.88,1513900,0
20010517,16.73,16.81,16.11,16.38,1447300,0
20010518,16.30,16.53,16.19,16.34,10575100,0
20010521,16.34,16.35,15.95,16.22,5726700,0
20010522,16.21,16.35,15.95,15.95,1565700,0
20010523,16.11,16.29,15.93,16.04,1565100,0
20010524,15.37,15.84,15.37,15.62,35932200,0
20010525,15.72,15.79,15.60,15.77,2565700,0
20010528,15.77,15.77,15.77,15.77,0,0
20010529,15.85,16.44,15.72,16.38,3016400,0
20010530,16.18,16.34,16.05,16.15,1272700,0
20010531,16.26,16.33,16.03,16.19,885900,0
20010601,16.26,16.26,15.80,16.06,1250200,0
20010604,15.98,16.10,15.87,16.05,461300,0
20010605,15.84,16.13,15.80,16.04,640200,0
20010606,16.04,16.07,15.84,15.87,433700,0
20010607,15.80,15.95,15.76,15.87,852200,0
20010608,15.87,15.87,15.56,15.76,528100,0
20010611,15.76,15.83,15.53,15.56,2152700,0
20010612,15.56,15.84,15.53,15.77,1781700,0
20010613,15.86,15.98,15.73,15.91,1368900,0
20010614,15.94,16.15,15.86,15.98,1549000,0
20010615,16.07,16.14,15.84,16.03,2435700,0
20010618,16.19,16.19,15.73,15.79,752200,0
20010619,15.84,15.87,15.60,15.65,690500,0
20010620,15.73,15.92,15.59,15.67,1681400,0
20010621,15.76,16.34,15.70,16.33,1223400,0
20010622,16.33,16.46,15.94,15.98,1494600,0
20010625,15.41,15.95,15.17,15.41,2183400,0
20010626,15.25,15.52,15.13,15.29,2134600,0
20010627,15.17,15.21,14.77,14.80,2213000,0
20010628,14.75,15.33,14.63,15.22,3132900,0
20010629,15.25,15.42,15.02,15.42,2616700,0
20010702,15.28,15.37,15.14,15.24,1240400,0
20010703,15.28,15.33,15.04,15.32,719900,0
20010704,15.32,15.32,15.32,15.32,0,0
20010705,15.31,15.49,15.14,15.47,1050500,0
20010706,15.42,15.71,15.38,15.56,10600000,0
20010709,15.41,15.56,15.39,15.39,3679400,0
20010710,15.44,15.44,15.19,15.30,1957200,0
20010711,15.30,15.49,15.19,15.45,2188500,0
20010712,15.33,15.57,15.16,15.56,1090700,0
20010713,15.57,15.81,15.57,15.77,12793700,0
20010716,15.68,16.07,15.67,15.96,5845000,0
20010717,16.11,16.34,15.95,16.31,1936400,0
20010718,16.34,16.46,16.19,16.45,10861000,0
20010719,16.46,16.54,16.34,16.49,568800,0
20010720,16.61,16.61,16.35,16.54,722600,0
20010723,16.42,16.54,16.36,16.41,636100,0
20010724,16.22,16.43,16.22,16.31,2631700,0
20010725,16.34,16.63,16.26,16.57,4671900,0
20010726,16.40,16.72,16.40,16.68,1567800,0
20010727,16.68,16.70,16.33,16.56,721000,0
20010730,16.47,16.68,16.42,16.68,1193700,0
20010731,16.54,16.72,16.52,16.72,1312500,0
20010801,16.54,16.64,16.34,16.40,4631600,0
20010802,16.42,16.54,16.34,16.54,543500,0
20010803,16.65,16.65,15.58,16.33,514600,0
20010806,16.34,16.54,16.10,16.36,1234000,0
20010807,16.18,16.33,16.03,16.21,766700,0
20010808,16.03,16.15,15.87,16.04,756800,0
20010809,15.95,16.40,15.87,16.40,2567100,0
20010810,16.36,16.72,16.33,16.64,12734500,0
20010813,16.64,16.64,16.29,16.64,714800,0
20010814,16.64,16.73,16.60,16.64,16958800,0
20010815,16.69,16.73,16.57,16.67,722100,0
20010816,16.57,16.69,16.34,16.54,12625200,0
20010817,16.50,16.73,16.47,16.72,3439300,0
20010820,16.72,17.25,16.70,17.25,1369800,0
20010821,17.27,17.45,17.12,17.27,1019600,0
20010822,17.39,17.69,17.05,17.61,1195900,0
20010823,17.70,17.70,17.22,17.27,8979300,0
20010824,17.24,17.49,17.18,17.27,922800,0
20010827,17.20,17.48,17.19,17.34,534200,0
20010828,17.24,17.35,16.92,17.26,5881200,0
20010829,17.20,17.43,17.00,17.31,5580000,0
20010830,17.43,17.98,17.43,17.90,16582400,0
20010831,17.90,18.01,17.79,17.86,1201000,0
20010903,17.86,17.86,17.86,17.86,0,0
20010904,17.86,18.37,17.82,18.29,1433400,0
20010905,18.01,18.44,17.66,18.20,1416700,0
20010906,18.09,18.21,17.67,17.98,13034100,0
20010907,17.77,17.95,17.66,17.78,2085600,0
20010910,17.56,17.98,17.51,17.80,1830800,0
20010911,17.80,17.80,17.80,17.80,0,0
20010917,17.27,17.64,16.92,17.49,1234900,0
20010918,17.35,17.59,17.00,17.57,813000,0
20010919,17.59,17.61,16.99,17.51,8314000,0
20010920,17.51,17.51,16.70,17.09,32749400,0
20010921,16.93,17.04,16.58,16.97,2250100,0
20010924,16.97,17.24,16.96,17.11,2229400,0
20010925,17.12,17.20,16.81,16.98,1597600,0
20010926,17.10,17.11,16.65,16.90,1796200,0
20010927,16.92,17.12,16.81,17.12,2358300,0
20010928,17.20,17.50,17.17,17.47,1554800,0
20011001,17.59,17.60,17.34,17.51,2110200,0
20011002,17.70,17.90,17.12,17.90,2296800,0
20011003,17.98,17.98,17.73,17.84,2175300,0
20011004,17.88,17.90,17.66,17.78,5897600,0
20011005,17.78,17.90,17.66,17.86,1424600,0
20011008,17.86,17.87,17.47,17.63,677300,0
20011009,17.66,17.77,17.34,17.44,859900,0
20011010,17.55,17.86,17.40,17.71,1698500,0
20011011,17.59,17.84,17.52,17.76,1296200,0
20011012,17.59,17.66,16.99,17.14,1377300,0
20011015,17.21,17.39,17.04,17.10,1564300,0
20011016,17.25,17.34,17.08,17.09,1197100,0
20011017,17.20,17.29,17.00,17.03,1540600,0
20011018,17.08,17.31,17.05,17.14,1431000,0
20011019,17.15,17.61,17.12,17.49,716600,0
20011022,17.51,17.70,17.40,17.58,711200,0
20011023,17.59,17.71,17.25,17.67,734500,0
20011024,17.78,17.90,17.56,17.63,1206200,0
20011025,17.63,17.90,17.49,17.87,1181300,0
20011026,17.86,18.08,17.81,18.00,1041400,0
20011029,18.08,18.08,17.75,17.87,867500,0
20011030,17.87,17.99,17.72,17.97,763400,0
20011031,17.94,17.94,17.72,17.82,1258100,0
20011101,17.89,18.37,17.71,18.35,1841400,0
20011102,18.21,18.68,18.10,18.65,2270600,0
20011105,18.85,19.01,18.69,18.93,1220600,0
20011106,18.75,19.27,18.73,19.19,1124200,0
20011107,18.99,19.33,18.91,19.22,907300,0
20011108,19.30,19.33,18.54,18.68,1441300,0
20011109,18.19,18.48,18.03,18.36,23773000,0
20011112,18.36,18.36,18.02,18.25,860200,0
20011113,18.43,18.44,18.13,18.33,2692200,0
20011114,18.01,18.43,17.98,18.25,991900,0
20011115,18.06,18.36,18.06,18.18,839900,0
20011116,18.36,18.36,17.91,18.15,876200,0
20011119,18.27,18.29,17.96,18.05,1952900,0
20011120,17.98,18.12,17.81,18.05,971000,0
20011121,18.05,18.13,17.91,18.01,481300,0
20011122,18.01,18.01,18.01,18.01,0,0
20011123,17.99,18.05,17.91,18.04,242400,0
20011126,18.04,18.05,17.90,17.96,4695100,0
20011127,17.78,17.86,17.57,17.66,718700,0
20011128,17.66,17.88,17.63,17.70,8038500,0
20011129,17.74,17.88,17.59,17.77,1356900,0
20011130,17.82,17.93,17.60,17.87,1569600,0
20011203,17.87,18.04,17.76,18.01,1741600,0
20011204,18.01,18.15,17.91,18.13,6032100,0
20011205,18.13,18.22,18.03,18.11,747900,0
20011206,17.98,18.13,17.82,18.05,1177800,0
20011207,17.91,18.13,17.91,18.12,959300,0
20011210,18.12,18.27,17.98,18.11,951600,0
20011211,18.12,18.19,17.73,17.79,806600,0
20011212,17.82,17.90,17.67,17.85,5759000,0
20011213,17.80,18.40,17.74,18.24,1523900,0
20011214,18.13,18.66,18.13,18.50,1942900,0
20011217,18.44,18.63,18.32,18.50,1232400,0
20011218,18.50,18.64,18.48,18.61,1526100,0
20011219,18.61,19.06,18.50,18.92,1631400,0
20011220,18.36,19.04,18.36,18.86,1380200,0
20011221,18.86,18.91,18.64,18.68,1715400,0
20011224,18.71,18.90,18.68,18.78,540100,0
20011226,18.83,18.96,18.71,18.84,1001200,0
20011227,18.83,18.87,18.68,18.82,7503900,0
20011228,18.83,18.87,18.52,18.58,600200,0
20011231,18.64,18.71,18.44,18.50,1077000,0
20020102,18.54,18.61,18.29,18.56,1287500,0
20020103,18.54,18.55,18.24,18.26,1149600,0
20020104,18.33,18.33,18.01,18.10,1053200,0
20020107,18.13,18.19,17.94,18.13,1131400,0
20020108,18.25,18.38,18.10,18.29,1088700,0
