DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,66.58,66.58,64.67,64.83,43808,0
20010103,64.67,66.29,63.17,63.17,26820,0
20010104,62.50,62.54,58.00,58.67,54198,0
20010105,59.17,61.67,58.88,61.50,34926,0
20010108,61.54,62.00,60.58,62.00,19544,0
20010109,62.00,63.63,61.88,63.08,14888,0
20010110,62.83,63.00,61.79,62.58,15054,0
20010111,62.92,63.58,62.92,63.21,31721,0
20010112,63.17,63.58,61.63,63.50,24036,0
20010115,63.50,63.50,63.50,63.50,0,0
20010116,63.42,63.42,62.08,62.38,22782,0
20010117,62.21,63.08,61.92,62.42,18470,0
20010118,62.50,64.21,62.42,63.04,23298,0
20010119,63.04,63.17,61.63,62.50,23789,0
20010122,62.50,62.50,62.50,62.50,0,0
20010123,62.38,64.88,62.17,64.63,21077,0
20010124,64.63,64.63,63.67,64.58,0,0
20010125,64.58,67.00,64.17,66.67,12099,0
20010126,66.25,66.58,66.04,66.46,6690,0
20010129,68.54,68.71,66.52,66.67,8223650,0
20010130,66.38,66.73,64.00,65.04,2693250,0
20010131,63.87,64.87,62.40,63.53,6108900,0
20010201,63.40,64.03,63.20,63.59,1608750,0
20010202,64.17,64.17,63.23,63.90,840600,0
20010205,64.71,65.14,64.21,64.67,11426600,0
20010206,64.80,64.99,63.63,64.12,2031900,0
20010207,64.11,65.36,63.27,65.17,3432000,0
20010208,65.17,66.60,65.17,66.17,1935600,0
20010209,65.47,65.52,64.51,65.52,956550,0
20010212,65.79,67.83,65.70,67.06,1559100,0
20010213,67.13,67.37,65.70,66.41,1278300,0
20010214,66.63,67.83,66.50,66.70,9057750,0
20010215,66.67,67.27,65.98,67.13,2051700,0
20010216,67.13,67.80,66.58,67.00,1973550,0
20010219,67.00,67.00,67.00,67.00,0,0
20010220,67.33,67.37,66.50,66.91,2816550,0
20010221,66.93,68.00,66.47,66.51,2594100,0
20010222,66.37,66.37,65.30,66.02,1589850,0
20010223,66.00,67.31,65.13,67.23,1460100,0
20010226,67.23,67.23,65.30,65.60,5968650,0
20010227,65.67,66.17,65.23,65.33,2196600,0
20010228,65.80,68.23,65.80,67.67,2595600,0
20010301,67.83,67.97,66.53,66.73,3774450,0
20010302,66.60,66.96,65.33,65.33,2819700,0
20010305,65.73,65.90,64.37,64.83,29534000,0
20010306,64.80,66.07,63.67,65.80,1960650,0
20010307,65.80,66.28,65.14,66.25,3027150,0
20010308,66.15,69.17,66.07,68.35,1980150,0
20010309,67.60,68.01,67.17,67.40,1035450,0
20010312,66.73,66.87,66.17,66.17,1541250,0
20010313,66.10,67.33,66.10,67.31,9833250,0
20010314,66.67,66.83,65.03,66.33,4011600,0
20010315,65.40,65.40,63.00,63.50,9863700,0
20010316,63.03,63.40,58.57,59.33,3957150,0
20010319,60.00,61.60,59.93,61.06,2364900,0
20010320,61.70,63.33,61.63,62.83,1960650,0
20010321,62.47,62.53,61.27,61.63,2559000,0
20010322,60.67,60.80,56.67,59.03,4621500,0
20010323,60.07,61.33,59.40,59.61,3169950,0
20010326,59.73,61.99,59.73,60.77,3617550,0
20010327,61.44,61.82,60.29,61.33,5886450,0
20010328,61.09,61.88,60.47,61.63,1531800,0
20010329,61.93,64.23,61.62,62.41,2009850,0
20010330,62.93,64.92,62.00,64.33,2748900,0
20010402,64.17,65.33,63.07,63.33,1491000,0
20010403,63.13,63.65,61.27,61.97,1927800,0
20010404,61.33,62.80,60.44,62.09,1732050,0
20010405,62.09,62.09,62.09,62.09,0,0
20010406,63.83,64.67,63.37,63.93,8334000,0
20010409,64.50,65.33,63.87,64.00,5787000,0
20010410,64.00,64.00,64.00,64.00,0,0
20010411,63.37,63.63,60.86,61.78,2800500,0
20010412,62.30,63.57,62.27,63.30,7195650,0
20010416,63.93,64.20,62.23,63.21,1220400,0
20010417,63.33,64.27,63.00,63.07,2068800,0
20010418,63.07,63.07,63.07,63.07,0,0
20010419,63.67,65.09,62.81,63.67,1749450,0
20010420,63.53,64.30,63.53,64.07,0,0
20010423,65.30,66.44,64.65,65.06,1230900,0
20010424,65.10,66.66,64.50,64.50,4583800,0
20010425,65.00,66.90,64.60,66.75,1569700,0
20010426,66.05,66.48,65.10,65.17,2278400,0
20010427,65.30,65.50,62.41,64.76,27290100,0
20010430,66.00,69.42,65.50,67.40,5117600,0
20010501,67.41,68.30,67.00,68.00,1785500,0
20010502,66.06,67.69,66.00,67.25,2202700,0
20010503,66.25,67.15,65.78,66.07,9216800,0
20010504,64.95,66.30,64.00,66.05,1521800,0
20010507,66.04,67.01,66.04,66.54,1380900,0
20010508,67.10,67.90,66.50,67.66,1533800,0
20010509,67.88,69.24,67.40,68.72,7874000,0
20010510,68.73,69.77,68.50,69.00,1681600,0
20010511,69.15,70.70,68.75,70.50,1788100,0
20010514,70.50,70.50,67.51,70.00,1284500,0
20010515,69.50,69.64,68.56,69.17,1332300,0
20010516,69.80,70.22,69.00,70.00,4817500,0
20010517,70.00,70.50,69.10,70.09,10258400,0
20010518,70.10,70.39,69.35,69.74,757200,0
20010521,69.75,69.75,68.50,68.95,1216900,0
20010522,68.95,68.96,67.50,67.93,2067000,0
20010523,67.65,69.00,67.00,68.24,1312300,0
20010524,68.24,72.41,68.20,72.02,25693000,0
20010525,71.50,72.36,71.50,72.00,8478100,0
20010528,72.00,72.00,72.00,72.00,0,0
20010529,71.75,72.90,71.67,72.30,4826600,0
20010530,72.30,72.49,71.50,71.70,1109700,0
20010531,71.00,72.30,71.00,71.99,1188600,0
20010601,71.99,72.15,70.90,71.93,701800,0
20010604,72.25,72.85,72.11,72.71,3997800,0
20010605,72.88,73.05,72.00,72.30,1222400,0
20010606,72.85,72.99,71.78,72.00,1036700,0
20010607,72.10,73.58,72.10,72.57,957600,0
20010608,72.90,73.64,72.40,73.55,612300,0
20010611,73.63,73.65,72.30,72.62,765300,0
20010612,73.08,74.80,72.90,74.60,2488300,0
20010613,73.90,74.90,73.90,74.86,10096800,0
20010614,74.87,75.40,74.35,74.60,1891200,0
20010615,74.50,75.80,74.50,74.90,3230600,0
20010618,74.80,76.51,74.40,75.90,2679900,0
20010619,75.49,76.30,74.98,75.35,1485500,0
20010620,75.90,77.00,75.71,77.00,1947600,0
20010621,76.76,77.32,76.05,76.30,1379500,0
20010622,76.80,76.95,74.10,74.12,1872000,0
20010625,74.12,74.69,73.00,73.87,1366000,0
20010626,74.12,74.60,73.44,73.47,4244700,0
20010627,72.25,72.47,69.50,71.00,4388700,0
20010628,70.78,71.60,68.00,68.60,6249700,0
20010629,68.99,69.77,68.00,69.00,4356800,0
20010702,69.00,69.10,67.80,68.75,2751600,0
20010703,69.40,69.40,68.40,69.05,1085200,0
20010704,69.05,69.05,69.05,69.05,0,0
20010705,69.50,70.25,68.05,68.55,2396700,0
20010706,68.31,68.40,67.75,68.03,1661100,0
20010709,67.50,68.10,67.06,67.98,18580600,0
20010710,67.60,68.03,67.20,67.28,1159100,0
20010711,67.90,68.18,66.75,67.70,2255700,0
20010712,67.90,68.82,67.73,68.60,1667400,0
20010713,68.36,68.36,67.69,68.00,2228000,0
20010716,68.30,71.40,68.20,70.96,1746300,0
20010717,70.96,73.61,70.95,71.50,1513400,0
20010718,72.15,73.84,72.15,72.97,1368400,0
20010719,73.46,74.50,72.31,72.57,1054600,0
20010720,73.10,73.47,72.60,72.90,766500,0
20010723,72.95,72.95,71.17,71.56,884900,0
20010724,71.60,71.68,69.57,70.82,1492200,0
20010725,70.82,72.24,70.24,71.96,1233100,0
20010726,72.03,72.03,70.25,71.00,1454500,0
20010727,71.08,71.08,70.10,70.44,4039500,0
20010730,71.35,73.15,70.93,72.79,669800,0
20010731,72.79,75.20,71.95,73.63,2561200,0
20010801,74.30,75.85,74.00,74.36,2071300,0
20010802,74.30,74.30,72.00,72.78,1627500,0
20010803,73.20,73.21,71.27,71.68,3896200,0
20010806,72.00,74.00,71.85,73.75,1086600,0
20010807,74.15,74.38,72.40,73.00,4815600,0
20010808,72.78,73.92,72.50,72.89,1027000,0
20010809,73.00,73.65,72.97,73.15,930500,0
20010810,73.55,74.73,73.50,74.30,676600,0
20010813,74.30,75.02,74.05,74.93,1561400,0
20010814,74.85,75.29,74.00,74.30,937900,0
20010815,74.90,75.20,73.70,73.94,843400,0
20010816,73.80,74.08,72.30,73.57,957800,0
20010817,72.70,73.93,72.43,72.65,19904500,0
20010820,72.50,73.15,72.12,72.75,2996100,0
20010821,72.90,75.06,72.90,73.91,2913700,0
20010822,73.91,75.78,73.85,75.09,1582100,0
20010823,75.85,76.00,74.80,74.80,993400,0
20010824,76.65,76.65,74.90,75.30,1134800,0
20010827,75.90,75.97,74.55,74.55,769300,0
20010828,74.80,75.00,72.98,73.10,5151500,0
20010829,73.75,73.75,72.65,73.00,1076700,0
20010830,73.90,74.04,72.30,73.05,1224500,0
20010831,73.60,73.80,72.05,72.94,1052800,0
20010903,72.94,72.94,72.94,72.94,0,0
20010904,73.30,74.49,73.00,73.70,1307800,0
20010905,73.87,74.35,73.35,73.83,1297200,0
20010906,75.00,75.16,73.20,73.32,1371800,0
20010907,73.15,73.30,70.14,70.35,2488800,0
20010910,69.51,70.75,68.75,70.00,1936000,0
20010911,70.00,70.00,70.00,70.00,0,0
20010917,72.00,72.00,68.22,71.00,2827000,0
20010918,71.00,71.11,69.40,69.40,2607700,0
20010919,69.45,70.00,67.00,69.51,2051900,0
20010920,68.65,70.45,67.51,69.76,1637400,0
20010921,67.50,69.20,66.13,68.02,2290500,0
20010924,69.20,69.37,67.75,68.70,1606400,0
20010925,68.25,69.70,67.80,69.70,1184000,0
20010926,69.97,70.48,69.15,70.25,1744300,0
20010927,70.85,72.99,70.85,72.15,2083700,0
20010928,73.50,74.00,73.05,73.83,2086800,0
20011001,73.75,74.90,73.18,73.50,1539300,0
20011002,73.65,74.08,72.15,73.45,1551300,0
20011003,73.45,74.00,72.63,73.40,2425700,0
20011004,74.00,75.14,73.72,74.34,1352700,0
20011005,74.70,74.95,74.02,74.64,1259700,0
20011008,74.45,75.00,73.40,73.95,879700,0
20011009,74.00,74.60,73.46,73.50,3305700,0
20011010,73.94,74.94,73.81,74.23,1593500,0
20011011,74.90,74.95,72.64,73.86,1390800,0
20011012,73.75,74.15,73.35,73.70,4409200,0
20011015,73.85,75.00,73.77,75.00,1828600,0
20011016,75.00,75.60,74.15,74.86,1309400,0
20011017,74.86,74.90,73.46,74.29,1835900,0
20011018,74.50,75.25,74.49,75.00,1391000,0
20011019,75.00,75.19,74.26,75.00,893200,0
