DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,41.16,41.16,38.89,39.31,1676500,0
20010103,38.95,39.25,37.40,37.52,2158100,0
20010104,37.76,38.36,33.83,35.50,4562300,0
20010105,35.26,36.93,34.78,36.15,2589100,0
20010108,36.15,36.93,36.03,36.39,1717300,0
20010109,36.75,37.16,34.54,34.78,2219900,0
20010110,35.68,35.68,34.25,34.66,1467900,0
20010111,34.31,34.37,33.71,34.31,2176200,0
20010112,34.78,34.90,32.64,33.17,2987400,0
20010115,33.17,33.17,33.17,33.17,0,0
20010116,32.94,34.96,32.88,34.66,2162600,0
20010117,34.54,34.66,33.11,33.47,2158700,0
20010118,32.88,34.78,31.45,34.78,2922200,0
20010119,34.96,34.96,33.83,33.89,976000,0
20010122,34.13,35.74,34.01,35.62,958200,0
20010123,34.60,37.11,34.01,36.69,1612300,0
20010124,36.75,37.34,36.15,36.75,1119100,0
20010125,36.69,37.28,36.33,37.11,856500,0
20010126,37.11,37.22,36.33,36.63,784100,0
20010129,36.50,37.21,36.38,36.77,525200,0
20010130,37.14,37.14,35.26,35.92,1671100,0
20010131,36.01,36.12,34.69,35.26,865500,0
20010201,35.26,35.71,34.40,34.71,1908400,0
20010202,33.83,36.25,33.83,36.16,2652100,0
20010205,36.21,37.14,35.66,36.96,666400,0
20010206,36.96,36.98,35.48,36.10,446900,0
20010207,36.59,37.16,36.31,36.88,442400,0
20010208,36.88,37.63,35.02,35.76,1678200,0
20010209,35.53,36.40,34.77,35.94,1033300,0
20010212,36.10,36.68,35.74,36.31,637000,0
20010213,36.55,36.96,36.02,36.57,883900,0
20010214,36.97,38.26,36.59,37.36,1803300,0
20010215,37.26,37.55,36.12,36.12,1238100,0
20010216,36.07,36.44,35.64,35.97,1092900,0
20010219,35.97,35.97,35.97,35.97,0,0
20010220,35.74,36.21,34.78,34.78,3395000,0
20010221,34.07,34.71,33.36,33.69,833000,0
20010222,34.69,34.73,33.59,34.59,1093900,0
20010223,35.97,35.97,34.31,34.88,1056800,0
20010226,35.07,35.97,34.73,35.26,1073400,0
20010227,35.50,36.07,35.26,35.82,969500,0
20010228,35.93,36.21,34.45,34.88,864300,0
20010301,35.07,35.26,34.72,35.23,707800,0
20010302,34.73,36.22,34.73,35.83,1235400,0
20010305,35.83,36.02,34.97,35.22,651000,0
20010306,35.26,35.26,34.31,34.93,1154000,0
20010307,34.93,35.45,34.79,35.35,540200,0
