DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20040610,6.33,6.34,6.03,6.12,35097600,0
20040614,6.08,6.13,6.05,6.07,2313600,0
20040615,6.07,6.25,6.07,6.25,2499600,0
20040616,6.25,6.37,6.25,6.33,2810100,0
20040617,6.35,6.37,6.27,6.35,1390200,0
20040618,6.35,6.40,6.33,6.34,708300,0
20040621,6.33,6.37,6.30,6.36,508500,0
20040622,6.33,6.36,6.30,6.35,1125900,0
20040623,6.28,6.30,6.16,6.30,1033500,0
20040624,6.27,6.35,6.25,6.33,857700,0
20040625,6.33,6.35,6.25,6.33,809100,0
20040628,6.25,6.36,6.22,6.33,1184400,0
20040629,6.33,6.37,6.33,6.37,608700,0
20040630,6.35,6.40,6.35,6.37,552600,0
20040701,6.35,6.38,6.33,6.37,380100,0
20040702,6.35,6.38,6.27,6.38,246600,0
20040706,6.35,6.37,6.33,6.36,137100,0
20040707,6.34,6.35,6.33,6.35,181200,0
20040708,6.36,6.36,6.34,6.35,190500,0
20040709,6.35,6.36,6.33,6.33,226500,0
20040712,6.33,6.35,6.30,6.30,176700,0
20040713,6.28,6.35,6.26,6.35,578100,0
20040714,6.34,6.37,6.32,6.37,303600,0
20040715,6.34,6.35,6.30,6.35,312900,0
20040716,6.34,6.36,6.30,6.30,268800,0
20040719,6.30,6.33,6.29,6.33,212700,0
20040720,6.33,6.35,6.29,6.33,505200,0
20040721,6.33,6.35,6.32,6.34,165000,0
20040722,6.33,6.41,6.32,6.41,231000,0
20040723,6.25,6.30,6.16,6.30,1555800,0
20040726,6.22,6.26,6.21,6.26,420900,0
20040727,6.26,6.28,6.26,6.26,113700,0
20040728,6.25,6.30,6.23,6.29,131100,0
20040729,6.26,6.30,6.26,6.30,91800,0
20040730,6.30,6.35,6.28,6.31,1072200,0
20040802,6.30,6.35,6.28,6.34,203100,0
20040803,6.34,6.41,6.33,6.39,222900,0
20040804,6.35,6.37,6.33,6.35,386400,0
20040805,6.50,6.67,6.39,6.57,1145100,0
20040806,6.53,6.53,6.43,6.47,144900,0
20040809,6.44,6.44,6.36,6.36,469800,0
20040810,6.33,6.48,6.33,6.43,328800,0
20040811,6.45,6.48,6.42,6.43,138900,0
20040812,6.45,6.50,6.42,6.42,279600,0
20040813,6.45,6.45,6.37,6.40,420300,0
20040816,6.35,6.42,6.35,6.39,473700,0
20040817,6.39,6.40,6.26,6.28,743400,0
20040818,6.30,6.32,6.26,6.30,68100,0
20040819,6.30,6.41,6.30,6.37,120300,0
20040820,6.39,6.47,6.38,6.47,150300,0
20040823,6.43,6.44,6.35,6.39,663300,0
20040824,6.40,6.44,6.35,6.43,185400,0
20040825,6.45,6.47,6.37,6.45,91800,0
20040826,6.47,6.50,6.45,6.48,188100,0
20040827,6.48,6.50,6.42,6.44,211800,0
20040830,6.46,6.48,6.42,6.47,63300,0
20040831,6.47,6.53,6.47,6.50,721200,0
20040901,6.53,6.61,6.53,6.58,710400,0
20040902,6.55,6.67,6.55,6.66,1025700,0
20040903,6.67,6.97,6.63,6.87,161100,0
20040907,6.90,6.92,6.85,6.91,446700,0
20040908,6.83,6.84,6.77,6.77,191700,0
20040909,6.86,7.24,6.86,7.13,963000,0
20040910,7.17,7.53,7.17,7.45,961800,0
20040913,7.61,7.63,7.45,7.52,852000,0
20040914,7.47,7.63,7.44,7.59,709200,0
20040915,7.56,7.58,7.48,7.50,530700,0
20040916,7.50,7.50,7.35,7.40,688800,0
20040917,7.38,7.38,7.30,7.33,565800,0
20040920,7.37,7.56,7.37,7.47,696600,0
20040921,7.45,7.50,7.42,7.45,571200,0
20040922,7.43,7.50,7.43,7.48,474300,0
20040923,7.48,7.70,7.44,7.65,972600,0
20040924,7.60,7.60,7.45,7.53,503700,0
20040927,7.50,7.60,7.47,7.54,965100,0
20040928,7.60,7.73,7.53,7.69,1164000,0
20040929,7.73,7.88,7.70,7.88,1621200,0
20040930,7.87,7.87,7.67,7.70,3964200,0
20041001,7.70,7.85,7.65,7.84,1493400,0
20041004,8.00,8.25,7.98,8.14,1009200,0
20041005,8.15,8.27,8.08,8.08,797400,0
20041006,8.10,8.16,8.08,8.10,382500,0
20041007,8.28,8.33,8.13,8.24,991200,0
