DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,13.52,13.61,13.21,13.21,0,0
20010103,13.39,13.66,13.16,13.25,5913,0
20010104,13.21,13.39,12.87,13.12,0,0
20010105,13.12,13.34,12.98,13.07,3239,0
20010108,12.76,13.25,12.67,12.94,13144,0
20010109,12.94,13.25,12.94,13.12,0,0
20010110,13.03,13.21,12.94,13.07,3984,0
20010111,13.12,13.16,12.44,12.44,6560,0
20010112,12.44,12.85,12.44,12.67,0,0
20010115,12.67,12.67,12.67,12.67,0,0
20010116,12.53,12.85,12.22,12.35,0,0
20010117,12.40,12.49,12.35,12.40,4651,0
20010118,12.40,12.40,12.13,12.17,4652,0
20010119,12.22,12.49,12.17,12.40,7071,0
20010122,12.40,12.40,12.40,12.40,0,0
20010123,12.67,13.66,12.67,13.52,12662,0
20010124,13.52,14.19,13.52,14.01,8248,0
20010125,14.19,14.19,13.88,13.97,0,0
20010126,13.97,14.15,13.88,14.01,3349,0
20010129,13.93,15.56,13.92,15.03,393200,0
20010130,14.67,15.88,14.37,15.83,569900,0
20010131,14.35,14.91,13.94,14.52,0,0
20010201,14.55,14.88,13.94,14.80,540200,0
20010202,14.77,14.89,14.56,14.78,524000,0
20010205,14.78,15.43,14.77,15.28,0,0
20010206,15.28,15.35,15.10,15.11,523400,0
20010207,15.11,15.38,15.10,15.34,0,0
20010208,15.34,15.96,15.34,15.73,660100,0
20010209,15.72,15.90,15.27,15.53,396400,0
20010212,15.49,15.84,15.35,15.67,0,0
20010213,15.38,15.56,15.38,15.51,4170000,0
20010214,15.51,15.67,15.31,15.37,514200,0
20010215,15.45,15.67,14.37,15.03,1955200,0
20010216,15.13,15.80,15.09,15.80,704500,0
20010219,15.80,15.80,15.80,15.80,0,0
20010220,15.79,15.81,15.49,15.73,592300,0
20010221,15.73,16.53,15.55,16.41,1305000,0
20010222,16.35,16.53,16.14,16.49,20316800,0
20010223,16.46,16.46,15.45,15.63,633200,0
20010226,15.81,16.46,15.49,16.15,777500,0
20010227,16.24,16.42,16.06,16.21,9358000,0
20010228,16.44,16.52,16.06,16.31,714800,0
20010301,16.60,17.18,16.39,16.99,1121300,0
20010302,17.11,17.17,16.31,16.60,419700,0
20010305,16.53,16.71,16.24,16.37,1471900,0
20010306,16.35,16.53,16.10,16.20,3452200,0
20010307,16.20,16.65,16.10,16.34,295600,0
20010308,16.52,16.83,16.48,16.83,348800,0
20010309,16.57,17.07,16.39,16.82,442500,0
20010312,16.82,16.88,16.37,16.44,372200,0
20010313,16.28,16.46,15.85,16.16,530300,0
20010314,15.45,15.81,15.38,15.73,484400,0
20010315,15.67,16.06,15.44,15.94,268900,0
20010316,15.09,16.08,15.09,15.77,1052200,0
20010319,15.78,16.03,15.64,15.79,347500,0
20010320,15.78,15.78,15.32,15.39,403900,0
20010321,15.27,15.34,14.95,15.11,241200,0
20010322,14.81,15.20,14.62,15.14,854100,0
20010323,15.09,15.30,14.61,15.30,1460700,0
20010326,15.30,15.41,15.09,15.21,240000,0
20010327,15.27,15.48,15.24,15.48,503800,0
20010328,15.46,15.67,15.11,15.18,3320500,0
20010329,12.76,13.22,12.76,13.01,2245300,0
20010330,13.01,13.01,12.71,12.78,1242100,0
20010402,12.73,12.89,12.69,12.78,1147600,0
20010403,12.83,12.86,12.10,12.12,840400,0
20010404,12.12,12.17,11.71,11.93,17467000,0
20010405,12.07,12.07,11.50,11.69,3473200,0
20010406,11.64,11.68,11.51,11.64,57154500,0
20010409,11.64,11.75,11.56,11.65,1168600,0
20010410,11.82,11.89,11.74,11.86,1390600,0
20010411,11.71,12.00,11.41,11.76,2783700,0
20010412,11.76,12.11,11.57,12.11,2081100,0
20010416,12.15,13.22,12.15,12.86,17122600,0
20010417,12.72,12.86,12.65,12.84,655500,0
20010418,12.67,13.19,12.64,13.06,2531100,0
20010419,13.37,13.44,12.65,12.86,10385500,0
20010420,12.76,13.03,12.58,12.92,5526700,0
20010423,13.19,13.40,13.00,13.08,670900,0
20010424,13.22,13.37,13.13,13.14,1229900,0
20010425,13.05,13.48,12.94,13.21,214300,0
20010426,13.03,13.12,12.86,12.99,706100,0
20010427,12.94,13.43,12.94,13.39,27576100,0
20010430,13.39,13.46,13.01,13.03,456400,0
20010501,12.97,13.42,12.97,13.35,450600,0
20010502,13.17,13.25,12.58,12.95,834400,0
20010503,13.01,13.01,12.51,12.66,295100,0
20010504,12.58,12.93,12.42,12.83,347300,0
20010507,12.72,13.12,12.66,12.94,532000,0
20010508,12.76,13.15,12.36,12.73,22367000,0
20010509,12.76,12.82,12.44,12.51,1302800,0
20010510,12.72,12.72,12.29,12.33,366300,0
20010511,12.47,12.57,12.30,12.49,353600,0
20010514,12.49,12.75,12.41,12.66,539000,0
