DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010427,22.36,23.75,22.35,23.56,241700,0
20010430,23.81,25.76,23.66,24.49,2918900,0
20010501,24.50,24.50,23.16,23.75,13495400,0
20010502,24.00,24.07,23.70,23.70,826500,0
20010503,23.60,23.60,22.67,22.82,3310200,0
20010504,21.91,22.50,21.57,22.40,3374600,0
20010507,22.65,22.75,21.85,21.85,246800,0
20010508,21.40,21.41,19.55,20.20,1013300,0
20010509,20.25,20.27,19.60,20.19,458400,0
20010510,20.28,20.38,19.02,19.40,489800,0
20010511,19.40,19.40,18.60,18.98,651400,0
20010514,19.15,19.15,18.30,18.75,408900,0
20010515,18.75,18.89,18.00,18.38,383000,0
20010516,18.95,18.98,17.92,18.50,5310500,0
20010517,18.90,19.10,18.61,18.62,2866400,0
20010518,18.75,18.85,17.60,17.75,12863500,0
20010521,18.00,18.00,17.10,17.45,38681400,0
20010522,17.45,17.75,17.30,17.60,840100,0
20010523,17.50,17.50,17.00,17.00,391300,0
20010524,17.00,17.45,17.00,17.29,497500,0
20010525,17.25,17.50,17.02,17.02,227600,0
20010528,17.02,17.02,17.02,17.02,0,0
20010529,17.10,17.17,16.35,16.35,266800,0
20010530,16.10,16.20,15.75,16.04,26191400,0
20010531,16.20,16.64,16.16,16.60,4330200,0
20010601,16.50,16.50,16.00,16.05,2231900,0
20010604,16.25,16.45,16.00,16.28,16267900,0
20010605,16.45,16.50,16.05,16.28,40529400,0
20010606,16.43,16.54,16.10,16.30,4361100,0
20010607,16.27,16.62,16.21,16.60,1036200,0
20010608,16.75,16.84,16.50,16.56,185300,0
20010611,16.45,16.68,16.26,16.50,743300,0
20010612,16.37,16.38,15.60,16.08,740000,0
20010613,15.90,16.36,15.81,15.82,3213200,0
20010614,15.82,15.82,14.00,15.00,3487500,0
20010615,15.00,15.09,13.92,14.30,2333500,0
20010618,14.30,14.36,13.20,13.75,2189000,0
20010619,14.65,14.65,13.20,13.40,620200,0
20010620,13.41,14.39,13.39,14.39,3557600,0
20010621,14.15,14.25,13.50,14.21,575400,0
20010622,14.21,14.29,13.70,13.95,5181500,0
20010625,13.98,14.50,13.95,14.20,228800,0
20010626,14.10,14.55,13.70,14.40,55458300,0
20010627,14.30,14.45,13.92,14.05,248800,0
20010628,14.10,14.97,14.10,14.90,2613000,0
20010629,15.00,16.40,14.92,16.40,2023500,0
20010702,16.15,16.15,15.75,15.95,745000,0
20010703,15.75,15.99,15.20,15.83,213300,0
20010704,15.83,15.83,15.83,15.83,0,0
20010705,15.75,15.78,15.29,15.41,5294200,0
20010706,15.16,15.16,14.59,14.59,65559000,0
20010709,14.51,15.00,14.26,14.65,292000,0
20010710,14.65,14.99,13.98,14.08,2205500,0
20010711,13.78,13.78,13.15,13.30,1275500,0
20010712,13.75,14.00,13.35,13.59,720400,0
20010713,13.65,14.15,13.50,14.15,281500,0
20010716,14.00,14.25,13.05,13.16,6365400,0
20010717,13.16,13.30,13.01,13.06,335700,0
20010718,13.10,13.15,12.62,12.72,10260600,0
20010719,12.55,12.55,9.75,10.55,18750100,0
20010720,10.80,11.09,10.60,10.99,3322100,0
20010723,10.99,11.09,10.45,10.45,6431500,0
20010724,10.45,10.45,9.94,9.95,14747700,0
20010725,9.98,10.30,9.66,9.86,13714400,0
20010726,9.93,10.00,9.69,9.91,8515300,0
20010727,9.95,9.96,9.60,9.68,11377500,0
20010730,9.85,9.90,9.75,9.89,2719500,0
20010731,9.90,9.98,9.75,9.75,3237100,0
20010801,9.75,9.75,8.49,8.50,133227000,0
20010802,8.80,9.35,8.80,9.25,30815800,0
20010803,9.10,9.53,9.02,9.51,12385600,0
20010806,9.48,9.70,9.26,9.70,679800,0
20010807,9.60,9.77,9.45,9.55,394000,0
20010808,9.50,10.27,9.25,9.75,31671600,0
20010809,9.75,10.00,9.30,9.44,592800,0
20010810,9.50,9.81,9.05,9.65,674900,0
20010813,9.65,9.65,9.20,9.59,630000,0
20010814,9.67,9.78,9.35,9.40,2308700,0
20010815,9.60,9.60,8.70,8.75,2684900,0
20010816,8.75,8.75,8.15,8.20,2571900,0
20010817,8.08,8.20,7.93,8.00,1611200,0
20010820,8.00,8.00,7.50,7.70,16131700,0
20010821,7.95,7.95,7.50,7.51,19657200,0
20010822,7.60,7.72,7.41,7.53,24698700,0
20010823,7.67,8.40,7.61,8.36,3546800,0
20010824,8.35,9.08,8.35,9.08,93437300,0
20010827,9.12,10.36,9.08,10.34,3398200,0
20010828,10.45,10.55,9.96,10.00,3741600,0
20010829,10.45,10.60,9.95,10.00,18051500,0
20010830,10.00,10.11,9.83,9.91,15550100,0
20010831,9.91,10.19,9.91,10.19,473500,0
20010903,10.19,10.19,10.19,10.19,0,0
20010904,10.19,10.19,9.80,9.85,10831800,0
20010905,9.77,9.83,8.52,8.94,19813800,0
20010906,8.95,9.00,7.91,8.30,37870600,0
20010907,8.15,8.90,7.90,8.85,672200,0
20010910,8.85,9.35,8.50,9.00,1885500,0
20010911,9.00,9.00,9.00,9.00,0,0
20010917,9.10,9.90,8.90,9.00,1863500,0
20010918,9.25,9.70,9.12,9.14,7913300,0
20010919,9.32,9.66,8.00,8.70,953300,0
20010920,8.75,8.95,8.12,8.24,3521100,0
20010921,7.75,8.93,7.40,8.40,1061500,0
20010924,8.90,8.95,8.30,8.90,688700,0
20010925,8.85,9.18,8.44,8.70,1548100,0
20010926,8.80,8.80,7.99,8.04,622300,0
20010927,8.14,8.14,7.61,7.91,1020200,0
20010928,8.00,8.93,7.99,8.93,968200,0
20011001,8.90,8.90,8.14,8.88,784100,0
20011002,8.88,9.40,8.87,9.40,1291600,0
20011003,9.00,9.24,8.90,9.14,51148600,0
20011004,9.10,10.12,8.88,9.81,34211300,0
20011005,9.71,9.73,9.25,9.58,500800,0
20011008,9.48,9.71,9.20,9.30,590200,0
20011009,9.30,10.15,9.20,10.01,900500,0
20011010,10.01,10.71,10.01,10.56,1263900,0
20011011,10.75,12.10,10.75,11.80,2178400,0
20011012,11.41,11.42,10.50,11.02,45730900,0
20011015,10.92,10.94,10.34,10.50,41471600,0
20011016,10.50,10.82,10.16,10.75,1065400,0
20011017,11.00,11.25,10.60,10.80,1162000,0
20011018,10.84,11.08,10.84,10.99,802500,0
20011019,10.99,11.81,10.91,11.71,1677700,0
20011022,11.71,11.71,11.30,11.65,1146200,0
20011023,11.50,11.98,11.46,11.58,779900,0
20011024,11.58,11.74,11.21,11.37,1305800,0
20011025,11.30,11.48,11.10,11.45,7460700,0
20011026,11.50,12.45,11.45,12.15,1300500,0
20011029,12.05,12.50,11.90,11.95,597900,0
20011030,11.90,11.91,11.15,11.27,754200,0
20011031,11.37,11.91,11.37,11.70,40457900,0
20011101,11.70,11.85,11.50,11.74,61922500,0
20011102,11.75,12.23,11.68,11.99,3938200,0
20011105,12.10,12.18,11.93,11.97,1056300,0
