DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,4.1563,4.1875,3.8282,4.0469,18004000,0
20010103,3.8438,3.9766,3.4922,3.7500,44707200,0
20010104,3.8086,3.8282,3.0625,3.1641,27508000,0
20010105,3.2500,3.2969,2.9532,3.0860,31563200,0
20010108,2.9961,3.0391,2.6875,2.9766,16857600,0
20010109,2.9219,2.9610,2.3438,2.5782,76855200,0
20010110,2.7344,3.1485,2.5703,3.1172,99700800,0
20010111,3.1953,3.3750,2.9063,3.1641,44601600,0
20010112,3.2344,3.6250,3.1250,3.3672,27128000,0
20010115,3.3672,3.3672,3.3672,3.3672,0,0
20010116,3.4532,3.5078,3.2344,3.2969,9094400,0
20010117,3.4219,3.4688,3.1094,3.1094,22090400,0
20010118,3.2266,3.3750,3.0391,3.3516,22551200,0
20010119,3.4219,3.4688,3.1719,3.2813,12930400,0
20010122,3.2735,3.4453,3.2500,3.4141,9953600,0
20010123,3.4453,3.9688,3.3282,3.9375,21260000,0
20010124,3.9375,4.1563,3.8594,4.0390,16656800,0
20010125,4.0547,4.0782,3.4688,3.5000,17364000,0
20010126,3.4141,3.7344,3.2969,3.6172,13836800,0
20010129,3.7071,3.8750,3.4688,3.7032,6131200,0
20010130,3.8008,3.8907,3.6953,3.7578,7724800,0
20010131,3.6914,3.7188,3.3516,3.4688,14236000,0
20010201,3.5782,3.6719,3.4375,3.4688,14433600,0
20010202,3.5078,3.5938,3.2266,3.3438,12917600,0
20010205,3.3750,3.4063,3.1875,3.2422,7162400,0
20010206,3.1250,3.5000,3.1250,3.4532,6980000,0
20010207,3.4063,3.4532,3.1563,3.3516,6568000,0
20010208,3.3750,3.3750,3.2188,3.3203,4812000,0
20010209,3.3125,3.3360,3.2188,3.3047,5102400,0
20010212,3.3360,3.5625,3.3125,3.4297,9372000,0
20010213,3.5469,3.5782,3.3282,3.3438,8358400,0
20010214,3.4141,3.5782,3.3828,3.4532,8071200,0
20010215,3.5235,3.5782,3.3750,3.3828,7856000,0
20010216,3.2969,3.5782,3.2578,3.3047,3826400,0
20010219,3.3047,3.3047,3.3047,3.3047,0,0
20010220,3.3164,3.3985,3.2657,3.3594,4991200,0
20010221,3.2891,3.4219,3.2657,3.2657,3948800,0
20010222,3.2578,3.2813,2.9375,3.0000,16720800,0
20010223,2.8047,3.2188,2.7500,3.1250,8679200,0
20010226,3.2110,3.4024,3.2110,3.3360,6432000,0
20010227,3.3516,3.3516,3.0078,3.2266,5960800,0
20010228,3.2344,3.4063,3.1250,3.2657,3388800,0
20010301,3.2188,3.2188,3.0313,3.1563,4756800,0
20010302,3.2344,3.3907,3.1719,3.3203,4449600,0
20010305,3.3750,3.3828,3.1328,3.1797,4655200,0
20010306,3.2110,3.4375,3.2110,3.2735,4180800,0
20010307,3.3594,3.3750,3.2891,3.3516,4228800,0
20010308,3.3282,3.4844,3.0860,3.0938,8468800,0
20010309,3.0703,3.1875,2.9532,3.0547,6881600,0
20010312,2.9375,2.9649,2.6094,2.7032,8220800,0
20010313,2.7657,2.8203,2.6172,2.7344,11812800,0
20010314,2.5782,2.7969,2.5469,2.7266,9868800,0
20010315,2.7813,2.7969,2.6953,2.6953,10746400,0
20010316,2.6641,2.6875,2.3282,2.3360,5404800,0
20010319,2.3438,2.6797,2.3282,2.5703,5384000,0
20010320,2.6094,2.6641,2.4063,2.5078,9624800,0
20010321,2.6875,2.6875,2.4219,2.4375,21825600,0
20010322,2.4180,2.4219,2.1250,2.3672,19104800,0
20010323,2.3438,2.6797,2.3047,2.6016,16705600,0
20010326,2.6797,3.0938,2.6719,3.0938,17401600,0
20010327,3.0550,3.0625,2.9763,2.9763,7228800,0
20010328,2.9850,3.1413,2.9375,3.1250,11628000,0
20010329,3.1175,3.3600,3.0000,3.1800,13556800,0
20010330,3.2500,3.3125,3.0000,3.1250,10707200,0
20010402,2.9925,2.9925,2.6250,2.7813,13324800,0
20010403,2.5938,2.6838,2.2188,2.3438,40521600,0
20010404,2.1638,2.2663,2.1100,2.1725,36589600,0
20010405,2.2700,2.3600,2.2263,2.2813,16797600,0
20010406,2.2575,2.3913,2.1325,2.3288,12616800,0
20010409,2.3325,2.5000,2.3125,2.3825,11004800,0
20010410,2.4125,2.4775,2.3438,2.3875,12826400,0
