DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,5.7344,5.7344,4.8750,5.3906,8994400,0
20010103,5.3594,6.8086,5.2188,6.7578,12024800,0
20010104,6.7813,7.1563,6.3047,6.6250,112000000,0
20010105,6.6328,6.6367,6.2813,6.3750,8777600,0
20010108,6.2500,6.4219,6.2344,6.3594,4522400,0
20010109,6.4141,6.7500,6.2500,6.3672,4586400,0
20010110,6.3203,6.8281,6.3203,6.7500,5363200,0
20010111,6.6563,6.9766,6.6563,6.8438,6552800,0
20010112,6.8516,7.1133,6.8125,7.0313,2507200,0
20010115,7.0313,7.0313,7.0313,7.0313,0,0
20010116,7.0938,7.1641,6.5000,6.5000,5884800,0
20010117,6.6563,7.1094,6.6094,6.6328,6340800,0
20010118,6.5391,6.5391,6.2969,6.3125,6364800,0
20010119,6.3359,6.3906,5.8594,6.0313,6456800,0
20010122,6.0547,6.1016,5.8594,6.0000,8231200,0
20010123,6.0078,6.5469,5.9375,6.5000,8128800,0
20010124,6.5000,6.7500,6.3281,6.4141,2578400,0
20010125,6.5547,6.8438,6.3750,6.4766,4326400,0
20010126,6.3750,6.4531,6.0859,6.2344,4612800,0
20010129,6.2461,6.3281,6.0938,6.2500,1992000,0
20010130,6.2461,6.7422,6.2422,6.4297,9479200,0
20010131,6.2578,6.3672,5.9766,6.0391,8366400,0
20010201,6.7500,6.7500,6.2109,6.4375,11992800,0
20010202,6.4180,6.6641,6.2344,6.4141,2977600,0
20010205,6.4922,6.5000,6.2188,6.3516,3596000,0
20010206,6.3281,6.9063,6.2813,6.8359,4460800,0
20010207,6.8125,7.0625,6.7656,6.9531,3675200,0
20010208,6.9492,7.0938,6.8750,6.9375,3040800,0
20010209,6.9375,6.9844,6.7344,6.8125,2747200,0
20010212,6.7188,7.3906,6.7148,7.3828,8248000,0
20010213,7.3828,7.4609,7.2969,7.4063,8684800,0
20010214,7.4141,7.5000,7.4063,7.5000,6160800,0
20010215,7.5313,7.6563,7.4375,7.5156,6268800,0
20010216,7.4844,7.5000,7.2266,7.3516,416000000,0
20010219,7.3516,7.3516,7.3516,7.3516,0,0
20010220,7.3438,7.3477,7.0469,7.1484,2968800,0
20010221,7.1094,7.1797,6.9766,7.0313,2673600,0
20010222,7.0313,7.1094,6.4219,6.9531,6736000,0
20010223,6.9219,6.9219,6.4844,6.6016,8909600,0
20010226,6.6563,7.0000,6.6250,6.9141,480000000,0
20010227,6.8125,6.9375,6.2500,6.3672,5727200,0
20010228,6.3750,6.5195,6.3281,6.3984,2209600,0
20010301,5.9063,6.0000,5.5000,5.9688,22739200,0
20010302,5.8516,6.1406,5.7891,6.0625,11804000,0
20010305,6.0625,6.0703,5.7188,5.7500,5509600,0
20010306,5.7578,5.9844,5.5547,5.6289,5942400,0
20010307,5.5859,5.8750,5.5859,5.6953,9698400,0
20010308,5.6875,5.7188,5.4375,5.5625,4137600,0
20010309,5.5078,5.5391,5.2188,5.2656,7114400,0
20010312,5.2500,5.2539,4.9375,5.2109,6906400,0
20010313,5.1836,5.2031,4.7578,4.8828,7130400,0
20010314,4.6875,5.2656,4.6719,5.0313,4390400,0
20010315,4.9766,5.2734,4.9609,5.0000,7298400,0
20010316,5.0078,5.1406,4.9219,4.9219,5792000,0
20010319,5.1406,5.2188,5.0000,5.1328,11728800,0
20010320,5.2031,5.5625,5.1641,5.4531,5699200,0
20010321,5.5625,5.6250,5.2188,5.2266,7638400,0
20010322,5.1875,5.1914,4.4141,5.0156,11106400,0
20010323,5.1719,5.1719,3.8516,4.2500,32455200,0
20010326,4.7344,4.7344,3.9375,4.1328,23483200,0
20010327,4.1413,4.3125,4.1413,4.2813,10437600,0
20010328,4.1988,4.2425,4.0788,4.1800,5504800,0
20010329,4.1838,4.2038,4.0163,4.0313,3616000,0
20010330,4.0788,4.3600,4.0475,4.2813,11112000,0
20010402,4.0938,4.1250,3.9063,4.0625,5180800,0
20010403,4.0625,4.1487,3.5000,3.6875,8996000,0
20010404,3.6488,4.1013,3.6175,3.8675,13853600,0
20010405,4.0625,4.2663,3.9488,4.1250,4605600,0
20010406,4.0788,4.2575,4.0163,4.2188,2420800,0
20010409,4.1750,4.2813,4.1250,4.2813,2173600,0
20010410,4.3025,4.7450,4.3025,4.6312,7916000,0
20010411,4.6650,4.9738,4.6475,4.7725,9928800,0
20010412,4.6988,4.7350,4.4713,4.4812,4985600,0
20010416,4.4812,4.6625,4.4625,4.6312,3593600,0
20010417,4.6350,4.8438,4.5875,4.6238,5409600,0
20010418,4.6550,4.8725,4.6550,4.8375,8740000,0
20010419,5.5800,5.6388,5.2175,5.5050,17478400,0
20010420,5.4700,5.5538,5.3325,5.3875,5187200,0
20010423,5.3700,5.3762,5.2125,5.2675,3729600,0
20010424,5.2675,5.4713,5.2375,5.3938,4502400,0
20010425,5.3925,5.5912,5.3750,5.5725,2079200,0
20010426,5.5575,5.7450,5.4950,5.5475,1872800,0
20010427,5.5625,5.6638,5.5025,5.6125,2540800,0
20010430,5.6438,5.7750,5.6250,5.6287,1976800,0
20010501,5.6687,5.7737,5.3950,5.5500,2793600,0
20010502,5.6087,5.6512,5.2562,5.4938,2687200,0
20010503,5.4500,5.4500,5.1250,5.3000,3023200,0
20010504,5.1875,5.5437,5.0087,5.4313,2468000,0
20010507,5.4325,5.4850,5.1700,5.1788,1521600,0
20010508,5.2188,5.2737,5.0000,5.2600,2137600,0
20010509,5.2000,5.2050,5.0125,5.0900,3660000,0
20010510,5.2050,5.3412,5.0012,5.2800,3436800,0
20010511,5.2638,5.2650,5.0450,5.1375,208000000,0
20010514,5.1375,5.1563,5.0600,5.0938,659200,0
20010515,5.0963,5.1737,5.0750,5.1238,969600,0
20010516,5.1238,5.2500,4.8913,5.2050,4031200,0
20010517,5.0887,5.2500,5.0487,5.1350,1565600,0
20010518,5.1225,5.2375,5.0988,5.1687,660000,0
20010521,5.2000,5.5313,5.1750,5.4925,2488000,0
20010522,5.5000,5.7838,5.4750,5.6575,7160800,0
20010523,5.6075,5.6125,5.2450,5.2512,2844800,0
20010524,5.2875,5.5150,5.2700,5.5012,1730400,0
20010525,5.4788,5.5250,5.3913,5.4113,809600,0
20010528,5.4113,5.4113,5.4113,5.4113,0,0
20010529,5.4063,5.4887,5.2800,5.4538,2660000,0
20010530,5.4650,5.4950,5.1175,5.1225,3228800,0
20010531,5.1638,5.4775,5.1625,5.2400,2280800,0
20010601,5.2500,5.4450,5.2500,5.2650,1485600,0
20010604,5.3800,5.3875,5.1388,5.2562,1412000,0
20010605,5.2550,5.5125,5.2200,5.4500,2381600,0
20010606,5.5000,5.6687,5.4688,5.5212,2334400,0
20010607,5.5338,5.5338,5.3913,5.4725,2010400,0
20010608,5.5363,5.5563,5.4313,5.4637,1939200,0
20010611,5.5188,5.5325,5.2762,5.4387,1563200,0
20010612,5.4500,5.9875,5.3875,5.9650,7879200,0
20010613,5.9700,6.1863,5.7275,5.7463,5288000,0
20010614,5.6363,5.6875,5.3750,5.4125,3114400,0
20010615,5.5113,5.5538,5.3250,5.4800,2550400,0
20010618,5.4800,5.6125,5.4500,5.4525,1502400,0
20010619,5.4950,5.6563,5.4950,5.5313,1249600,0
20010620,5.5237,5.7263,5.5125,5.7000,1698400,0
20010621,5.7063,5.8625,5.6750,5.8387,4564000,0
20010622,5.8362,5.8362,5.5025,5.5500,4677600,0
20010625,5.5625,5.6450,5.4313,5.4462,2236000,0
20010626,5.4262,5.4437,5.1575,5.2700,4131200,0
20010627,5.1762,5.4187,5.1762,5.2888,2756000,0
20010628,5.3175,5.3925,5.2500,5.3387,2230400,0
20010629,5.3962,5.3962,5.3038,5.3513,2192000,0
20010702,5.2937,5.3125,5.0725,5.1775,3054400,0
20010703,5.1875,5.1875,5.0325,5.0538,96000000,0
20010704,5.0538,5.0538,5.0538,5.0538,0,0
20010705,5.0313,5.0687,4.9425,4.9425,1504800,0
20010706,4.9612,4.9612,4.7650,4.8450,1932800,0
20010709,4.8263,5.0375,4.8263,4.9462,3255200,0
20010710,4.9688,5.1500,4.7200,4.7438,2657600,0
20010711,4.7125,4.9688,4.6638,4.8837,5859200,0
