DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20050811,3.25,3.31,3.20,3.24,76671500,0
20050812,3.25,3.60,3.25,3.59,29138000,0
20050815,3.55,3.57,3.45,3.46,10596500,0
20050816,3.38,3.46,3.38,3.43,5141000,0
20050817,3.43,3.44,3.36,3.37,6423500,0
20050818,3.39,3.40,3.25,3.27,12727000,0
20050819,3.30,3.34,3.25,3.32,3029500,0
20050822,3.33,3.40,3.28,3.40,2909500,0
20050823,3.50,3.59,3.46,3.51,13466000,0
20050824,3.50,3.55,3.47,3.50,3078500,0
20050825,3.54,3.55,3.48,3.49,4667000,0
20050826,3.51,3.52,3.48,3.49,2704000,0
20050829,3.38,3.44,3.37,3.40,5458000,0
20050830,3.42,3.48,3.39,3.41,2581000,0
20050831,3.41,3.41,3.32,3.36,3004500,0
20050901,3.37,3.37,3.11,3.25,12477500,0
20050902,3.28,3.32,3.20,3.21,5748500,0
20050906,3.24,3.29,3.23,3.28,2726500,0
20050907,3.28,3.29,3.20,3.24,3643500,0
20050908,3.25,3.30,3.25,3.26,2558500,0
20050909,3.31,3.32,3.28,3.31,2468500,0
20050912,3.29,3.30,3.20,3.22,3300500,0
20050913,3.22,3.22,3.14,3.18,3798500,0
20050914,3.15,3.17,3.13,3.14,2055500,0
20050915,3.15,3.16,3.01,3.02,6004000,0
20050916,3.01,3.07,2.91,3.06,9555000,0
20050919,3.05,3.19,3.04,3.10,5559000,0
20050920,3.10,3.21,3.09,3.16,4178000,0
20050921,3.14,3.14,2.94,3.00,8313500,0
20050922,3.00,3.01,2.90,2.90,7184000,0
20050923,2.90,3.14,2.90,3.12,4830500,0
20050926,3.12,3.16,3.05,3.10,7826500,0
20050927,3.09,3.11,3.07,3.09,4505000,0
20050928,3.08,3.08,3.00,3.03,3055000,0
20050929,3.04,3.10,2.96,3.00,6141000,0
20050930,3.01,3.02,2.93,2.96,12109000,0
20051003,2.97,2.97,2.87,2.90,4279000,0
20051004,2.89,2.90,2.81,2.81,2002000,0
20051005,2.80,2.80,2.57,2.63,10842500,0
20051006,2.64,2.70,2.62,2.68,4121500,0
20051007,2.76,2.76,2.69,2.70,2174500,0
20051010,2.71,2.73,2.49,2.51,2443000,0
20051011,2.53,2.53,2.40,2.43,3259500,0
20051012,2.42,2.44,2.36,2.39,2550500,0
20051013,2.39,2.39,2.24,2.26,3555000,0
20051014,2.27,2.50,2.26,2.47,7229500,0
20051017,2.47,2.48,2.42,2.44,3007000,0
20051018,2.44,2.44,2.39,2.40,2577000,0
20051019,2.42,2.45,2.39,2.43,5052500,0
20051020,2.44,2.62,2.44,2.56,7568500,0
20051021,2.57,2.61,2.55,2.59,4029500,0
20051024,2.59,2.64,2.59,2.63,2162000,0
20051025,2.65,2.68,2.62,2.64,2630500,0
20051026,2.63,2.67,2.59,2.62,2844000,0
20051027,2.61,2.64,2.59,2.60,813000,0
20051028,2.64,2.69,2.64,2.67,1673500,0
20051031,2.70,2.80,2.70,2.76,3915000,0
20051101,2.83,2.85,2.71,2.72,2830000,0
20051102,2.72,2.75,2.65,2.71,3455500,0
20051103,2.68,2.70,2.64,2.66,1815000,0
20051104,2.66,2.76,2.64,2.68,2600500,0
20051107,2.68,2.76,2.67,2.71,1784500,0
20051108,2.69,2.71,2.66,2.70,1599500,0
20051109,2.71,2.76,2.69,2.71,2294000,0
20051110,2.72,2.88,2.66,2.75,4019000,0
20051111,2.76,2.83,2.76,2.81,1347500,0
20051114,2.80,2.84,2.78,2.81,1282500,0
20051115,2.83,3.01,2.81,2.95,7032000,0
20051116,3.02,3.10,3.00,3.03,4794000,0
20051117,3.05,3.18,3.02,3.16,8077500,0
20051118,3.16,3.16,3.03,3.12,3764000,0
20051121,3.18,3.19,3.13,3.16,4266000,0
20051122,3.16,3.18,3.10,3.15,1920000,0
20051123,3.15,3.15,3.09,3.10,1068000,0
20051125,3.11,3.13,3.11,3.12,154000,0
20051128,3.13,3.14,3.07,3.10,1477000,0
20051129,3.12,3.12,3.09,3.10,792500,0
20051130,3.10,3.12,3.08,3.09,1513500,0
20051201,3.08,3.10,3.02,3.05,3586000,0
