DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,9.88,10.38,8.94,9.00,31885,0
20010103,9.00,9.19,8.38,8.88,133717,0
20010104,8.75,8.88,8.06,8.56,29472,0
20010105,8.81,9.38,8.69,9.00,20975,0
20010108,9.13,9.88,9.13,9.75,36866,0
20010109,9.75,9.88,9.00,9.06,19211,0
20010110,9.13,9.44,9.13,9.31,14392,0
20010111,9.63,9.63,9.00,9.00,17805,0
20010112,9.13,9.75,9.13,9.75,25748,0
20010115,9.75,9.75,9.75,9.75,0,0
20010116,10.00,10.25,9.75,9.94,64645,0
20010117,10.00,10.00,8.94,9.06,27153,0
20010118,9.06,9.25,8.56,8.88,24915,0
20010119,8.75,9.13,8.56,9.06,13774,0
20010122,9.06,9.06,9.06,9.06,0,0
20010123,9.44,9.44,8.69,9.00,20571,0
20010124,9.00,9.13,8.75,9.00,11749,0
20010125,9.06,9.56,9.00,9.38,0,0
20010126,9.38,9.44,9.06,9.31,0,0
20010129,11.06,11.09,9.00,9.03,9575300,0
20010130,10.75,10.94,9.59,10.56,1160600,0
20010131,8.76,8.95,8.61,8.62,965000,0
20010201,8.56,8.95,8.52,8.88,757100,0
20010202,8.94,9.09,8.90,9.08,939100,0
20010205,9.05,9.35,9.01,9.12,5993200,0
20010206,9.10,9.68,9.03,9.68,1651100,0
20010207,9.72,10.00,9.69,9.97,21553300,0
20010208,9.99,10.07,9.52,9.55,8526300,0
20010209,9.75,10.25,9.70,10.25,3218500,0
20010212,10.35,10.38,9.90,10.38,12738700,0
20010213,10.42,10.44,10.00,10.06,2049800,0
20010214,10.10,10.30,10.01,10.06,1491100,0
20010215,9.78,9.97,9.58,9.82,6191300,0
20010216,9.90,10.14,9.70,9.84,1858700,0
20010219,9.84,9.84,9.84,9.84,0,0
20010220,10.10,10.33,9.84,10.00,1487100,0
20010221,10.80,10.80,9.55,9.58,4873200,0
20010222,9.45,9.50,9.16,9.39,1683600,0
20010223,9.32,9.35,8.70,8.87,1806600,0
20010226,8.97,9.24,8.97,9.15,1200500,0
20010227,9.18,9.30,9.06,9.18,526900,0
20010228,9.25,9.29,9.08,9.12,1166000,0
20010301,9.10,9.10,8.93,9.10,874900,0
20010302,9.00,9.43,9.00,9.19,665500,0
20010305,9.24,9.70,9.22,9.51,914000,0
20010306,9.71,9.74,9.55,9.59,851600,0
