DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,15.9375,16.1250,14.4375,14.9375,1192200,0
20010103,14.8750,16.0000,14.1875,15.9688,1006800,0
20010104,15.9688,16.1250,15.2813,15.8125,1120600,0
20010105,15.5000,15.6250,15.2500,15.6250,572200,0
20010108,15.4688,15.4688,14.7500,15.0313,870200,0
20010109,15.1250,15.1250,14.4375,14.8750,503400,0
20010110,15.0000,15.0000,14.5000,14.7188,996400,0
20010111,14.6406,14.6563,13.9063,14.0000,942000,0
20010112,14.5938,14.6094,13.5000,13.6563,1384600,0
20010115,13.6563,13.6563,13.6563,13.6563,0,0
20010116,13.6563,14.3594,13.5313,13.7500,433800,0
20010117,14.0313,14.1250,13.7500,14.0313,626600,0
20010118,13.9688,14.3125,13.9688,14.1875,1174800,0
20010119,14.1875,14.2188,13.6875,14.0313,753000,0
20010122,14.0000,14.2500,14.0000,14.0625,365200,0
20010123,14.1875,14.3750,14.0000,14.2500,627200,0
20010124,14.3750,14.3750,13.2813,13.4063,1426800,0
20010125,13.5000,14.0938,13.1250,13.9063,1128600,0
20010126,13.9219,14.0000,13.6250,13.7188,226400,0
20010129,14.0000,14.0938,13.3750,13.9375,605000,0
20010130,14.0625,14.3438,13.6875,13.8750,417000,0
20010131,14.0000,15.0938,14.0000,14.9688,1318000,0
20010201,14.6875,15.2500,13.7500,14.0000,1106400,0
20010202,14.7500,15.1250,14.1875,14.6875,843000,0
20010205,14.7813,15.0000,14.1250,14.4375,872400,0
20010206,14.5000,15.0625,14.5000,14.7813,595200,0
20010207,14.7188,15.0625,14.7188,14.7656,152000,0
20010208,14.7500,15.2188,14.5625,14.6563,165000,0
20010209,14.6563,14.7500,14.3438,14.6250,349800,0
20010212,14.4375,14.8125,14.4063,14.5313,164200,0
20010213,14.5313,14.9375,14.5000,14.8750,308600,0
20010214,14.7500,15.0000,14.6250,14.8125,225400,0
20010215,14.9688,15.1250,14.8750,15.0938,422800,0
20010216,14.8750,15.0625,14.8750,15.0156,472800,0
20010219,15.0156,15.0156,15.0156,15.0156,0,0
20010220,15.0313,15.1250,14.9688,15.1250,248600,0
20010221,15.1875,15.3438,14.5625,14.7813,437000,0
20010222,14.8438,15.0000,14.2500,14.8125,285200,0
20010223,14.6563,15.0000,14.6563,14.8438,224800,0
20010226,14.9063,15.0000,14.5313,14.9063,304200,0
20010227,14.8594,15.0313,14.7813,14.8125,184000,0
20010228,14.8750,15.0000,14.7813,14.9375,282400,0
20010301,15.0000,15.0313,14.5625,15.0000,462400,0
