DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,44.43,44.98,42.62,42.80,0,0
20010103,42.70,43.62,42.42,42.83,2872800,0
20010104,42.33,42.33,37.67,38.00,13485600,0
20010105,38.32,40.03,37.58,38.33,4301700,0
20010108,39.17,40.07,38.49,39.65,1914300,0
20010109,39.67,40.10,39.54,39.93,2616000,0
20010110,39.93,41.38,39.93,40.92,3165900,0
20010111,40.75,40.86,38.25,38.80,1683600,0
20010112,38.57,38.60,37.27,38.40,2652000,0
20010115,38.40,38.40,38.40,38.40,0,0
20010116,38.00,39.13,37.85,38.42,3613800,0
20010117,38.42,38.42,37.92,38.05,2673000,0
20010118,38.05,38.49,37.95,38.09,2452200,0
20010119,38.09,38.33,35.92,36.50,4857900,0
20010122,36.50,36.50,36.50,36.50,0,0
20010123,38.22,39.85,38.22,39.10,2429700,0
20010124,38.33,40.47,38.33,40.16,3143100,0
20010125,39.27,40.21,38.96,39.59,0,0
20010126,39.59,40.82,39.59,40.42,0,0
20010129,40.80,41.22,39.01,39.35,1532400,0
20010130,38.33,38.95,37.33,38.09,2423100,0
20010131,38.03,38.03,36.38,37.15,22749300,0
20010201,37.05,38.40,36.97,38.00,3381900,0
20010202,38.97,39.73,38.97,39.50,3157200,0
20010205,40.08,41.08,39.85,40.50,2259900,0
20010206,40.33,40.33,39.11,39.18,1582200,0
20010207,39.83,40.87,39.80,39.90,2329200,0
20010208,39.93,40.80,39.37,40.30,2681400,0
20010209,40.33,40.33,35.33,36.92,12225900,0
20010212,38.33,38.33,37.19,37.73,39932700,0
20010213,37.83,37.91,37.24,37.52,3132300,0
20010214,37.38,37.70,35.72,36.00,0,0
20010215,35.84,36.21,35.73,36.07,3548100,0
20010216,36.08,36.54,36.02,36.21,1953600,0
20010219,36.21,36.21,36.21,36.21,0,0
20010220,36.23,36.50,35.09,35.43,5038200,0
20010221,35.43,35.63,34.83,35.19,4548600,0
20010222,35.43,35.49,34.99,35.33,3587100,0
20010223,35.57,35.77,33.67,34.07,3132000,0
20010226,34.17,35.58,34.17,35.37,2538000,0
20010227,35.37,37.33,35.37,36.95,3381300,0
20010228,37.17,37.23,36.35,36.56,13451400,0
20010301,36.33,37.25,35.50,36.65,10622700,0
20010302,36.25,38.52,36.25,37.47,2083800,0
20010305,37.00,37.00,36.33,36.77,3237600,0
20010306,36.78,37.17,36.45,36.80,1387200,0
20010307,36.58,37.00,36.52,36.67,2205300,0
20010308,36.68,37.67,36.68,37.48,1870200,0
20010309,37.43,37.63,37.22,37.33,4827600,0
20010312,37.27,37.57,36.91,36.95,2483100,0
20010313,36.95,37.03,35.85,36.93,3766500,0
20010314,36.33,36.66,35.97,36.22,2521500,0
20010315,36.42,37.07,36.38,37.04,1492500,0
20010316,36.34,37.14,35.33,35.59,2915100,0
20010319,35.77,36.37,35.01,36.25,2556600,0
20010320,36.17,36.44,35.19,35.20,1819500,0
20010321,34.85,35.75,34.47,34.52,3511200,0
20010322,34.53,34.53,33.10,33.46,5281200,0
20010323,33.67,35.00,33.57,34.34,2134200,0
20010326,34.58,35.58,34.58,34.99,1292700,0
20010327,34.75,35.27,34.75,34.93,2382600,0
20010328,34.57,34.65,33.33,33.43,3636600,0
20010329,33.65,35.37,33.60,35.12,25832100,0
20010330,35.67,36.42,35.53,35.79,2823300,0
20010402,36.19,36.73,35.43,35.52,2856000,0
20010403,35.20,35.50,34.85,34.94,4294200,0
20010404,34.73,35.39,34.42,35.03,1746000,0
20010405,35.33,35.66,34.58,35.50,10767900,0
20010406,35.17,35.73,34.30,34.77,4398300,0
20010409,34.61,34.78,34.15,34.63,1903200,0
20010410,34.64,34.64,33.18,34.00,5397600,0
20010411,34.00,34.00,33.33,33.62,3223500,0
20010412,33.50,34.33,33.38,33.77,2179200,0
20010416,33.67,34.00,33.24,33.33,2441400,0
20010417,33.48,33.63,32.93,33.38,4203900,0
20010418,33.50,33.82,33.28,33.53,59773800,0
20010419,33.57,33.82,33.43,33.60,19607700,0
20010420,33.58,33.80,33.48,33.63,3132000,0
20010423,33.80,34.10,33.48,33.53,1476000,0
20010424,33.53,33.65,32.57,32.61,3183300,0
20010425,32.83,33.43,32.52,33.14,65058000,0
20010426,33.67,34.83,33.03,34.25,14906400,0
20010427,35.17,35.67,35.00,35.67,5844900,0
20010430,35.50,35.96,35.50,35.57,2594100,0
20010501,35.33,36.42,35.22,36.23,1776000,0
20010502,32.33,32.33,30.50,30.95,21024300,0
20010503,30.67,30.68,29.63,29.93,11997600,0
20010504,29.93,30.33,29.39,29.83,9662100,0
20010507,29.80,30.10,29.25,29.28,4129200,0
