DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,39.5625,39.9375,39.3750,39.6250,606000,0
20010103,39.5000,41.2500,39.5000,41.1250,801900,0
20010104,41.0937,41.0937,39.7500,39.9375,1017900,0
20010105,39.9375,40.3750,39.1250,39.8125,482600,0
20010108,39.5625,40.4375,39.5000,40.1875,328100,0
20010109,40.1875,40.2500,37.8750,39.9375,407100,0
20010110,39.6875,40.5312,39.6250,39.8750,332200,0
20010111,39.8438,39.9375,38.3750,39.0000,38000000,0
20010112,38.9063,39.1875,37.2500,37.8125,477600,0
20010115,37.8125,37.8125,37.8125,37.8125,0,0
20010116,37.4688,38.2500,37.3750,38.0000,623000,0
20010117,38.0000,38.0000,37.4375,37.5625,232900,0
20010118,37.3750,37.5000,37.0000,37.0625,506400,0
20010119,36.9375,36.9375,36.0000,36.1250,665600,0
20010122,35.9375,37.6875,35.8750,37.1250,761000,0
20010123,37.1250,37.3125,36.4375,36.9375,605200,0
20010124,36.9375,37.0000,36.5625,36.9375,535400,0
20010125,37.1875,37.3750,36.7500,37.0000,376500,0
20010126,37.1250,37.2500,36.6250,36.9375,301900,0
20010129,37.0937,37.1250,36.5625,36.6250,404400,0
20010130,36.5937,36.6250,35.7500,36.1875,566700,0
20010131,36.1250,36.1250,35.4375,35.5625,350300,0
20010201,35.5312,36.1250,35.3750,35.6250,229600,0
20010202,35.5937,36.0000,34.8750,35.7500,249000,0
20010205,35.7813,36.7500,35.5625,36.0000,244400,0
20010206,35.8750,36.6875,35.8125,36.4375,499500,0
20010207,36.0937,37.1250,35.9375,37.0625,190800,0
20010208,37.2500,37.3125,36.3750,36.8750,156600,0
20010209,36.8750,37.0625,36.3750,36.6875,120800,0
20010212,36.6250,37.7500,36.0000,37.5000,346700,0
20010213,37.5625,37.6250,37.0625,37.3750,437400,0
20010214,37.3750,37.5625,36.5000,36.8750,198500,0
20010215,36.6875,37.3125,36.1250,37.0625,247600,0
20010216,37.2500,37.9375,36.8125,37.3125,200400,0
20010219,37.3125,37.3125,37.3125,37.3125,0,0
20010220,37.2188,37.2500,36.4375,36.5625,167600,0
20010221,36.5000,36.5625,35.1250,35.5625,275800,0
20010222,35.6875,36.4375,34.8125,36.2500,318100,0
20010223,35.9375,36.1875,34.7500,35.6562,183600,0
20010226,35.8750,36.0625,35.1875,35.8125,284200,0
20010227,35.6875,36.6562,35.6875,36.6250,257500,0
20010228,36.6250,37.0000,36.3125,36.8125,324900,0
20010301,36.5000,37.4375,35.5000,37.2813,241700,0
20010302,36.6875,37.8750,36.0000,37.1250,273000,0
20010305,37.5000,37.5000,36.9375,37.2500,283800,0
20010306,37.5625,38.2500,36.8750,37.3750,241600,0
20010307,37.3125,37.8750,37.3125,37.5000,160500,0
20010308,37.5000,38.3750,37.4375,38.1250,193600,0
20010309,38.0625,38.1875,37.3125,37.6250,180100,0
20010312,37.3750,37.5625,37.0000,37.0625,270800,0
20010313,37.0000,37.1250,36.3750,36.6875,193000,0
20010314,36.4063,36.4375,34.8750,35.9375,250300,0
20010315,36.0625,36.8750,35.8750,36.8750,190100,0
20010316,35.8750,36.6875,35.3125,36.3438,636600,0
20010319,36.3438,36.6250,35.5625,35.6875,207700,0
20010320,35.7500,36.3750,35.5000,35.9375,282100,0
20010321,35.7500,36.0625,35.3125,35.6875,353100,0
20010322,35.6875,35.7500,34.8125,35.3125,544000,0
20010323,35.3125,36.0000,34.8750,36.0000,260800,0
20010326,36.0937,37.0625,35.8125,36.7500,165600,0
20010327,36.7200,37.0600,36.0600,36.1900,323600,0
20010328,36.1300,36.3800,35.5000,36.2500,470900,0
20010329,36.0000,37.0000,35.9400,36.6900,292900,0
20010330,36.7200,38.2500,36.6900,37.9400,396500,0
20010402,38.3100,39.0000,37.5000,37.7500,335900,0
20010403,37.9100,38.0000,37.0000,37.5000,407600,0
20010404,37.0600,37.3800,36.9400,37.3100,328300,0
20010405,37.3100,38.3100,37.0000,37.9400,320800,0
20010406,37.7500,38.0600,36.0600,36.4400,352400,0
20010409,36.9500,37.0000,36.2000,36.5000,187500,0
20010410,36.5000,37.3100,36.4300,36.9700,316100,0
20010411,36.9500,36.9700,36.0000,36.4100,263100,0
20010412,36.4600,36.7400,35.9400,36.5000,131500,0
20010416,36.2700,37.0000,36.2700,36.9900,197700,0
20010417,36.7600,37.9000,36.5900,37.6400,229800,0
20010418,37.6800,38.6900,37.2700,38.6300,383800,0
20010419,38.0000,39.1000,38.0000,38.3100,496300,0
20010420,36.6200,38.0500,36.6200,37.6000,272500,0
20010423,37.4900,37.9200,37.4900,37.9000,283600,0
20010424,37.9600,38.7600,37.5000,37.9300,351100,0
20010425,37.7400,37.8500,37.3200,37.4800,242900,0
20010426,37.3200,38.5000,37.3100,37.3200,356100,0
20010427,37.3500,38.9600,37.3500,38.9600,312800,0
20010430,38.6400,39.1300,38.3700,38.3800,269400,0
20010501,38.2600,39.0800,37.7700,38.9100,258300,0
20010502,38.7700,38.8100,37.8000,38.6800,284400,0
20010503,38.7600,38.7600,37.3400,38.6400,239200,0
20010504,38.6100,39.7500,38.5000,39.7300,378200,0
20010507,39.4900,39.6900,38.9000,39.2600,116600,0
20010508,39.0900,39.1800,38.6300,39.0900,382700,0
20010509,39.0900,39.3000,38.7600,39.2500,364700,0
20010510,39.1900,39.4200,39.0500,39.2700,408100,0
20010511,39.2500,39.6800,39.1500,39.4800,244700,0
20010514,39.4700,39.5500,38.7500,39.4000,231800,0
20010515,39.0700,39.8000,39.0700,39.8000,264800,0
20010516,39.5300,40.2500,39.5300,40.1900,540700,0
20010517,40.3000,40.5100,40.1900,40.2500,482100,0
20010518,40.3400,40.5800,39.8000,40.2300,288200,0
20010521,40.2000,40.7500,40.1900,40.7500,274700,0
20010522,40.7500,40.8800,40.1500,40.7500,302300,0
20010523,40.7300,40.7300,40.0500,40.3100,311000,0
20010524,40.3200,40.8300,40.1800,40.4700,172200,0
20010525,40.3800,41.0000,40.1400,41.0000,245200,0
20010528,41.0000,41.0000,41.0000,41.0000,0,0
20010529,40.9800,41.9800,40.8000,41.2100,414500,0
20010530,41.3800,41.9700,40.8600,41.5700,202300,0
20010531,41.7000,42.3000,41.6900,42.0200,487500,0
20010601,42.0300,42.1500,41.5100,41.7100,360300,0
20010604,41.7900,41.8000,40.9500,41.4800,493400,0
20010605,41.3800,41.7400,41.2200,41.5500,440800,0
20010606,41.3700,41.7200,40.9600,41.5500,290400,0
20010607,41.5900,41.6000,41.1900,41.2900,156400,0
20010608,41.2900,41.6500,40.8000,41.5100,186000,0
20010611,41.5000,41.8100,41.3700,41.7000,171400,0
20010612,41.7500,42.2500,41.3500,42.2400,164900,0
20010613,42.2600,42.9200,42.1400,42.7000,240400,0
20010614,42.6600,42.7000,41.5600,41.8500,283300,0
20010615,41.5600,41.7200,41.2800,41.3000,618600,0
20010618,41.3700,41.4000,40.7500,40.8000,271400,0
20010619,41.0600,41.1000,40.3800,40.9900,378300,0
20010620,40.9600,41.3800,40.5500,41.1000,497300,0
20010621,41.0600,41.1800,39.9600,40.9000,486100,0
20010622,40.9800,40.9800,39.9500,40.1500,570400,0
20010625,40.1400,40.5500,39.9100,39.9500,158300,0
20010626,39.9500,40.7500,39.8500,40.7100,221300,0
20010627,40.6200,40.6200,39.8100,40.3500,280800,0
20010628,40.0100,40.8500,40.0100,40.5400,240500,0
20010629,40.3000,40.5200,39.8000,40.0300,400400,0
20010702,39.6800,40.4000,39.3100,40.3600,630500,0
