DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,35.38,35.38,34.38,34.50,11454,0
20010103,35.00,35.38,33.31,33.50,15881,0
20010104,33.50,33.94,31.44,32.00,28874,0
20010105,32.75,33.50,32.19,32.38,11093,0
20010108,32.56,33.75,32.56,33.19,10373,0
20010109,32.94,33.31,32.38,33.19,7974,0
20010110,33.63,34.31,33.38,34.00,11094,0
20010111,33.81,33.94,32.50,32.69,15388,0
20010112,32.69,33.69,32.69,33.50,15187,0
20010115,33.50,33.50,33.50,33.50,0,0
20010116,33.50,33.75,32.63,33.06,11287,0
20010117,33.06,33.38,32.81,32.94,119687,0
20010118,32.94,33.81,32.94,33.38,9383,0
20010119,33.50,33.75,33.44,33.50,24603,0
20010122,33.50,33.50,33.50,33.50,0,0
20010123,33.75,34.06,33.50,33.75,12741,0
20010124,33.25,33.44,32.75,33.13,12388,0
20010125,33.19,33.69,32.50,33.38,134269,0
20010126,33.38,33.38,32.56,32.81,69400,0
20010129,34.97,35.09,33.00,34.53,838900,0
20010130,34.22,35.31,32.94,33.47,1080500,0
20010131,33.45,33.96,33.37,33.75,0,0
20010201,33.75,36.45,33.75,35.75,4534100,0
20010202,36.00,36.13,34.60,34.73,1961400,0
20010205,35.15,35.38,34.75,35.16,6097800,0
20010206,34.80,35.75,34.80,35.30,1218900,0
20010207,35.80,36.55,35.01,36.45,1217700,0
20010208,36.70,37.40,36.45,37.06,1042000,0
20010209,36.71,37.05,36.05,36.20,1149300,0
20010212,36.50,36.50,35.68,36.27,877200,0
20010213,36.26,36.77,35.63,36.29,801200,0
20010214,36.39,36.58,36.04,36.21,6054200,0
20010215,36.29,36.65,36.25,36.62,1050900,0
20010216,36.75,37.05,36.25,36.61,3286600,0
20010219,36.61,36.61,36.61,36.61,0,0
20010220,36.25,37.15,36.25,36.68,2629000,0
20010221,36.88,36.99,36.50,36.61,713500,0
20010222,36.35,36.67,35.55,35.86,1474200,0
20010223,35.81,35.97,35.36,35.69,769700,0
20010226,35.60,36.00,35.30,35.89,731800,0
20010227,36.10,36.74,35.50,36.17,761400,0
20010228,36.65,36.65,35.50,35.96,3534400,0
20010301,35.90,35.95,34.97,35.03,1208500,0
20010302,34.85,35.32,34.85,35.15,1467200,0
20010305,34.75,35.08,34.65,34.80,7431700,0
20010306,34.55,35.00,34.50,34.70,2511300,0
20010307,34.59,34.69,34.25,34.68,1498000,0
20010308,34.68,35.18,34.41,35.13,6361600,0
20010309,33.75,34.38,33.33,33.33,3020200,0
20010312,33.30,33.30,31.00,32.02,2189300,0
20010313,32.00,32.26,31.19,31.49,1833500,0
20010314,31.50,33.13,31.50,33.03,3003400,0
20010315,33.75,33.75,32.25,32.44,10849200,0
20010316,32.15,32.31,31.82,32.31,43664300,0
20010319,32.16,32.80,32.04,32.35,898800,0
20010320,32.35,33.04,31.99,32.00,1091800,0
20010321,32.04,32.07,31.86,31.92,8537500,0
20010322,31.90,31.90,30.70,31.55,1161700,0
20010323,31.00,31.20,30.51,31.08,20585700,0
20010326,31.00,31.04,30.15,30.96,7513500,0
20010327,31.22,32.50,31.15,32.14,1114200,0
20010328,31.40,31.95,31.06,31.51,633900,0
20010329,31.55,31.60,30.85,31.27,367800,0
20010330,31.59,31.70,30.59,31.45,771100,0
20010402,31.87,32.43,30.76,31.48,740500,0
