DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,59.38,60.38,58.75,58.75,0,0
20010103,58.75,60.94,57.75,60.75,12150,0
20010104,60.75,63.63,60.69,62.38,11867,0
20010105,62.38,62.38,60.00,60.75,11062,0
20010108,61.31,61.31,59.00,60.25,7676,0
20010109,60.38,60.94,59.38,59.44,0,0
20010110,58.00,60.56,57.69,59.69,14039,0
20010111,59.50,60.94,58.94,59.38,9389,0
20010112,59.38,59.38,56.88,57.50,9288,0
20010115,57.50,57.50,57.50,57.50,0,0
20010116,57.50,59.13,56.75,58.31,11419,0
20010117,58.63,59.06,57.63,57.69,8815,0
20010118,57.94,57.94,56.56,56.69,8013,0
20010119,56.69,57.13,55.75,56.00,11971,0
20010122,56.00,56.00,56.00,56.00,0,0
20010123,56.75,58.75,56.50,58.31,6455,0
20010124,58.13,59.63,57.50,59.50,5310,0
20010125,59.31,60.63,59.06,59.88,7728,0
20010126,59.81,61.56,59.69,61.00,0,0
20010129,62.56,62.97,61.00,62.22,1815900,0
20010130,60.00,63.09,59.16,62.97,0,0
20010131,60.99,61.00,59.43,60.30,582500,0
20010201,60.45,60.55,59.10,59.40,760400,0
20010202,59.60,60.50,59.60,59.79,677000,0
20010205,60.60,60.60,59.66,60.24,534800,0
20010206,59.50,59.50,58.13,59.30,1301100,0
20010207,59.20,59.40,57.70,58.90,865800,0
20010208,58.25,58.87,57.09,58.24,1089900,0
20010209,60.00,60.41,58.60,59.76,30808500,0
20010212,60.50,61.70,60.40,61.00,1055300,0
20010213,61.25,61.35,60.31,60.84,1740100,0
20010214,60.85,62.30,60.85,61.75,5173000,0
20010215,61.75,61.98,61.36,61.65,1371800,0
20010216,61.66,64.50,61.60,64.05,1705800,0
20010219,64.05,64.05,64.05,64.05,0,0
20010220,64.03,64.10,62.50,63.10,1150800,0
20010221,63.05,63.61,62.95,63.02,1540200,0
20010222,63.00,63.40,61.61,62.94,2329300,0
20010223,62.75,63.25,60.80,62.88,1035000,0
20010226,62.89,64.37,61.61,64.35,2641800,0
20010227,64.35,65.15,63.21,64.52,1977200,0
20010228,64.85,64.85,62.81,63.65,1261500,0
20010301,63.40,64.10,62.79,64.05,705200,0
20010302,63.10,64.40,63.10,64.28,964800,0
20010305,64.27,64.60,62.90,63.80,733800,0
20010306,63.85,64.00,62.00,63.53,1651800,0
20010307,63.28,64.10,62.85,64.00,4559000,0
20010308,63.99,64.95,63.55,64.95,682300,0
20010309,64.70,64.70,62.65,63.34,3435600,0
20010312,62.45,62.61,59.95,60.35,589000,0
20010313,60.25,61.80,59.65,61.80,536200,0
20010314,59.95,60.10,57.94,59.78,1380200,0
20010315,60.03,61.90,59.80,61.50,3841400,0
20010316,60.50,61.41,60.25,60.75,645500,0
20010319,60.75,61.30,59.00,61.25,798300,0
20010320,61.15,61.42,58.98,59.06,5819900,0
