DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20080714,62.8520,63.5120,59.1678,59.1680,5767885,0
20080715,58.6820,63.5740,56.4000,61.7100,8260920,0
20080716,60.3360,66.2040,60.1720,66.2040,8896390,0
20080717,67.0000,68.3880,64.3040,66.9600,6769485,0
20080718,67.0540,68.0272,64.6000,66.5340,7479175,0
20080721,65.8000,66.4700,62.9000,65.1060,4936455,0
20080722,65.7980,73.4900,65.3350,73.2540,8162910,0
20080723,72.7040,78.5980,72.0040,78.1240,9449835,0
20080724,77.0600,77.9600,73.0560,73.5440,6461795,0
20080725,73.0040,75.4180,72.2080,73.7660,3621620,0
20080728,74.2340,74.2460,69.6200,70.2100,3908825,0
20080729,71.1580,74.8360,70.0800,74.8360,4680280,0
20080730,75.9980,76.8540,72.3640,74.6580,4274000,0
20080731,73.7940,75.0000,71.2380,72.0260,3351935,0
20080801,71.6000,72.5140,65.2880,66.5880,7032040,0
20080804,65.9340,66.4400,64.0680,64.4500,3785955,0
20080805,65.9840,67.7440,65.2260,67.7000,5051105,0
20080806,66.4000,69.5980,65.5060,68.5460,4056760,0
20080807,67.3600,68.7880,65.5820,65.6980,5057935,0
20080808,65.7520,68.6860,65.4220,68.4260,4047320,0
20080811,68.5660,71.5680,67.0880,70.0380,4694920,0
20080812,69.4100,71.2340,67.1960,67.5320,6530335,0
20080813,67.4760,69.5800,66.0000,67.6960,6089485,0
20080814,67.3540,69.8000,67.1020,68.7840,5220575,0
20080815,69.4540,72.1900,69.4540,71.5340,6537540,0
20080818,71.3180,71.8560,66.2680,67.3280,7517850,0
20080819,67.1120,68.4200,66.3520,67.3100,6484305,0
20080820,67.6940,68.6200,67.2820,68.3980,6139505,0
20080821,67.7820,68.9720,67.6000,68.4220,3142790,0
20080822,69.7160,73.0000,69.5100,71.4360,21319720,0
20080825,70.5060,70.7940,67.8560,68.1260,4607875,0
20080826,67.4820,68.0000,63.9460,64.4880,7216520,0
20080827,64.7240,66.8564,62.4000,66.1000,8916850,0
20080828,66.3520,69.1100,66.2920,68.8980,6187230,0
20080829,68.3920,68.3920,66.8080,67.0760,3948835,0
20080902,68.6500,68.9260,66.4060,67.6180,5030990,0
20080903,67.4560,69.7780,67.0000,69.5680,6214370,0
20080904,69.2400,69.2400,64.8620,65.5300,7056650,0
20080905,64.6620,66.3500,62.5400,65.7860,7842535,0
20080908,68.5000,70.5000,67.7000,70.1680,10364850,0
20080909,69.0480,70.7040,65.1180,65.2360,8306710,0
20080910,66.8960,67.8680,64.3260,66.4420,6409710,0
20080911,64.6460,68.5000,63.0640,68.0680,6115375,0
20080912,67.8000,70.1960,66.2980,70.0540,5519980,0
20080915,66.9900,70.2520,65.9980,67.3640,8043885,0
20080916,65.0020,68.8520,65.0000,68.8520,8062590,0
20080917,67.0540,67.8000,63.4580,64.3360,8987105,0
20080918,65.6000,72.0000,62.1600,72.0000,11136385,0
20080919,82.8000,82.8000,73.5060,81.0000,13444315,0
20080922,79.6000,81.7000,78.6020,79.2000,7613200,0
20080923,79.3320,84.4480,74.1288,74.1300,8412110,0
20080924,75.0000,78.4583,71.8500,73.3540,6436865,0
20080925,75.6000,77.7500,73.7440,75.7720,4403875,0
20080926,75.0000,80.8740,75.0000,79.8000,4346270,0
20080929,77.8880,79.1960,64.0000,64.0000,6684290,0
20080930,70.5320,77.7980,68.6540,74.3020,5143435,0
20081001,72.6560,80.1860,72.2460,79.5500,4844905,0
20081002,79.9980,80.3800,74.5000,74.7340,4222865,0
20081003,77.4000,80.5000,72.4600,72.4600,5973880,0
20081006,72.0980,80.9000,70.7260,79.6020,7805260,0
20081007,82.8000,88.0000,79.0200,79.2000,11794425,0
20081008,78.3980,84.8000,77.5140,81.1280,6708055,0
20081009,83.7780,84.2000,67.8540,71.0800,13689835,0
20081010,68.6540,80.1280,66.2520,78.6240,12298925,0
20081013,80.6040,82.4000,73.3300,82.4000,7958165,0
20081014,82.0000,83.8000,77.3740,79.6800,8905960,0
20081015,77.6020,80.8980,71.9380,72.1380,7813750,0
20081016,72.9340,75.0000,69.0000,74.6680,6517865,0
20081017,72.8180,76.6560,70.4300,73.0400,5387975,0
20081020,73.8480,74.1960,70.0180,72.0640,4565340,0
20081021,70.2000,70.3000,65.2000,65.7380,8615110,0
20081022,64.2000,65.2920,59.6840,60.5180,7190825,0
20081023,60.6000,62.5800,52.4400,55.5320,9558130,0
20081024,49.4200,52.9920,48.0400,50.2400,8927035,0
20081027,49.8000,50.8740,46.5140,46.6380,5325855,0
20081028,48.6000,53.2980,44.6640,53.2980,8364480,0
20081029,51.5800,56.2600,49.6200,53.4900,7575575,0
20081030,54.6000,57.6000,53.4640,55.1340,6460825,0
20081031,53.6000,59.3580,53.4780,56.4300,6342630,0
20081103,56.4300,61.6640,56.0180,60.2360,8219575,0
20081104,62.3680,64.4140,60.3500,63.8740,6643255,0
20081105,62.4960,63.0140,56.1900,56.4100,5688300,0
20081106,56.0000,57.7480,51.6000,51.9280,6168560,0
20081107,53.3380,53.8720,50.5240,53.8100,5453645,0
20081110,55.4000,55.4000,47.4020,48.5860,5805570,0
20081111,47.0440,49.1220,45.0120,47.2820,8168025,0
20081112,46.2520,47.3000,44.4160,44.9280,7528445,0
20081113,45.5840,45.9980,39.4360,45.0400,13217905,0
20081114,44.0940,44.5000,41.2960,41.8060,6725865,0
20081117,40.6340,41.5580,37.9640,37.9820,7934365,0
20081118,38.5140,38.7120,35.9240,37.3820,11209385,0
20081119,37.0240,37.6880,34.1760,34.1760,7855875,0
20081120,34.2000,34.7920,31.0980,31.3100,10658775,0
20081121,32.8700,35.3760,32.4000,35.1560,13227610,0
20081124,36.2960,40.2220,34.3700,40.0760,11334420,0
20081125,41.1400,42.5000,38.0000,39.9880,7209710,0
20081126,38.6260,42.9720,38.0960,42.3520,5226835,0
20081128,41.0000,42.3900,40.3820,42.3900,2486025,0
20081201,39.4020,39.6000,34.5266,34.5280,7584645,0
20081202,34.5420,35.7020,31.2040,34.5200,12620430,0
20081203,33.2000,36.6340,32.6000,36.4580,7315345,0
20081204,35.5040,38.3800,34.8640,35.4920,6940540,0
20081205,34.8020,39.3380,34.4600,38.9140,7553485,0
20081208,41.2000,45.7300,41.2000,44.6580,10722885,0
20081209,43.7020,47.7100,43.1060,43.5787,10096850,0
20081210,45.2060,45.8980,42.8040,44.2740,5718635,0
20081211,43.6220,46.9760,42.6260,42.7400,6510865,0
20081212,41.4780,43.5940,40.8680,42.0560,6423260,0
20081215,42.6000,42.9380,39.5120,40.6760,6453165,0
20081216,41.2520,44.5100,41.2520,44.5100,9126870,0
20081217,43.3660,45.7120,43.1640,44.5960,6108940,0
20081218,44.3740,46.0720,43.6000,44.5300,6629090,0
20081219,45.0320,45.4780,42.1900,42.6480,6791395,0
20081222,42.1320,42.4000,38.2540,42.1320,6336325,0
20081223,39.7780,40.0000,36.8200,37.0760,9008075,0
20081224,37.7980,37.8740,36.4260,37.4860,2362525,0
20081226,37.6160,37.9480,36.3508,36.4180,3141765,0
20081229,36.6800,37.1480,35.0000,36.7460,10051850,0
20081230,37.0000,40.0680,36.4400,40.0340,9546795,0
20081231,40.8200,42.0520,39.7200,41.6220,5816135,0
20090102,40.9000,42.7380,39.5060,42.5160,9340525,0
20090105,42.0780,43.9280,41.0640,42.0680,7939670,0
20090106,42.2640,42.4400,39.5200,40.6000,9797795,0
20090107,38.9360,40.4480,38.5460,39.7380,6734905,0
20090108,39.2000,39.6000,37.2000,38.4440,7072690,0
20090109,38.6500,38.9000,37.6000,37.6460,4841775,0
20090112,37.5740,38.2849,37.0000,37.8360,6322250,0
20090113,37.2980,38.5100,36.2320,37.0040,6320320,0
20090114,36.0040,36.3120,35.0000,35.1600,6275020,0
20090115,35.0000,35.1560,32.1400,33.5500,10738040,0
20090116,34.5220,35.1800,33.0480,34.9000,7765380,0
20090120,34.0580,34.4540,31.8140,31.8140,6987940,0
20090121,32.5880,36.1180,31.5476,36.1160,11741705,0
20090122,32.3160,35.5120,31.4200,33.6740,7078190,0
20090123,31.8000,34.2000,31.0120,33.7480,6813565,0
20090126,34.2160,35.2000,32.5540,33.3160,6373845,0
20090127,34.2640,34.5100,32.9400,33.7280,6908455,0
20090128,35.2840,37.6333,35.2000,37.0940,9831335,0
20090129,36.1380,36.1780,34.5600,34.7300,6482075,0
20090130,35.0000,35.4340,34.0540,34.7820,7349470,0
20090202,33.7040,34.2060,32.8780,33.6520,7562970,0
20090203,34.7000,36.1560,32.3000,34.3040,10888695,0
20090204,34.5420,35.6000,34.0000,34.5140,6357765,0
20090205,34.1920,36.4700,33.8260,35.6100,8540720,0
20090206,35.6300,38.5060,35.6280,37.8000,8993040,0
20090209,37.4900,38.5020,36.8640,37.5960,5587815,0
20090210,37.1800,38.3940,35.1720,35.8180,7737270,0
20090211,35.7960,37.2000,35.6560,37.0560,5911035,0
20090212,36.2540,38.8660,36.2540,38.6120,7644235,0
20090213,38.5100,39.1960,37.7000,38.1260,4988845,0
20090217,36.7380,37.1200,35.6900,35.6960,7375465,0
20090218,36.6880,36.7340,35.0000,35.5220,5446475,0
20090219,36.4000,37.4190,35.6380,35.7500,6308020,0
20090220,34.9440,36.8820,34.3280,36.3660,8230865,0
20090223,36.8140,37.2920,34.4900,34.5900,4980905,0
20090224,34.4040,36.8960,33.4500,36.8500,8944205,0
20090225,35.7120,37.9140,34.9900,36.3980,8578705,0
20090226,37.1060,37.9940,36.4400,36.8080,7129050,0
20090227,35.6480,37.3160,35.6000,36.4800,6789175,0
20090302,35.6000,36.3340,34.4060,34.6580,6988030,0
20090303,35.1300,36.2200,34.6680,35.5740,7130615,0
20090304,36.2600,38.3140,36.1200,37.6380,7651605,0
20090305,37.3400,37.7980,36.1800,36.4860,6577325,0
20090306,36.6080,36.9840,35.2220,36.4900,5703140,0
20090309,35.6220,37.0000,35.5220,36.7720,6145595,0
20090310,37.3720,38.9440,37.0360,38.8500,8186460,0
20090311,39.3480,39.9040,36.8560,38.6400,11392485,0
20090312,38.5800,40.2160,37.5800,40.1900,7271945,0
20090313,40.5980,40.5980,38.6500,39.6300,8068325,0
20090316,40.0580,40.2920,38.7200,38.9540,7813295,0
20090317,38.4400,44.8720,38.4128,44.7820,11399390,0
20090318,43.9080,47.8780,43.7300,47.6020,13239905,0
20090319,47.9900,47.9900,45.2980,45.5860,10660205,0
20090320,45.9740,47.7280,45.6000,45.7240,9978580,0
20090323,47.1500,52.5800,47.0000,52.5800,14258660,0
20090324,51.3760,51.7760,47.4440,47.4440,11699040,0
20090325,48.1980,50.9600,47.2260,49.8540,11294925,0
20090326,51.2000,51.6000,49.4800,51.3520,8245885,0
20090327,50.1860,50.6500,48.8000,48.8980,6200345,0
20090330,46.1000,48.8000,45.6340,46.8840,7299335,0
20090331,47.7520,49.7000,47.4880,49.2780,6544030,0
20090401,48.0060,48.8420,46.5100,47.4800,7521540,0
20090402,48.9800,50.1780,48.5400,49.0720,7609445,0
20090403,48.4540,51.0000,47.6560,50.8880,6258620,0
20090406,50.0000,50.0942,48.8500,49.1060,5299015,0
20090407,48.5020,50.3300,48.0340,48.0700,6160100,0
20090408,49.2420,49.6000,47.8000,48.7100,5285560,0
20090409,50.0200,51.6460,48.9147,51.5800,7004195,0
