DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20060126,45.00,48.28,39.51,44.00,13219400,0
20060127,44.88,44.90,41.75,42.20,1150800,0
20060130,42.20,45.51,41.25,44.80,732300,0
20060131,45.50,49.30,45.38,47.52,1111200,0
20060201,48.90,49.24,45.25,46.56,606700,0
20060202,47.90,47.91,44.26,44.75,403800,0
20060203,44.85,46.56,44.25,46.55,245300,0
20060206,47.48,48.00,46.00,47.71,350100,0
20060207,47.71,47.75,45.25,46.28,267200,0
20060208,45.85,46.60,45.04,45.74,174400,0
20060209,45.78,46.00,43.08,44.05,220300,0
20060210,43.25,43.26,41.50,42.31,375500,0
20060213,41.75,42.55,41.00,41.48,199100,0
20060214,41.45,43.26,41.19,43.00,197900,0
20060215,43.10,43.30,42.22,42.70,98100,0
20060216,43.75,44.70,42.53,44.45,293000,0
20060217,44.25,45.00,43.85,43.85,138000,0
20060221,44.00,44.06,42.81,43.10,68100,0
20060222,43.00,44.15,42.85,43.87,95900,0
20060223,45.10,45.99,44.75,45.80,249300,0
20060224,45.90,46.75,45.80,46.67,138300,0
20060227,46.95,46.95,46.18,46.53,100800,0
20060228,46.53,46.53,45.60,45.60,87500,0
20060301,45.64,46.20,44.60,45.50,190100,0
20060302,45.50,46.31,45.07,45.75,229000,0
20060303,45.75,46.29,45.13,45.48,89100,0
20060306,45.60,46.10,45.03,45.79,168900,0
20060307,44.50,45.25,44.25,45.00,328300,0
20060308,44.85,44.85,42.20,42.50,306600,0
20060309,42.75,42.90,41.25,41.46,161500,0
20060310,41.40,42.88,40.89,42.11,313900,0
20060313,42.36,43.75,42.36,43.41,194200,0
20060314,46.29,49.15,45.95,48.70,1255800,0
20060315,48.00,52.75,47.85,52.01,1142100,0
20060316,52.00,56.75,51.89,55.05,1697700,0
20060317,55.50,55.50,53.42,53.86,396200,0
20060320,53.86,53.86,50.05,50.09,863500,0
20060321,50.26,52.35,50.20,52.00,360600,0
20060322,52.95,54.85,52.95,54.80,579800,0
20060323,55.00,55.10,53.00,53.88,505600,0
20060324,54.00,54.85,53.61,54.51,277000,0
20060327,54.25,54.45,53.30,54.09,220900,0
20060328,54.10,54.10,52.95,53.20,175700,0
20060329,53.45,54.45,53.00,53.93,148000,0
20060330,54.03,55.50,53.85,55.41,209400,0
20060331,55.20,56.50,54.60,55.39,770400,0
20060403,55.56,57.49,55.20,56.98,370100,0
20060404,57.15,57.47,56.40,57.00,167400,0
20060405,57.00,57.20,56.03,57.15,99300,0
20060406,57.60,58.00,55.48,55.50,301700,0
20060407,55.45,55.50,54.40,54.65,221100,0
20060410,54.40,55.60,53.45,53.73,338100,0
20060411,53.74,55.00,53.12,54.60,359500,0
20060412,54.50,55.19,53.82,54.05,212800,0
20060413,54.01,54.02,52.71,53.02,148100,0
20060417,52.80,54.26,52.75,54.07,99700,0
20060418,53.95,54.29,53.75,53.92,104300,0
20060419,54.00,54.40,53.80,54.00,150500,0
20060420,54.00,54.00,53.01,53.16,95800,0
20060421,53.75,53.90,53.00,53.40,119100,0
20060424,53.25,53.39,52.93,53.31,166900,0
20060425,53.06,53.06,51.25,52.15,315500,0
20060426,52.15,52.42,50.99,51.10,166200,0
20060427,49.00,50.80,48.30,50.78,813000,0
20060428,50.30,52.48,50.11,52.19,159600,0
20060501,52.00,52.16,51.40,51.65,154900,0
20060502,53.00,55.45,52.51,54.56,680100,0
20060503,54.55,55.20,54.54,55.01,204800,0
20060504,55.26,56.19,54.90,55.61,194200,0
20060505,55.50,57.00,55.40,56.90,163800,0
20060508,57.26,59.59,57.10,59.27,794000,0
20060509,65.35,67.77,62.27,67.05,2515400,0
