DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,9.55,9.64,9.36,9.44,18660,0
20010103,9.44,9.59,9.22,9.59,16080,0
20010104,9.59,10.11,9.59,9.95,13772,0
20010105,10.02,10.02,9.63,9.66,12196,0
20010108,9.56,9.67,9.36,9.44,7840,0
20010109,9.58,9.58,9.33,9.47,7252,0
20010110,9.48,9.48,8.92,9.39,11368,0
20010111,9.52,9.52,9.22,9.31,7156,0
20010112,9.34,9.47,9.25,9.47,9756,0
20010115,9.47,9.47,9.47,9.47,0,0
20010116,9.45,9.67,9.28,9.64,8448,0
20010117,9.75,9.75,9.36,9.38,0,0
20010118,9.42,9.48,9.13,9.47,7876,0
20010119,9.48,9.48,9.09,9.20,5972,0
20010122,9.20,9.20,9.20,9.20,0,0
20010123,9.20,9.56,9.20,9.44,7740,0
20010124,9.45,9.48,9.33,9.33,0,0
20010125,9.48,9.48,8.89,9.33,19628,0
20010126,9.05,9.25,8.66,9.17,22896,0
20010129,9.53,9.77,9.25,9.25,530000,0
20010130,9.25,10.02,9.07,9.50,484400,0
20010131,9.40,9.63,9.38,9.44,1548400,0
20010201,9.44,9.50,9.20,9.35,837600,0
20010202,9.47,9.47,9.21,9.28,0,0
20010205,9.36,9.36,9.04,9.04,0,0
20010206,9.04,9.25,8.60,9.19,1716400,0
20010207,9.18,9.44,9.15,9.43,586800,0
20010208,9.43,9.48,9.14,9.22,1050800,0
20010209,9.27,9.27,9.00,9.07,1006800,0
20010212,9.05,9.27,9.04,9.19,539600,0
20010213,9.27,9.35,9.25,9.33,929200,0
20010214,9.35,9.37,9.21,9.26,697600,0
20010215,9.33,9.66,9.33,9.64,0,0
20010216,9.64,9.81,9.25,9.39,972400,0
20010219,9.39,9.39,9.39,9.39,0,0
20010220,9.44,9.59,9.26,9.29,686400,0
20010221,9.29,9.32,9.07,9.29,823600,0
20010222,9.29,9.29,9.02,9.16,864800,0
20010223,9.16,9.16,8.93,9.10,1190800,0
20010226,9.20,9.74,9.13,9.57,1046000,0
20010227,9.31,9.55,9.31,9.42,844800,0
20010228,9.52,9.55,9.20,9.24,906000,0
20010301,9.50,9.50,9.22,9.40,1135600,0
20010302,9.46,9.81,9.44,9.62,982000,0
20010305,9.57,10.09,9.57,10.02,1462000,0
20010306,10.08,10.36,10.00,10.09,2021600,0
20010307,10.19,10.82,10.15,10.66,18516800,0
20010308,10.65,10.74,10.63,10.66,1487200,0
20010309,10.69,10.69,10.51,10.52,4990800,0
20010312,10.52,10.63,10.25,10.25,1345600,0
20010313,10.38,10.38,9.93,10.26,2655600,0
20010314,10.10,10.17,9.84,9.95,1452800,0
20010315,10.23,10.24,9.96,9.99,878800,0
20010316,9.93,9.96,9.63,9.69,1350000,0
20010319,9.74,10.06,9.64,9.99,1109200,0
20010320,10.09,10.09,9.64,9.65,921200,0
20010321,9.64,9.65,9.26,9.34,1372400,0
20010322,9.29,9.44,8.88,9.33,1529600,0
20010323,9.36,9.36,9.01,9.15,1477200,0
20010326,9.27,9.63,9.25,9.49,602400,0
20010327,9.44,9.60,9.41,9.60,514000,0
20010328,9.56,9.63,9.31,9.43,633600,0
20010329,9.40,9.60,9.27,9.43,1275600,0
20010330,9.38,9.53,9.26,9.39,4580000,0
20010402,9.35,9.70,9.25,9.30,1010000,0
20010403,9.34,9.34,8.94,9.00,1190400,0
20010404,8.95,9.38,8.94,9.19,1106000,0
20010405,9.18,9.34,9.13,9.28,2392800,0
20010406,9.25,9.25,8.98,9.08,733600,0
20010409,9.13,9.25,9.13,9.20,590000,0
20010410,9.24,9.68,9.20,9.60,1402400,0
20010411,9.54,9.57,9.21,9.25,246000,0
20010412,9.18,9.66,9.00,9.63,623600,0
20010416,9.38,9.79,9.26,9.54,1624000,0
20010417,9.54,9.65,9.52,9.60,592000,0
20010418,9.73,10.34,9.52,10.23,1709200,0
20010419,10.19,10.19,9.97,10.13,4717600,0
20010420,10.09,10.10,9.79,9.97,988000,0
20010423,9.97,10.04,9.79,9.82,369600,0
20010424,9.76,9.97,9.76,9.88,898000,0
20010425,9.85,10.09,9.64,10.07,841200,0
20010426,10.02,10.25,10.01,10.14,456000,0
20010427,10.15,10.34,10.11,10.31,355200,0
20010430,10.31,10.63,10.25,10.35,1281200,0
20010501,10.29,10.52,10.21,10.52,4572800,0
20010502,10.69,10.79,10.41,10.51,1212000,0
20010503,10.48,10.56,10.14,10.53,21293200,0
20010504,10.40,10.78,10.20,10.78,32608800,0
20010507,10.70,10.89,10.57,10.81,1023200,0
20010508,10.73,10.84,10.59,10.72,418000,0
20010509,10.66,10.88,10.56,10.78,887200,0
20010510,10.84,11.01,10.68,10.98,472400,0
20010511,11.05,11.08,10.81,10.91,606400,0
20010514,10.80,10.93,10.63,10.77,825200,0
20010515,10.81,10.86,10.67,10.78,300000,0
20010516,10.78,11.29,10.78,11.29,886800,0
20010517,11.27,11.38,11.23,11.33,676400,0
20010518,11.38,11.38,11.19,11.20,495200,0
20010521,11.20,11.20,10.92,11.19,4971200,0
20010522,11.18,11.29,11.05,11.20,625600,0
20010523,11.18,11.18,10.86,10.88,1142000,0
20010524,10.88,11.01,10.73,10.86,1402400,0
20010525,10.86,11.00,10.82,10.90,391200,0
20010528,10.90,10.90,10.90,10.90,0,0
20010529,10.95,10.95,10.64,10.70,748000,0
20010530,10.63,10.63,10.40,10.43,650400,0
20010531,10.42,10.76,10.42,10.59,612800,0
20010601,10.50,10.91,10.35,10.88,5033200,0
20010604,10.48,10.85,10.38,10.81,1466400,0
20010605,10.84,10.88,10.74,10.86,611600,0
20010606,10.75,11.00,10.70,10.75,1270000,0
20010607,10.76,10.87,10.73,10.78,608000,0
20010608,10.77,10.79,10.58,10.62,5042800,0
20010611,10.51,10.51,10.15,10.19,3185600,0
20010612,10.07,10.13,9.82,9.90,24817600,0
20010613,9.85,9.85,9.57,9.70,23603600,0
20010614,9.63,9.76,9.59,9.75,12372800,0
20010615,9.76,9.90,9.75,9.80,19553200,0
20010618,9.81,10.00,9.63,9.91,3304000,0
20010619,9.98,10.05,9.78,10.01,10024800,0
20010620,10.01,10.20,9.93,10.18,6810400,0
20010621,10.13,10.24,10.04,10.06,1584400,0
20010622,10.06,10.09,9.82,9.82,642000,0
20010625,9.85,9.91,9.57,9.60,1522800,0
20010626,9.55,9.82,9.44,9.78,1696800,0
20010627,9.72,9.95,9.70,9.71,1160400,0
20010628,9.77,9.81,9.67,9.76,21302800,0
20010629,9.77,9.87,9.61,9.68,11070000,0
20010702,9.86,10.05,9.61,10.03,1261600,0
20010703,10.03,10.13,9.96,10.07,669600,0
20010704,10.07,10.07,10.07,10.07,0,0
20010705,10.02,10.09,9.88,10.05,339600,0
20010706,10.00,10.00,9.57,9.69,794000,0
20010709,9.75,10.05,9.70,10.02,1103200,0
20010710,10.02,10.13,9.89,9.96,1006800,0
20010711,9.96,10.12,9.79,9.86,1019200,0
20010712,10.34,10.65,10.31,10.44,3004800,0
20010713,10.44,10.54,10.31,10.41,734000,0
20010716,10.50,10.54,10.24,10.33,766400,0
20010717,10.38,10.88,10.34,10.69,1347200,0
20010718,10.69,10.69,10.38,10.58,610800,0
20010719,10.66,10.86,10.42,10.52,805200,0
20010720,10.59,10.76,10.49,10.58,521200,0
20010723,10.57,10.57,10.25,10.36,666000,0
20010724,10.38,10.38,10.00,10.09,923200,0
20010725,10.06,10.15,10.00,10.14,1398400,0
20010726,10.19,10.22,10.00,10.20,428400,0
20010727,10.25,10.28,10.15,10.26,332800,0
20010730,10.38,10.38,10.06,10.10,823600,0
20010731,10.15,10.34,10.08,10.18,423200,0
20010801,10.23,10.34,10.10,10.14,392000,0
20010802,10.20,10.32,10.13,10.27,346000,0
20010803,10.29,10.39,10.11,10.35,4696400,0
20010806,10.35,10.37,10.13,10.18,562000,0
20010807,10.16,10.21,9.99,10.05,1234000,0
20010808,10.06,10.24,9.96,9.98,407600,0
20010809,9.97,10.06,9.85,10.04,12368800,0
20010810,10.00,10.31,10.00,10.26,570400,0
20010813,10.35,10.50,10.23,10.47,598800,0
20010814,10.48,10.48,10.29,10.44,589200,0
20010815,10.43,10.50,10.30,10.32,351200,0
20010816,10.34,10.39,10.18,10.37,245600,0
20010817,10.31,10.31,10.11,10.26,757600,0
20010820,10.30,10.30,9.91,10.03,4870000,0
20010821,9.88,9.98,9.84,9.88,12721600,0
20010822,9.95,9.98,9.92,9.95,1286000,0
20010823,9.96,9.96,9.87,9.88,1024800,0
20010824,9.88,10.02,9.88,9.99,642400,0
20010827,9.99,10.05,9.89,9.91,682800,0
20010828,9.95,10.00,9.88,9.92,382800,0
20010829,9.91,9.91,9.79,9.80,582000,0
20010830,9.81,9.84,9.20,9.45,1440000,0
20010831,9.44,9.58,9.38,9.44,2980800,0
20010903,9.44,9.44,9.44,9.44,0,0
20010904,9.48,9.68,9.48,9.58,1278400,0
20010905,9.48,9.50,9.32,9.40,1426000,0
20010906,9.39,9.39,9.14,9.24,16676800,0
20010907,9.26,9.26,8.85,8.90,33427600,0
20010910,8.83,8.91,8.75,8.85,808000,0
20010911,8.85,8.85,8.85,8.85,0,0
20010917,8.51,8.51,8.01,8.05,1047200,0
20010918,8.12,8.14,7.83,7.86,1692800,0
20010919,7.93,7.93,7.07,7.33,2488400,0
20010920,7.34,7.47,7.26,7.33,9232800,0
20010921,7.20,7.58,7.00,7.50,17312000,0
20010924,7.50,8.15,7.50,8.02,1871200,0
20010925,8.01,8.14,8.00,8.14,1190000,0
20010926,8.25,8.25,7.88,7.88,3695200,0
20010927,7.97,8.06,7.92,8.04,1512000,0
20010928,8.15,8.46,8.15,8.25,1414800,0
20011001,8.31,8.34,7.94,8.02,606800,0
20011002,8.04,8.40,8.04,8.35,944000,0
20011003,8.44,8.50,8.36,8.41,2402400,0
20011004,8.44,8.56,8.35,8.48,1229600,0
20011005,8.56,8.69,8.43,8.63,979200,0
20011008,8.55,8.59,8.34,8.35,620000,0
20011009,8.32,8.36,8.20,8.24,597600,0
20011010,8.24,8.76,8.19,8.50,1446800,0
20011011,8.68,8.95,8.68,8.86,101415600,0
20011012,8.86,8.86,8.48,8.48,1230800,0
20011015,8.43,8.60,8.33,8.44,1472800,0
20011016,8.45,8.64,8.43,8.50,997600,0
20011017,8.50,8.50,8.19,8.19,1634800,0
20011018,8.14,8.20,7.96,7.98,1485200,0
20011019,7.89,7.93,7.75,7.80,5214000,0
20011022,7.81,8.01,7.81,8.01,1139600,0
20011023,8.01,8.15,7.97,8.02,767600,0
20011024,8.03,8.14,7.95,8.10,994000,0
20011025,8.04,8.19,7.88,8.06,918000,0
20011026,8.07,8.36,8.07,8.20,631600,0
20011029,8.26,8.26,7.88,7.88,897600,0
20011030,7.88,7.94,7.69,7.75,486400,0
20011031,7.85,7.94,7.78,7.83,653600,0
20011101,7.82,8.15,7.74,8.03,1013200,0
20011102,8.01,8.25,8.00,8.20,963600,0
20011105,8.25,8.51,8.23,8.46,1465200,0
20011106,8.45,8.68,8.31,8.63,1707600,0
20011107,8.60,8.70,8.52,8.66,833200,0
20011108,8.69,8.80,8.65,8.68,1672800,0
20011109,8.70,8.70,8.50,8.57,796400,0
20011112,8.53,8.53,8.34,8.43,4691600,0
20011113,8.49,8.93,8.49,8.82,1100000,0
20011114,8.83,8.98,8.74,8.83,891200,0
20011115,8.84,8.98,8.81,8.85,776400,0
20011116,8.93,8.95,8.83,8.94,561200,0
20011119,8.94,9.10,8.90,8.98,895600,0
20011120,8.97,9.00,8.84,8.88,748400,0
20011121,8.88,8.90,8.70,8.76,467600,0
20011122,8.76,8.76,8.76,8.76,0,0
20011123,8.76,8.94,8.75,8.92,136400,0
20011126,8.88,9.13,8.82,9.08,1066000,0
20011127,9.10,9.18,8.96,9.17,1047600,0
20011128,9.05,9.07,8.88,8.94,1268000,0
20011129,8.78,8.91,8.63,8.80,1656800,0
20011130,8.80,9.10,8.74,9.05,1764000,0
20011203,9.05,9.05,8.94,9.02,907600,0
20011204,9.02,9.32,9.02,9.26,664800,0
20011205,9.26,9.62,9.26,9.54,2448400,0
20011206,9.61,9.91,9.51,9.85,1669200,0
20011207,9.80,9.84,9.65,9.72,1158000,0
20011210,9.65,9.72,9.52,9.56,946400,0
20011211,9.55,9.68,9.46,9.55,1804400,0
20011212,9.52,9.69,9.50,9.67,665200,0
20011213,9.67,9.67,9.51,9.57,967200,0
20011214,9.49,9.56,9.34,9.53,1025600,0
20011217,9.47,9.68,9.44,9.49,1446000,0
20011218,9.48,9.84,9.44,9.80,847200,0
20011219,9.80,9.81,9.68,9.77,623200,0
20011220,9.69,9.71,9.48,9.56,1454000,0
20011221,9.62,9.63,9.48,9.55,891600,0
20011224,9.50,9.70,9.50,9.68,172400,0
20011226,9.68,9.75,9.57,9.64,4564400,0
20011227,9.67,9.82,9.66,9.76,212400,0
20011228,9.78,9.80,9.66,9.78,547600,0
20011231,9.78,9.79,9.61,9.64,424400,0
20020102,9.65,9.75,9.50,9.74,1263600,0
20020103,9.74,9.88,9.74,9.84,623600,0
20020104,9.89,9.98,9.88,9.93,894400,0
20020107,9.99,10.00,9.85,9.88,732400,0
20020108,9.85,9.89,9.60,9.69,675600,0
20020109,9.63,9.88,9.63,9.73,718000,0
20020110,9.73,9.73,9.44,9.55,1052800,0
20020111,9.50,9.50,9.39,9.39,108000000,0
20020114,9.34,9.43,9.23,9.23,872400,0
20020115,8.88,9.06,8.75,8.96,3765200,0
20020116,8.96,9.01,8.78,8.78,1756800,0
20020117,8.79,9.00,8.75,8.99,715600,0
20020118,8.93,8.94,8.73,8.79,1324800,0
20020121,8.79,8.79,8.79,8.79,0,0
20020122,8.81,8.88,8.71,8.75,928000,0
20020123,8.46,8.86,8.37,8.83,1460000,0
20020124,8.84,9.09,8.81,9.01,2054800,0
20020125,8.98,9.26,8.97,9.19,1236400,0
20020128,9.20,9.36,9.19,9.30,1374800,0
20020129,9.30,9.36,9.06,9.10,1178400,0
20020130,9.05,9.18,8.92,9.18,1109600,0
20020131,9.24,9.42,9.18,9.42,1159600,0
20020201,9.38,9.49,9.25,9.26,1154800,0
20020204,9.31,9.40,9.21,9.31,1707600,0
20020205,9.29,9.52,9.27,9.49,2938400,0
20020206,9.48,9.59,9.41,9.43,2080800,0
20020207,9.45,9.56,9.45,9.47,1888400,0
20020208,9.45,9.63,9.35,9.61,1772800,0
20020211,9.59,9.90,9.31,9.77,1589600,0
20020212,9.76,9.83,9.71,9.74,1106400,0
20020213,9.74,9.85,9.72,9.76,1139200,0
20020214,9.79,9.81,9.69,9.73,773600,0
20020215,9.73,9.74,9.57,9.61,1657200,0
20020218,9.61,9.61,9.61,9.61,0,0
20020219,9.61,9.62,9.44,9.44,924400,0
20020220,9.51,9.56,9.45,9.55,1674000,0
20020221,9.63,10.18,9.58,9.91,2958400,0
20020222,9.88,10.09,9.81,10.03,1710000,0
20020225,10.03,10.50,10.03,10.43,1806400,0
20020226,10.43,10.85,10.43,10.65,2051200,0
20020227,10.61,10.65,10.46,10.52,5818400,0
20020228,10.52,10.52,10.31,10.40,3585600,0
20020301,10.40,10.53,10.31,10.53,1854800,0
20020304,10.66,11.38,10.65,11.32,3158000,0
20020305,11.32,11.32,10.96,10.99,2720800,0
20020306,10.99,11.34,10.99,11.28,1618400,0
20020307,11.23,11.35,10.99,11.02,2239200,0
20020308,11.08,11.22,10.95,11.03,1826800,0
20020311,11.31,11.80,11.30,11.71,5088400,0
20020312,11.52,11.80,11.52,11.63,2662000,0
20020313,11.63,11.69,11.40,11.42,948800,0
20020314,11.42,11.63,11.40,11.59,1903200,0
20020315,11.32,11.72,11.32,11.69,10644000,0
20020318,11.69,11.73,11.59,11.69,1307200,0
20020319,11.65,11.99,11.65,11.99,1454000,0
20020320,11.96,11.96,11.83,11.88,1783600,0
20020321,11.86,11.86,11.36,11.36,4183200,0
20020322,11.34,11.63,11.27,11.44,2000400,0
20020325,11.38,11.49,11.23,11.25,2316400,0
20020326,11.15,11.43,11.15,11.43,1499600,0
20020327,11.41,11.62,11.40,11.59,2009200,0
20020328,11.59,11.86,11.59,11.81,1522800,0
20020401,11.76,11.78,11.51,11.75,1125600,0
20020402,11.71,11.73,11.50,11.50,1991600,0
20020403,11.50,11.63,11.34,11.40,2552400,0
20020404,11.40,11.76,11.39,11.75,2239600,0
20020405,11.80,12.00,11.70,11.84,2080800,0
20020408,11.81,11.99,11.70,11.95,1152800,0
20020409,12.13,12.18,12.06,12.15,1621600,0
20020410,12.38,12.57,12.31,12.55,2736400,0
20020411,12.50,12.51,12.15,12.18,2455200,0
20020412,12.19,12.24,12.02,12.22,1359200,0
20020415,12.22,12.27,12.00,12.03,1813200,0
20020416,12.06,12.49,12.06,12.46,2179200,0
20020417,12.46,12.46,11.83,11.89,4183200,0
20020418,11.93,11.94,11.70,11.73,2826400,0
20020419,11.75,11.76,11.51,11.55,2878800,0
20020422,11.38,11.44,10.81,11.03,6014000,0
20020423,11.00,11.01,10.73,10.84,7191600,0
20020424,10.98,11.13,10.82,10.85,3610400,0
20020425,10.70,10.95,10.38,10.85,3307600,0
20020426,10.90,11.02,10.78,10.86,1414800,0
20020429,10.86,10.86,10.42,10.46,2122000,0
20020430,10.49,10.82,10.47,10.64,2852000,0
20020501,10.71,10.71,10.34,10.39,3248800,0
20020502,10.49,10.63,10.40,10.52,1930800,0
20020503,10.52,10.56,10.34,10.45,2567200,0
20020506,10.45,10.45,10.02,10.02,18097600,0
20020507,10.06,10.31,10.03,10.27,2902800,0
20020508,10.43,10.63,10.43,10.56,1161600,0
20020509,10.50,10.52,10.27,10.30,912400,0
20020510,10.34,10.36,10.18,10.21,553200,0
20020513,10.15,10.21,10.03,10.04,1472400,0
20020514,10.24,10.52,10.23,10.43,994800,0
20020515,10.40,10.87,10.36,10.74,2450400,0
20020516,10.69,10.69,10.51,10.57,677600,0
20020517,10.57,10.69,10.48,10.52,1455600,0
20020520,10.52,10.52,10.52,10.52,0,0
20020521,10.40,10.49,10.09,10.10,1955600,0
20020522,10.10,10.19,9.98,10.09,1219200,0
20020523,10.20,10.20,9.93,10.11,2268400,0
20020524,10.13,10.24,10.08,10.08,666800,0
20020527,10.08,10.08,10.08,10.08,0,0
20020528,10.14,10.22,9.90,9.93,788800,0
20020529,9.81,9.89,9.25,9.48,4392400,0
20020530,9.48,9.48,9.00,9.16,15924800,0
20020531,9.12,9.31,9.10,9.20,6384400,0
20020603,9.20,9.23,8.90,8.90,2735600,0
20020604,8.90,8.90,8.44,8.65,4777200,0
20020605,8.65,8.84,8.65,8.80,2518400,0
20020606,8.80,8.80,8.49,8.49,1706400,0
20020607,8.39,8.66,8.30,8.55,7203200,0
20020610,8.55,8.62,8.52,8.54,1603200,0
20020611,8.60,8.76,8.45,8.45,2914800,0
20020612,8.46,8.47,8.26,8.47,1430000,0
20020613,8.41,8.41,8.22,8.30,13152800,0
20020614,8.24,8.24,7.94,8.10,232513200,0
20020617,8.10,8.30,8.10,8.25,2164400,0
20020618,8.23,8.37,8.16,8.22,1865200,0
20020619,8.16,8.37,8.08,8.08,2000000,0
20020620,8.08,8.16,7.82,7.86,2512000,0
20020621,7.81,7.88,7.64,7.66,2524000,0
20020624,7.66,7.86,7.59,7.76,5746000,0
20020625,7.81,8.00,7.81,7.99,6847600,0
20020626,7.86,8.01,7.78,7.99,10851200,0
20020627,8.04,8.13,7.90,8.11,1836000,0
20020628,8.09,8.35,8.06,8.27,1368400,0
20020701,8.27,8.27,8.09,8.11,1856400,0
20020702,8.11,8.12,7.80,7.91,1688400,0
20020703,7.91,7.97,7.68,7.86,1632400,0
20020704,7.86,7.86,7.86,7.86,0,0
20020705,7.90,8.29,7.90,8.28,964800,0
20020708,8.24,8.39,8.13,8.15,1559600,0
20020709,8.13,8.29,7.94,7.94,4880000,0
20020710,7.94,7.95,7.64,7.67,1653200,0
20020711,7.64,7.64,7.38,7.61,1816400,0
20020712,7.63,7.72,7.42,7.49,96000000,0
20020715,7.47,7.49,7.10,7.45,2513200,0
20020716,7.43,7.43,7.07,7.15,3180800,0
20020717,7.25,7.42,7.09,7.34,2974400,0
20020718,7.29,7.38,7.10,7.14,1829600,0
20020719,7.30,7.75,7.21,7.24,4548000,0
20020722,7.28,7.43,7.09,7.22,4578400,0
20020723,7.22,7.29,6.90,6.99,2680800,0
20020724,6.97,7.50,6.80,7.50,2444000,0
20020725,7.50,7.64,7.18,7.48,2685200,0
20020726,7.44,7.56,7.33,7.54,1546800,0
20020729,7.69,8.20,7.63,8.20,2180000,0
20020730,8.20,8.22,8.01,8.19,3260800,0
20020731,8.18,8.22,7.92,8.07,1710800,0
20020801,8.07,8.09,7.80,7.82,1796800,0
20020802,7.82,7.82,7.35,7.45,1148000,0
20020805,7.35,7.47,7.14,7.14,1870800,0
20020806,7.38,7.68,7.38,7.56,1154800,0
20020807,7.63,7.70,7.42,7.69,1167600,0
20020808,7.70,7.88,7.61,7.86,1905200,0
20020809,7.82,7.93,7.70,7.89,375200,0
20020812,7.76,7.84,7.61,7.76,795200,0
20020813,7.81,7.85,7.57,7.60,1056400,0
20020814,7.57,7.74,7.29,7.74,1062000,0
20020815,7.75,7.88,7.59,7.77,1114000,0
20020816,7.54,7.64,7.40,7.63,2088000,0
20020819,7.63,7.86,7.54,7.84,1242400,0
20020820,7.84,7.87,7.54,7.62,2374800,0
20020821,7.66,7.75,7.56,7.74,1252800,0
20020822,7.78,7.90,7.72,7.89,1038000,0
20020823,7.89,7.89,7.65,7.70,1063600,0
20020826,7.71,7.88,7.65,7.87,577200,0
20020827,7.93,8.10,7.83,7.85,4896800,0
20020828,7.78,7.80,7.56,7.58,1260400,0
20020829,7.51,7.51,7.38,7.44,1272800,0
20020830,7.43,7.55,7.42,7.45,742400,0
20020902,7.45,7.45,7.45,7.45,0,0
20020903,7.25,7.25,7.00,7.04,2468800,0
20020904,7.10,7.20,6.95,7.16,1361600,0
20020905,7.12,7.12,6.95,7.04,8954400,0
20020906,7.15,7.19,7.05,7.16,1056800,0
20020909,7.11,7.35,7.05,7.30,586000,0
20020910,7.34,7.36,7.25,7.32,662400,0
20020911,7.40,7.44,7.25,7.27,1227600,0
20020912,7.24,7.28,7.14,7.16,739200,0
20020913,7.07,7.07,6.86,6.99,1258800,0
20020916,7.01,7.01,6.88,6.92,942800,0
20020917,6.94,6.95,6.68,6.69,1301600,0
20020918,6.56,6.57,6.25,6.30,3599600,0
20020919,6.27,6.35,6.14,6.15,3846400,0
20020920,6.06,6.19,6.06,6.16,5553600,0
20020923,6.13,6.18,6.09,6.11,2082800,0
20020924,6.09,6.09,5.84,5.86,1313600,0
20020925,5.97,6.09,5.90,6.07,1082800,0
20020926,6.11,6.28,6.09,6.26,5244800,0
20020927,6.22,6.23,6.01,6.01,2232000,0
20020930,5.95,5.95,5.73,5.91,1984000,0
20021001,5.90,6.14,5.72,6.14,9199600,0
20021002,6.07,6.14,5.65,5.77,2051200,0
20021003,5.84,5.97,5.69,5.84,1696400,0
20021004,5.91,5.91,5.43,5.53,2592000,0
20021007,5.59,5.63,5.34,5.36,1800800,0
20021008,5.38,5.40,5.01,5.26,2976400,0
20021009,5.24,5.24,4.90,4.92,3909200,0
20021010,4.93,5.35,4.92,5.35,4496000,0
20021011,5.41,6.05,5.41,5.81,39559200,0
20021014,5.79,5.95,5.69,5.82,2616800,0
20021015,6.11,6.40,6.11,6.40,4095200,0
20021016,5.75,5.97,5.49,5.50,10050400,0
20021017,5.50,6.09,5.30,6.09,31322000,0
20021018,5.95,6.20,5.86,6.17,2163200,0
20021021,6.11,6.49,5.99,6.46,4113200,0
20021022,6.25,6.28,6.13,6.24,3128400,0
20021023,6.18,6.47,6.08,6.47,336000000,0
20021024,6.50,6.50,6.18,6.24,2090400,0
20021025,6.15,6.30,6.09,6.30,1132800,0
20021028,6.28,6.34,6.06,6.11,2134000,0
20021029,6.09,6.09,5.90,6.04,1658800,0
20021030,6.04,6.05,5.92,5.99,2123600,0
20021031,6.05,6.09,5.95,6.01,1653600,0
20021101,5.96,6.07,5.90,6.06,10303200,0
20021104,6.13,6.47,6.11,6.30,6023200,0
20021105,6.32,6.40,6.26,6.36,1326400,0
20021106,6.44,6.56,6.32,6.44,9825200,0
20021107,6.60,6.63,6.30,6.34,2700000,0
20021108,6.34,6.48,6.25,6.35,5122000,0
20021111,6.35,6.35,6.09,6.13,1481200,0
20021112,6.14,6.36,6.14,6.30,2111600,0
20021113,6.26,6.46,6.22,6.46,256000000,0
20021114,6.53,6.80,6.53,6.70,6489600,0
20021115,6.68,6.99,6.65,6.97,3648400,0
20021118,6.97,7.05,6.82,6.91,5510000,0
20021119,6.91,6.91,6.77,6.88,2219200,0
20021120,6.88,7.03,6.77,7.02,2202000,0
20021121,7.04,7.28,7.04,7.28,3164400,0
20021122,7.24,7.35,7.14,7.32,9104000,0
20021125,7.36,7.56,7.35,7.53,2160400,0
20021126,7.44,7.54,7.38,7.43,6691600,0
20021127,7.47,7.86,7.45,7.86,1534400,0
20021128,7.86,7.86,7.86,7.86,0,0
20021129,7.86,7.95,7.82,7.86,945600,0
20021202,8.00,8.09,7.68,7.75,2292000,0
20021203,7.61,7.61,7.34,7.36,3285200,0
20021204,7.25,7.49,7.25,7.44,14931200,0
20021205,7.44,7.48,7.35,7.45,5335200,0
20021206,7.45,7.53,7.34,7.41,2222400,0
20021207,7.41,7.41,7.41,7.41,0,0
20021208,7.41,7.41,7.41,7.41,0,0
20021209,7.41,7.41,7.23,7.25,1680400,0
20021210,7.25,7.40,7.20,7.31,1382800,0
20021211,7.28,7.28,7.16,7.26,42065600,0
20021212,7.35,7.41,7.24,7.38,2134000,0
20021213,7.29,7.30,7.20,7.23,1732800,0
20021216,7.23,7.47,7.23,7.41,1668000,0
20021217,7.41,7.46,7.32,7.38,9499600,0
20021218,7.38,7.39,7.18,7.20,2687600,0
20021219,7.20,7.28,7.05,7.11,10000400,0
20021220,7.12,7.19,7.10,7.14,1745600,0
20021223,7.14,7.16,7.09,7.14,1360000,0
20021224,7.13,7.16,7.03,7.09,824800,0
20021226,7.09,7.22,7.09,7.11,964800,0
20021227,7.10,7.10,6.91,6.93,1224400,0
20021230,6.95,7.03,6.86,6.99,5646800,0
20021231,7.04,7.07,6.97,7.03,1414000,0
20030102,7.05,7.26,7.03,7.25,18394400,0
20030103,7.20,7.23,7.15,7.22,1214800,0
20030106,7.21,7.39,7.21,7.38,1483200,0
20030107,7.38,7.38,7.28,7.30,1050800,0
20030108,7.30,7.30,7.09,7.09,1773200,0
20030109,7.13,7.20,7.09,7.18,2331600,0
20030110,7.11,7.24,7.09,7.14,1476400,0
20030113,7.15,7.22,7.09,7.16,1878000,0
20030114,7.14,7.14,7.07,7.14,5124800,0
20030115,7.18,7.18,6.96,7.01,1836400,0
20030116,7.01,7.14,6.97,6.97,1927600,0
20030117,6.97,7.06,6.89,6.91,1837200,0
20030120,6.91,6.91,6.91,6.91,0,0
20030121,6.92,6.95,6.60,6.63,2625200,0
20030122,6.63,6.63,6.32,6.36,6190400,0
20030123,6.41,6.56,6.38,6.51,1843200,0
20030124,6.51,6.51,6.31,6.34,1103200,0
20030127,6.29,6.32,6.07,6.11,2133600,0
