DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,31.31,31.44,30.25,30.38,3462,0
20010103,30.63,31.25,30.38,30.38,7221,0
20010104,29.94,29.94,27.19,27.94,0,0
20010105,27.94,28.44,27.75,28.31,5588,0
20010108,28.31,29.00,28.13,28.56,9785,0
20010109,28.81,28.81,27.56,28.44,5666,0
20010110,28.25,28.56,27.88,28.25,3064,0
20010111,28.31,28.31,27.13,27.38,8403,0
20010112,27.19,28.06,27.00,28.00,5270,0
20010115,28.00,28.00,28.00,28.00,0,0
20010116,28.00,28.00,26.75,27.63,0,0
20010117,27.50,27.63,27.25,27.50,2645,0
20010118,27.50,27.94,27.38,27.75,2127,0
20010119,27.94,28.13,27.31,27.69,2988,0
20010122,27.69,27.69,27.69,27.69,0,0
20010123,27.94,28.75,27.81,28.25,8384,0
20010124,29.25,30.38,27.88,28.56,20792,0
20010125,28.63,29.13,28.50,29.13,6141,0
20010126,28.88,29.94,28.88,29.31,9815,0
20010129,30.03,32.06,30.00,30.19,0,0
20010130,31.53,32.09,30.00,31.00,0,0
20010131,29.66,29.84,28.89,29.56,14204600,0
20010201,29.60,29.60,29.20,29.42,0,0
20010202,29.59,29.85,29.15,29.30,0,0
20010205,29.18,29.84,29.10,29.69,420000,0
20010206,29.80,29.80,29.30,29.74,539500,0
20010207,29.74,29.99,29.25,29.36,483800,0
20010208,29.55,29.89,29.49,29.65,701500,0
20010209,29.70,30.20,29.65,30.15,665900,0
20010212,30.05,30.96,30.05,30.75,1173300,0
20010213,30.95,31.00,30.28,30.49,302100,0
20010214,30.24,30.74,30.11,30.46,0,0
20010215,30.29,30.30,29.80,30.11,778200,0
20010216,30.11,30.75,29.95,30.25,607900,0
20010219,30.25,30.25,30.25,30.25,0,0
20010220,30.25,30.90,30.10,30.55,605800,0
20010221,30.80,30.99,30.70,30.80,819900,0
20010222,30.90,31.25,30.70,31.00,775800,0
20010223,29.00,29.60,28.50,29.25,3432800,0
20010226,29.39,29.55,28.94,29.34,1621800,0
20010227,29.05,29.55,29.05,29.52,19577000,0
20010228,29.57,29.70,29.10,29.55,1046500,0
20010301,29.55,30.19,29.41,30.14,1553400,0
20010302,30.14,30.49,30.00,30.20,991000,0
20010305,30.45,30.48,29.50,30.05,1009900,0
20010306,30.25,30.25,29.81,30.14,11472800,0
20010307,30.15,30.40,29.74,30.15,6288500,0
20010308,30.25,30.55,29.98,30.25,553800,0
20010309,30.29,30.29,29.65,30.15,563100,0
20010312,30.19,30.48,29.60,30.00,536200,0
20010313,30.00,30.05,29.30,29.92,1219000,0
20010314,29.67,29.67,25.25,29.40,423800,0
20010315,29.25,29.71,29.00,29.69,9339900,0
20010316,29.50,29.79,29.38,29.79,772100,0
20010319,29.79,29.94,29.58,29.89,641700,0
20010320,29.89,29.95,29.32,29.58,2388500,0
20010321,29.59,30.33,29.50,29.55,1149300,0
20010322,29.45,29.45,27.45,27.95,567700,0
20010323,28.00,28.70,27.45,28.50,653700,0
20010326,29.20,29.20,28.60,28.80,788900,0
20010327,28.93,29.19,28.60,29.02,1633800,0
20010328,28.90,29.02,28.25,28.88,1173700,0
20010329,28.90,29.00,28.53,28.95,713600,0
20010330,29.05,29.66,28.85,29.59,22681400,0
20010402,29.76,30.22,29.51,29.80,983800,0
20010403,29.90,29.99,29.44,29.60,923800,0
20010404,29.60,29.90,29.44,29.55,843600,0
20010405,29.80,29.80,29.27,29.47,1098600,0
20010406,29.60,30.20,28.60,29.19,1060400,0
20010409,29.25,30.50,29.25,30.03,574900,0
20010410,30.20,30.90,30.15,30.81,581800,0
20010411,30.90,30.99,30.10,30.79,224200,0
20010412,30.65,30.73,30.00,30.73,538800,0
20010416,30.55,30.95,30.26,30.65,429800,0
20010417,30.90,31.27,30.65,31.27,704500,0
20010418,31.02,31.20,30.39,31.02,649700,0
20010419,31.04,31.04,30.40,30.51,151000,0
20010420,30.50,30.60,29.45,29.70,2850400,0
20010423,29.90,30.40,29.80,30.30,881100,0
20010424,30.25,30.55,30.10,30.30,636400,0
20010425,30.30,30.49,30.10,30.35,508900,0
20010426,30.35,30.85,30.31,30.50,748100,0
