DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,35.34,35.39,34.27,34.68,799400,0
20010103,34.88,35.54,31.17,31.78,1238700,0
20010104,31.78,31.94,28.79,30.46,3835900,0
20010105,30.26,30.72,29.75,29.75,2250100,0
20010108,29.80,30.77,29.80,30.26,1203200,0
20010109,30.06,30.16,29.04,29.30,1140400,0
20010110,29.50,29.75,27.87,28.84,997200,0
20010111,29.04,29.04,25.84,26.35,3190400,0
20010112,26.60,27.98,26.10,27.62,1957000,0
20010115,27.62,27.62,27.62,27.62,0,0
20010116,27.67,27.72,26.15,27.06,1569500,0
20010117,27.11,27.42,26.60,26.91,1620200,0
20010118,26.81,28.13,26.71,27.67,1652300,0
20010119,27.67,28.18,26.86,27.42,873900,0
20010122,27.77,28.89,27.62,28.58,1112900,0
20010123,28.38,29.30,28.38,28.53,1133800,0
20010124,28.53,29.75,28.33,29.45,1215400,0
20010125,29.96,30.87,29.75,30.06,1371300,0
20010126,29.65,31.07,29.50,30.51,2079500,0
20010129,30.52,31.48,30.52,30.75,988200,0
20010130,30.95,30.95,30.28,30.37,1081600,0
20010131,30.37,30.73,29.73,30.63,1150100,0
20010201,30.63,30.78,29.85,30.14,1179300,0
20010202,30.26,30.74,30.26,30.58,1044500,0
20010205,30.78,31.13,30.67,30.86,697700,0
20010206,31.02,31.54,30.91,31.15,765800,0
20010207,32.29,33.14,32.01,32.44,1458300,0
20010208,32.65,33.58,32.65,33.40,1238800,0
20010209,33.40,33.87,33.14,33.50,682200,0
20010212,33.71,34.16,32.75,33.36,1561700,0
20010213,33.31,33.70,32.70,33.07,2512400,0
20010214,33.37,33.91,32.89,33.16,2026700,0
20010215,33.16,33.33,32.71,33.27,1048300,0
20010216,33.45,33.90,33.13,33.66,1339300,0
20010219,33.66,33.66,33.66,33.66,0,0
20010220,33.29,34.72,33.29,34.36,790800,0
20010221,34.72,35.50,34.35,34.35,921100,0
20010222,34.15,35.09,33.91,34.44,699200,0
20010223,34.56,34.82,33.26,33.85,1378600,0
20010226,33.82,34.64,33.41,34.21,818400,0
20010227,34.39,34.84,34.23,34.76,760500,0
20010228,34.68,34.89,34.05,34.44,702100,0
20010301,34.23,34.69,33.70,34.11,1072600,0
20010302,33.98,34.44,33.65,34.25,686200,0
20010305,34.35,34.47,33.80,34.04,586400,0
20010306,34.03,34.03,33.39,33.96,714600,0
20010307,33.85,34.27,33.42,33.91,1185400,0
20010308,33.90,34.22,33.74,34.18,730600,0
20010309,34.21,34.44,33.94,34.37,606000,0
20010312,34.71,34.80,34.28,34.31,1300700,0
20010313,34.31,34.95,33.98,34.72,1937100,0
20010314,34.37,34.55,33.78,34.52,1642700,0
20010315,34.93,35.42,34.64,34.90,1003400,0
20010316,34.44,34.93,34.19,34.44,1060700,0
20010319,35.17,35.23,34.32,34.67,826700,0
20010320,34.76,35.09,34.31,34.52,721600,0
20010321,34.11,35.16,33.73,33.84,1015800,0
20010322,34.11,34.39,31.65,32.48,1457100,0
20010323,31.57,32.30,30.75,32.22,1337700,0
20010326,32.88,33.76,32.88,33.60,982000,0
20010327,33.78,34.84,33.78,34.73,760600,0
20010328,34.80,35.17,34.34,35.16,1189700,0
20010329,35.01,35.91,34.60,35.89,1195200,0
20010330,36.03,37.51,36.03,37.10,2001700,0
20010402,37.31,38.06,36.66,37.43,1635400,0
20010403,37.43,38.70,36.94,38.44,2380500,0
20010404,38.44,38.71,37.86,37.86,2912800,0
20010405,37.70,37.70,36.91,37.18,1739700,0
20010406,37.31,37.63,34.35,35.71,2951200,0
20010409,36.36,37.30,35.99,36.73,1372200,0
20010410,37.22,38.12,37.22,37.58,968900,0
20010411,37.72,37.78,36.77,37.31,1002600,0
20010412,37.31,37.72,37.18,37.34,866300,0
20010416,38.33,38.99,38.32,38.54,1294800,0
20010417,39.31,40.33,39.23,40.11,1554700,0
20010418,40.38,40.99,38.85,40.36,2069700,0
20010419,40.36,40.57,39.90,40.25,1956300,0
20010420,40.13,40.82,39.98,40.35,1375400,0
20010423,40.42,40.91,39.89,40.10,2052000,0
20010424,40.25,40.79,39.99,40.17,1470500,0
20010425,39.76,40.32,39.72,40.17,1436700,0
20010426,40.50,41.16,40.34,40.90,1550800,0
20010427,40.99,41.05,39.27,39.70,2276400,0
20010430,39.70,40.67,39.27,40.63,1711800,0
20010501,40.63,41.36,40.63,41.01,2430700,0
20010502,40.63,40.68,39.23,39.23,1166600,0
20010503,38.66,38.99,38.04,38.49,1206400,0
20010504,38.28,38.66,38.08,38.27,1027400,0
20010507,38.78,38.78,38.13,38.31,581400,0
