DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,2.59,2.65,2.42,2.42,43128,0
20010103,2.41,2.44,2.20,2.44,291552,0
20010104,2.44,2.44,2.17,2.22,45480,0
20010105,2.23,2.35,2.22,2.33,24952,0
20010108,2.40,2.45,2.35,2.40,35632,0
20010109,2.39,2.39,2.28,2.34,24624,0
20010110,2.34,2.46,2.33,2.36,134184,0
20010111,2.38,2.44,2.36,2.39,15448,0
20010112,2.37,2.37,2.26,2.32,32632,0
20010115,2.32,2.32,2.32,2.32,0,0
20010116,2.30,2.41,2.30,2.41,14488,0
20010117,2.41,2.41,2.29,2.31,22408,0
20010118,2.32,2.34,2.11,2.15,6120000,0
20010119,2.18,2.30,2.17,2.26,0,0
20010122,2.26,2.26,2.26,2.26,0,0
20010123,2.29,2.29,2.22,2.24,10624,0
20010124,2.26,2.29,2.25,2.25,0,0
20010125,2.29,2.42,2.26,2.34,0,0
20010126,2.36,2.39,2.31,2.35,11856,0
20010129,2.41,2.49,2.33,2.38,25262520,0
20010130,2.32,2.38,2.25,2.33,1276800,0
20010131,2.27,2.35,2.27,2.34,2502000,0
20010201,2.33,2.33,2.21,2.27,0,0
20010202,2.27,2.34,2.27,2.30,1929600,0
20010205,2.30,2.39,2.30,2.34,0,0
20010206,2.33,2.37,2.28,2.34,964800,0
20010207,2.33,2.43,2.30,2.43,1538400,0
20010208,2.42,2.42,2.33,2.35,790800,0
20010209,2.35,2.48,2.35,2.47,1779600,0
20010212,2.49,2.51,2.45,2.48,1094400,0
20010213,2.47,2.49,2.42,2.46,1280400,0
20010214,2.46,2.52,2.44,2.49,0,0
20010215,2.40,2.40,2.33,2.39,1252800,0
20010216,2.39,2.45,2.37,2.40,0,0
20010219,2.40,2.40,2.40,2.40,0,0
20010220,2.44,2.46,2.39,2.41,744000,0
20010221,2.39,2.43,2.33,2.33,997200,0
20010222,2.33,2.34,2.22,2.25,13291200,0
20010223,2.25,2.28,2.21,2.24,1747200,0
20010226,2.24,2.35,2.24,2.30,24754800,0
20010227,2.31,2.32,2.30,2.31,548400,0
20010228,2.31,2.31,2.23,2.26,1030800,0
20010301,2.23,2.25,2.21,2.23,1262400,0
20010302,2.23,2.23,2.22,2.23,1796400,0
20010305,2.23,2.33,2.22,2.29,1654800,0
20010306,2.29,2.35,2.23,2.35,1310400,0
20010307,2.38,2.62,2.38,2.50,6526800,0
20010308,2.63,2.72,2.60,2.67,5320800,0
20010309,2.69,2.70,2.63,2.63,1333200,0
20010312,2.57,2.57,2.48,2.54,2092800,0
20010313,2.50,2.50,2.40,2.50,12752400,0
20010314,2.49,2.53,2.44,2.45,1375200,0
20010315,2.50,2.50,2.40,2.44,890400,0
20010316,2.44,2.50,2.38,2.38,717600,0
20010319,2.38,2.42,2.38,2.42,192483600,0
20010320,2.42,2.46,2.39,2.40,2206800,0
20010321,2.41,2.41,2.25,2.28,2104800,0
20010322,2.21,2.27,2.13,2.27,3343200,0
20010323,2.30,2.33,2.27,2.32,1398000,0
20010326,2.33,2.34,2.25,2.31,1095600,0
20010327,2.32,2.35,2.31,2.33,1932000,0
20010328,2.33,2.34,2.28,2.28,1246800,0
20010329,2.26,2.26,2.16,2.17,1044000,0
20010330,2.16,2.25,2.16,2.25,2221200,0
20010402,2.25,2.25,2.19,2.19,873600,0
20010403,2.19,2.21,2.12,2.13,2331600,0
20010404,2.08,2.18,2.08,2.12,24620400,0
20010405,2.09,2.22,2.09,2.19,1776000,0
20010406,2.19,2.19,2.17,2.18,530400,0
20010409,2.20,2.31,2.20,2.27,1477200,0
20010410,2.27,2.35,2.27,2.31,1915200,0
20010411,2.33,2.34,2.28,2.29,656400,0
20010412,2.29,2.33,2.29,2.32,820800,0
20010416,2.33,2.36,2.32,2.34,1946400,0
20010417,2.35,2.46,2.34,2.45,2007600,0
20010418,2.45,2.45,2.37,2.38,1610400,0
20010419,2.38,2.38,2.19,2.22,481934400,0
20010420,2.24,2.33,2.22,2.24,7046400,0
20010423,2.24,2.27,2.23,2.26,3504000,0
20010424,2.42,2.42,2.29,2.32,2949600,0
20010425,2.35,2.36,2.29,2.35,5354400,0
20010426,2.37,2.58,2.37,2.47,4672800,0
20010427,2.47,2.47,2.41,2.45,13292400,0
20010430,2.45,2.46,2.40,2.42,2851200,0
20010501,2.42,2.42,2.35,2.37,942000,0
20010502,2.34,2.34,2.21,2.26,1550400,0
20010503,2.26,2.28,2.22,2.27,1102800,0
20010504,2.27,2.33,2.27,2.33,1204800,0
20010507,2.33,2.38,2.33,2.33,2226000,0
20010508,2.36,2.36,2.28,2.31,894000,0
20010509,2.29,2.39,2.29,2.35,1910400,0
20010510,2.35,2.38,2.33,2.36,25063200,0
20010511,2.36,2.36,2.32,2.35,603600,0
20010514,2.38,2.57,2.38,2.52,4966800,0
20010515,2.52,2.57,2.52,2.56,1660800,0
20010516,2.67,2.67,2.62,2.64,5763600,0
20010517,2.64,2.69,2.63,2.67,3076800,0
20010518,2.69,2.77,2.69,2.74,2119200,0
20010521,2.79,2.85,2.75,2.85,2458800,0
20010522,2.85,2.86,2.80,2.82,3790800,0
20010523,2.80,2.80,2.71,2.76,2684400,0
20010524,2.74,2.74,2.66,2.67,3340800,0
20010525,2.60,2.67,2.60,2.66,920400,0
20010528,2.66,2.66,2.66,2.66,0,0
20010529,2.66,2.67,2.63,2.64,966000,0
20010530,2.65,2.65,2.54,2.57,1122000,0
