DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010723,21.50,21.50,20.75,20.75,1301700,0
20010724,21.10,21.20,20.51,20.59,21458700,0
20010725,20.70,21.66,20.50,21.66,637900,0
20010726,21.60,21.71,21.05,21.50,587600,0
20010727,21.50,22.12,21.05,21.11,2297600,0
20010730,21.25,21.36,20.15,20.15,636700,0
20010731,20.20,20.95,20.20,20.70,272900,0
20010801,20.50,21.25,20.45,20.85,15828400,0
20010802,21.01,21.55,21.01,21.14,15613000,0
20010803,21.14,21.85,21.11,21.31,3338100,0
20010806,21.06,21.42,21.06,21.10,4351400,0
20010807,21.01,21.40,20.90,21.05,1656900,0
20010808,21.01,21.09,20.75,20.81,3359800,0
20010809,20.80,21.00,20.70,20.87,1336100,0
20010810,20.75,20.80,20.50,20.75,11426600,0
20010813,20.75,21.00,19.91,20.04,436700,0
20010814,20.15,20.24,19.56,19.85,13531400,0
20010815,19.90,19.90,19.12,19.36,10454700,0
20010816,19.26,20.12,19.26,19.75,15265000,0
20010817,19.55,19.90,19.55,19.80,2204200,0
20010820,19.81,20.06,19.50,19.59,168000,0
20010821,19.59,20.17,19.56,19.64,3110000,0
20010822,19.64,20.18,19.62,19.75,398600,0
20010823,19.70,19.95,19.60,19.86,323300,0
20010824,19.82,20.04,19.52,19.65,356800,0
20010827,19.55,19.78,19.49,19.49,15275100,0
20010828,19.50,19.67,19.41,19.50,4511700,0
20010829,19.50,19.68,19.31,19.38,319400,0
20010830,19.40,19.87,19.40,19.85,2076900,0
20010831,20.05,20.40,20.01,20.35,863200,0
20010903,20.35,20.35,20.35,20.35,0,0
20010904,20.35,20.89,20.06,20.31,1372900,0
20010905,20.15,20.55,19.91,20.08,663500,0
20010906,19.83,20.05,19.54,19.75,379300,0
20010907,19.60,19.73,18.29,18.61,707200,0
20010910,18.21,19.30,18.21,19.05,1358500,0
20010911,19.05,19.05,19.05,19.05,0,0
20010917,14.48,17.75,14.48,15.50,1086200,0
20010918,15.60,15.88,14.75,14.80,530000,0
20010919,14.55,14.68,11.80,13.10,38905800,0
20010920,13.15,13.25,12.70,12.95,1839700,0
20010921,12.45,14.05,12.00,13.46,1887400,0
20010924,13.55,14.25,13.55,14.25,1262300,0
20010925,14.15,14.25,13.00,14.19,786900,0
20010926,14.80,14.80,13.75,13.75,239400,0
20010927,14.24,14.25,13.20,13.49,370100,0
20010928,14.15,14.40,13.75,14.20,572500,0
20011001,14.30,15.10,14.05,14.70,2467300,0
20011002,14.80,15.40,13.49,15.40,383600,0
20011003,15.25,15.40,14.31,15.14,312000,0
20011004,15.00,15.59,14.70,15.40,405400,0
20011005,15.55,15.60,15.00,15.52,279000,0
20011008,15.20,16.34,15.15,15.60,11264900,0
20011009,15.52,15.69,15.01,15.18,350800,0
20011010,15.20,15.60,15.08,15.24,648200,0
20011011,15.49,15.70,14.50,15.06,505300,0
20011012,15.05,15.30,14.76,15.24,309600,0
20011015,15.22,15.50,15.15,15.30,391700,0
20011016,15.35,15.35,14.90,15.10,577500,0
20011017,15.00,15.10,14.90,15.01,846000,0
20011018,14.80,15.19,14.72,14.76,47000000,0
20011019,14.76,15.14,14.76,14.99,249900,0
20011022,14.95,15.23,14.77,14.90,1431500,0
20011023,14.80,15.60,14.72,15.02,334600,0
20011024,15.06,15.25,14.21,14.65,518900,0
20011025,14.65,15.00,14.40,14.65,29000000,0
20011026,14.80,14.80,14.40,14.67,423200,0
20011029,14.63,14.88,14.01,14.49,157800,0
20011030,14.49,14.58,14.01,14.20,666200,0
20011031,14.02,14.23,13.00,13.50,789200,0
20011101,13.60,14.00,13.48,13.85,463400,0
20011102,13.82,14.15,13.78,13.78,30349500,0
20011105,13.90,14.20,13.65,13.99,704200,0
20011106,14.35,14.60,14.21,14.37,1759500,0
20011107,14.32,14.73,14.18,14.50,926300,0
20011108,14.65,15.20,14.51,15.00,522700,0
20011109,15.05,15.32,14.76,15.15,229400,0
20011112,14.92,15.50,14.60,15.22,289000,0
20011113,15.07,15.48,14.98,15.20,248600,0
20011114,15.05,15.24,15.00,15.24,199000,0
20011115,15.30,15.43,15.02,15.10,235800,0
20011116,15.10,15.60,15.00,15.60,348700,0
20011119,15.85,16.33,15.70,16.33,10342900,0
20011120,16.33,16.34,16.07,16.28,856000,0
20011121,16.28,16.77,16.10,16.77,6020300,0
20011122,16.77,16.77,16.77,16.77,0,0
20011123,16.63,17.15,16.63,16.81,92800,0
20011126,16.95,17.70,16.50,16.97,2581400,0
20011127,17.00,17.00,16.70,16.97,1201100,0
20011128,16.92,16.92,16.41,16.50,241400,0
20011129,16.41,17.02,16.30,17.00,2635000,0
20011130,17.00,17.04,16.70,16.82,576700,0
20011203,16.85,17.35,16.85,17.35,421700,0
20011204,17.60,17.69,17.25,17.54,2612300,0
20011205,18.30,18.35,17.67,18.00,9575600,0
20011206,18.01,18.24,17.90,18.24,574200,0
20011207,18.24,19.06,18.23,18.90,1475700,0
20011210,18.90,19.20,18.50,18.85,14363100,0
20011211,18.75,18.85,18.50,18.73,533200,0
20011212,18.73,19.19,18.71,18.80,18554400,0
20011213,18.80,19.49,18.76,19.40,484000,0
20011214,18.95,19.10,18.75,18.85,413000,0
20011217,18.75,19.17,18.75,19.02,5443200,0
20011218,18.80,19.10,17.80,18.66,664000,0
20011219,18.55,18.78,18.51,18.75,408200,0
20011220,18.42,18.74,18.25,18.38,399200,0
20011221,18.45,18.64,18.21,18.48,916600,0
20011224,18.88,19.08,18.58,18.99,161900,0
20011226,18.74,18.98,18.71,18.82,228800,0
20011227,18.62,19.53,18.57,19.53,525200,0
20011228,19.54,19.98,18.85,19.72,550300,0
20011231,19.00,19.75,19.00,19.50,376900,0
20020102,19.25,20.00,18.51,20.00,443200,0
20020103,20.15,20.28,19.52,20.00,402700,0
20020104,20.00,20.45,19.85,19.92,6383600,0
20020107,19.85,19.92,19.07,19.45,285400,0
20020108,19.35,19.80,18.80,19.00,35000000,0
20020109,19.48,20.44,19.10,19.54,1406700,0
20020110,19.50,20.04,19.46,19.48,768900,0
20020111,19.45,19.80,19.27,19.50,3435400,0
20020114,19.47,19.69,19.30,19.36,2229700,0
20020115,19.36,19.84,19.25,19.71,256800,0
20020116,19.89,20.60,19.70,19.91,824300,0
20020117,19.70,20.09,19.70,20.05,276600,0
20020118,19.52,20.15,19.52,20.15,61917300,0
20020121,20.15,20.15,20.15,20.15,0,0
20020122,20.15,21.50,20.15,21.30,384300,0
20020123,21.30,21.50,20.63,20.96,422700,0
20020124,20.99,22.18,20.99,22.10,657400,0
20020125,22.10,23.10,21.95,22.30,402900,0
20020128,22.10,22.93,22.00,22.15,376700,0
20020129,22.15,22.48,21.49,21.75,10425000,0
20020130,21.75,21.98,21.00,21.29,354700,0
20020131,21.35,22.35,20.80,22.35,485800,0
20020201,21.95,22.27,21.82,21.97,447200,0
20020204,21.51,22.33,21.06,21.57,628400,0
20020205,21.50,22.09,20.92,21.27,629600,0
20020206,21.02,21.42,20.45,20.63,6364700,0
20020207,20.68,21.47,20.40,20.53,320400,0
20020208,20.28,21.24,20.25,21.17,328200,0
20020211,20.90,21.55,20.81,21.00,252600,0
20020212,21.00,21.70,20.52,21.38,502400,0
20020213,21.63,22.05,21.05,21.45,267500,0
20020214,21.65,21.75,21.05,21.71,417500,0
20020215,21.75,22.50,21.75,22.50,553100,0
20020218,22.50,22.50,22.50,22.50,0,0
20020219,22.20,22.40,21.70,21.85,363100,0
20020220,21.76,21.97,21.20,21.35,463300,0
20020221,21.88,22.96,21.65,22.04,599000,0
20020222,22.47,23.24,22.30,23.00,993400,0
20020225,23.00,23.25,22.76,22.76,2495600,0
20020226,22.85,23.05,21.86,22.53,438700,0
20020227,22.75,23.33,22.65,23.23,3573400,0
20020228,23.15,23.50,23.04,23.25,554000,0
20020301,23.70,23.70,22.80,22.80,667000,0
20020304,22.95,23.70,22.95,23.53,626500,0
20020305,23.55,23.69,22.75,23.06,284800,0
20020306,22.95,24.10,22.81,24.05,691500,0
20020307,24.10,24.14,23.27,24.04,558300,0
20020308,24.04,24.25,23.80,24.14,4101700,0
20020311,24.24,25.35,24.00,25.23,1028900,0
20020312,25.00,25.00,23.80,23.96,609700,0
20020313,24.00,24.69,23.75,23.98,244600,0
20020314,24.10,24.49,23.80,24.03,142500,0
20020315,24.20,24.48,23.77,24.40,471000,0
20020318,24.41,24.70,23.20,24.00,328400,0
20020319,24.01,24.20,23.90,23.94,227200,0
20020320,23.76,24.13,23.75,23.96,152500,0
20020321,23.90,24.37,23.85,24.29,315400,0
20020322,24.50,24.50,23.75,23.76,421900,0
20020325,23.95,24.00,23.50,23.65,502900,0
20020326,23.62,24.00,23.46,24.00,456000,0
20020327,23.90,25.64,23.90,25.50,1060100,0
20020328,25.10,25.80,24.85,25.22,542700,0
20020401,25.20,25.38,24.80,25.25,438500,0
20020402,25.10,25.48,25.00,25.30,398500,0
20020403,25.35,25.35,24.07,24.17,409800,0
20020404,24.30,24.65,23.63,23.88,339900,0
20020405,23.90,23.98,22.80,22.81,448300,0
20020408,22.81,24.85,21.26,22.79,1011300,0
20020409,23.07,23.10,22.71,23.06,576500,0
20020410,24.20,24.98,23.75,23.95,714500,0
20020411,24.09,24.85,24.05,24.41,412600,0
20020412,24.90,24.90,24.32,24.57,308700,0
20020415,24.98,25.01,24.75,24.98,803700,0
20020416,25.00,25.19,24.60,24.71,376700,0
20020417,23.95,24.20,23.20,23.86,429300,0
20020418,24.00,24.59,22.98,23.67,367300,0
20020419,23.90,24.05,23.70,23.98,203800,0
20020422,23.98,24.05,23.72,23.75,317500,0
20020423,23.50,24.58,23.45,24.10,360700,0
20020424,24.35,25.09,23.60,23.72,421800,0
20020425,23.68,24.49,23.01,24.41,243100,0
20020426,24.36,24.79,23.95,24.14,387800,0
20020429,24.30,24.64,23.02,23.23,441500,0
20020430,23.35,24.45,23.24,23.82,393600,0
20020501,24.25,24.98,24.25,24.53,588700,0
20020502,24.70,26.07,24.70,26.05,1025100,0
20020503,25.90,27.70,25.65,27.55,528400,0
20020506,27.14,27.41,25.90,26.03,335300,0
20020507,26.20,27.20,25.50,25.61,513700,0
20020508,26.28,26.54,25.80,26.30,363200,0
20020509,26.48,27.35,26.34,27.05,785400,0
20020510,27.29,27.46,26.64,26.69,374300,0
20020513,26.38,26.39,25.72,25.80,20390400,0
20020514,26.00,26.00,25.21,25.94,1396800,0
20020515,25.96,26.16,25.81,25.91,278900,0
20020516,25.99,26.05,25.70,25.96,197700,0
20020517,25.90,26.24,25.90,26.22,200100,0
20020520,26.22,26.22,26.22,26.22,0,0
20020521,25.75,25.90,24.57,24.72,478500,0
20020522,24.80,25.35,24.69,25.24,229100,0
20020523,25.30,25.76,25.30,25.60,472000,0
20020524,25.85,25.90,25.25,25.55,177000,0
20020527,25.55,25.55,25.55,25.55,0,0
20020528,25.55,25.55,25.15,25.15,1247500,0
20020529,25.22,25.23,24.76,25.00,193400,0
20020530,25.10,26.80,25.00,26.52,892400,0
20020531,25.30,26.74,24.50,26.00,839400,0
20020603,26.00,26.49,25.81,26.17,304100,0
20020604,26.15,26.15,24.17,24.75,833200,0
20020605,24.71,25.40,24.13,24.81,1312900,0
20020606,24.85,24.85,22.95,24.60,615600,0
20020607,24.70,24.97,24.01,24.50,1425500,0
20020610,24.35,25.53,24.31,25.14,2286200,0
20020611,24.94,25.25,24.11,24.40,236500,0
20020612,24.40,25.19,24.40,24.86,344700,0
20020613,24.75,25.19,24.50,24.60,237600,0
20020614,24.58,24.80,23.82,23.86,8219700,0
20020617,23.86,25.33,23.86,25.06,368100,0
20020618,25.13,25.25,24.90,25.05,415500,0
20020619,25.10,26.17,24.95,25.60,754700,0
20020620,25.60,27.49,25.60,26.57,907200,0
20020621,26.00,26.54,25.17,25.75,888800,0
20020624,25.84,26.30,25.40,25.98,556800,0
20020625,26.56,26.83,26.25,26.30,10068800,0
20020626,26.20,26.20,25.35,25.70,566200,0
20020627,25.95,26.10,24.80,25.98,698000,0
20020628,25.98,27.50,25.98,27.42,11709700,0
20020701,27.00,27.15,26.20,26.60,485200,0
20020702,26.70,26.70,25.08,25.22,102000000,0
20020703,25.15,26.28,24.10,24.56,732000,0
20020704,24.56,24.56,24.56,24.56,0,0
20020705,24.95,25.19,24.72,25.02,271100,0
20020708,24.95,25.42,24.90,25.21,459700,0
20020709,25.15,25.30,24.47,24.55,324100,0
20020710,24.60,24.64,22.19,23.25,716700,0
20020711,23.02,23.60,22.65,23.60,627300,0
20020712,23.95,24.10,22.90,23.10,1337700,0
20020715,22.41,22.79,21.50,22.64,766200,0
