DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,34.69,35.44,34.31,34.75,9698,0
20010103,34.88,35.44,32.75,33.38,16504,0
20010104,33.13,33.19,31.00,31.56,14739,0
20010105,31.56,32.69,31.56,32.50,6394,0
20010108,32.56,32.75,32.06,32.75,5463,0
20010109,33.00,33.69,32.50,33.50,8484,0
20010110,33.56,33.63,32.81,33.13,5861,0
20010111,33.06,33.13,32.38,32.44,7477,0
20010112,32.19,32.25,31.56,32.06,7450,0
20010115,32.06,32.06,32.06,32.06,0,0
20010116,32.44,33.44,32.31,33.38,0,0
20010117,33.13,33.75,33.00,33.69,7725,0
20010118,33.69,33.69,33.13,33.13,13022,0
20010119,33.25,33.25,32.25,32.56,10684,0
20010122,32.56,32.56,32.56,32.56,0,0
20010123,32.00,32.63,31.75,32.13,8112,0
20010124,32.06,32.06,31.13,31.63,0,0
20010125,31.63,32.06,31.38,31.88,0,0
20010126,31.88,32.31,31.63,31.94,4867,0
20010129,34.50,34.56,33.34,33.41,8416400,0
20010130,34.50,35.09,33.00,34.81,694300,0
20010131,32.70,33.00,32.52,32.90,0,0
20010201,32.95,33.00,32.35,32.74,451300,0
20010202,32.00,32.51,31.38,31.48,2423700,0
20010205,31.49,31.99,31.40,31.94,0,0
20010206,31.95,31.95,31.30,31.70,1324600,0
20010207,31.70,31.99,31.20,31.40,926400,0
20010208,31.50,31.80,31.40,31.55,1126400,0
20010209,31.75,31.79,31.41,31.53,375600,0
20010212,31.53,31.59,31.00,31.25,2746800,0
20010213,31.20,31.20,30.30,30.73,1382700,0
20010214,30.73,30.73,29.70,30.03,1158100,0
20010215,29.09,29.35,29.00,29.13,553800,0
20010216,29.25,30.16,29.13,29.90,1333800,0
20010219,29.90,29.90,29.90,29.90,0,0
20010220,29.90,30.30,29.63,30.10,705100,0
20010221,30.30,30.30,29.75,29.92,644800,0
20010222,29.70,29.94,28.76,29.33,713100,0
20010223,29.53,29.53,28.70,29.09,700700,0
20010226,29.40,29.40,28.67,29.03,504300,0
20010227,29.10,29.36,28.76,29.06,670700,0
20010228,28.85,29.93,28.85,29.93,951300,0
20010301,29.66,30.75,29.52,30.75,1447800,0
20010302,30.70,30.96,30.13,30.47,1191400,0
20010305,30.50,30.61,30.11,30.48,585800,0
20010306,30.50,30.50,30.01,30.20,903500,0
20010307,30.15,30.48,30.03,30.22,438500,0
20010308,30.25,30.88,30.25,30.79,548700,0
20010309,31.00,31.20,30.72,31.00,566600,0
20010312,30.90,31.21,30.74,30.78,482600,0
20010313,30.78,30.78,30.17,30.75,462400,0
20010314,30.56,30.74,29.93,30.50,660500,0
20010315,30.50,30.50,29.50,30.40,3971400,0
20010316,29.50,30.71,29.23,30.25,1636900,0
20010319,30.40,30.95,30.11,30.95,594000,0
20010320,30.70,30.88,30.30,30.52,838400,0
20010321,30.51,30.51,29.70,29.76,393400,0
20010322,30.00,30.03,29.08,29.77,620800,0
20010323,29.25,29.74,28.81,29.61,559000,0
20010326,29.85,29.85,29.10,29.42,1334500,0
20010327,29.49,29.49,29.02,29.19,9628900,0
20010328,29.22,29.52,29.00,29.34,524800,0
20010329,29.15,29.70,28.63,29.50,505100,0
20010330,29.54,29.90,29.28,29.87,310500,0
20010402,29.92,30.11,29.14,29.38,644100,0
20010403,29.50,29.50,28.90,29.14,528300,0
20010404,29.03,29.80,28.97,29.78,626400,0
20010405,30.00,30.00,29.04,29.40,464700,0
20010406,29.50,29.71,28.75,28.95,480500,0
20010409,29.20,29.78,29.18,29.46,463300,0
20010410,29.53,29.80,29.15,29.63,428500,0
20010411,28.90,29.26,28.26,29.23,584400,0
20010412,29.05,29.55,28.70,29.55,495700,0
20010416,30.00,30.06,29.10,29.65,871900,0
20010417,29.90,30.28,29.85,30.21,804900,0
20010418,30.15,30.40,29.77,30.25,1141000,0
20010419,30.35,30.40,29.76,30.10,390400,0
20010420,30.10,30.10,29.19,29.69,568100,0
20010423,29.80,30.05,29.17,29.42,361300,0
20010424,29.60,29.75,29.13,29.56,533700,0
20010425,29.57,30.18,29.38,30.04,373300,0
20010426,29.99,30.75,29.59,30.22,361700,0
20010427,30.22,30.70,30.07,30.70,356700,0
20010430,30.61,30.94,30.26,30.44,1334400,0
20010501,30.44,30.85,30.21,30.84,301600,0
20010502,30.84,30.84,30.21,30.59,372800,0
20010503,30.35,30.40,29.76,30.30,317900,0
20010504,30.02,30.69,30.02,30.69,5346900,0
20010507,30.45,30.88,30.39,30.86,228100,0
20010508,30.50,30.97,30.50,30.90,350500,0
20010509,30.90,30.90,30.35,30.70,1252100,0
20010510,30.85,30.99,30.70,30.86,442800,0
20010511,30.98,31.00,30.50,30.74,367600,0
20010514,30.85,30.92,30.16,30.35,3402300,0
20010515,29.85,30.00,29.54,29.95,819700,0
20010516,29.51,30.15,29.49,30.00,2663600,0
20010517,29.75,29.84,29.27,29.45,3561600,0
20010518,29.40,29.44,28.68,28.76,3098900,0
20010521,28.35,29.10,28.35,29.10,1053700,0
20010522,28.85,29.00,28.60,28.75,815100,0
20010523,28.90,29.21,28.82,28.94,727200,0
20010524,28.80,29.44,28.80,29.18,705800,0
20010525,29.00,29.12,28.78,28.90,423300,0
20010528,28.90,28.90,28.90,28.90,0,0
20010529,28.90,29.27,28.85,29.21,381700,0
20010530,29.08,29.44,29.08,29.20,439600,0
20010531,29.15,29.54,28.99,29.54,561300,0
20010601,29.54,29.70,29.20,29.50,529700,0
20010604,29.25,29.65,29.20,29.63,424400,0
20010605,29.43,29.72,29.30,29.72,234400,0
20010606,29.30,29.80,28.93,29.07,475600,0
20010607,29.20,29.35,28.85,29.05,215100,0
20010608,29.05,29.30,28.00,28.70,399400,0
20010611,28.75,28.80,28.40,28.50,2264400,0
20010612,28.35,28.50,28.08,28.26,688600,0
20010613,28.27,28.35,27.90,27.96,911000,0
20010614,27.96,28.09,27.62,27.81,769000,0
20010615,27.50,27.80,27.33,27.66,3931100,0
20010618,27.77,27.77,27.31,27.51,481900,0
20010619,27.50,27.65,27.20,27.51,247300,0
20010620,27.48,28.18,27.37,27.90,318500,0
20010621,27.80,28.46,27.67,27.85,623700,0
20010622,27.85,28.12,27.56,27.57,506900,0
20010625,27.77,27.98,27.38,27.38,605500,0
20010626,27.50,27.50,27.17,27.34,593900,0
20010627,27.09,27.41,26.82,27.06,480900,0
20010628,27.40,27.80,27.18,27.36,521000,0
20010629,27.21,27.42,25.75,25.75,1365900,0
20010702,26.00,27.50,25.75,27.46,1477600,0
20010703,27.40,27.41,26.55,27.35,332400,0
20010704,27.35,27.35,27.35,27.35,0,0
20010705,27.40,27.44,26.85,27.29,661200,0
20010706,27.29,27.45,26.94,27.00,550800,0
20010709,27.01,27.46,26.88,27.29,349500,0
20010710,27.25,27.26,26.93,27.12,1245300,0
20010711,26.90,27.41,26.90,27.30,471200,0
20010712,27.20,27.62,26.80,27.50,1562100,0
20010713,27.45,27.62,27.20,27.53,339200,0
20010716,27.63,27.80,27.45,27.58,393700,0
20010717,27.81,28.00,27.61,27.91,1261300,0
20010718,27.85,28.31,27.85,28.26,633700,0
20010719,28.32,28.65,28.25,28.60,897200,0
20010720,28.60,28.73,28.25,28.50,326200,0
20010723,28.32,28.39,27.85,27.98,512300,0
20010724,27.85,27.97,27.52,27.71,228100,0
20010725,27.53,28.30,27.42,28.30,704200,0
20010726,28.00,28.00,27.56,27.76,372700,0
20010727,27.40,27.50,26.64,27.01,1445100,0
20010730,26.93,27.00,26.82,26.97,533400,0
20010731,26.93,27.52,26.93,27.36,788800,0
20010801,27.25,27.29,26.60,26.77,1429900,0
20010802,26.92,27.01,26.68,26.92,373800,0
20010803,26.95,26.99,26.36,26.59,390100,0
20010806,26.50,26.61,26.00,26.08,458800,0
20010807,26.12,26.45,25.97,26.02,667800,0
20010808,25.91,26.10,25.85,25.90,801700,0
20010809,25.89,26.04,25.63,25.85,1384100,0
20010810,25.90,26.46,25.86,25.99,1460200,0
20010813,26.00,26.36,25.88,26.06,11372700,0
20010814,26.00,26.15,25.80,25.98,270400,0
20010815,26.00,26.25,25.88,26.20,589300,0
20010816,25.93,26.31,25.52,26.21,5316600,0
20010817,25.88,26.35,25.81,26.00,867000,0
20010820,26.00,26.30,25.90,26.10,232000,0
20010821,26.00,27.01,26.00,26.85,696800,0
20010822,26.90,27.58,26.51,27.44,1797500,0
20010823,27.31,27.80,27.21,27.70,760200,0
20010824,27.65,28.35,27.50,28.10,1888000,0
20010827,28.10,28.23,27.75,27.86,383500,0
20010828,27.95,28.12,27.54,27.72,334900,0
20010829,27.57,27.72,27.28,27.71,437000,0
20010830,27.65,28.23,27.65,28.02,525100,0
20010831,27.78,28.50,27.78,28.19,955000,0
20010903,28.19,28.19,28.19,28.19,0,0
20010904,28.05,28.74,28.05,28.49,746300,0
20010905,28.26,28.69,27.84,28.62,468800,0
20010906,27.25,28.66,27.25,28.40,1550000,0
20010907,28.15,28.50,28.01,28.28,498300,0
20010910,28.10,28.74,28.02,28.30,1332600,0
20010911,28.30,28.30,28.30,28.30,0,0
20010917,28.59,29.00,27.72,28.35,963700,0
20010918,28.30,29.24,28.09,28.94,1098900,0
20010919,28.82,29.27,28.56,28.87,1028400,0
20010920,29.00,29.00,28.07,28.25,868900,0
20010921,27.00,27.65,26.80,26.80,1019800,0
20010924,27.05,27.46,26.91,27.17,867400,0
20010925,27.15,27.27,26.81,26.98,641600,0
20010926,26.88,27.20,26.75,27.09,654900,0
20010927,27.00,28.01,26.80,27.89,758000,0
20010928,27.90,28.27,27.71,28.00,564100,0
20011001,27.85,28.08,27.47,28.00,508700,0
20011002,27.90,28.56,27.61,28.55,588500,0
20011003,27.59,28.13,27.53,27.80,552200,0
20011004,27.80,27.92,27.34,27.58,413700,0
20011005,27.55,28.00,27.30,27.80,408100,0
20011008,27.80,27.80,27.27,27.39,231500,0
20011009,27.30,27.31,26.90,27.09,531900,0
20011010,26.85,27.80,26.76,27.60,729900,0
20011011,27.50,28.00,27.22,27.71,703900,0
20011012,27.26,27.79,26.91,27.50,379800,0
20011015,27.30,27.80,27.20,27.38,559800,0
20011016,27.40,27.65,27.06,27.47,456600,0
20011017,27.37,27.60,26.99,27.60,436800,0
20011018,27.30,27.85,27.30,27.50,398800,0
20011019,27.33,28.01,27.27,28.00,538100,0
20011022,27.95,28.25,27.87,28.10,484000,0
20011023,28.20,28.29,27.69,27.82,344400,0
20011024,27.60,28.10,27.50,27.65,509600,0
20011025,27.60,28.00,27.27,27.96,295900,0
20011026,27.86,28.50,27.59,28.35,397500,0
20011029,28.15,28.23,27.82,28.01,354300,0
20011030,28.65,28.88,28.29,28.61,961800,0
20011031,28.37,28.57,28.10,28.24,594700,0
20011101,28.14,29.09,28.06,29.04,624600,0
20011102,29.03,30.05,29.00,29.78,1658600,0
20011105,30.25,30.78,30.10,30.78,1264600,0
20011106,30.60,31.25,30.50,31.25,968300,0
20011107,30.96,31.44,30.79,31.01,1077600,0
20011108,31.00,31.19,30.40,30.68,613800,0
20011109,30.39,30.65,30.05,30.65,612400,0
20011112,30.50,30.50,29.97,30.29,3564200,0
20011113,30.27,30.42,29.78,30.14,100000000,0
20011114,30.55,30.69,29.81,30.36,567800,0
20011115,30.52,30.59,29.93,30.15,681000,0
20011116,30.10,30.50,29.96,30.10,598000,0
20011119,30.00,30.29,29.79,29.98,5795200,0
20011120,29.75,30.03,29.69,29.77,655200,0
20011121,29.70,30.00,29.60,29.67,306600,0
20011122,29.67,29.67,29.67,29.67,0,0
20011123,29.60,29.86,29.51,29.86,198700,0
20011126,29.76,30.01,29.39,29.62,49025300,0
20011127,29.37,29.56,29.01,29.08,361000,0
20011128,29.23,29.50,29.00,29.30,332800,0
20011129,29.10,29.44,29.00,29.40,566100,0
20011130,29.49,29.49,28.87,29.31,1015700,0
20011203,29.20,29.50,29.10,29.46,440600,0
20011204,29.46,29.73,29.33,29.68,328400,0
20011205,29.67,29.90,29.38,29.90,454700,0
20011206,29.82,29.90,29.39,29.52,1533900,0
20011207,29.45,29.85,29.26,29.60,460400,0
20011210,29.76,29.83,29.24,29.33,374100,0
20011211,29.10,29.52,28.90,29.25,546100,0
20011212,29.34,29.63,29.17,29.47,306900,0
20011213,29.45,30.05,29.10,29.61,667900,0
20011214,29.36,29.90,29.36,29.90,620100,0
20011217,29.90,30.21,29.65,29.95,334400,0
20011218,29.95,30.25,29.66,29.90,584600,0
20011219,29.80,30.38,29.64,30.38,612200,0
20011220,30.13,30.48,29.95,30.42,603500,0
20011221,30.43,30.54,30.00,30.54,1210300,0
20011224,30.30,30.47,30.00,30.39,314900,0
20011226,30.33,30.73,30.03,30.39,526800,0
20011227,30.40,30.63,29.75,30.58,657000,0
20011228,30.59,30.59,29.86,30.23,546900,0
20011231,29.98,30.10,29.60,29.87,699800,0
20020102,29.62,29.85,29.06,29.85,548200,0
20020103,29.51,29.52,29.07,29.20,654200,0
20020104,29.20,29.20,28.60,28.94,532700,0
20020107,28.90,28.91,28.26,28.62,640600,0
20020108,28.50,29.25,28.42,29.12,625300,0
20020109,29.16,29.42,28.75,28.95,525700,0
20020110,28.70,29.01,28.60,28.73,578200,0
20020111,28.80,28.94,28.55,28.63,370800,0
20020114,28.37,29.16,28.36,28.82,5723200,0
20020115,29.00,29.58,28.86,29.44,900200,0
20020116,29.44,30.00,28.35,28.35,513300,0
20020117,29.10,29.21,28.85,29.05,782800,0
20020118,28.81,29.25,28.64,29.07,848200,0
20020121,29.07,29.07,29.07,29.07,0,0
20020122,28.90,29.50,28.70,29.39,548100,0
20020123,29.25,29.37,28.89,29.26,836500,0
20020124,29.20,29.26,28.51,29.02,655900,0
20020125,28.92,28.92,28.37,28.64,696900,0
20020128,28.64,28.85,28.41,28.79,520200,0
20020129,28.25,28.55,27.90,28.18,1274900,0
20020130,27.96,28.48,27.92,28.29,956300,0
20020131,28.30,28.45,28.04,28.45,642400,0
20020201,28.20,28.40,27.77,28.00,920700,0
20020204,28.01,28.25,27.77,28.00,625300,0
20020205,28.00,28.12,27.30,27.55,944100,0
20020206,27.20,27.20,26.63,26.96,7879400,0
20020207,27.22,27.56,26.84,27.20,546000,0
20020208,27.19,27.28,26.74,27.19,441600,0
20020211,27.24,27.46,27.02,27.34,304100,0
20020212,27.30,27.44,27.10,27.39,356100,0
20020213,27.39,27.49,26.79,26.93,738200,0
20020214,26.93,26.93,26.44,26.61,896900,0
20020215,26.55,27.01,26.45,26.58,983400,0
20020218,26.58,26.58,26.58,26.58,0,0
20020219,26.50,26.61,25.59,25.90,17925100,0
20020220,26.15,27.13,25.63,26.89,981500,0
20020221,26.39,27.23,26.39,26.62,798600,0
20020222,26.50,27.40,26.20,27.15,765000,0
20020225,27.30,27.30,26.89,27.14,707900,0
20020226,27.15,27.27,26.66,26.83,456300,0
20020227,26.90,26.95,26.56,26.75,667100,0
20020228,26.75,27.25,26.61,26.74,759700,0
20020301,26.66,26.95,26.50,26.90,576500,0
20020304,27.00,27.15,25.94,26.19,1070100,0
20020305,26.32,26.92,26.20,26.85,1022700,0
20020306,26.86,26.99,26.65,26.81,669300,0
20020307,26.68,26.82,26.16,26.40,507200,0
20020308,26.64,26.69,26.29,26.43,436800,0
20020311,26.65,26.81,26.28,26.60,637300,0
20020312,26.58,26.65,26.33,26.50,585200,0
20020313,26.50,26.62,25.95,26.13,623700,0
20020314,26.05,26.65,26.05,26.43,426000,0
20020315,26.20,26.39,25.93,26.28,1027900,0
20020318,26.04,26.30,26.04,26.10,605700,0
20020319,26.25,26.59,26.15,26.34,597200,0
20020320,26.50,26.83,26.43,26.65,729400,0
20020321,26.90,27.20,26.69,26.80,986600,0
20020322,26.70,26.88,26.55,26.67,299500,0
20020325,26.42,26.70,26.25,26.44,523400,0
20020326,26.50,26.88,26.44,26.81,471000,0
20020327,26.95,27.05,26.67,26.79,381600,0
20020328,26.85,27.16,26.70,26.80,546300,0
20020401,26.72,26.76,26.45,26.65,404000,0
20020402,26.65,26.94,26.36,26.89,486400,0
20020403,26.89,27.15,26.71,26.78,1099200,0
20020404,26.70,27.09,26.65,26.97,683900,0
20020405,27.02,27.02,26.68,26.69,535600,0
20020408,26.46,27.19,26.44,27.02,735000,0
20020409,27.10,27.18,26.92,27.02,478200,0
20020410,27.11,27.99,27.00,27.93,913700,0
20020411,28.00,28.10,27.84,27.93,895200,0
20020412,27.93,28.31,27.92,28.15,729800,0
20020415,28.05,28.08,27.54,27.56,481200,0
20020416,27.81,27.94,27.56,27.62,529100,0
20020417,27.62,27.68,27.24,27.47,376800,0
20020418,27.60,27.72,27.06,27.40,344200,0
20020419,27.56,27.88,27.45,27.75,474500,0
20020422,27.75,27.99,27.65,27.70,312500,0
20020423,27.52,28.00,27.50,27.65,498800,0
20020424,27.62,27.95,27.41,27.49,498700,0
20020425,27.25,27.86,27.21,27.51,625100,0
20020426,27.70,27.70,27.21,27.24,528400,0
20020429,27.24,27.74,27.14,27.17,748300,0
20020430,27.30,27.70,27.25,27.61,629800,0
20020501,27.60,28.08,27.50,27.92,519800,0
20020502,27.90,28.35,27.80,28.11,593800,0
