DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20040623,3.75,4.32,3.69,4.30,43587600,0
20040624,4.39,4.42,4.13,4.19,8887200,0
20040625,4.13,4.19,3.95,3.95,6710000,0
20040628,4.00,4.05,3.86,4.00,2270800,0
20040629,4.00,4.17,3.96,4.10,2112000,0
20040630,4.10,4.23,4.01,4.02,2087600,0
20040701,4.02,4.05,3.97,4.01,1754800,0
20040702,4.03,4.24,4.01,4.24,993200,0
20040706,4.23,4.25,4.12,4.25,1216800,0
20040707,4.22,4.22,4.01,4.08,1787600,0
20040708,4.08,4.08,3.91,3.93,2179200,0
20040709,3.98,4.14,3.97,4.10,596800,0
20040712,4.15,4.21,4.04,4.19,780800,0
20040713,4.18,4.18,4.02,4.02,1674000,0
20040714,4.01,4.01,3.89,3.91,2366000,0
20040715,3.94,3.95,3.73,3.83,1806000,0
20040716,3.85,4.10,3.74,4.00,3278800,0
20040719,4.01,4.04,3.96,4.00,954800,0
20040720,4.00,4.05,3.88,4.01,2245200,0
20040721,4.03,4.03,2.76,2.92,25458400,0
20040722,2.89,3.29,2.83,3.24,9824800,0
20040723,3.24,3.38,3.19,3.26,1674400,0
20040726,3.39,3.39,3.22,3.32,1286000,0
20040727,3.35,3.36,3.27,3.28,751200,0
20040728,3.26,3.30,3.15,3.25,1534800,0
20040729,3.25,3.34,3.24,3.24,908000,0
20040730,3.24,3.30,3.14,3.25,815200,0
20040802,3.24,3.27,3.14,3.20,1297600,0
20040803,3.20,3.27,3.00,3.03,2944400,0
20040804,3.03,3.04,2.99,2.99,2746800,0
20040805,3.00,3.00,2.67,2.72,3030400,0
20040806,2.72,2.75,2.68,2.69,1797200,0
20040809,2.74,2.76,2.71,2.75,1121600,0
20040810,2.75,2.76,2.72,2.75,733200,0
20040811,2.74,2.74,2.65,2.65,624400,0
20040812,2.68,2.68,2.48,2.50,1578000,0
20040813,2.50,2.51,2.37,2.40,2496000,0
20040816,2.40,2.46,2.25,2.43,2171200,0
20040817,2.47,2.75,2.47,2.74,2968000,0
20040818,2.72,3.04,2.67,2.99,1697600,0
20040819,2.99,3.06,2.92,3.04,1310400,0
20040820,3.13,3.30,2.97,3.15,4034800,0
20040823,3.17,3.24,3.09,3.13,1127600,0
20040824,3.15,3.20,3.11,3.20,1072400,0
20040825,3.20,3.26,3.13,3.24,1200800,0
20040826,3.24,3.25,3.20,3.22,471200,0
20040827,3.25,3.30,3.22,3.29,463600,0
20040830,3.30,3.31,3.26,3.29,606000,0
20040831,3.30,3.31,3.17,3.25,874400,0
20040901,3.30,3.33,3.29,3.33,512400,0
20040902,3.32,3.49,3.32,3.47,998800,0
20040903,3.47,3.48,3.40,3.44,924000,0
20040907,3.44,3.44,3.35,3.36,1193200,0
20040908,3.33,3.33,3.29,3.31,550000,0
20040909,3.31,3.32,3.24,3.29,2529200,0
20040910,3.29,3.57,3.29,3.56,2795200,0
20040913,3.60,3.88,3.60,3.80,4345200,0
20040914,3.80,4.02,3.75,3.98,2052000,0
20040915,3.98,4.28,3.92,4.09,4147200,0
20040916,4.09,4.12,4.01,4.07,2518400,0
20040917,4.05,4.05,3.71,3.92,4487600,0
20040920,3.94,4.03,3.92,4.00,597200,0
20040921,4.01,4.22,4.01,4.09,2327200,0
20040922,4.07,4.07,3.95,4.02,2076800,0
20040923,4.02,4.02,3.91,3.93,1117600,0
20040924,3.99,4.21,3.95,4.01,2796000,0
20040927,4.00,4.02,3.88,3.90,1380000,0
20040928,3.88,3.88,3.69,3.75,1862800,0
20040929,3.76,3.97,3.76,3.94,1700400,0
20040930,3.94,3.98,3.90,3.91,4521200,0
20041001,3.91,4.19,3.88,4.16,2614800,0
20041004,4.29,4.46,4.14,4.22,3153200,0
20041005,4.22,4.28,4.15,4.22,1360800,0
20041006,4.22,4.31,4.12,4.31,1433600,0
20041007,4.47,4.70,4.40,4.63,5887200,0
20041008,4.61,4.61,4.37,4.40,2528800,0
20041011,4.41,4.59,4.40,4.55,1064800,0
20041012,4.50,4.60,4.42,4.60,897200,0
20041013,4.65,4.81,4.60,4.63,1728000,0
20041014,4.63,4.69,4.46,4.50,1047200,0
20041015,4.51,4.56,4.40,4.49,946800,0
20041018,4.47,4.57,4.41,4.57,692800,0
20041019,4.59,4.61,4.53,4.56,622400,0
20041020,4.53,4.57,4.47,4.54,760800,0
20041021,4.54,4.67,4.51,4.60,722400,0
20041022,4.63,4.64,4.31,4.35,1141200,0
20041025,4.39,4.59,4.39,4.54,1056000,0
20041026,4.53,4.61,4.45,4.61,476800,0
20041027,4.63,4.90,4.54,4.82,1922800,0
20041028,4.82,5.15,4.75,5.04,2500800,0
20041029,5.03,5.08,4.85,5.08,1799600,0
20041101,5.13,5.50,5.10,5.42,3213600,0
20041102,5.63,5.63,5.44,5.49,3029600,0
20041103,5.55,5.67,5.38,5.42,1919200,0
20041104,5.40,5.43,5.13,5.14,1398400,0
20041105,5.21,5.34,5.14,5.21,1574800,0
20041108,5.21,5.21,5.07,5.10,1014400,0
20041109,4.92,5.01,4.78,4.88,1935600,0
20041110,4.91,4.91,4.82,4.88,779200,0
