DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,53.2500,53.2500,49.7500,50.3125,1479600,0
20010103,50.5625,51.8750,49.5000,50.0625,1742700,0
20010104,49.5625,50.4375,49.0000,49.7500,1608100,0
20010105,49.6562,49.6875,47.5000,47.5625,1846700,0
20010108,47.6875,49.1250,47.0000,48.0000,1173700,0
20010109,48.3750,49.8125,47.2500,49.7500,1134800,0
20010110,49.5000,49.5625,47.0000,48.5000,1189800,0
20010111,48.5000,48.8750,45.5000,46.6250,1303200,0
20010112,45.6875,45.7188,43.4375,44.4375,2272000,0
20010115,44.4375,44.4375,44.4375,44.4375,0,0
20010116,44.6250,50.0000,43.8750,45.0000,939300,0
20010117,45.5000,47.1875,44.8750,46.0625,1514400,0
20010118,46.1875,46.2500,45.5000,46.1875,1062000,0
20010119,46.4375,47.3125,44.9375,46.8125,1030600,0
20010122,46.6250,47.5937,45.0000,45.8125,599100,0
20010123,45.8125,47.6875,45.3750,47.6250,735600,0
20010124,47.2500,47.2500,45.5000,46.2500,751500,0
20010125,46.6875,49.1875,46.2500,47.6875,806500,0
20010126,48.2500,49.0000,46.8750,48.5000,618500,0
20010129,48.2500,49.6250,47.6250,49.5000,532300,0
20010130,48.5625,49.0000,46.8750,47.4375,948400,0
20010131,47.5000,47.7500,45.8750,46.6875,1069700,0
20010201,46.2500,46.6875,44.6250,45.4375,1253400,0
20010202,45.0312,46.5000,44.0000,44.0000,830600,0
20010205,44.6250,46.0000,44.1875,45.5000,759300,0
20010206,45.5000,47.3125,45.4375,45.6250,758300,0
20010207,45.9375,47.2500,45.8750,46.7500,908300,0
20010208,47.4375,48.4375,46.7500,46.8750,634600,0
20010209,46.7500,48.9375,46.6875,47.8750,936100,0
20010212,47.9375,49.0625,47.3125,48.0000,799700,0
20010213,48.2500,48.5000,46.0000,46.1250,917700,0
20010214,45.6250,46.6250,45.3750,46.5625,711500,0
20010215,47.1875,47.7500,45.5000,46.1250,659100,0
20010216,45.5000,46.7500,44.7500,44.7813,628900,0
20010219,44.7813,44.7813,44.7813,44.7813,0,0
20010220,45.3750,45.9375,44.8750,45.0000,864400,0
20010221,45.3750,47.0000,44.7500,45.1250,849700,0
20010222,45.8750,46.7500,44.3750,44.8125,13300000,0
20010223,44.9063,45.0312,42.3750,43.3750,1313300,0
20010226,43.7500,46.0000,43.2500,45.9375,961400,0
20010227,45.5000,45.8750,42.2500,42.7500,1148100,0
20010228,40.9375,41.0000,35.8750,35.8750,31642600,0
20010301,35.8750,38.9375,35.8125,37.1250,6756400,0
20010302,37.1875,37.3750,36.2500,36.6875,2165000,0
20010305,36.2500,36.5000,35.3750,36.4375,1594300,0
20010306,36.4375,38.2500,36.1250,37.4375,1503300,0
20010307,37.5000,37.5000,36.8750,37.2500,1055000,0
20010308,37.6875,38.1875,36.8750,37.0000,1350700,0
20010309,36.7500,37.3125,35.9375,37.0000,1313100,0
20010312,35.4375,36.8750,35.0625,35.6250,1877700,0
20010313,36.0625,36.5000,34.8125,35.0625,2101100,0
20010314,34.5625,35.0000,33.8750,34.0000,2005500,0
20010315,35.2188,36.6250,34.0625,35.6250,1787700,0
20010316,35.4375,37.1875,35.2500,36.0625,2806700,0
20010319,36.1875,38.7500,36.1562,38.0625,1608700,0
20010320,38.1250,38.5000,35.3750,35.3750,1008100,0
20010321,35.4375,37.7500,35.1250,37.2500,1944200,0
20010322,37.1875,38.6250,36.8750,38.5625,1963500,0
20010323,39.1562,40.5000,39.1250,39.6250,2426200,0
20010326,40.4000,40.4500,39.8700,39.9900,2643800,0
20010327,40.2500,40.2500,39.2500,39.6500,1077200,0
20010328,39.4900,40.1200,38.6000,39.3000,904200,0
20010329,39.1200,39.9900,38.1200,38.7500,1019500,0
20010330,39.0500,39.8000,38.5000,39.4200,1041400,0
20010402,39.4400,39.5000,37.5000,38.4800,1139000,0
20010403,38.4200,38.4200,36.5000,36.5500,1037800,0
20010404,36.5100,37.7100,36.3500,37.3000,1228400,0
20010405,37.4100,38.4100,36.7000,38.4000,1129700,0
20010406,37.7000,38.2000,36.5100,37.8000,1221600,0
20010409,37.8100,38.6000,37.4800,37.8600,857400,0
20010410,38.2300,40.4300,38.2200,39.5800,2049700,0
20010411,39.4000,40.2100,38.7100,40.2000,1403900,0
20010412,39.7500,40.6700,39.0100,40.3000,693300,0
20010416,40.2500,40.9100,38.7900,39.3500,865200,0
20010417,39.0000,40.6500,38.8300,40.5800,1065700,0
20010418,40.0500,44.8300,40.0000,43.4100,2337800,0
20010419,43.0500,43.2000,42.2500,42.8200,1937800,0
20010420,41.9900,41.9900,40.2000,41.5700,1834100,0
20010423,41.7000,42.2700,41.1500,41.7600,1037000,0
20010424,42.1200,42.7500,40.9000,41.2300,824900,0
20010425,41.2400,42.3600,40.8600,42.2800,880900,0
20010426,42.2800,43.9500,41.7700,41.9400,764400,0
20010427,42.6400,43.2500,42.1000,43.2400,641300,0
20010430,43.3800,44.6400,43.2700,43.8100,1084800,0
20010501,44.1000,47.7000,43.7300,46.5600,1284300,0
