DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,35.63,36.25,35.63,35.94,4931,0
20010103,35.94,38.25,35.94,37.81,9921,0
20010104,37.56,38.50,37.56,38.13,3724,0
20010105,38.00,38.19,37.25,37.50,1737,0
20010108,37.44,38.50,37.00,37.44,5704,0
20010109,37.38,38.13,37.38,37.88,3025,0
20010110,38.00,38.19,36.88,38.13,4746,0
20010111,37.88,39.13,37.88,39.00,8968,0
20010112,39.06,39.88,38.50,38.88,2761,0
20010115,38.88,38.88,38.88,38.88,0,0
20010116,38.75,38.75,37.19,38.44,3407,0
20010117,38.69,39.31,38.69,39.00,12692,0
20010118,39.06,39.31,38.75,39.00,2958,0
20010119,38.75,38.94,38.00,38.50,2699,0
20010122,38.50,38.50,38.50,38.50,0,0
20010123,37.63,37.69,35.00,37.06,28236,0
20010124,36.63,36.94,36.13,36.56,0,0
20010125,36.56,37.00,35.44,36.69,2476,0
20010126,36.56,36.69,35.75,36.31,7338,0
20010129,37.56,38.00,36.00,37.53,9231460,0
20010130,36.75,38.09,36.00,36.66,619800,0
20010131,28.00,32.50,28.00,31.38,5703800,0
20010201,31.38,31.95,30.27,30.97,1066800,0
20010202,30.72,30.85,30.05,30.45,85000000,0
20010205,30.00,31.55,29.95,31.00,1196400,0
20010206,31.00,31.22,30.30,30.75,486400,0
20010207,30.25,30.59,29.55,29.97,766300,0
20010208,29.98,30.29,29.75,29.86,679200,0
20010209,29.70,29.80,28.85,29.10,525500,0
20010212,29.05,30.30,29.05,29.95,355900,0
20010213,29.70,29.90,29.20,29.30,375600,0
20010214,29.55,29.55,28.61,28.79,681100,0
20010215,29.17,29.18,28.91,29.00,733300,0
20010216,28.95,29.50,28.70,29.05,825800,0
20010219,29.05,29.05,29.05,29.05,0,0
20010220,29.15,29.45,29.00,29.00,235600,0
20010221,29.00,29.16,28.54,28.56,496200,0
20010222,28.56,29.40,28.56,29.00,657900,0
20010223,28.80,29.09,28.40,29.00,424600,0
20010226,29.40,30.35,29.35,30.03,452500,0
20010227,29.85,30.25,29.46,29.73,390500,0
20010228,29.75,29.95,28.50,28.82,422400,0
20010301,28.95,28.95,27.78,28.13,702600,0
20010302,27.95,28.93,27.20,28.52,465500,0
20010305,28.30,28.70,28.14,28.55,728100,0
20010306,28.55,29.20,28.40,28.85,529400,0
20010307,28.65,28.90,28.35,28.58,197900,0
20010308,28.75,29.10,28.56,28.90,316000,0
20010309,28.70,28.90,28.11,28.21,294600,0
20010312,28.20,28.60,27.80,27.80,281700,0
20010313,27.60,28.85,27.37,27.90,413700,0
20010314,27.65,27.80,26.75,27.25,623500,0
20010315,27.35,27.75,27.21,27.50,510800,0
20010316,27.01,27.45,26.75,26.94,708800,0
20010319,26.92,27.50,26.62,27.38,37000000,0
20010320,27.15,27.37,26.30,26.63,572700,0
20010321,26.50,26.75,26.01,26.19,509900,0
20010322,26.18,27.00,25.45,26.45,818900,0
20010323,26.45,28.00,26.45,27.92,1076300,0
20010326,27.80,28.35,27.74,28.15,12278400,0
20010327,28.88,29.90,28.81,29.60,2498400,0
20010328,29.35,29.45,27.90,28.01,694900,0
20010329,27.90,29.20,27.73,28.90,5338000,0
20010330,29.00,29.00,28.42,28.75,379800,0
20010402,29.14,29.44,28.70,28.85,698500,0
20010403,28.70,28.70,27.66,27.67,433300,0
20010404,27.50,27.85,27.08,27.39,581100,0
20010405,28.15,28.45,27.45,28.45,429500,0
20010406,28.40,28.40,27.45,28.00,321400,0
20010409,28.25,28.90,28.04,28.60,313500,0
20010410,28.35,29.44,28.35,29.16,391000,0
20010411,29.35,29.35,28.50,29.02,221800,0
20010412,29.03,29.40,28.85,29.30,418600,0
20010416,28.95,29.35,28.61,28.80,568700,0
20010417,29.00,29.20,28.55,29.20,528000,0
20010418,29.35,29.70,29.00,29.50,656500,0
20010419,29.51,29.65,28.76,29.20,296200,0
20010420,29.20,29.75,28.54,28.69,340200,0
20010423,28.44,28.45,27.30,28.02,24413100,0
20010424,28.27,28.38,27.56,27.58,1058800,0
20010425,27.80,28.35,27.80,28.03,556700,0
20010426,28.25,28.25,27.25,27.39,1443800,0
20010427,27.39,27.55,26.94,27.40,2435600,0
20010430,27.40,27.60,26.90,27.18,1064600,0
20010501,27.25,28.25,27.25,27.79,1656500,0
20010502,27.95,28.70,27.90,28.33,710100,0
20010503,28.20,28.25,27.77,27.99,567900,0
20010504,27.65,28.22,27.43,28.13,396700,0
20010507,28.11,28.50,27.85,28.19,317900,0
20010508,28.35,28.35,27.71,27.72,194200,0
20010509,27.60,27.75,27.23,27.44,244900,0
20010510,27.65,28.19,27.55,27.80,1316100,0
20010511,27.77,27.89,27.19,27.50,286700,0
20010514,27.35,27.68,27.35,27.49,256700,0
20010515,27.49,27.68,27.31,27.48,238600,0
20010516,27.40,28.20,27.20,28.00,595100,0
20010517,28.00,28.25,27.69,27.74,3467200,0
20010518,27.75,28.15,27.72,28.06,3316000,0
20010521,28.10,28.12,27.90,28.07,237300,0
20010522,28.03,28.25,27.95,28.20,1548000,0
20010523,28.25,28.55,27.50,27.58,511100,0
20010524,27.60,28.07,27.22,27.50,281400,0
20010525,27.55,28.45,27.50,27.90,2437100,0
20010528,27.90,27.90,27.90,27.90,0,0
20010529,27.86,28.29,27.85,28.15,2302100,0
20010530,28.00,28.00,27.59,27.73,4585100,0
20010531,27.75,28.50,27.68,28.44,311000,0
20010601,28.40,28.41,27.90,28.06,1258300,0
20010604,28.20,28.45,27.96,28.18,264500,0
20010605,28.40,29.10,28.35,29.00,228900,0
20010606,28.70,29.15,28.70,28.90,434700,0
20010607,28.65,29.03,28.65,28.90,3389900,0
20010608,28.80,28.95,28.78,28.95,157400,0
20010611,28.96,29.30,28.84,29.15,12435300,0
20010612,29.15,29.45,29.00,29.10,2234800,0
20010613,29.10,29.30,28.79,28.81,7484900,0
20010614,28.80,28.90,28.28,28.35,3292700,0
20010615,27.95,28.20,27.71,28.04,403800,0
20010618,28.05,28.10,27.77,27.87,119900,0
20010619,27.88,28.10,27.87,28.07,7221100,0
20010620,27.90,29.10,27.85,29.00,309400,0
20010621,29.01,29.50,28.80,29.35,261900,0
20010622,29.35,29.72,29.22,29.35,2316400,0
20010625,29.30,29.61,29.10,29.31,326800,0
20010626,29.25,29.51,29.19,29.33,430300,0
20010627,29.35,29.60,29.07,29.39,350900,0
20010628,29.35,30.20,29.35,30.08,5295600,0
20010629,30.15,30.42,29.82,30.30,7932600,0
20010702,30.20,30.99,30.10,30.99,340400,0
20010703,30.75,31.00,30.56,30.99,198800,0
20010704,30.99,30.99,30.99,30.99,0,0
20010705,30.99,31.18,30.70,30.97,217200,0
20010706,30.72,30.84,30.51,30.80,372600,0
20010709,30.75,31.07,30.46,30.95,228000,0
20010710,30.90,31.10,30.63,31.06,5388500,0
20010711,31.06,31.49,30.79,31.39,537600,0
20010712,31.50,32.00,31.09,31.90,4207700,0
20010713,31.90,31.90,31.56,31.88,1251300,0
20010716,31.80,32.49,31.71,31.90,354500,0
20010717,31.95,32.40,31.83,32.35,1168500,0
20010718,32.15,32.22,31.27,31.62,4349400,0
20010719,31.75,32.24,31.56,32.14,229500,0
20010720,32.04,32.10,31.40,31.55,3321000,0
20010723,31.55,31.70,31.21,31.55,145200,0
20010724,31.50,31.50,30.57,30.82,175000,0
20010725,30.75,31.89,30.75,31.89,220500,0
20010726,31.80,32.40,31.50,32.01,258900,0
20010727,31.15,31.70,30.88,31.22,1490200,0
20010730,31.49,31.57,30.32,30.90,200400,0
20010731,31.10,31.20,30.73,30.97,264600,0
20010801,30.86,31.55,30.60,31.49,322700,0
20010802,31.74,32.15,31.15,31.33,183000,0
20010803,31.27,31.48,30.79,31.10,2152700,0
20010806,31.00,31.56,30.62,30.83,134000,0
20010807,30.60,30.93,30.25,30.76,1118300,0
20010808,30.66,30.72,29.90,30.04,263400,0
20010809,29.85,30.37,29.56,29.83,379300,0
20010810,29.75,30.70,29.32,30.47,10274700,0
20010813,30.45,30.50,30.10,30.47,134800,0
20010814,30.57,30.70,30.26,30.61,344500,0
20010815,35.50,36.50,34.26,34.71,11712900,0
20010816,34.60,34.97,34.24,34.91,5003600,0
20010817,34.60,35.00,34.48,34.88,17699900,0
20010820,35.00,35.20,34.67,35.17,17454100,0
20010821,35.22,35.49,35.02,35.40,596500,0
20010822,35.40,35.45,34.95,34.95,13596400,0
20010823,34.80,35.05,34.80,34.85,27679800,0
20010824,34.90,35.11,34.80,35.00,7512400,0
20010827,35.00,35.35,35.00,35.18,225800,0
20010828,35.40,35.55,34.81,34.89,1853100,0
20010829,34.89,35.06,34.83,34.90,17440300,0
